Time	GDP	RPFI	FixAss	UI	PartR	UR	Cons3	Cons5	CPIU	PCE	Mask2	School	Hosp1	Deaths1
2012-01-01	0.0	0.0	0.0	0.0	1.0	0.15873015873015872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2012-02-01	1.0	1.0	1.0	0.31445983258856497	1.0	0.14285714285714285	0.9985415841768994	0.9988559931830897	0.48042480973508717	0.9679389035394174	0.0	0.0	0.0	0.0
2012-03-01	0.9999035175096785	0.9949371040009583	0.9988593286331623	0.2460552008392013	1.0	0.14285714285714285	0.9986177044449763	0.9989458892051145	0.4783596646895119	0.966573298315848	0.0	0.0	0.0	0.0
2012-04-01	0.998437207212555	0.9114431098523825	0.9494833136143103	0.09620956415811893	1.0	0.14285714285714285	0.9987869236772657	0.9991348678173273	0.4580164258916395	0.9640820130383683	0.0	0.0	0.0	0.0
2012-05-01	0.9992459776242564	0.9080589360774394	0.9985633868957239	0.1535863800796965	0.9777777777777779	0.14285714285714285	0.9995901113661151	1.0	0.2823120937051792	0.9538741718760513	0.0	0.0	0.0	0.0
2012-06-01	0.9988658579065699	0.9047508302977749	0.9786544925852766	0.3489265295887413	0.9777777777777779	0.14285714285714285	0.9993426676183959	0.9997439645431907	0.34089822278672366	0.956476820529933	0.0	0.0	0.0	0.0
2012-07-01	0.9949190199560207	0.6999184483839366	0.7588993245676606	0.36507117410881257	0.9777777777777779	0.14285714285714285	0.9990127593755916	0.9993997292373296	0.39344637279221933	0.9600922983102562	0.0	0.0	0.0	0.0
2012-08-01	0.9937157910606768	0.699333460980271	0.6898972623245592	0.20968527401980236	0.9555555555555557	0.14285714285714285	0.9979507037816816	0.9982741498534129	0.6527359268372354	0.9726370191705382	0.0	0.0	0.0	0.0
2012-09-01	0.9938076550924604	0.6987555535714658	0.6959175519363611	0.23068134929856224	0.9333333333333336	0.14285714285714285	0.9980288710342031	0.9983648850481446	0.6040928049754837	0.9712958398905062	0.0	0.0	0.0	0.0
2012-10-01	0.992684716889518	0.7367242639500353	0.6357152240626507	0.34049307612875757	0.9333333333333336	0.15873015873015872	0.9980212064706273	0.9983638486486531	0.506728251696605	0.9710078867636006	0.0	0.0	0.0	0.0
2012-11-01	0.9940922657275533	0.7361484630241977	0.717622596946568	0.5782611938078819	0.9111111111111114	0.15873015873015872	0.9992429084151475	0.9996742389214	0.3006557725101743	0.9557458204525275	0.0	0.0	0.0	0.0
2012-12-01	0.9938754579102685	0.7355769051484279	0.7053904307289866	0.5017302059496462	0.8888888888888893	0.15873015873015872	0.9990349967847286	0.9994591808903488	0.37413804795301997	0.9579119267895568	0.0	0.0	0.0	0.0
2013-01-01	0.9876869667268823	0.5134140940838617	0.3321073700944824	0.46846343340361063	0.8666666666666671	0.15873015873015872	0.9966857852760571	0.9979584950296794	0.4730736920152049	0.9666573187698657	0.0	0.0	0.0	0.0
2013-02-01	0.9869889828416567	0.51108479860503	0.28942359907523707	0.31423153625244077	0.8666666666666671	0.15873015873015872	0.9960841128554018	0.9973098247490298	0.6349860070635606	0.9739022526346681	0.0	0.0	0.0	0.0
2013-03-01	0.988908431290302	0.5087186836851162	0.39836464928776627	0.26411412790829053	0.8444444444444414	0.15873015873015872	0.9977871227658772	0.9991201302900098	0.24716895130705616	0.953062076468007	0.0	0.0	0.0	0.0
2013-04-01	0.9939371791481655	0.6931824130321168	0.7557630623191693	0.2311072582585004	0.8444444444444414	0.14285714285714285	0.9975965595502043	0.9989102872943849	0.28136451627527614	0.9552985360150279	0.0	0.0	0.0	0.0
2013-05-01	0.9933633929017806	0.6929035338915822	0.7224730612699801	0.056041916328826824	0.8444444444444414	0.14285714285714285	0.9970955070534536	0.9983692893573832	0.39935182972145283	0.9613194141187007	0.0	0.0	0.0	0.0
2013-06-01	0.9927638193908475	0.6926261601885255	0.6876819961780926	0.2966503558684633	0.8222222222222229	0.14285714285714285	0.9965716885728086	0.9978041060539926	0.4918638127890506	0.9676185898792923	0.0	0.0	0.0	0.0
2013-07-01	0.994945728111385	0.7596536456625151	0.7485952723634787	0.35094240339967403	0.8000000000000007	0.14285714285714285	0.9968786058684108	0.998125332931932	0.4719810427311055	0.9637948380358665	0.0	0.0	0.0	0.0
2013-08-01	0.994789794976403	0.7588991384752903	0.7407701467851208	0.2648086756133371	0.7777777777777768	0.14285714285714285	0.9967706347955911	0.9980040146505639	0.4921920362000497	0.965027867173961	0.0	0.0	0.0	0.0
2013-09-01	0.9951967228101256	0.7581505175146248	0.7655341421427903	0.16444812558722147	0.7555555555555564	0.12698412698412692	0.9971575239765855	0.9984107565774574	0.3976005690238599	0.9602308122521267	0.0	0.0	0.0	0.0
2013-10-01	0.9904514682883362	0.5889566002702009	0.4852477381126647	0.29984339689164435	0.7111111111111104	0.12698412698412692	0.9967041106812081	0.9979210776984128	0.4050553748719518	0.9656751792246812	0.0	0.0	0.0	0.0
2013-11-01	0.9905022303751212	0.588313208631574	0.4872554526321454	0.4688958061906321	0.7111111111111104	0.12698412698412692	0.9967423743110942	0.9979560587813413	0.46667314549690636	0.9651282623410788	0.0	0.0	0.0	0.0
2013-12-01	0.9903344673704433	0.5876686737854208	0.4765936036284634	0.6622149376192632	0.68888888888889	0.12698412698412692	0.9965883114447207	0.9977859380664545	0.504271433281398	0.9669260016326096	0.0	0.0	0.0	0.0
2014-01-01	0.9953355423016522	0.8067564967903619	0.8493885601251112	0.43813125058123853	0.68888888888889	0.11111111111111116	0.9964765301411675	0.99777707231967	0.493934346505972	0.9665405811298221	0.0	0.0	0.0	0.0
