Time,Cases1,Cases2,Cases3,Cases4,Cases5,Hosp1,Hosp2,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Vax1,Vax3,Gather1,Gather2,Gather3,Gather4,Curfew,Mask1,Mask2,School,ARP,PPP,CARES,Cons1,Cons2,Cons3,Cons4,Cons5,Employment1,Employment2,UI,PartR,PCE,PCEC,Prod,GDP,TBill1mo,TBill6mo,TBill1yr,TBill5yr,TBill10yr,TBill30yr,FFR
2019-03-01,0.5659919974129051,0.439364563376233,0.47796691071791847,0.1752440072074248,0.23871896011859162,0.5650131242388855,0.1643677852455042,0.8061153578874218,0.8270664699549424,0.5416034092699008,0.4963855421686745,0.4913841022790423,0.6330749354005167,0.5444685466377439,0.5264270613107822,0.5669856459330145,0.6457286432160803,0.7376237623762376,0.8670575850259049,0.9125630047181168,0.9048278793699274,0.9936305732484076,0.2608695652173913,0.0,0.0,0.5,0.6617687818105412,0.6572284669536489,0.5239203664263001,0.5239203664263001,0.645945521563656,0.5760258855635121,0.0,0.0,0.0,0.0,0.5,0.6102461835552806,0.6375661375661377,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,0.6176079751034161,0.4311880453878934,0.4543450284448748,0.15987335303181988,0.21234916020516265,0.5432003338648694,0.1394074922758305,0.809077941552979,0.8276645799274294,0.4997468165955419,0.6224899598393667,0.5136186770428033,0.627906976744186,0.5336225596529284,0.5116279069767441,0.5574162679425838,0.6356783919597989,0.7277227722772277,0.8692515682085855,0.9193107855547797,0.9048278793699274,0.9936305732484076,0.2546583850931676,0.0,0.0,0.5,0.6617687818105412,0.6572284669536489,0.5239203664263001,0.5239203664263001,0.645945521563656,0.5760258855635121,0.0,0.0,0.0,0.0,0.5,0.5536100520329739,0.6402116402116403,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,0.658656014361576,0.4236850675910197,0.6060946738606015,0.2619735433633919,0.3827478036793336,0.682516631296154,0.30218316078759383,0.8165026882703632,0.8206467562502493,0.3768776487352557,0.4803212851405537,0.36853807670927974,0.6201550387596898,0.5249457700650758,0.4947145877378435,0.5239234449760766,0.6030150753768844,0.698019801980198,0.8735156565217225,0.9260799064101662,0.9048278793699274,0.9936305732484076,0.2546583850931676,0.0,0.0,0.5,0.6617687818105412,0.6572284669536489,0.5239203664263001,0.5239203664263001,0.645945521563656,0.5760258855635121,0.0,0.0,0.0,0.0,0.5,0.40498285989435534,0.6322751322751324,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,0.6580316800207171,0.4349521488302113,0.6040809888157952,0.2607471685018875,0.38052476571914573,0.6806368799271052,0.30011606932767565,0.8245126366994623,0.8246341560668289,0.3556118578432116,0.5638554216867498,0.3702056698165695,0.5736434108527132,0.47071583514099774,0.4228329809725158,0.437799043062201,0.5201005025125627,0.6361386138613861,0.8777630388121347,0.9328703674743792,0.9048278793699274,0.9936305732484076,0.24844720496894407,0.0,0.0,0.5,0.6617687818105412,0.6572284669536489,0.5239203664263001,0.5239203664263001,0.645945521563656,0.5760258855635121,0.0,0.0,0.0,0.0,0.5,0.40497562210225224,0.6296296296296297,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,0.6228633389732219,0.44010805694740274,0.5569561859472123,0.2294538029057296,0.32773121657760956,0.6372733032689262,0.24986598013885147,0.8249149628762664,0.8212448662227362,0.44050632220187935,0.5076305220883499,0.4146748193440758,0.5555555555555555,0.4511930585683297,0.4143763213530655,0.437799043062201,0.5175879396984925,0.6361386138613861,0.8790704704427525,0.9356970712401493,0.9048278793699274,0.9952229299363057,0.24844720496894407,0.0,0.0,0.5,0.6617687818105412,0.6572284669536489,0.5239203664263001,0.5239203664263001,0.645945521563656,0.5760258855635121,0.0,0.0,0.0,0.0,0.5,0.4789903770229635,0.634920634920635,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,0.6421372626030905,0.4404719674254251,0.627506986417862,0.27663987690123215,0.4068685921165097,0.7021117878456221,0.32533908382419663,0.8211111517501188,0.8272259659476057,0.3966244930179258,0.4722891566265047,0.34741523068371977,0.5348837209302325,0.4186550976138828,0.3742071881606765,0.3564593301435407,0.4095477386934673,0.5247524752475248,0.8813394450902247,0.9385216547865187,0.9048278793699274,0.9952229299363057,0.2546583850931676,0.0,0.0,0.5,0.6617687818105412,0.6572284669536489,0.5239203664263001,0.5239203664263001,0.645945521563656,0.5760258855635121,0.0,0.0,0.0,0.0,0.5,0.4418862562771654,0.5634920634920636,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,0.6360903820785773,0.4290064938142864,0.6055887354124736,0.2621438903199585,0.3823312188946606,0.6819286879077314,0.30200981799763243,0.8307304048864342,0.8262291159934607,0.41991563578260227,0.43694779116465954,0.36798221234018313,0.5142118863049095,0.4099783080260303,0.38054968287526425,0.375598086124402,0.42713567839195976,0.5346534653465347,0.883308263927083,0.9413441184936936,0.9048278793699274,0.9968152866242038,0.2546583850931676,0.0,0.0,0.5,0.6617687818105412,0.6572284669536489,0.5239203664263001,0.5239203664263001,0.645945521563656,0.5760258855635121,0.0,0.0,0.0,0.0,0.5,0.4602666248266547,0.5396825396825398,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,0.6189784930171629,0.4321524846064339,0.5223089587317655,0.2070665255102828,0.28910023378821187,0.6052414732616607,0.21336956100666357,0.8180022676566329,0.8231189441365286,0.46919830074865937,0.5076305220883499,0.44635908838243943,0.44702842377260976,0.3622559652928416,0.34038054968287523,0.3660287081339713,0.4296482412060301,0.5420792079207921,0.8864927665223521,0.9424921569414431,0.9048278793699274,0.9968152866242038,0.2546583850931676,0.0,0.0,0.5,0.6617687818105412,0.6572284669536489,0.5239203664263001,0.5239203664263001,0.645945521563656,0.5760258855635121,0.0,0.0,0.0,0.0,0.5,0.5153587985364816,0.48412698412698424,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,0.6463543617743552,0.4525008906632498,0.6219960168322554,0.2733321659648422,0.40079908713563994,0.696955619510385,0.3197170856043739,0.8178559672287041,0.8265481079787871,0.43105485958319556,0.4040160642570313,0.3518621456364609,0.4082687338501292,0.34490238611713664,0.33192389006342493,0.3923444976076555,0.45477386934673364,0.5643564356435643,0.8910472014018991,0.9436353990890509,0.9048278793699274,0.998407643312102,0.2546583850931676,0.0,0.0,0.5,0.6617687818105412,0.6572284669536489,0.5239203664263001,0.5239203664263001,0.645945521563656,0.5760258855635121,0.0,0.0,0.0,0.0,0.5,0.4783136359715723,0.4100529100529101,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,0.6102079386107664,0.4528682414714216,0.49141721615419226,0.1871988845449389,0.2546841442138475,0.5766591517838615,0.18089634227132895,0.8187337697962767,0.8220423461860521,0.42970465063766694,0.5807228915662688,0.4747081712062314,0.40051679586563305,0.3427331887201735,0.3276955602536998,0.40191387559808617,0.4673366834170854,0.5693069306930693,0.8938237018179997,0.9447738447464142,0.9048278793699274,1.0,0.2546583850931676,0.0,0.0,0.5,0.6617687818105412,0.6572284669536489,0.5239203664263001,0.5239203664263001,0.645945521563656,0.5760258855635121,0.0,0.0,0.0,0.0,0.5,0.47813718804845706,0.4100529100529101,0.0,0.0,0.0,0.0,0.0,0.0
