State,Year,Period,Demand_7
AK,2012,M01,133246
AK,2012,M02,133518
AK,2012,M03,133744
AK,2012,M04,133827
AK,2012,M05,133935
AK,2012,M06,134007
AK,2012,M07,134153
AK,2012,M08,134330
AK,2012,M09,134512
AK,2012,M10,134671
AK,2012,M11,134834
AK,2012,M12,135075
AK,2013,M01,135265
AK,2013,M02,135544
AK,2013,M03,135689
AK,2013,M04,135876
AK,2013,M05,136091
AK,2013,M06,136269
AK,2013,M07,136391
AK,2013,M08,136635
AK,2013,M09,136819
AK,2013,M10,137039
AK,2013,M11,137314
AK,2013,M12,137368
AK,2014,M01,137552
AK,2014,M02,137707
AK,2014,M03,137986
AK,2014,M04,138298
AK,2014,M05,138501
AK,2014,M06,138833
AK,2014,M07,139076
AK,2014,M08,139258
AK,2014,M09,139563
AK,2014,M10,139805
AK,2014,M11,140089
AK,2014,M12,140366
AK,2015,M01,140562
AK,2015,M02,140829
AK,2015,M03,140924
AK,2015,M04,141202
AK,2015,M05,141540
AK,2015,M06,141695
AK,2015,M07,141989
AK,2015,M08,142130
AK,2015,M09,142265
AK,2015,M10,142585
AK,2015,M11,142810
AK,2015,M12,143083
AK,2016,M01,143198
AK,2016,M02,143410
AK,2016,M03,143666
AK,2016,M04,143856
AK,2016,M05,143901
AK,2016,M06,144152
AK,2016,M07,144515
AK,2016,M08,144664
AK,2016,M09,144961
AK,2016,M10,145069
AK,2016,M11,145189
AK,2016,M12,145408
AK,2017,M01,145639
AK,2017,M02,145845
AK,2017,M03,145975
AK,2017,M04,146172
AK,2017,M05,146389
AK,2017,M06,146588
AK,2017,M07,146772
AK,2017,M08,146907
AK,2017,M09,146999
AK,2017,M10,147147
AK,2017,M11,147377
AK,2017,M12,147521
AK,2018,M01,147670
AK,2018,M02,148058
AK,2018,M03,148281
AK,2018,M04,148426
AK,2018,M05,148755
AK,2018,M06,148966
AK,2018,M07,149022
AK,2018,M08,149272
AK,2018,M09,149361
AK,2018,M10,149526
AK,2018,M11,149622
AK,2018,M12,149805
AK,2019,M01,150114
