Time,Cases1,Cases2,Cases3,Cases4,Cases5,Hosp1,Hosp2,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Vax1,Vax3,Gather1,Gather2,Gather3,Gather4,Curfew,Mask1,Mask2,School,ARP,PPP,CARES,Cons1,Cons2,Cons3,Cons4,Cons5,Employment1,Employment2,UI,PartR,UR,CPI,CPIU,PCE,PCEC,FixAss,Prod,GDP,TBill1mo,TBill6mo,TBill1yr,TBill5yr,TBill10yr,TBill30yr,FFR
2019-03-01,0.6017901134976362,0.17304714274834354,0.3524704712728102,0.16467222936214249,0.07295454526872128,0.4526015759442178,0.0586519551563523,0.8061153578874218,0.8270664699549424,0.5416034092699008,0.4963855421686745,0.4913841022790423,0.6330749354005167,0.5444685466377439,0.5264270613107822,0.5669856459330145,0.6457286432160803,0.7376237623762376,0.9026479125626204,0.9463071045746858,0.9328169801453482,0.9823788546255509,0.14685314685314685,0.0,0.0,0.5,0.5290042473115006,0.5201481585006363,0.4483402378845171,0.40716883584617214,0.5742722970239992,0.4928797197419293,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.6102461835552806,0.6375661375661377,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,0.5187399911372745,0.16393338579878652,0.32669462178134295,0.14366485641726515,0.0443885130437304,0.4285581540724149,0.027806005125396438,0.809077941552979,0.8276645799274294,0.4997468165955419,0.6224899598393667,0.5136186770428033,0.627906976744186,0.5336225596529284,0.5116279069767441,0.5574162679425838,0.6356783919597989,0.7277227722772277,0.8991523566675635,0.9472158603747077,0.9328169801453482,0.9809104258443466,0.14685314685314685,0.0,0.0,0.5,0.5290042473115006,0.5201481585006363,0.4483402378845171,0.40716883584617214,0.5742722970239992,0.4928797197419293,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5536100520329739,0.6402116402116403,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,0.5517802101295763,0.15789139651189357,0.4974000561290248,0.2857488742833994,0.23563029799596713,0.5868037983427213,0.2349893430244302,0.8165026882703632,0.8206467562502493,0.3768776487352557,0.4803212851405537,0.36853807670927974,0.6201550387596898,0.5249457700650758,0.4947145877378435,0.5239234449760766,0.6030150753768844,0.698019801980198,0.8977817795379925,0.9480851772304331,0.9328169801453482,0.9809104258443466,0.14685314685314685,0.0,0.0,0.5,0.5290042473115006,0.5201481585006363,0.4483402378845171,0.40716883584617214,0.5742722970239992,0.4928797197419293,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.40498285989435534,0.6322751322751324,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,0.551412085412061,0.16766520271127922,0.4953306941946058,0.28413629629052317,0.23338836979473282,0.5848488631921477,0.23258543210155846,0.8245126366994623,0.8246341560668289,0.3556118578432116,0.5638554216867498,0.3702056698165695,0.5736434108527132,0.47071583514099774,0.4228329809725158,0.437799043062201,0.5201005025125627,0.6361386138613861,0.8963642486699265,0.9489150549689727,0.9328169801453482,0.9809104258443466,0.15384615384615383,0.0,0.0,0.5,0.5290042473115006,0.5201481585006363,0.4483402378845171,0.40716883584617214,0.5742722970239992,0.4928797197419293,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.40497562210225224,0.6296296296296297,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,0.6282848270331567,0.17925414434769363,0.4429491564282208,0.24089050641613438,0.1749508189657698,0.5361729044024507,0.16935671170128305,0.8249149628762664,0.8212448662227362,0.44050632220187935,0.5076305220883499,0.4146748193440758,0.5555555555555555,0.4511930585683297,0.4143763213530655,0.437799043062201,0.5175879396984925,0.6361386138613861,0.8993265991184491,0.95351563616634,0.9328169801453482,0.9794419970631426,0.1608391608391608,0.0,0.0,0.5,0.5290042473115006,0.5201481585006363,0.4483402378845171,0.40716883584617214,0.5742722970239992,0.4928797197419293,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.4789903770229635,0.634920634920635,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,0.6434314841991328,0.16876951587926176,0.52188301302241,0.3063488866852782,0.2632130313673219,0.6094257264808951,0.2649216554903251,0.8211111517501188,0.8272259659476057,0.3966244930179258,0.4722891566265047,0.34741523068371977,0.5348837209302325,0.4186550976138828,0.3742071881606765,0.3564593301435407,0.4095477386934673,0.5247524752475248,0.9032803705404255,0.9581256450066822,0.9328169801453482,0.9809104258443466,0.1678321678321678,0.0,0.0,0.5,0.5290042473115006,0.5201481585006363,0.4483402378845171,0.40716883584617214,0.5742722970239992,0.4928797197419293,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.4418862562771654,0.5634920634920636,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,0.638649271365001,0.15918610850194206,0.4976095836587011,0.2863598818593981,0.236168702033251,0.5868524630440678,0.2356716198571675,0.8307304048864342,0.8262291159934607,0.41991563578260227,0.43694779116465954,0.36798221234018313,0.5142118863049095,0.4099783080260303,0.38054968287526425,0.375598086124402,0.42713567839195976,0.5346534653465347,0.9069354693262264,0.9627450816628882,0.9328169801453482,0.9809104258443466,0.1748251748251748,0.0,0.0,0.5,0.5290042473115006,0.5201481585006363,0.4483402378845171,0.40716883584617214,0.5742722970239992,0.4928797197419293,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.4602666248266547,0.5396825396825398,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,0.5692431734757829,0.1735548729405194,0.40538275939357715,0.21041262807409494,0.13341448563772745,0.5010851102353305,0.12453708842060798,0.8180022676566329,0.8231189441365286,0.46919830074865937,0.5076305220883499,0.44635908838243943,0.44702842377260976,0.3622559652928416,0.34038054968287523,0.3660287081339713,0.4296482412060301,0.5420792079207921,0.9082350976460423,0.9618329068078971,0.9328169801453482,0.9823788546255509,0.1818181818181818,0.0,0.0,0.5,0.5290042473115006,0.5201481585006363,0.4483402378845171,0.40716883584617214,0.5742722970239992,0.4928797197419293,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5153587985364816,0.48412698412698424,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,0.5908786195234438,0.1877586250666396,0.5162937329341012,0.30203882473573046,0.25718927308065587,0.6041303529397172,0.25847332965324105,0.8178559672287041,0.8265481079787871,0.43105485958319556,0.4040160642570313,0.3518621456364609,0.4082687338501292,0.34490238611713664,0.33192389006342493,0.3923444976076555,0.45477386934673364,0.5643564356435643,0.9109302063533935,0.9609204131453937,0.9328169801453482,0.9823788546255509,0.1818181818181818,0.0,0.0,0.5,0.5290042473115006,0.5201481585006363,0.4483402378845171,0.40716883584617214,0.5742722970239992,0.4928797197419293,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.4783136359715723,0.4100529100529101,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,0.5626311750143881,0.17674087989642304,0.37203009505142276,0.1834358909231017,0.0965945707313654,0.46990552011932507,0.08482565362567746,0.8187337697962767,0.8220423461860521,0.42970465063766694,0.5807228915662688,0.4747081712062314,0.40051679586563305,0.3427331887201735,0.3276955602536998,0.40191387559808617,0.4673366834170854,0.5693069306930693,0.9118006024004444,0.9600076008482671,0.9328169801453482,0.9809104258443466,0.1818181818181818,0.0,0.0,0.5,0.5290042473115006,0.5201481585006363,0.4483402378845171,0.40716883584617214,0.5742722970239992,0.4928797197419293,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.47813718804845706,0.4100529100529101,0.0,0.0,0.0,0.0,0.0,0.0
