Time	GDP	RPFI	FixAss	UI	PartR	UR	Cons3	Cons5	CPIU	PCE	School	Hosp1	Deaths1
2012-01-01	0.9999999999999999	0.0	0.0	0.0	1.0	0.7826086956521738	1.0	1.0	0.0	0.0	0.0	0.0	0.0
2012-02-01	0.02613546736241738	0.6973575031491447	0.2511994718703006	0.10254189709883019	0.9696969696969688	0.7717391304347827	0.0059753413548185854	0.005390275080087616	0.48042480973508717	0.9679389035394174	0.0	0.0	0.0
2012-03-01	0.026403139707153498	0.6952314250346984	0.2665292004274043	0.10274713752884407	0.9393939393939377	0.7608695652173914	0.006246402423416272	0.005696608515154546	0.4783596646895119	0.966573298315848	0.0	0.0	0.0
2012-04-01	0.022941167496689525	0.567437186633109	0.17048523123472653	0.11115221033494437	0.9393939393939377	0.7608695652173914	0.006751198853687211	0.006257289709472068	0.4580164258916395	0.9640820130383683	0.0	0.0	0.0
2012-05-01	0.025132751233663198	0.56642294070291	0.2871731874905956	0.11331169946923356	0.9090909090909065	0.7500000000000002	0.008857802106333135	0.008561592076046693	0.2823120937051792	0.9538741718760513	0.0	0.0	0.0
2012-06-01	0.02457309397994536	0.5654203388680187	0.2567686415984538	0.14525371968478223	0.9090909090909065	0.7391304347826086	0.00830540284696608	0.007971230364655722	0.34089822278672366	0.956476820529933	0.0	0.0	0.0
2012-07-01	0.024539796732131348	0.46434257375935223	0.2805614228847041	0.17049854237703665	0.9090909090909065	0.7173913043478262	0.007542848834128877	0.007152004862112749	0.39344637279221933	0.9600922983102562	0.0	0.0	0.0
2012-08-01	0.021843037565521882	0.46432920915153103	0.13617435878822653	0.08858321438760626	0.8787878787878753	0.6956521739130437	0.004926959990795839	0.004315164134317819	0.6527359268372354	0.9726370191705382	0.0	0.0	0.0
2012-09-01	0.02212854413798032	0.464315831754443	0.15123467518757427	0.092564926188553	0.8787878787878753	0.6847826086956521	0.0051935330745581645	0.004616059493189017	0.6040928049754837	0.9712958398905062	0.0	0.0	0.0
2012-10-01	0.020269850260726387	0.541265370666271	0.06520796253714212	0.14269526003957916	0.9090909090909065	0.673913043478261	0.005241566559618653	0.004678966012356625	0.506728251696605	0.9710078867636006	0.0	0.0	0.0
2012-11-01	0.023547202062190454	0.5403935093400228	0.23982087039960326	0.13964972798692527	0.8787878787878753	0.6630434782608696	0.008397589197533775	0.008125116290748217	0.3006557725101743	0.9557458204525275	0.0	0.0	0.0
2012-12-01	0.02308187017683356	0.539529493859985	0.21433367439292914	0.13311630074701913	0.8787878787878753	0.6521739130434785	0.007936365228843648	0.007633474698576748	0.37413804795301997	0.9579119267895568	0.0	0.0	0.0
2013-01-01	0.02934985860226646	0.6791974547536094	0.5130071904078316	0.18698711942106455	0.8787878787878753	0.6521739130434785	0.0077842814399320765	0.006743569203188389	0.4730736920152049	0.9666573187698657	0.0	0.0	0.0
2013-02-01	0.027727847442759558	0.6781948113741394	0.4281493524478006	0.10804758993661981	0.8484848484848477	0.6413043478260871	0.006253884863762942	0.005099954698830327	0.6349860070635606	0.9739022526346681	0.0	0.0	0.0
2013-03-01	0.032137908709078226	0.6772014888107512	0.665754621776547	0.09054671956028666	0.8181818181818166	0.6195652173913044	0.010552747872183878	0.009801733822723757	0.24716895130705616	0.953062076468007	0.0	0.0	0.0
2013-04-01	0.023591719021009983	0.4840241455947589	0.3432540557205209	0.1340821584518693	0.7878787878787854	0.597826086956522	0.010062404867743829	0.009289746630842479	0.28136451627527614	0.9552985360150279	0.0	0.0	0.0
2013-05-01	0.022298579543160352	0.4837934913210622	0.27316564411565825	0.13305425383313088	0.7878787878787854	0.5760869565217392	0.008786883434445975	0.00792274836043534	0.39935182972145283	0.9613194141187007	0.0	0.0	0.0
2013-06-01	0.020945704407137385	0.4835633477339202	0.1998884588438085	0.1319241300971945	0.7878787878787854	0.5543478260869565	0.007453906111358622	0.006492935624124329	0.4918638127890506	0.9676185898792923	0.0	0.0	0.0
2013-07-01	0.02862318052205944	0.650202952822819	0.47317628489575303	0.1758930623099942	0.7575757575757578	0.5434782608695654	0.00822218594973009	0.007350264534558032	0.4719810427311055	0.9637948380358665	0.0	0.0	0.0
2013-08-01	0.02831301936760828	0.6493840387593443	0.45786125677171874	0.09960601944665681	0.7272727272727266	0.5217391304347827	0.00794122763477744	0.007065143170355344	0.4921920362000497	0.965027867173961	0.0	0.0	0.0
2013-09-01	0.029298330186769063	0.6485728876671603	0.5117868579960124	0.10629433594021466	0.6969696969696955	0.5	0.008912006773722784	0.008142392952458687	0.3976005690238599	0.9602308122521267	0.0	0.0	0.0
2013-10-01	0.025746943710040816	0.5624958639850735	0.30986762482335517	0.12831652599702886	0.6363636363636367	0.47826086956521746	0.007757569044515272	0.006905903815713498	0.4050553748719518	0.9656751792246812	0.0	0.0	0.0
2013-11-01	0.025847200314093672	0.5620797843230838	0.31539971622701757	0.1491916699745611	0.6060606060606055	0.4456521739130435	0.007846812938238655	0.007023024953577317	0.46667314549690636	0.9651282623410788	0.0	0.0	0.0
2013-12-01	0.02544416066968298	0.5616673012346107	0.2940189429327873	0.13089355192879132	0.5757575757575744	0.4239130434782609	0.007449725505750751	0.006610488214829349	0.504271433281398	0.9669260016326096	0.0	0.0	0.0
2014-01-01	0.022674992888805267	0.5595537059500324	0.32019075671997005	0.17030537037575688	0.5757575757575744	0.4021739130434783	0.007001571746474191	0.0079652495975281	0.493934346505972	0.9665405811298221	0.0	0.0	0.0
