Time,Cases1,Cases2,Cases3,Cases4,Cases5,Hosp1,Hosp2,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Vax1,Vax3,Gather1,Gather2,Gather3,Gather4,Curfew,Mask1,Mask2,School,ARP,PPP,CARES,Cons1,Cons2,Cons3,Cons4,Cons5,Employment1,Employment2,UI,PartR,CPI,PCE,PCEC,RPFI,FixAss,Prod,GDP,TBill1mo,TBill6mo,TBill1yr,TBill5yr,TBill10yr,TBill30yr,FFR
2019-03-01,0.550060860576846,0.19189081888133872,0.38975417414261637,0.24383405880044695,0.05753424838424158,0.5325982176106571,0.14247030745781647,0.8061153578874218,0.8270664699549424,0.5416034092699008,0.4963855421686745,0.4913841022790423,0.6330749354005167,0.5444685466377439,0.5264270613107822,0.5669856459330145,0.6457286432160803,0.7376237623762376,0.8905007270674631,0.9376329285579256,0.9573551697551378,0.9905511811023622,0.25,0.0,0.0,0.49999999999999994,0.5447739294632139,0.5307818671826587,0.530802606306213,0.530802606306213,0.598096381319249,0.5654343418199976,0.0079961546901387,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.6102461835552806,0.6375661375661377,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,0.5659594611289476,0.18237625443772043,0.3620917907972104,0.22666583329127785,0.02846884530284627,0.5076890779109096,0.11276555578489494,0.809077941552979,0.8276645799274294,0.4997468165955419,0.6224899598393667,0.5136186770428033,0.627906976744186,0.5336225596529284,0.5116279069767441,0.5574162679425838,0.6356783919597989,0.7277227722772277,0.8908336665364499,0.9425342693095069,0.9573551697551378,0.9921259842519685,0.24390243902439027,0.0,0.0,0.49999999999999994,0.5447739294632139,0.5307818671826587,0.530802606306213,0.530802606306213,0.598096381319249,0.5654343418199976,0.0079961546901387,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5536100520329739,0.6402116402116403,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,0.6049429658323164,0.19290974474071318,0.5438756179609916,0.3413582639594027,0.22249627849175396,0.6701054086956395,0.31110986335912594,0.8165026882703632,0.8206467562502493,0.3768776487352557,0.4803212851405537,0.36853807670927974,0.6201550387596898,0.5249457700650758,0.4947145877378435,0.5239234449760766,0.6030150753768844,0.698019801980198,0.8932826810873181,0.9474369914433483,0.9573551697551378,0.9937007874015749,0.2378048780487805,0.0,0.0,0.49999999999999994,0.5447739294632139,0.5307818671826587,0.530802606306213,0.530802606306213,0.598096381319249,0.5654343418199976,0.0079961546901387,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.40498285989435534,0.6322751322751324,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,0.6044010141878118,0.1962809206132832,0.5416194166527671,0.3400047591437978,0.22020122310873697,0.66804190991481,0.3087655455327435,0.8245126366994623,0.8246341560668289,0.3556118578432116,0.5638554216867498,0.3702056698165695,0.5736434108527132,0.47071583514099774,0.4228329809725158,0.437799043062201,0.5201005025125627,0.6361386138613861,0.8957047157806661,0.9523410941124952,0.9573551697551378,0.9937007874015749,0.24390243902439027,0.0,0.0,0.49999999999999994,0.5447739294632139,0.5307818671826587,0.530802606306213,0.530802606306213,0.598096381319249,0.5654343418199976,0.0079961546901387,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.40497562210225224,0.6296296296296297,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,0.5950646698100084,0.2007490481993239,0.4856694704743213,0.304929484243373,0.16084663397452564,0.6178996298991737,0.24809617661346506,0.8249149628762664,0.8212448662227362,0.44050632220187935,0.5076305220883499,0.4146748193440758,0.5555555555555555,0.4511930585683297,0.4143763213530655,0.437799043062201,0.5175879396984925,0.6361386138613861,0.8974784683483352,0.9556949081444446,0.9573551697551378,0.9952755905511811,0.25,0.0,0.0,0.49999999999999994,0.5447739294632139,0.5307818671826587,0.530802606306213,0.530802606306213,0.598096381319249,0.5654343418199976,0.0079961546901387,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.4789903770229635,0.634920634920635,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,0.6132408373761586,0.19189196632036953,0.5698412502640063,0.35788218930805954,0.25043940356263156,0.693208251603104,0.33967832709099427,0.8211111517501188,0.8272259659476057,0.3966244930179258,0.4722891566265047,0.34741523068371977,0.5348837209302325,0.4186550976138828,0.3742071881606765,0.3564593301435407,0.4095477386934673,0.5247524752475248,0.9002359850297984,0.9590497012554207,0.9573551697551378,0.9952755905511811,0.2560975609756098,0.0,0.0,0.49999999999999994,0.5447739294632139,0.5307818671826587,0.530802606306213,0.530802606306213,0.598096381319249,0.5654343418199976,0.0079961546901387,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.4418862562771654,0.5634920634920636,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,0.607557181771988,0.1932792201086395,0.5438898567104316,0.3416455171730543,0.22296114094142874,0.6699285900459531,0.3115922234608047,0.8307304048864342,0.8262291159934607,0.41991563578260227,0.43694779116465954,0.36798221234018313,0.5142118863049095,0.4099783080260303,0.38054968287526425,0.375598086124402,0.42713567839195976,0.5346534653465347,0.902689329681671,0.9624054734454234,0.9573551697551378,0.9968503937007873,0.2621951219512195,0.0,0.0,0.49999999999999994,0.5447739294632139,0.5307818671826587,0.530802606306213,0.530802606306213,0.598096381319249,0.5654343418199976,0.0079961546901387,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.4602666248266547,0.5396825396825398,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,0.5494639806633314,0.20144210137394347,0.44528717610258134,0.2799546345560715,0.11855803554563782,0.5814767979933527,0.20487965339720648,0.8180022676566329,0.8231189441365286,0.46919830074865937,0.5076305220883499,0.44635908838243943,0.44702842377260976,0.3622559652928416,0.34038054968287523,0.3660287081339713,0.4296482412060301,0.5420792079207921,0.9031273250761043,0.9605836419831265,0.9573551697551378,0.9968503937007873,0.2621951219512195,0.0,0.0,0.49999999999999994,0.5447739294632139,0.5307818671826587,0.530802606306213,0.530802606306213,0.598096381319249,0.5654343418199976,0.0079961546901387,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5153587985364816,0.48412698412698424,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,0.5752687282857132,0.20504161761364806,0.5637255739943544,0.3542416673364882,0.2442641374026107,0.6875956411137047,0.33337127480237966,0.8178559672287041,0.8265481079787871,0.43105485958319556,0.4040160642570313,0.3518621456364609,0.4082687338501292,0.34490238611713664,0.33192389006342493,0.3923444976076555,0.45477386934673364,0.5643564356435643,0.9049494481711854,0.9587634934187761,0.9573551697551378,0.9984251968503937,0.2621951219512195,0.0,0.0,0.49999999999999994,0.5447739294632139,0.5307818671826587,0.530802606306213,0.530802606306213,0.598096381319249,0.5654343418199976,0.0079961546901387,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.4783136359715723,0.4100529100529101,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,0.5416056989204151,0.21104846094002794,0.4093949914908085,0.25780883514594743,0.08105569127253662,0.5490683388650351,0.1665557728069854,0.8187337697962767,0.8220423461860521,0.42970465063766694,0.5807228915662688,0.4747081712062314,0.40051679586563305,0.3427331887201735,0.3276955602536998,0.40191387559808617,0.4673366834170854,0.5693069306930693,0.904955740040207,0.9569450260584635,0.9573551697551378,1.0,0.26829268292682934,0.0,0.0,0.49999999999999994,0.5447739294632139,0.5307818671826587,0.530802606306213,0.530802606306213,0.598096381319249,0.5654343418199976,0.0079961546901387,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.47813718804845706,0.4100529100529101,0.0,0.0,0.0,0.0,0.0,0.0
