Time	GDP	RPFI	FixAss	UI	PartR	UR	Cons3	Cons5	CPIU	PCE	Mask2	Hosp1	Deaths1
2012-01-01	1.0	0.0	0.0	0.0	1.0	0.5983606557377048	1.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0
2012-02-01	0.022395312085941695	0.8137921450802694	0.3669702901624756	0.25248615446859146	0.9714285714285715	0.581967213114754	0.005758651820034037	0.005879591091942508	0.48042480973508717	0.9679389035394174	0.0	0.0	0.0
2012-03-01	0.022560076407102152	0.8116108290468221	0.3891574322572443	0.26543779950743424	0.9714285714285715	0.581967213114754	0.0060141134696139065	0.006072700748066841	0.4783596646895119	0.966573298315848	0.0	0.0	0.0
2012-04-01	0.02027752312245443	0.6892739320753906	0.24567676168293168	0.24599293224485144	0.9428571428571431	0.5737704918032787	0.006496370322050084	0.006430126949034012	0.4580164258916395	0.9640820130383683	0.0	0.0	0.0
2012-05-01	0.021714499605251805	0.6883711991694523	0.4171039678746884	0.22751527591980547	0.9428571428571431	0.5655737704918034	0.008532311998552908	0.007913781433258323	0.2823120937051792	0.9538741718760513	0.0	0.0	0.0
2012-06-01	0.021343878132353885	0.6874803069014264	0.3727672776549191	0.22913815744013127	0.9428571428571431	0.5573770491803278	0.007989380714671515	0.00752782527204619	0.34089822278672366	0.956476820529933	0.0	0.0	0.0
2012-07-01	0.021621505082829385	0.6012318117663429	0.4421476299183541	0.2962463824873218	0.9428571428571431	0.540983606557377	0.007242711710084379	0.006994081401636168	0.39344637279221933	0.9600922983102562	0.0	0.0	0.0
2012-08-01	0.019843261009098133	0.6011890819390239	0.2302466178226124	0.24380122674647456	0.9142857142857146	0.5245901639344264	0.004698585376372181	0.005157206484605174	0.6527359268372354	0.9726370191705382	0.0	0.0	0.0
2012-09-01	0.020024471830208702	0.6011464662848267	0.25223249116491053	0.22970529342161375	0.9142857142857146	0.5163934426229508	0.00495024309293913	0.0053470082412003656	0.6040928049754837	0.9712958398905062	0.0	0.0	0.0
2012-10-01	0.021739444403709694	0.7737443385307128	0.47385665321285875	0.24214653933191382	0.9428571428571431	0.49999999999999994	0.004990025715258728	0.005383127450660672	0.506728251696605	0.9710078867636006	0.0	0.0	0.0
2012-11-01	0.0238678349998969	0.7726400062717932	0.7290344056618974	0.18988657401262254	0.9142857142857146	0.49180327868852464	0.00804432707132624	0.007604494601515397	0.3006557725101743	0.9557458204525275	0.0	0.0	0.0
2012-12-01	0.023537538995776736	0.7715474101981137	0.6907059472125561	0.3780646635552608	0.9142857142857146	0.4836065573770492	0.007590348991477923	0.0072824995856555115	0.37413804795301997	0.9579119267895568	0.0	0.0	0.0
2013-01-01	0.019216012983344313	0.6169353048260247	0.12385032600250803	0.28432059925231085	0.9142857142857146	0.4754098360655737	0.003808875079691729	0.005908666513126788	0.4730736920152049	0.9666573187698657	0.0	0.0	0.0
2013-02-01	0.01819299229537413	0.6160955771769172	0.0	0.22989357759410461	0.8857142857142861	0.45901639344262296	0.0023464190351588235	0.004846181381960438	0.6349860070635606	0.9739022526346681	0.0	0.0	0.0
2013-03-01	0.021132412659736838	0.6152619973135056	0.34913502255788464	0.3046421425692675	0.8857142857142861	0.45081967213114754	0.006537480607159578	0.007882152377038248	0.24716895130705616	0.953062076468007	0.0	0.0	0.0
2013-04-01	0.02229777267545584	0.6642182774591937	0.6889974533735461	0.22777203216912437	0.8571428571428541	0.4426229508196721	0.006083237988199864	0.00755059268024777	0.28136451627527614	0.9552985360150279	0.0	0.0	0.0
2013-05-01	0.021440148583434925	0.6639680224372583	0.586078071433917	0.24304865904037504	0.8571428571428541	0.4344262295081966	0.004867195413410382	0.006666794179036718	0.39935182972145283	0.9613194141187007	0.0	0.0	0.0
2013-06-01	0.020543337403692456	0.6637190138189087	0.4784845523905885	0.22615771511839355	0.8571428571428541	0.4262295081967213	0.0035951734875862254	0.005742431438947496	0.4918638127890506	0.9676185898792923	0.0	0.0	0.0
2013-07-01	0.022202206725802445	0.7064088108361068	0.47531653509644134	0.3283857985396792	0.8285714285714292	0.41803278688524587	0.004360903919144262	0.006295325675156979	0.4719810427311055	0.9637948380358665	0.0	0.0	0.0
2013-08-01	0.022009919859088973	0.7057154543447696	0.4533021115178507	0.21464633115513937	0.8285714285714292	0.40983606557377045	0.004108736151653569	0.00611032573300558	0.4921920362000497	0.965027867173961	0.0	0.0	0.0
2013-09-01	0.022668563839433477	0.7050296173892223	0.5328452700505862	0.1373367079825676	0.7714285714285722	0.40163934426229514	0.005070381658463902	0.006805279336272466	0.3976005690238599	0.9602308122521267	0.0	0.0	0.0
2013-10-01	0.024334850907936304	0.7591829884160083	0.7117687543489164	0.31699678553417626	0.7428571428571402	0.3852459016393442	0.003970550611803044	0.006005810961558249	0.4050553748719518	0.9656751792246812	0.0	0.0	0.0
2013-11-01	0.02435761177899603	0.7582409782813232	0.7179959991850386	0.32984753460867094	0.7142857142857117	0.3770491803278689	0.004076727454558312	0.006080637390609419	0.46667314549690636	0.9651282623410788	0.0	0.0	0.0
2013-12-01	0.024050629003534718	0.7573080240907945	0.6847679686486574	0.3005577215208721	0.7142857142857117	0.36885245901639346	0.003710983979945493	0.005813367977696742	0.504271433281398	0.9669260016326096	0.0	0.0	0.0
2014-01-01	0.017168992619992912	0.5816021734796715	0.1157814926527376	0.2527889247779927	0.7142857142857117	0.3524590163934425	0.004998637662344215	0.006595365435086541	0.493934346505972	0.9665405811298221	0.0	0.0	0.0
