"state","month","confirmed_cases","confirmed_and_probable_cases","hospitalizations","deaths"
"PR","2021-12",8405,13197,125,89
"PR","2022-01",11176,18034,579,587
"PR","2022-02",820,1388,68,58
"PR","2022-03",370,728,23,12
"PR","2022-04",2286,5158,57,41
"PR","2022-05",4435,12505,167,150
"PR","2022-06",3440,10326,177,135
"PR","2022-07",2931,7962,150,136
"PR","2022-08",2107,6080,94,76
"RI","2020-10",2956,2962,0,0
"RI","2020-11",13976,14770,0,0
"RI","2020-12",19541,20616,0,219
"RI","2021-01",12274,12799,0,236
"RI","2021-02",3355,4711,0,87
"RI","2021-03",10216,11776,0,12
"RI","2021-04",24722,26159,0,0
"RI","2021-05",12372,12815,0,0
"RI","2021-06",20322,20326,0,0
"RI","2021-07",2361,18225,0,0
"RI","2021-08",85,98,0,16
"RI","2021-09",178,206,1,0
"RI","2021-10",735,998,0,0
"RI","2021-11",2331,3848,0,13
"RI","2021-12",6223,11808,0,11
"RI","2022-01",16489,27898,0,0
"RI","2022-02",452,7927,0,0
"RI","2022-03",552,12795,0,0
"RI","2022-04",370,17456,0,0
"RI","2022-05",800,30334,0,0
"RI","2022-06",12962,20496,0,0
"RI","2022-07",167,353,0,0
"RI","2022-08",5914,7138,0,0
"SC","2020-01",88,118,8,0
"SC","2020-02",41,53,11,0
"SC","2020-03",2625,2671,584,12
"SC","2020-04",3984,4020,703,36
"SC","2020-05",6148,6192,667,0
"SC","2020-06",28256,28510,1709,77
"SC","2020-07",55447,56424,3414,513
"SC","2020-08",28986,30939,1771,190
"SC","2020-09",24474,27074,1213,80
"SC","2020-10",27179,31369,1477,143
"SC","2020-11",40633,46677,1686,225
"SC","2020-12",86802,98223,3314,732
"SC","2021-01",109041,134180,3577,878
"SC","2021-02",42430,63864,1548,106
"SC","2021-03",20216,33093,1003,0
"SC","2021-04",15869,25809,866,0
"SC","2021-05",7985,12674,488,0
"SC","2021-06",3399,5289,232,0
"SC","2021-07",19653,28452,1011,24
"SC","2021-08",81302,105219,3009,479
"SC","2021-09",103756,133488,3037,586
"SC","2021-10",26808,36922,1142,79
"SC","2021-11",17204,25006,741,26
"SC","2021-12",51575,74983,1259,108
"SC","2022-01",314174,397727,2793,752
"SC","2022-02",50382,72333,1089,80
"SC","2022-03",8060,12794,186,0
"SC","2022-04",5534,8612,48,0
"SC","2022-05",18899,28914,93,0
"SC","2022-06",33676,48419,127,0
"SC","2022-07",40933,59284,174,0
"SC","2022-08",34018,48405,170,0
"SD","2020-01",25,31,0,0
"SD","2020-03",336,336,0,0
"SD","2020-04",2238,2239,0,0
"SD","2020-05",1698,1698,0,0
"SD","2020-06",1390,1390,0,0
"SD","2020-07",1644,1648,0,0
"SD","2020-08",4294,4325,0,0
"SD","2020-09",6037,6329,0,0
"SD","2020-10",9069,9437,0,0
"SD","2020-11",12080,13256,0,0
"SD","2020-12",5284,6700,0,0
"SD","2021-01",2694,3825,0,0
"SD","2021-02",1880,2547,0,0
"SD","2021-03",2448,3253,0,0
"SD","2021-04",7899,10032,0,0
"SD","2021-05",1875,2423,0,0
"SD","2021-06",953,1151,0,0
"SD","2021-07",753,864,0,0
"SD","2021-08",50894,57349,0,0
"SD","2021-09",9006,10837,0,0
"SD","2021-10",5636,7280,0,0
"SD","2021-11",6519,8372,1,0
"SD","2021-12",8845,11823,0,0
"SD","2022-01",10853,13990,0,0
"SD","2022-02",21429,28535,0,0
"SD","2022-03",6475,9482,0,0
"SD","2022-04",558,682,0,0
"SD","2022-05",1495,1840,0,0
"SD","2022-06",1800,2315,0,0
"SD","2022-07",4139,5486,0,0
"SD","2022-08",3350,4666,0,0
"TN","2020-01",121,151,13,0
"TN","2020-02",48,51,6,0
"TN","2020-03",4289,4302,723,29
"TN","2020-04",9178,9245,821,67
"TN","2020-05",12660,12762,833,81
"TN","2020-06",27745,28041,1679,96
"TN","2020-07",57771,59303,3477,238
"TN","2020-08",43185,45727,1966,160
"TN","2020-09",38064,42058,2034,178
"TN","2020-10",62050,70000,3100,492
"TN","2020-11",118417,136945,3720,1108
"TN","2020-12",160344,204355,3817,1789
"TN","2021-01",85550,119352,2277,845
"TN","2021-02",28123,41305,1224,80
"TN","2021-03",24564,35438,1441,16
"TN","2021-04",22071,30945,1624,39
"TN","2021-05",10462,14979,922,11
"TN","2021-06",3916,5585,369,0
"TN","2021-07",25614,35412,1692,102
"TN","2021-08",134801,188021,4041,946
"TN","2021-09",100269,144264,3782,910
"TN","2021-10",30465,45134,1389,52
"TN","2021-11",25312,37591,1060,70
"TN","2021-12",105444,140372,1970,326
"TN","2022-01",327341,457653,2963,1259
"TN","2022-02",53773,78660,1071,264
"TN","2022-03",5247,7546,153,0
"TN","2022-04",6841,9701,67,0
"TN","2022-05",24837,35404,221,0
"TN","2022-06",39354,61386,547,0
"TN","2022-07",49022,82249,723,38
"TN","2022-08",37844,65472,334,0
"TX","2020-01",1200,1247,48,0
"TX","2020-02",152,196,47,0
"TX","2020-03",9262,9698,2287,82
"TX","2020-04",15992,16627,2942,166
"TX","2020-05",17353,18054,2754,162
"TX","2020-06",69450,77479,8619,793
"TX","2020-07",84801,94645,11561,1543
"TX","2020-08",42460,48812,4810,254
"TX","2020-09",28967,36549,2545,78
"TX","2020-10",52634,69441,4815,133
"TX","2020-11",95112,123641,7293,351
"TX","2020-12",121190,152512,9584,654
"TX","2021-01",112880,142065,9560,648
"TX","2021-02",40397,52096,3762,45
"TX","2021-03",23796,31624,2210,0
"TX","2021-04",20636,28255,2135,0
"TX","2021-05",10943,15542,1420,12
"TX","2021-06",8568,12065,1153,14
"TX","2021-07",31497,41428,3507,148
"TX","2021-08",37119,51836,4958,294
"TX","2021-09",20454,27862,2351,118
"TX","2021-10",11956,16247,981,47
"TX","2021-11",52618,69687,1446,145
"TX","2021-12",1547992,1620734,21435,7591
"TX","2022-01",1475428,1593710,27092,6863
"TX","2022-02",12589,26380,741,114
"TX","2022-03",45822,74161,932,188
"TX","2022-04",36260,54839,724,62
"TX","2022-05",68486,90097,676,0
"TX","2022-06",801360,1168954,7090,1856
"TX","2022-07",473408,695504,4106,719
"TX","2022-08",131176,185897,1086,0
"UT","2020-01",37,42,2,0
"UT","2020-02",25,28,1,0
"UT","2020-03",1739,1773,137,0
"UT","2020-04",3761,3793,166,19
"UT","2020-05",5985,6095,242,12
"UT","2020-06",14222,14328,368,0
"UT","2020-07",16997,17135,449,33
"UT","2020-08",11646,11780,255,0
"UT","2020-09",24850,24997,398,19
"UT","2020-10",45396,45534,750,85
"UT","2020-11",87140,87274,971,277
"UT","2020-12",80024,80114,813,188
"UT","2021-01",60501,60570,619,100
"UT","2021-02",22539,22561,267,0
"UT","2021-03",14233,14255,237,0
"UT","2021-04",11267,11286,200,0
"UT","2021-05",8378,8401,207,0
"UT","2021-06",9873,9894,286,0
"UT","2021-07",19485,19524,502,0
"UT","2021-08",34141,34207,641,77
"UT","2021-09",43288,43337,696,75
"UT","2021-10",43823,43887,698,76
"UT","2021-11",45312,45365,581,85
"UT","2021-12",52091,52153,466,77
"UT","2022-01",241178,241238,922,178
"UT","2022-02",29656,29681,258,12
"UT","2022-03",4262,4279,65,0
"UT","2022-04",5650,5661,53,0
"UT","2022-05",20944,20968,185,0
"UT","2022-06",30801,30833,303,0
"UT","2022-07",28765,28810,315,0
"UT","2022-08",11506,11528,111,0
"VA","2020-02",46,46,8,0
"VA","2020-03",4199,4211,1115,58
"VA","2020-04",16932,17906,2687,597
"VA","2020-05",26012,26863,2261,251
"VA","2020-06",16953,17502,1138,28
"VA","2020-07",29057,30269,2066,64
"VA","2020-08",28057,29937,1761,72
"VA","2020-09",24488,26825,1227,92
"VA","2020-10",28437,34371,1671,122
"VA","2020-11",49911,64334,2759,336
"VA","2020-12",89367,118866,4111,893
"VA","2021-01",106142,145299,4162,962
"VA","2021-02",45008,62925,1982,79
"VA","2021-03",28892,43776,1512,17
"VA","2021-04",23858,37217,1524,26
"VA","2021-05",9254,14610,722,0
"VA","2021-06",3903,6030,338,0
"VA","2021-07",12909,20222,854,11
"VA","2021-08",48991,75524,2419,137
"VA","2021-09",59528,90014,2584,284
"VA","2021-10",36628,56161,1662,71
"VA","2021-11",29146,46240,1382,89
"VA","2021-12",117700,180085,4049,310
"VA","2022-01",286408,404418,4821,983
"VA","2022-02",56431,83925,1078,75
"VA","2022-03",19140,26023,358,0
"VA","2022-04",24566,35542,265,0
"VA","2022-05",25419,37973,334,0
"VA","2022-06",9835,13280,377,0
"VA","2022-07",46679,68704,1017,22
"VA","2022-08",38170,57715,710,0
"VI","2020-03",43,43,6,0
"VI","2020-04",16,16,6,0
"VI","2020-06",32,32,2,0
"VI","2020-07",291,291,21,0
"VI","2020-08",578,578,44,0
"VI","2020-09",149,149,7,0
"VI","2020-10",55,55,5,0
"VI","2020-11",173,174,2,0
"VI","2020-12",366,366,12,0
"VI","2021-01",297,297,8,0
"VI","2021-02",198,198,8,0
"VI","2021-03",185,185,12,0
"VI","2021-04",205,205,6,0
"VI","2021-05",401,401,14,0
"VI","2021-06",327,327,9,0
"VI","2021-07",863,863,54,0
"VI","2021-08",1251,1251,51,0
"VI","2021-09",739,739,18,0
"VI","2021-10",390,390,16,0
"VI","2021-11",269,269,12,0
"VI","2021-12",2402,2402,13,0
"VI","2022-01",4711,4712,71,0
"VI","2022-02",530,530,6,0
"VI","2022-03",243,243,3,0
"VI","2022-04",713,714,10,0
"VI","2022-05",3462,3463,30,0
"VI","2022-06",1017,1018,17,0
"VI","2022-07",839,840,25,0
"VI","2022-08",592,592,15,0
"VT","2020-03",530,552,83,0
"VT","2020-04",311,316,27,13
"VT","2020-05",83,93,4,0
"VT","2020-06",220,221,9,0
"VT","2020-07",185,185,5,0
"VT","2020-08",189,192,4,0
"VT","2020-09",117,119,2,0
"VT","2020-10",535,550,15,0
"VT","2020-11",2328,2423,90,0
"VT","2020-12",2905,3002,111,19
"VT","2021-01",3877,3981,160,0
"VT","2021-02",2787,2842,88,0
"VT","2021-03",4279,4364,110,0
"VT","2021-04",2885,2993,82,0
"VT","2021-05",904,955,33,0
"VT","2021-06",143,153,9,0
"VT","2021-07",635,666,23,0
"VT","2021-08",3428,3514,125,0
"VT","2021-09",4869,4986,145,0
"VT","2021-10",6067,6224,160,0
"VT","2021-11",9654,9948,212,0
"VT","2021-12",8953,9562,169,0
"VT","2022-01",29369,32044,223,0
"VT","2022-02",6735,7067,69,0
"VT","2022-03",3535,3764,25,0
"VT","2022-04",12167,13112,106,0
"VT","2022-05",7136,7887,101,0
"VT","2022-06",2893,3187,44,0
"VT","2022-07",1697,1893,16,0
"VT","2022-08",1280,1476,6,0
"WA","2020-01",22,27,4,0
"WA","2020-02",312,316,123,27
"WA","2020-03",8276,8291,1702,363
"WA","2020-04",7976,7980,1205,215
"WA","2020-05",7443,7450,729,50
"WA","2020-06",14119,14136,893,36
"WA","2020-07",23847,24072,1353,100
"WA","2020-08",15833,16426,1006,23
"WA","2020-09",13336,14035,832,12
"WA","2020-10",23105,24113,1282,63
"WA","2020-11",67118,70956,3041,337
"WA","2020-12",72497,78181,3628,591
"WA","2021-01",52675,57248,2574,263
"WA","2021-02",20305,23860,1252,60
"WA","2021-03",21974,26459,1229,0
"WA","2021-04",34838,41423,2110,11
"WA","2021-05",23285,27565,1876,0
"WA","2021-06",10995,13149,1054,0
"WA","2021-07",24481,29249,1836,11
"WA","2021-08",78440,96370,5357,442
"WA","2021-09",76639,92676,4566,363
"WA","2021-10",53934,65103,3484,200
"WA","2021-11",38840,45909,2473,91
"WA","2021-12",103989,115698,2946,207
"WA","2022-01",387116,474825,8828,898
"WA","2022-02",58630,75718,3181,134
"WA","2022-03",15280,17648,964,11
"WA","2022-04",34803,39983,1066,41
"WA","2022-05",71049,83601,2287,90
"WA","2022-06",69190,80700,2845,87
"WA","2022-07",63159,72776,3272,89
"WA","2022-08",27747,32796,1796,11
"WI","2020-01",19,30,4,0
"WI","2020-02",29,54,12,0
"WI","2020-03",2635,2885,869,60
"WI","2020-04",6134,6494,1089,141
"WI","2020-05",10483,10696,1199,85
"WI","2020-06",9853,9982,801,13
"WI","2020-07",22030,22194,1504,45
"WI","2020-08",20851,21024,1283,12
"WI","2020-09",43502,44166,2142,33
"WI","2020-10",96055,97461,5709,1039
"WI","2020-11",143639,146781,7439,1500
"WI","2020-12",83713,87756,4552,716
"WI","2021-01",53130,56951,2791,197
"WI","2021-02",21677,23146,1203,0
"WI","2021-03",17123,22932,973,0
"WI","2021-04",20442,24697,1092,0
"WI","2021-05",10893,13263,830,0
"WI","2021-06",4175,5222,330,0
"WI","2021-07",10638,12743,671,0
"WI","2021-08",35488,41994,2117,72
"WI","2021-09",57810,67722,2564,100
"WI","2021-10",58652,68135,2474,103
"WI","2021-11",70570,82251,3019,238
"WI","2021-12",87544,103323,3241,375
"WI","2022-01",170149,202313,3607,514
"WI","2022-02",65559,75389,1538,11
"WI","2022-03",24967,29262,544,0
"WI","2022-04",35231,39974,519,0
"WI","2022-05",55251,62594,1049,0
"WI","2022-06",43439,48652,912,0
"WI","2022-07",48319,54446,1210,0
"WI","2022-08",33447,37942,824,0
"WV","2020-03",449,469,0,0
"WV","2020-04",757,776,0,0
"WV","2020-05",795,823,0,0
"WV","2020-06",1159,1193,0,0
"WV","2020-07",3694,3728,1,0
"WV","2020-08",2236,2251,1,0
"WV","2020-09",614,627,0,0
"WV","2020-11",12,13,0,0
"WV","2020-12",7,11,0,0
"WV","2021-01",24,28,0,0
"WV","2021-02",15,19,1,0
"WV","2021-07",10,12,0,0
"WV","2021-08",320,341,0,0
"WV","2021-09",65,81,0,0
"WV","2021-10",9,14,0,0
"WV","2021-12",21,33,2,0
"WV","2022-01",103,121,2,0
"WV","2022-02",12,17,0,0
"WV","2022-03",30,30,0,0
"WV","2022-05",37,42,0,0
"WV","2022-06",29,33,1,0
"WV","2022-07",14,25,0,0
"WV","2022-08",5,20,0,0
"WY","2020-03",213,254,38,0
"WY","2020-04",235,312,27,0
"WY","2020-05",256,299,27,0
"WY","2020-06",612,704,33,0
"WY","2020-07",1123,1262,62,0
"WY","2020-08",946,1093,49,0
"WY","2020-09",2231,2580,83,0
"WY","2020-10",7523,8705,252,66
"WY","2020-11",17889,20570,454,107
"WY","2020-12",8078,9664,313,57
"WY","2021-01",8687,10814,168,0
"WY","2021-02",1875,2373,61,0
"WY","2021-03",1618,1964,41,0
"WY","2021-04",1484,1867,58,0
"WY","2021-05",1664,2130,120,0
"WY","2021-06",1488,1986,89,0
"WY","2021-07",2470,3324,156,0
"WY","2021-08",8898,11887,248,25
"WY","2021-09",10916,14771,298,34
"WY","2021-10",8987,12615,333,57
"WY","2021-11",5186,7388,257,0
"WY","2021-12",4128,5274,139,0
"WY","2022-01",21555,27785,139,0
"WY","2022-02",5335,6808,86,0
"WY","2022-03",785,918,21,0
"WY","2022-04",536,680,12,0
"WY","2022-05",1652,2192,31,0
"WY","2022-06",3772,5198,36,0
"WY","2022-07",4334,6066,37,0
"WY","2022-08",2203,3104,15,0
