Time,State,GDP,Cons3,Cons4,Cons5,Cons2,Cases5,Cases2,Deaths5,Deaths2,Cases3,Deaths3,Cases4,Cases1,Hosp2,Hosp1,Deaths4,Deaths1
1/1/2012,CT,238073.021,15285.2394,31050.91469,105935.1728,46336.1541,0,0,0,0,0,,,,,,,
2/1/2012,CT,238702.9317,15278.43354,31023.35627,105961.8096,46301.78981,0,0,0,0,0,,,,,,,
3/1/2012,CT,239406.8281,15276.55788,31005.86554,106022.3342,46282.42342,0,0,0,0,0,,,,,,,
4/1/2012,CT,239745.559,15283.71351,31006.74904,106145.3014,46290.46255,0,0,0,0,0,,,,,,,
5/1/2012,CT,240668.2439,15328.09879,31083.16458,106526.8143,46411.26337,0,0,0,0,0,,,,,,,
6/1/2012,CT,241442.7706,15363.02455,31140.37551,106842.7044,46503.40006,0,0,0,0,0,,,,,,,
7/1/2012,CT,241584.0853,15384.70858,31170.74393,107066.5146,46555.45251,0,0,0,0,0,,,,,,,
8/1/2012,CT,241003.081,15360.34641,31107.8691,106969.6061,46468.21551,0,0,0,0,0,,,,,,,
9/1/2012,CT,240500.2042,15340.88305,31055.00154,106906.3499,46395.8846,0,0,0,0,0,,,,,,,
10/1/2012,CT,240226.6655,15322.45034,31004.30088,106849.8432,46326.75123,0,0,0,0,0,,,,,,,
11/1/2012,CT,240827.6596,15359.80048,31066.50498,107182.1689,46426.30547,0,0,0,0,0,,,,,,,
12/1/2012,CT,241304.6633,15389.2418,31112.70168,107459.366,46501.94348,0,0,0,0,0,,,,,,,
1/1/2013,CT,240106.2968,15408.78288,31098.28979,107458.2701,46507.07267,0,0,0,0,0,,,,,,,
2/1/2013,CT,238499.2157,15401.55799,31030.15804,107271.2774,46431.71603,0,0,0,0,0,,,,,,,
3/1/2013,CT,238081.0311,15470.88287,31116.37944,107617.7702,46587.26231,0,0,0,0,0,,,,,,,
4/1/2013,CT,238076.5903,15532.07719,31186.13621,107907.4206,46718.2134,0,0,0,0,0,,,,,,,
5/1/2013,CT,237730.3897,15570.98307,31211.13421,108042.207,46782.11728,0,0,0,0,0,,,,,,,
6/1/2013,CT,237028.1938,15586.39902,31189.19666,108014.3834,46775.59568,0,0,0,0,0,,,,,,,
7/1/2013,CT,237509.9815,15615.91057,31195.64431,108084.6998,46811.55488,0,0,0,0,0,,,,,,,
8/1/2013,CT,237920.2377,15640.72505,31192.85456,108122.8779,46833.57961,0,0,0,0,0,,,,,,,
9/1/2013,CT,238601.4771,15683.35795,31225.70162,108284.4904,46909.05958,0,0,0,0,0,,,,,,,
10/1/2013,CT,238530.5702,15705.55042,31217.96006,108305.2503,46923.51048,0,0,0,0,0,,,,,,,
11/1/2013,CT,238490.3302,15729.67482,31214.22706,108339.7624,46943.90187,0,0,0,0,0,,,,,,,
12/1/2013,CT,238347.4394,15746.9339,31197.05341,108327.4558,46943.9873,0,0,0,0,0,,,,,,,
1/1/2014,CT,236843.4724,15749.80282,31237.84359,108472.2765,46987.64641,0,0,0,0,0,,,,,,,
2/1/2014,CT,235653.3578,15773.28721,31319.43494,108758.77,47092.72216,0,0,0,0,0,,,,,,,
3/1/2014,CT,234133.0954,15774.40683,31356.52848,108890.7336,47130.93531,0,0,0,0,0,,,,,,,
