"Province_State","Month","Cases"
"Georgia","2020-11",110773
"Georgia","2020-12",194889
"Georgia","2021-01",242993
"Georgia","2021-02",97076
"Georgia","2021-03",53027
"Georgia","2021-04",40639
"Georgia","2021-05",23654
"Georgia","2021-06",10732
"Georgia","2021-07",44876
"Georgia","2021-08",224133
"Georgia","2021-09",175134
"Georgia","2021-10",55377
"Georgia","2021-11",30363
"Georgia","2021-12",175423
"Georgia","2022-01",528173
"Georgia","2022-02",97004
"Georgia","2022-03",34375
"Georgia","2022-04",15708
"Georgia","2022-05",40905
"Georgia","2022-06",91524
"Georgia","2022-07",103347
"Georgia","2022-08",119714
"Georgia","2022-09",34771
"Georgia","2022-10",0
"Grand Princess","2020-01",0
"Grand Princess","2020-02",0
"Grand Princess","2020-03",103
"Grand Princess","2020-04",0
"Grand Princess","2020-05",0
"Grand Princess","2020-06",0
"Grand Princess","2020-07",0
"Grand Princess","2020-08",0
"Grand Princess","2020-09",0
"Grand Princess","2020-10",0
"Grand Princess","2020-11",0
"Grand Princess","2020-12",0
"Grand Princess","2021-01",0
"Grand Princess","2021-02",0
"Grand Princess","2021-03",0
"Grand Princess","2021-04",0
"Grand Princess","2021-05",0
"Grand Princess","2021-06",0
"Grand Princess","2021-07",0
"Grand Princess","2021-08",0
"Grand Princess","2021-09",0
"Grand Princess","2021-10",0
"Grand Princess","2021-11",0
"Grand Princess","2021-12",0
"Grand Princess","2022-01",0
"Grand Princess","2022-02",0
"Grand Princess","2022-03",0
"Grand Princess","2022-04",0
"Grand Princess","2022-05",0
"Grand Princess","2022-06",0
"Grand Princess","2022-07",0
"Grand Princess","2022-08",0
"Grand Princess","2022-09",0
"Grand Princess","2022-10",0
"Guam","2020-01",0
"Guam","2020-02",0
"Guam","2020-03",69
"Guam","2020-04",76
"Guam","2020-05",27
"Guam","2020-06",85
"Guam","2020-07",99
"Guam","2020-08",1039
"Guam","2020-09",1093
"Guam","2020-10",2193
"Guam","2020-11",2171
"Guam","2020-12",456
"Guam","2021-01",271
"Guam","2021-02",157
"Guam","2021-03",71
"Guam","2021-04",157
"Guam","2021-05",192
"Guam","2021-06",201
"Guam","2021-07",184
"Guam","2021-08",2018
"Guam","2021-09",4482
"Guam","2021-10",3167
"Guam","2021-11",991
"Guam","2021-12",408
"Guam","2022-01",12724
"Guam","2022-02",12013
"Guam","2022-03",2921
"Guam","2022-04",877
"Guam","2022-05",914
"Guam","2022-06",2842
"Guam","2022-07",3310
"Guam","2022-08",2739
"Guam","2022-09",630
"Guam","2022-10",0
"Hawaii","2020-01",0
"Hawaii","2020-02",0
"Hawaii","2020-03",204
"Hawaii","2020-04",414
"Hawaii","2020-05",34
"Hawaii","2020-06",265
"Hawaii","2020-07",1194
"Hawaii","2020-08",6361
"Hawaii","2020-09",4125
"Hawaii","2020-10",2687
"Hawaii","2020-11",2939
"Hawaii","2020-12",3784
"Hawaii","2021-01",4589
"Hawaii","2021-02",1784
"Hawaii","2021-03",2374
"Hawaii","2021-04",3097
"Hawaii","2021-05",2425
"Hawaii","2021-06",1482
"Hawaii","2021-07",4652
"Hawaii","2021-08",21092
"Hawaii","2021-09",15704
"Hawaii","2021-10",5089
"Hawaii","2021-11",3369
"Hawaii","2021-12",25268
"Hawaii","2022-01",106356
"Hawaii","2022-02",16863
"Hawaii","2022-03",4627
"Hawaii","2022-04",7627
"Hawaii","2022-05",26090
"Hawaii","2022-06",34200
"Hawaii","2022-07",17249
"Hawaii","2022-08",13570
"Hawaii","2022-09",16445
"Hawaii","2022-10",0
"Idaho","2020-01",0
"Idaho","2020-02",0
"Idaho","2020-03",515
"Idaho","2020-04",1469
"Idaho","2020-05",855
"Idaho","2020-06",3278
"Idaho","2020-07",14599
"Idaho","2020-08",11365
"Idaho","2020-09",9967
"Idaho","2020-10",22560
"Idaho","2020-11",37090
"Idaho","2020-12",39379
"Idaho","2021-01",21606
"Idaho","2021-02",8457
"Idaho","2021-03",9396
"Idaho","2021-04",7120
"Idaho","2021-05",4356
"Idaho","2021-06",2986
"Idaho","2021-07",5486
"Idaho","2021-08",20905
"Idaho","2021-09",35933
"Idaho","2021-10",33994
"Idaho","2021-11",15529
"Idaho","2021-12",12537
"Idaho","2022-01",60920
"Idaho","2022-02",45862
"Idaho","2022-03",17766
"Idaho","2022-04",2110
"Idaho","2022-05",4917
"Idaho","2022-06",12021
"Idaho","2022-07",15684
"Idaho","2022-08",10738
"Idaho","2022-09",6473
"Idaho","2022-10",0
"Illinois","2020-01",2
"Illinois","2020-02",0
"Illinois","2020-03",5992
"Illinois","2020-04",46924
"Illinois","2020-05",67342
"Illinois","2020-06",22925
"Illinois","2020-07",36930
"Illinois","2020-08",56609
"Illinois","2020-09",58996
"Illinois","2020-10",120827
"Illinois","2020-11",309757
"Illinois","2020-12",237085
"Illinois","2021-01",162912
"Illinois","2021-02",60395
"Illinois","2021-03",57889
"Illinois","2021-04",90470
"Illinois","2021-05",47131
"Illinois","2021-06",9554
"Illinois","2021-07",27871
"Illinois","2021-08",103339
"Illinois","2021-09",104566
"Illinois","2021-10",68021
"Illinois","2021-11",114340
"Illinois","2021-12",339697
"Illinois","2022-01",771407
"Illinois","2022-02",110242
"Illinois","2022-03",37021
"Illinois","2022-04",70448
"Illinois","2022-05",163731
"Illinois","2022-06",128420
"Illinois","2022-07",132810
"Illinois","2022-08",123896
"Illinois","2022-09",74671
"Illinois","2022-10",0
"Indiana","2020-01",0
"Indiana","2020-02",0
"Indiana","2020-03",2158
"Indiana","2020-04",15677
"Indiana","2020-05",16739
"Indiana","2020-06",11020
"Indiana","2020-07",20560
"Indiana","2020-08",28042
"Indiana","2020-09",25823
"Indiana","2020-10",59339
"Indiana","2020-11",159619
"Indiana","2020-12",172508
"Indiana","2021-01",115197
"Indiana","2021-02",34991
"Indiana","2021-03",24824
"Indiana","2021-04",33928
"Indiana","2021-05",23271
"Indiana","2021-06",10231
"Indiana","2021-07",17372
"Indiana","2021-08",87267
"Indiana","2021-09",105881
"Indiana","2021-10",60335
"Indiana","2021-11",76403
"Indiana","2021-12",145669
"Indiana","2022-01",376585
"Indiana","2022-02",58246
"Indiana","2022-03",9138
"Indiana","2022-04",11469
"Indiana","2022-05",28469
"Indiana","2022-06",41422
"Indiana","2022-07",56551
"Indiana","2022-08",67065
"Indiana","2022-09",26194
"Indiana","2022-10",0
"Iowa","2020-01",0
"Iowa","2020-02",0
"Iowa","2020-03",497
"Iowa","2020-04",6648
"Iowa","2020-05",12407
"Iowa","2020-06",9522
"Iowa","2020-07",15679
"Iowa","2020-08",20386
"Iowa","2020-09",24108
"Iowa","2020-10",39263
"Iowa","2020-11",102121
"Iowa","2020-12",51081
"Iowa","2021-01",37696
"Iowa","2021-02",17057
"Iowa","2021-03",14937
"Iowa","2021-04",13442
"Iowa","2021-05",6580
"Iowa","2021-06",2437
"Iowa","2021-07",4970
"Iowa","2021-08",25916
"Iowa","2021-09",47310
"Iowa","2021-10",34075
"Iowa","2021-11",39326
"Iowa","2021-12",50043
"Iowa","2022-01",136787
"Iowa","2022-02",36561
"Iowa","2022-03",9614
"Iowa","2022-04",5319
"Iowa","2022-05",12383
"Iowa","2022-06",20446
"Iowa","2022-07",20548
"Iowa","2022-08",25488
"Iowa","2022-09",13449
"Iowa","2022-10",0
"Kansas","2020-01",0
"Kansas","2020-02",0
"Kansas","2020-03",434
"Kansas","2020-04",3979
"Kansas","2020-05",5287
"Kansas","2020-06",4670
"Kansas","2020-07",12992
"Kansas","2020-08",15217
"Kansas","2020-09",18543
"Kansas","2020-10",25723
"Kansas","2020-11",72852
"Kansas","2020-12",65515
"Kansas","2021-01",51744
"Kansas","2021-02",19041
"Kansas","2021-03",7943
"Kansas","2021-04",6660
"Kansas","2021-05",4731
"Kansas","2021-06",3794
"Kansas","2021-07",14725
"Kansas","2021-08",36066
"Kansas","2021-09",39913
"Kansas","2021-10",25683
"Kansas","2021-11",30613
"Kansas","2021-12",54263
"Kansas","2022-01",210465
"Kansas","2022-02",35811
"Kansas","2022-03",4112
"Kansas","2022-04",5705
"Kansas","2022-05",10182
"Kansas","2022-06",20965
"Kansas","2022-07",27872
"Kansas","2022-08",29353
"Kansas","2022-09",14148
"Kansas","2022-10",0
"Kentucky","2020-01",0
"Kentucky","2020-02",0
"Kentucky","2020-03",628
"Kentucky","2020-04",4080
"Kentucky","2020-05",4996
"Kentucky","2020-06",5920
"Kentucky","2020-07",14527
"Kentucky","2020-08",18245
"Kentucky","2020-09",20444
"Kentucky","2020-10",38379
"Kentucky","2020-11",71822
"Kentucky","2020-12",86220
"Kentucky","2021-01",97620
"Kentucky","2021-02",41741
"Kentucky","2021-03",22254
"Kentucky","2021-04",17251
"Kentucky","2021-05",14448
"Kentucky","2021-06",6592
"Kentucky","2021-07",18993
"Kentucky","2021-08",92891
"Kentucky","2021-09",114293
"Kentucky","2021-10",53457
"Kentucky","2021-11",41125
"Kentucky","2021-12",70219
"Kentucky","2022-01",304413
"Kentucky","2022-02",116794
"Kentucky","2022-03",35055
"Kentucky","2022-04",15704
"Kentucky","2022-05",26676
"Kentucky","2022-06",48747
"Kentucky","2022-07",61583
"Kentucky","2022-08",74206
"Kentucky","2022-09",42698
"Kentucky","2022-10",0
"Louisiana","2020-01",0
"Louisiana","2020-02",0
"Louisiana","2020-03",5237
"Louisiana","2020-04",22764
"Louisiana","2020-05",11915
"Louisiana","2020-06",18179
"Louisiana","2020-07",58185
"Louisiana","2020-08",32614
"Louisiana","2020-09",18564
"Louisiana","2020-10",19191
"Louisiana","2020-11",45765
"Louisiana","2020-12",82861
"Louisiana","2021-01",85351
"Louisiana","2021-02",29474
"Louisiana","2021-03",14833
"Louisiana","2021-04",13648
"Louisiana","2021-05",12104
"Louisiana","2021-06",10782
"Louisiana","2021-07",60212
"Louisiana","2021-08",138117
"Louisiana","2021-09",60737
"Louisiana","2021-10",17938
"Louisiana","2021-11",12423
"Louisiana","2021-12",57801
"Louisiana","2022-01",341517
"Louisiana","2022-02",55425
"Louisiana","2022-03",6785
"Louisiana","2022-04",5589
"Louisiana","2022-05",21719
"Louisiana","2022-06",48862
"Louisiana","2022-07",69074
"Louisiana","2022-08",53345
"Louisiana","2022-09",24279
"Louisiana","2022-10",0
"Maine","2020-01",0
"Maine","2020-02",0
"Maine","2020-03",303
"Maine","2020-04",792
"Maine","2020-05",1230
"Maine","2020-06",928
"Maine","2020-07",659
"Maine","2020-08",617
"Maine","2020-09",860
"Maine","2020-10",1273
"Maine","2020-11",5095
"Maine","2020-12",12444
"Maine","2021-01",15123
"Maine","2021-02",5311
"Maine","2021-03",5869
"Maine","2021-04",10709
"Maine","2021-05",6574
"Maine","2021-06",1247
"Maine","2021-07",1429
"Maine","2021-08",5393
"Maine","2021-09",14133
"Maine","2021-10",14270
"Maine","2021-11",15403
"Maine","2021-12",27074
"Maine","2022-01",27489
"Maine","2022-02",51925
"Maine","2022-03",9640
"Maine","2022-04",9290
"Maine","2022-05",17822
"Maine","2022-06",7024
"Maine","2022-07",6071
"Maine","2022-08",6811
"Maine","2022-09",6918
"Maine","2022-10",0
"Maryland","2020-01",0
"Maryland","2020-02",0
"Maryland","2020-03",1660
"Maryland","2020-04",20082
"Maryland","2020-05",31036
"Maryland","2020-06",14781
"Maryland","2020-07",20787
"Maryland","2020-08",19903
"Maryland","2020-09",16476
"Maryland","2020-10",20556
"Maryland","2020-11",53089
"Maryland","2020-12",78292
"Maryland","2021-01",77811
"Maryland","2021-02",27626
"Maryland","2021-03",29245
"Maryland","2021-04",36057
"Maryland","2021-05",12493
"Maryland","2021-06",2385
"Maryland","2021-07",6269
"Maryland","2021-08",28454
"Maryland","2021-09",35338
"Maryland","2021-10",28930
"Maryland","2021-11",24873
"Maryland","2021-12",134671
"Maryland","2022-01",256556
"Maryland","2022-02",24909
"Maryland","2022-03",9640
"Maryland","2022-04",19614
"Maryland","2022-05",54095
"Maryland","2022-06",48893
"Maryland","2022-07",44884
"Maryland","2022-08",43706
"Maryland","2022-09",26921
"Maryland","2022-10",0
"Massachusetts","2020-01",1
"Massachusetts","2020-02",1
"Massachusetts","2020-03",9922
"Massachusetts","2020-04",56943
"Massachusetts","2020-05",30393
"Massachusetts","2020-06",7180
"Massachusetts","2020-07",7396
"Massachusetts","2020-08",9182
"Massachusetts","2020-09",11098
"Massachusetts","2020-10",26460
"Massachusetts","2020-11",67556
"Massachusetts","2020-12",149046
"Massachusetts","2021-01",148847
"Massachusetts","2021-02",57123
"Massachusetts","2021-03",54432
"Massachusetts","2021-04",53393
"Massachusetts","2021-05",17972
"Massachusetts","2021-06",3021
"Massachusetts","2021-07",9814
"Massachusetts","2021-08",40089
"Massachusetts","2021-09",52082
"Massachusetts","2021-10",39971
"Massachusetts","2021-11",67175
"Massachusetts","2021-12",221517
"Massachusetts","2022-01",470980
"Massachusetts","2022-02",59698
"Massachusetts","2022-03",27469
"Massachusetts","2022-04",58342
"Massachusetts","2022-05",113733
"Massachusetts","2022-06",53866
"Massachusetts","2022-07",42217
"Massachusetts","2022-08",38331
"Massachusetts","2022-09",45692
"Massachusetts","2022-10",0
"Michigan","2020-01",0
"Michigan","2020-02",0
"Michigan","2020-03",7951
"Michigan","2020-04",35527
"Michigan","2020-05",19233
"Michigan","2020-06",8017
"Michigan","2020-07",19846
"Michigan","2020-08",22451
"Michigan","2020-09",24989
"Michigan","2020-10",59392
"Michigan","2020-11",191536
"Michigan","2020-12",139679
"Michigan","2021-01",81517
"Michigan","2021-02",35412
"Michigan","2021-03",100801
"Michigan","2021-04",190116
"Michigan","2021-05",55474
"Michigan","2021-06",8078
"Michigan","2021-07",11087
"Michigan","2021-08",49237
"Michigan","2021-09",89721
"Michigan","2021-10",125039
"Michigan","2021-11",199950
"Michigan","2021-12",235272
"Michigan","2022-01",548140
"Michigan","2022-02",101934
"Michigan","2022-03",27122
"Michigan","2022-04",38425
"Michigan","2022-05",101885
"Michigan","2022-06",78600
"Michigan","2022-07",65881
"Michigan","2022-08",98047
"Michigan","2022-09",65808
"Michigan","2022-10",0
"Minnesota","2020-01",0
"Minnesota","2020-02",0
"Minnesota","2020-03",629
"Minnesota","2020-04",4507
"Minnesota","2020-05",19714
"Minnesota","2020-06",11453
"Minnesota","2020-07",18160
"Minnesota","2020-08",21401
"Minnesota","2020-09",23270
"Minnesota","2020-10",49338
"Minnesota","2020-11",170291
"Minnesota","2020-12",96539
"Minnesota","2021-01",46505
"Minnesota","2021-02",22787
"Minnesota","2021-03",34935
"Minnesota","2021-04",56283
"Minnesota","2021-05",25572
"Minnesota","2021-06",3981
"Minnesota","2021-07",7336
"Minnesota","2021-08",37263
"Minnesota","2021-09",61130
"Minnesota","2021-10",76456
"Minnesota","2021-11",124820
"Minnesota","2021-12",109842
"Minnesota","2022-01",299541
"Minnesota","2022-02",91823
"Minnesota","2022-03",15974
"Minnesota","2022-04",22997
"Minnesota","2022-05",54621
"Minnesota","2022-06",45672
"Minnesota","2022-07",37724
"Minnesota","2022-08",40255
"Minnesota","2022-09",33978
"Minnesota","2022-10",0
"Mississippi","2020-01",0
"Mississippi","2020-02",0
"Mississippi","2020-03",937
"Mississippi","2020-04",5878
"Mississippi","2020-05",8708
"Mississippi","2020-06",11724
"Mississippi","2020-07",31500
"Mississippi","2020-08",24203
"Mississippi","2020-09",15240
"Mississippi","2020-10",21970
"Mississippi","2020-11",33110
"Mississippi","2020-12",62541
"Mississippi","2021-01",59190
"Mississippi","2021-02",19794
"Mississippi","2021-03",10351
"Mississippi","2021-04",6754
"Mississippi","2021-05",5813
"Mississippi","2021-06",4051
"Mississippi","2021-07",21741
"Mississippi","2021-08",93217
"Mississippi","2021-09",51672
"Mississippi","2021-10",15924
"Mississippi","2021-11",9853
"Mississippi","2021-12",29566
"Mississippi","2022-01",183681
"Mississippi","2022-02",62522
"Mississippi","2022-03",4618
"Mississippi","2022-04",3017
"Mississippi","2022-05",10763
"Mississippi","2022-06",26782
"Mississippi","2022-07",40012
"Mississippi","2022-08",37917
"Mississippi","2022-09",14416
"Mississippi","2022-10",0
