"Province_State","Month","Cases"
"Alabama","2020-01",0
"Alabama","2020-02",0
"Alabama","2020-03",1063
"Alabama","2020-04",6124
"Alabama","2020-05",11013
"Alabama","2020-06",20277
"Alabama","2020-07",49789
"Alabama","2020-08",38234
"Alabama","2020-09",28272
"Alabama","2020-10",38841
"Alabama","2020-11",55911
"Alabama","2020-12",111702
"Alabama","2021-01",98413
"Alabama","2021-02",33613
"Alabama","2021-03",22136
"Alabama","2021-04",12534
"Alabama","2021-05",15483
"Alabama","2021-06",7578
"Alabama","2021-07",34624
"Alabama","2021-08",114122
"Alabama","2021-09",96746
"Alabama","2021-10",35572
"Alabama","2021-11",13714
"Alabama","2021-12",50853
"Alabama","2022-01",321643
"Alabama","2022-02",61308
"Alabama","2022-03",15762
"Alabama","2022-04",5406
"Alabama","2022-05",14230
"Alabama","2022-06",42303
"Alabama","2022-07",67145
"Alabama","2022-08",55194
"Alabama","2022-09",42530
"Alabama","2022-10",0
"Alaska","2020-01",0
"Alaska","2020-02",0
"Alaska","2020-03",129
"Alaska","2020-04",231
"Alaska","2020-05",124
"Alaska","2020-06",658
"Alaska","2020-07",2574
"Alaska","2020-08",2456
"Alaska","2020-09",2674
"Alaska","2020-10",7519
"Alaska","2020-11",16233
"Alaska","2020-12",14416
"Alaska","2021-01",7336
"Alaska","2021-02",3946
"Alaska","2021-03",4605
"Alaska","2021-04",5247
"Alaska","2021-05",2060
"Alaska","2021-06",1067
"Alaska","2021-07",4211
"Alaska","2021-08",13061
"Alaska","2021-09",26118
"Alaska","2021-10",23222
"Alaska","2021-11",13109
"Alaska","2021-12",6173
"Alaska","2022-01",59770
"Alaska","2022-02",22555
"Alaska","2022-03",7717
"Alaska","2022-04",5791
"Alaska","2022-05",7057
"Alaska","2022-06",12356
"Alaska","2022-07",11228
"Alaska","2022-08",10855
"Alaska","2022-09",3680
"Alaska","2022-10",0
"American Samoa","2020-01",0
"American Samoa","2020-02",0
"American Samoa","2020-03",0
"American Samoa","2020-04",0
"American Samoa","2020-05",0
"American Samoa","2020-06",0
"American Samoa","2020-07",0
"American Samoa","2020-08",0
"American Samoa","2020-09",0
"American Samoa","2020-10",0
"American Samoa","2020-11",0
"American Samoa","2020-12",0
"American Samoa","2021-01",0
"American Samoa","2021-02",0
"American Samoa","2021-03",0
"American Samoa","2021-04",0
"American Samoa","2021-05",0
"American Samoa","2021-06",0
"American Samoa","2021-07",0
"American Samoa","2021-08",0
"American Samoa","2021-09",1
"American Samoa","2021-10",3
"American Samoa","2021-11",6
"American Samoa","2021-12",1
"American Samoa","2022-01",7
"American Samoa","2022-02",66
"American Samoa","2022-03",3399
"American Samoa","2022-04",2339
"American Samoa","2022-05",323
"American Samoa","2022-06",269
"American Samoa","2022-07",1057
"American Samoa","2022-08",697
"American Samoa","2022-09",79
"American Samoa","2022-10",0
"Arizona","2020-01",1
"Arizona","2020-02",0
"Arizona","2020-03",1288
"Arizona","2020-04",6366
"Arizona","2020-05",12281
"Arizona","2020-06",59292
"Arizona","2020-07",94782
"Arizona","2020-08",27825
"Arizona","2020-09",16672
"Arizona","2020-10",27439
"Arizona","2020-11",80871
"Arizona","2020-12",193390
"Arizona","2021-01",238197
"Arizona","2021-02",58378
"Arizona","2021-03",25029
"Arizona","2021-04",20686
"Arizona","2021-05",18953
"Arizona","2021-06",13425
"Arizona","2021-07",32360
"Arizona","2021-08",84688
"Arizona","2021-09",81660
"Arizona","2021-10",75317
"Arizona","2021-11",100880
"Arizona","2021-12",111708
"Arizona","2022-01",489156
"Arizona","2022-02",106246
"Arizona","2022-03",30290
"Arizona","2022-04",14344
"Arizona","2022-05",28103
"Arizona","2022-06",75940
"Arizona","2022-07",70862
"Arizona","2022-08",57945
"Arizona","2022-09",17186
"Arizona","2022-10",0
"Arkansas","2020-01",0
"Arkansas","2020-02",0
"Arkansas","2020-03",523
"Arkansas","2020-04",2758
"Arkansas","2020-05",3972
"Arkansas","2020-06",13524
"Arkansas","2020-07",21734
"Arkansas","2020-08",18713
"Arkansas","2020-09",22473
"Arkansas","2020-10",28493
"Arkansas","2020-11",45169
"Arkansas","2020-12",67779
"Arkansas","2021-01",70130
"Arkansas","2021-02",27147
"Arkansas","2021-03",7983
"Arkansas","2021-04",5327
"Arkansas","2021-05",5656
"Arkansas","2021-06",8004
"Arkansas","2021-07",37067
"Arkansas","2021-08",66439
"Arkansas","2021-09",43186
"Arkansas","2021-10",17138
"Arkansas","2021-11",15623
"Arkansas","2021-12",37648
"Arkansas","2022-01",210273
"Arkansas","2022-02",43225
"Arkansas","2022-03",12938
"Arkansas","2022-04",2935
"Arkansas","2022-05",7505
"Arkansas","2022-06",22230
"Arkansas","2022-07",38339
"Arkansas","2022-08",28708
"Arkansas","2022-09",19005
"Arkansas","2022-10",0
"California","2020-01",3
"California","2020-02",10
"California","2020-03",7998
"California","2020-04",42702
"California","2020-05",63153
"California","2020-06",126939
"California","2020-07",266114
"California","2020-08",206707
"California","2020-09",107827
"California","2020-10",118786
"California","2020-11",318871
"California","2020-12",1125581
"California","2021-01",999022
"California","2021-02",242874
"California","2021-03",100622
"California","2021-04",76783
"California","2021-05",49461
"California","2021-06",29490
"California","2021-07",147779
"California","2021-08",436875
"California","2021-09",274109
"California","2021-10",181061
"California","2021-11",158324
"California","2021-12",436779
"California","2022-01",2921811
"California","2022-02",541361
"California","2022-03",123901
"California","2022-04",127637
"California","2022-05",387227
"California","2022-06",516860
"California","2022-07",571691
"California","2022-08",391681
"California","2022-09",166283
"California","2022-10",0
"Colorado","2020-01",0
"Colorado","2020-02",0
"Colorado","2020-03",2966
"Colorado","2020-04",16801
"Colorado","2020-05",9248
"Colorado","2020-06",7266
"Colorado","2020-07",15259
"Colorado","2020-08",9398
"Colorado","2020-09",15782
"Colorado","2020-10",48289
"Colorado","2020-11",145650
"Colorado","2020-12",90362
"Colorado","2021-01",52950
"Colorado","2021-02",30287
"Colorado","2021-03",33916
"Colorado","2021-04",48534
"Colorado","2021-05",26370
"Colorado","2021-06",10215
"Colorado","2021-07",18298
"Colorado","2021-08",45689
"Colorado","2021-09",57367
"Colorado","2021-10",73818
"Colorado","2021-11",93510
"Colorado","2021-12",149368
"Colorado","2022-01",369890
"Colorado","2022-02",38446
"Colorado","2022-03",11321
"Colorado","2022-04",17932
"Colorado","2022-05",50200
"Colorado","2022-06",63766
"Colorado","2022-07",50314
"Colorado","2022-08",27804
"Colorado","2022-09",23782
"Colorado","2022-10",0
"Connecticut","2020-01",0
"Connecticut","2020-02",0
"Connecticut","2020-03",3128
"Connecticut","2020-04",24572
"Connecticut","2020-05",14501
"Connecticut","2020-06",4313
"Connecticut","2020-07",3296
"Connecticut","2020-08",3069
"Connecticut","2020-09",4671
"Connecticut","2020-10",13657
"Connecticut","2020-11",46088
"Connecticut","2020-12",68413
"Connecticut","2021-01",64315
"Connecticut","2021-02",29923
"Connecticut","2021-03",30678
"Connecticut","2021-04",28609
"Connecticut","2021-05",8108
"Connecticut","2021-06",2011
"Connecticut","2021-07",4983
"Connecticut","2021-08",18737
"Connecticut","2021-09",17273
"Connecticut","2021-10",12238
"Connecticut","2021-11",19109
"Connecticut","2021-12",88496
"Connecticut","2022-01",189212
"Connecticut","2022-02",23989
"Connecticut","2022-03",12644
"Connecticut","2022-04",22248
"Connecticut","2022-05",50913
"Connecticut","2022-06",19774
"Connecticut","2022-07",25614
"Connecticut","2022-08",20494
"Connecticut","2022-09",21817
"Connecticut","2022-10",0
"Delaware","2020-01",0
"Delaware","2020-02",0
"Delaware","2020-03",319
"Delaware","2020-04",4415
"Delaware","2020-05",4764
"Delaware","2020-06",1976
"Delaware","2020-07",3314
"Delaware","2020-08",2641
"Delaware","2020-09",3184
"Delaware","2020-10",4338
"Delaware","2020-11",10703
"Delaware","2020-12",21802
"Delaware","2021-01",20615
"Delaware","2021-02",8728
"Delaware","2021-03",8003
"Delaware","2021-04",9603
"Delaware","2021-05",4461
"Delaware","2021-06",878
"Delaware","2021-07",1663
"Delaware","2021-08",8445
"Delaware","2021-09",13111
"Delaware","2021-10",11235
"Delaware","2021-11",8992
"Delaware","2021-12",27176
"Delaware","2022-01",67745
"Delaware","2022-02",8510
"Delaware","2022-03",3026
"Delaware","2022-04",2814
"Delaware","2022-05",14178
"Delaware","2022-06",8407
"Delaware","2022-07",8995
"Delaware","2022-08",8697
"Delaware","2022-09",5975
"Delaware","2022-10",0
"Diamond Princess","2020-01",0
"Diamond Princess","2020-02",0
"Diamond Princess","2020-03",49
"Diamond Princess","2020-04",0
"Diamond Princess","2020-05",0
"Diamond Princess","2020-06",0
"Diamond Princess","2020-07",0
"Diamond Princess","2020-08",0
"Diamond Princess","2020-09",0
"Diamond Princess","2020-10",0
"Diamond Princess","2020-11",0
"Diamond Princess","2020-12",0
"Diamond Princess","2021-01",0
"Diamond Princess","2021-02",0
"Diamond Princess","2021-03",0
"Diamond Princess","2021-04",0
"Diamond Princess","2021-05",0
"Diamond Princess","2021-06",0
"Diamond Princess","2021-07",0
"Diamond Princess","2021-08",0
"Diamond Princess","2021-09",0
"Diamond Princess","2021-10",0
"Diamond Princess","2021-11",0
"Diamond Princess","2021-12",0
"Diamond Princess","2022-01",0
"Diamond Princess","2022-02",0
"Diamond Princess","2022-03",0
"Diamond Princess","2022-04",0
"Diamond Princess","2022-05",0
"Diamond Princess","2022-06",0
"Diamond Princess","2022-07",0
"Diamond Princess","2022-08",0
"Diamond Princess","2022-09",0
"Diamond Princess","2022-10",0
"District of Columbia","2020-01",0
"District of Columbia","2020-02",0
"District of Columbia","2020-03",495
"District of Columbia","2020-04",3828
"District of Columbia","2020-05",4478
"District of Columbia","2020-06",1526
"District of Columbia","2020-07",1799
"District of Columbia","2020-08",1866
"District of Columbia","2020-09",1334
"District of Columbia","2020-10",1940
"District of Columbia","2020-11",4286
"District of Columbia","2020-12",7431
"District of Columbia","2021-01",7889
"District of Columbia","2021-02",3726
"District of Columbia","2021-03",3915
"District of Columbia","2021-04",3184
"District of Columbia","2021-05",1201
"District of Columbia","2021-06",457
"District of Columbia","2021-07",1043
"District of Columbia","2021-08",5033
"District of Columbia","2021-09",5722
"District of Columbia","2021-10",3087
"District of Columbia","2021-11",2672
"District of Columbia","2021-12",27374
"District of Columbia","2022-01",35531
"District of Columbia","2022-02",4747
"District of Columbia","2022-03",2322
"District of Columbia","2022-04",5057
"District of Columbia","2022-05",7695
"District of Columbia","2022-06",7164
"District of Columbia","2022-07",5717
"District of Columbia","2022-08",3647
"District of Columbia","2022-09",2348
"District of Columbia","2022-10",0
"Florida","2020-01",0
"Florida","2020-02",0
"Florida","2020-03",6741
"Florida","2020-04",26949
"Florida","2020-05",22473
"Florida","2020-06",96271
"Florida","2020-07",317952
"Florida","2020-08",153085
"Florida","2020-09",83045
"Florida","2020-10",96031
"Florida","2020-11",196772
"Florida","2020-12",323996
"Florida","2021-01",398062
"Florida","2021-02",187844
"Florida","2021-03",148514
"Florida","2021-04",175783
"Florida","2021-05",87300
"Florida","2021-06",44646
"Florida","2021-07",268770
"Florida","2021-08",616220
"Florida","2021-09",332353
"Florida","2021-10",108005
"Florida","2021-11",39583
"Florida","2021-12",479532
"Florida","2022-01",1325876
"Florida","2022-02",308293
"Florida","2022-03",40908
"Florida","2022-04",57719
"Florida","2022-05",216979
"Florida","2022-06",322593
"Florida","2022-07",350738
"Florida","2022-08",209063
"Florida","2022-09",108092
"Florida","2022-10",0
"Georgia","2020-01",0
"Georgia","2020-02",0
"Georgia","2020-03",3929
"Georgia","2020-04",22335
"Georgia","2020-05",20799
"Georgia","2020-06",34228
"Georgia","2020-07",105061
"Georgia","2020-08",84119
"Georgia","2020-09",47555
"Georgia","2020-10",42764
