Time,Cases1,Cases2,Cases3,Cases4,Cases5,Hosp1,Hosp2,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5
2012-03-01,100705.06843134304,26490.0,80738.85797363012,7714.568606808041,22344.43776006417,50679.85160675791,30058.931167594128,142036.0,133744.0,100.4235391,99.595,99.735
2012-04-01,100760.78612006787,24811.0,80780.74619990788,7736.299975300232,22345.910186316363,50698.536038291306,30082.143405496667,141899.0,133827.0,100.5903214,99.746,99.866
2012-05-01,101061.9457198037,25741.0,81019.4077430479,7776.872773689947,22401.81680266786,50840.71816669006,30178.631099170656,142206.0,133935.0,100.3822825,99.847,99.754
2012-06-01,101300.75022065314,30533.0,81208.07590467785,7812.675519537833,22443.883896333147,50951.51648880687,30256.5092674316,142391.0,134007.0,100.2993302,99.95,99.704
2012-07-01,101176.42537263586,32431.0,81326.74954882696,7841.7468752088735,22466.604839248743,51018.39783436936,30308.30993917516,142292.0,134153.0,100.3282977,100.053,99.74
2012-08-01,100750.27063036022,29052.0,81201.99850112415,7847.281205762348,22422.11674577397,50932.60054958781,30269.364643184308,142291.0,134330.0,100.9111577,100.116,100.075
2012-09-01,100357.94339453473,28494.0,81103.1191783142,7855.203777682584,22384.836469779537,50863.07893085207,30240.01534185437,143044.0,134512.0,101.3926317,100.24,100.379
2012-10-01,99689.4358526108,25540.0,81009.6645708553,7863.547119335428,22349.113170502394,50797.00428101751,30212.643735245685,143431.0,134671.0,101.6660668,100.482,100.677
2012-11-01,99385.11133861454,24584.0,81211.12425329743,7900.477757125775,22394.774158706776,50915.87233746484,30295.243632942085,143333.0,134834.0,101.4953345,100.591,100.609
2012-12-01,99029.15709840645,25295.0,81370.7713260366,7933.3552036424,22428.89664290756,51008.51947948665,30362.25184654996,143330.0,135075.0,101.4830453,100.664,100.593
2013-01-01,99758.99669600246,28874.0,81365.11487923373,7954.233515565827,22411.761106756523,50999.1202569114,30365.99462232232,143292.0,135265.0,101.6840618,100.871,100.787
2013-02-01,100312.19107121672,26020.0,81218.72816903268,7961.234792465766,22355.948567888507,50901.54480867838,30317.183360354305,143362.0,135544.0,102.2361988,100.992,101.156
2013-03-01,101362.56100096018,24696.0,81476.27272997238,8007.780406442097,22411.35681973412,51057.13550379616,30419.13722617622,143316.0,135689.0,101.9487188,101.085,101.023
2013-04-01,100976.18481534316,23341.0,81690.77244148566,8050.140011623602,22454.892481640018,51185.73994822208,30505.03249326359,143635.0,135876.0,101.735852,101.163,100.944
2013-05-01,100444.80744480743,24849.0,81788.03253803258,8080.949080949084,22466.199716199684,51240.88374088377,30547.148797148795,143882.0,136091.0,101.7779865,101.272,101.01
2013-06-01,99764.09689018848,27370.0,81762.2100604576,8099.537677322482,22443.74086221204,51218.93152092308,30543.27853953452,143999.0,136269.0,102.0202597,101.438,101.228
2013-07-01,100462.60302175248,29489.0,81810.69156948251,8125.4152113713635,22441.730633883915,51243.54572422727,30567.14584525525,144264.0,136391.0,102.2199594,101.567,101.354
2013-08-01,101129.47821232684,26819.0,81834.86027649166,8148.81949233245,22433.093619676187,51252.947164483,30581.913112008668,144326.0,136635.0,102.4639882,101.685,101.51
2013-09-01,101910.58591826684,22369.0,81952.4618414574,8181.486952240274,22450.09847365829,51320.87641555884,30631.58542589857,144418.0,136819.0,102.5026115,101.799,101.55
2013-10-01,101448.26094650124,21473.0,81963.47233964462,8203.469587044425,22437.93541875573,51322.0673338445,30641.40500580012,143537.0,137039.0,102.557474,102.015,101.722
2013-11-01,101000.38279954065,21515.0,81984.90559247229,8226.427564184361,22428.67495738489,51329.80307090301,30655.10252156928,144479.0,137314.0,102.7466402,102.194,101.881
2013-12-01,100510.5599310372,21833.0,81970.92590415735,8245.758395047216,22409.78018102739,51315.38732808276,30655.538576074607,144778.0,137368.0,103.0183197,102.333,102.084
2014-01-01,100302.63921208178,24869.0,81999.02064308384,8258.553484946255,22410.86385472272,51329.60330341491,30669.425487397093,145150.0,137552.0,103.2680542,102.426,102.278
2014-02-01,100226.56947240225,21372.0,82134.41406580812,8282.13045659156,22441.28932231107,51410.99428690545,30723.436064804864,145134.0,137707.0,103.3817294,102.489,102.338
2014-03-01,100008.97184595728,19437.0,82153.31616980194,8293.935227172991,22439.90326009576,51419.47768253317,30733.86286728494,145648.0,137986.0,103.5928407,102.684,102.543
2014-04-01,100594.30417940085,17870.0,82176.94159480378,8306.177934372829,22439.833109471587,51430.93055095939,30746.04348757081,145667.0,138298.0,103.7859569,102.879,102.742
2014-05-01,101199.00115624908,19801.0,82218.04687828943,8320.151445959124,22444.559961393617,51453.33547093666,30764.75189226479,145825.0,138501.0,103.9834622,103.061,102.919
