Time,Cases1,Cases2,Cases3,Cases4,Cases5,Hosp1,Hosp2,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Vax1,Vax3,Gather1,Gather2,Gather3,Gather4,Curfew,Mask1,Mask2,School,ARP,PPP,CARES,Cons1,Cons2,Cons3,Cons4,Cons5,Employment1,Employment2,UI,PartR,CPI,CPIU,PCEC,FixAss,Prod,GDP,TBill1mo,TBill6mo,TBill1yr,TBill5yr,TBill10yr
2012-03-01,0.5287712592191401,0.27935575495448967,0.4581147879193772,0.4704891686174178,0.16031081264567715,0.5173346001629897,0.2605831183206741,0.818221718298526,0.8269867219586109,0.4302109789922408,0.5172690763052178,0.4319066147859912,0.015503875968992246,0.03036876355748373,0.040169133192389,0.24401913875598089,0.5452261306532663,0.8118811881188118,0.87838867538952,0.8318575278351631,0.8995151613280442,0.9836956521739131,0.4580645161290322,0.0,0.0,0.5,0.597187510177715,0.5807884605088784,0.5423750830037509,0.506939706542375,0.6578141026541086,0.5927218498475827,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.4898555265684134,0.0343915343915344,0.0,0.0,0.0,0.0
2012-04-01,0.5565930268478061,0.28166892604307875,0.5036523788294685,0.4963613465556166,0.20646865449150395,0.5554638500539372,0.3105636739695411,0.8067005595991368,0.821284740220902,0.41367091940953865,0.5028112449799159,0.39911061700945016,0.01808785529715762,0.03036876355748373,0.03805496828752642,0.21291866028708137,0.5150753768844221,0.7871287128712872,0.8778343212399807,0.835820168688102,0.8995151613280442,0.9836956521739131,0.4645161290322581,0.0,0.0,0.5,0.597187510177715,0.5807884605088784,0.5423750830037509,0.506939706542375,0.6578141026541086,0.5927218498475827,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.46901243133422943,0.03703703703703705,0.0,0.0,0.0,0.0
2012-05-01,0.5946099664595017,0.28598863856432766,0.6918600213765242,0.6043693101387715,0.39506328132830715,0.7135292302406432,0.5159768519425931,0.8229399070992283,0.8222815901750469,0.26953588374852383,0.4626506024096368,0.2640355753196258,0.01808785529715762,0.03253796095444685,0.040169133192389,0.18181818181818185,0.4522613065326633,0.7252475247524752,0.8794094638206561,0.8397610297422649,0.8995151613280442,0.9836956521739131,0.47096774193548385,0.0,0.0,0.5,0.597187510177715,0.5807884605088784,0.5423750830037509,0.506939706542375,0.6578141026541086,0.5927218498475827,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.2832134236445018,0.04232804232804233,0.0,0.0,0.0,0.0
2012-06-01,0.5849375469116355,0.28743033589395994,0.6440691471403153,0.5770092419428865,0.34704086830918085,0.6734214492430411,0.46374617453997113,0.8184777440474013,0.8208461262410782,0.3176371158872454,0.4642570281124557,0.29849916620344075,0.012919896640826873,0.03253796095444685,0.040169133192389,0.16985645933014354,0.40703517587939697,0.6683168316831684,0.8804313015133505,0.8436801109976512,0.8995151613280442,0.9855072463768116,0.4774193548387097,0.0,0.0,0.5,0.597187510177715,0.5807884605088784,0.5423750830037509,0.506939706542375,0.6578141026541086,0.5927218498475827,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.3450898129961927,0.04232804232804233,0.0,0.0,0.0,0.0
2012-07-01,0.495622564900963,0.2961343145482323,0.5770760716960098,0.5384492255616742,0.2801407756410907,0.6171070853013424,0.3907514227474147,0.80809041366446,0.8237968021053471,0.3606751413889343,0.4642570281124443,0.3463035019455266,0.01808785529715762,0.03253796095444685,0.040169133192389,0.14832535885167467,0.3844221105527638,0.6410891089108911,0.8769209821168078,0.838838581556219,0.8995151613280442,0.9855072463768116,0.4774193548387097,0.0,0.0,0.5,0.597187510177715,0.5807884605088784,0.5423750830037509,0.506939706542375,0.6578141026541086,0.5927218498475827,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.40712714074421674,0.04232804232804233,0.0,0.0,0.0,0.0
2012-08-01,0.4492841265566551,0.2801949519075592,0.3438927726317434,0.4037385443672693,0.048279801540781625,0.42087460197309423,0.13720906744915842,0.8116747741487144,0.8250328960484868,0.5736708717261573,0.43212851405622554,0.5125069483046181,0.02325581395348837,0.03036876355748373,0.03805496828752642,0.16985645933014354,0.42211055276381904,0.6856435643564356,0.8707751145487852,0.8339919197804042,0.8995151613280442,0.9836956521739131,0.4774193548387097,0.0,0.0,0.5,0.597187510177715,0.5807884605088784,0.5423750830037509,0.506939706542375,0.6578141026541086,0.5927218498475827,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.6544999908956352,0.0343915343915344,0.0,0.0,0.0,0.0
2012-09-01,0.4547869806407782,0.28911410926774683,0.3685000341152672,0.4175126514520789,0.0736392472243835,0.4413872960319517,0.16443892394772747,0.839252404813284,0.8252322660393158,0.5346835499697278,0.48112449799196316,0.49527515286270263,0.020671834625322995,0.03036876355748373,0.03805496828752642,0.16028708133971295,0.43216080402010043,0.7128712871287128,0.8649088453013573,0.829140125670207,0.8995151613280442,0.9836956521739131,0.4774193548387097,0.0,0.0,0.5,0.597187510177715,0.5807884605088784,0.5423750830037509,0.506939706542375,0.6578141026541086,0.5927218498475827,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.6120910821344223,0.03703703703703705,0.0,0.0,0.0,0.0
2012-10-01,0.4794852337658133,0.2790545047662083,0.3735354028974081,0.42001732446413226,0.07946245161355553,0.44544600343833607,0.1703480226146433,0.8258659156578033,0.8243151640815025,0.45468355458425286,0.5759036144578348,0.4919399666481389,0.02842377260981912,0.03253796095444685,0.03805496828752642,0.16985645933014354,0.4396984924623115,0.7178217821782178,0.8606983042892532,0.8303480667603677,0.8995151613280442,0.9836956521739131,0.47096774193548385,0.0,0.0,0.5,0.597187510177715,0.5807884605088784,0.5423750830037509,0.506939706542375,0.6578141026541086,0.5927218498475827,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.5090766294747028,0.04232804232804233,0.0,0.0,0.0,0.0
2012-11-01,0.5352910044756677,0.2961289350805844,0.6561533355217888,0.5835658430307343,0.35991370357778685,0.6834030731543302,0.4773412054641567,0.8081269887714422,0.8244746600741657,0.28388189224908494,0.4690763052208783,0.2884936075597495,0.031007751937984492,0.03036876355748373,0.03805496828752642,0.16028708133971295,0.414572864321608,0.693069306930693,0.8596083631387199,0.8315114431117949,0.8995151613280442,0.9836956521739131,0.47096774193548385,0.0,0.0,0.5,0.597187510177715,0.5807884605088784,0.5423750830037509,0.506939706542375,0.6578141026541086,0.5927218498475827,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.30472564197226726,0.04232804232804233,0.0,0.0,0.0,0.0
2012-12-01,0.5273793681733255,0.29950186129580614,0.6160839072132174,0.5603775597670239,0.3201523881763992,0.649665437651185,0.433816356700253,0.81160162393475,0.8275848319310978,0.3448101478246569,0.440160642570286,0.31739855475264594,0.010335917312661497,0.02603036876355748,0.03382663847780126,0.1674641148325359,0.43216080402010043,0.7128712871287128,0.858053033301835,0.8326302547244887,0.8995151613280442,0.9818840579710146,0.4645161290322581,0.0,0.0,0.5,0.597187510177715,0.5807884605088784,0.5423750830037509,0.506939706542375,0.6578141026541086,0.5927218498475827,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.38644503043538864,0.04232804232804233,0.0,0.0,0.0,0.0
