"state","month","confirmed_cases","hospitalizations","deaths"
"AK","2020-03",238,28,0
"AK","2020-04",136,13,0
"AK","2020-05",145,14,0
"AK","2020-06",613,29,0
"AK","2020-07",2270,84,0
"AK","2020-08",2086,94,0
"AK","2020-09",3001,72,0
"AK","2020-10",8918,195,0
"AK","2020-11",17057,346,0
"AK","2020-12",9832,256,0
"AK","2021-01",5539,100,0
"AK","2021-02",3144,70,0
"AK","2021-03",4100,103,0
"AK","2021-04",4386,133,0
"AK","2021-05",1688,59,0
"AK","2021-06",843,44,0
"AK","2021-07",4608,181,0
"AK","2021-08",14740,368,14
"AK","2021-09",22881,459,39
"AK","2021-10",20793,381,29
"AK","2021-11",10183,205,0
"AK","2021-12",7678,122,0
"AK","2022-01",55755,216,0
"AK","2022-02",16662,113,0
"AK","2022-03",6070,41,0
"AK","2022-04",5293,15,0
"AK","2022-05",6977,28,0
"AK","2022-06",8941,47,0
"AK","2022-07",8827,34,0
"AK","2022-08",4509,18,0
"AL","2020-01",89,5,0
"AL","2020-02",49,12,0
"AL","2020-03",2582,487,22
"AL","2020-04",6078,896,214
"AL","2020-05",11267,975,161
"AL","2020-06",21596,1162,93
"AL","2020-07",46336,1574,391
"AL","2020-08",30996,1283,194
"AL","2020-09",21137,867,0
"AL","2020-10",27036,1012,41
"AL","2020-11",46261,1018,259
"AL","2020-12",78553,1829,954
"AL","2021-01",70567,1776,819
"AL","2021-02",22782,909,24
"AL","2021-03",11416,596,0
"AL","2021-04",7364,562,0
"AL","2021-05",9043,477,23
"AL","2021-06",3681,325,0
"AL","2021-07",26392,1297,133
"AL","2021-08",87924,3032,696
"AL","2021-09",58732,2084,273
"AL","2021-10",16501,769,0
"AL","2021-11",8493,450,0
"AL","2021-12",43899,893,12
"AL","2022-01",225377,2069,745
"AL","2022-02",33997,526,84
"AL","2022-03",5967,97,0
"AL","2022-04",3612,38,0
"AL","2022-05",9472,69,0
"AL","2022-06",26912,188,0
"AL","2022-07",10947,45,0
"AL","2022-08",84,4,0
"AR","2020-01",13,4,0
"AR","2020-02",9,0,0
"AR","2020-03",1147,250,0
"AR","2020-04",2694,312,14
"AR","2020-05",5341,466,13
"AR","2020-06",16435,1055,0
"AR","2020-07",21005,1609,119
"AR","2020-08",17733,1306,74
"AR","2020-09",19196,1421,218
"AR","2020-10",23271,1956,380
"AR","2020-11",39875,2609,622
"AR","2020-12",52610,3016,630
"AR","2021-01",44575,2223,374
"AR","2021-02",12767,984,18
"AR","2021-03",4463,477,0
"AR","2021-04",3677,460,0
"AR","2021-05",3697,537,0
"AR","2021-06",6245,874,13
"AR","2021-07",27683,2539,234
"AR","2021-08",44055,3191,296
"AR","2021-09",23181,1765,99
"AR","2021-10",9876,840,30
"AR","2021-11",10662,859,15
"AR","2021-12",31419,1371,81
"AR","2022-01",142018,4360,685
"AR","2022-02",17197,1562,185
"AR","2022-03",3221,333,12
"AR","2022-04",1919,95,0
"AR","2022-05",5126,214,0
"AR","2022-06",13633,663,12
"AR","2022-07",21356,1169,0
"AR","2022-08",6410,167,0
"AZ","2020-01",54,8,0
"AZ","2020-02",49,13,0
"AZ","2020-03",2630,776,79
"AZ","2020-04",7088,1527,482
"AZ","2020-05",15793,2068,428
"AZ","2020-06",71157,6195,1293
"AZ","2020-07",85630,9685,1565
"AZ","2020-08",21838,2039,223
"AZ","2020-09",14694,1065,91
"AZ","2020-10",31742,2525,325
"AZ","2020-11",98878,10718,1392
"AZ","2020-12",197599,17443,3622
"AZ","2021-01",178888,13000,2929
"AZ","2021-02",39912,3379,467
"AZ","2021-03",19061,1414,86
"AZ","2021-04",18579,1509,54
"AZ","2021-05",14706,1483,62
"AZ","2021-06",11735,1418,71
"AZ","2021-07",34353,3111,299
"AZ","2021-08",81505,6275,838
"AZ","2021-09",66489,4326,800
"AZ","2021-10",62998,4297,780
"AZ","2021-11",90710,6660,1478
"AZ","2021-12",109016,6124,1499
"AZ","2022-01",421749,11494,1970
"AZ","2022-02",63459,3543,556
"AZ","2022-03",13261,1009,62
"AZ","2022-04",10607,575,33
"AZ","2022-05",35634,1521,84
"AZ","2022-06",59848,2092,166
"AZ","2022-07",65256,2674,102
"AZ","2022-08",29491,1464,28
"CA","2020-01",345,23,0
"CA","2020-02",473,150,0
"CA","2020-03",19324,4832,471
"CA","2020-04",46513,8744,2379
"CA","2020-05",71112,7957,1864
"CA","2020-06",173978,12611,2120
"CA","2020-07",280886,17302,3131
"CA","2020-08",149263,9761,1563
"CA","2020-09",98832,6114,610
"CA","2020-10",120653,7062,769
"CA","2020-11",400168,19458,4346
"CA","2020-12",1164653,48054,18365
"CA","2021-01",834803,37534,12191
"CA","2021-02",170711,9956,1413
"CA","2021-03",76756,4761,178
"CA","2021-04",60404,3893,47
"CA","2021-05",35001,2751,11
"CA","2021-06",32992,2743,0
"CA","2021-07",189965,10054,610
"CA","2021-08",387224,18624,2517
"CA","2021-09",231257,10903,1279
"CA","2021-10",163362,8137,971
"CA","2021-11",151888,6923,800
"CA","2021-12",722314,11580,1514
"CA","2022-01",2544938,32474,6544
"CA","2022-02",315824,8897,872
"CA","2022-03",77578,2650,81
"CA","2022-04",128894,2035,37
"CA","2022-05",371445,4441,175
"CA","2022-06",477558,6506,372
"CA","2022-07",516013,9290,452
"CA","2022-08",224025,3902,39
"CO","2020-01",70,6,0
"CO","2020-02",61,19,0
"CO","2020-03",5786,2018,241
"CO","2020-04",10818,2473,896
"CO","2020-05",8736,1110,241
"CO","2020-06",6691,515,27
"CO","2020-07",13959,941,37
"CO","2020-08",8998,541,0
"CO","2020-09",12928,746,0
"CO","2020-10",41021,2595,143
"CO","2020-11",127990,6691,926
"CO","2020-12",92081,4679,576
"CO","2021-01",52607,2641,163
"CO","2021-02",27581,1364,12
"CO","2021-03",29612,1595,0
"CO","2021-04",44061,2509,11
"CO","2021-05",25841,2055,12
"CO","2021-06",11099,1010,0
"CO","2021-07",16650,1216,12
"CO","2021-08",37980,2565,11
"CO","2021-09",49377,2986,166
"CO","2021-10",66224,4155,336
"CO","2021-11",77507,4854,435
"CO","2021-12",98092,3713,249
"CO","2022-01",299373,6680,499
"CO","2022-02",46509,1579,23
"CO","2022-03",25525,417,0
"CO","2022-04",33006,427,0
"CO","2022-05",59409,1047,0
"CO","2022-06",75353,1687,15
"CO","2022-07",50110,1586,12
"CO","2022-08",19801,729,0
"CT","2020-01",17,15,0
"CT","2020-02",27,17,0
"CT","2020-03",3595,1493,212
"CT","2020-04",8324,3911,2432
"CT","2020-05",3231,1470,868
"CT","2020-06",29266,396,46
"CT","2020-07",3887,157,0
"CT","2020-08",3316,195,0
"CT","2020-09",4236,159,0
"CT","2020-10",14640,310,0
"CT","2020-11",38633,1582,132
"CT","2020-12",59304,2006,380
"CT","2021-01",36840,1316,194
"CT","2021-02",1022,784,116
"CT","2021-03",7516,591,11
"CT","2021-04",325,16,61
"CT","2021-05",88278,57,0
"CT","2021-06",5179,8,0
"CT","2021-07",9620,16,0
"CT","2021-08",13600,32,0
"CT","2021-09",16669,22,0
"CT","2021-10",104,11,29
"CT","2021-11",9208,6,0
"CT","2021-12",142,5,78
"CT","2022-01",689,51,394
"CT","2022-02",24063,12,120
"CT","2022-03",29807,4,17
"CT","2022-04",52,1,43
"CT","2022-05",133972,18,52
"CT","2022-06",4467,7,22
"CT","2022-07",77,19,24
"CT","2022-08",47259,220,0
"DC","2020-02",36,10,0
"DC","2020-03",1233,346,43
"DC","2020-04",3298,1084,230
"DC","2020-05",2171,701,99
