Time	GDP	Prod	UI	UR
2012-01-01	0.0	0.0	0.0	0.27
2012-02-01	0.9819960513709083	0.32133645352915896	0.37300475059318144	0.25
2012-03-01	0.9822207211235762	0.32133645352915896	0.3589241438193667	0.25
2012-04-01	0.9807507673283927	0.32133645352915896	0.3396275812425181	0.25
2012-05-01	0.982503061077235	0.32133645352915896	0.34934663563640267	0.25
2012-06-01	0.982055267338188	0.32133645352915896	0.3552739464509348	0.25
2012-07-01	0.9803307956375865	0.32133645352915896	0.3525708976157638	0.25
2012-08-01	0.9781762145263826	0.32133645352915896	0.33029239068846783	0.25
2012-09-01	0.9784064581857015	0.32133645352915896	0.34311068829068736	0.25
2012-10-01	0.9822576295644402	0.32133645352915896	0.3511039458999972	0.25
2012-11-01	0.984861990765516	0.32133645352915896	0.35472254960510735	0.25
2012-12-01	0.9844735936659839	0.32133645352915896	0.367685596108178	0.25
2013-01-01	0.9842119011680666	0.5165692236899933	0.3813223465123945	0.26
2013-02-01	0.9829377302583113	0.32133645352915896	0.3495180182675515	0.26
2013-03-01	0.986486721700802	0.32133645352915896	0.34669865567330543	0.26
2013-04-01	0.982189771062719	0.32133645352915896	0.35801686389442916	0.26
2013-05-01	0.9811551809454756	0.32133645352915896	0.3555817494557612	0.25
2013-06-01	0.9800728233869066	0.32133645352915896	0.3699318033533298	0.25
2013-07-01	0.9831750099377861	0.32133645352915896	0.36692757061975473	0.25
2013-08-01	0.9829496452829342	0.32133645352915896	0.34872525987028474	0.25
2013-09-01	0.983759840086331	0.32133645352915896	0.3470878881485443	0.25
2013-10-01	0.9843317274644943	0.32133645352915896	0.3637935542382728	0.25
2013-11-01	0.9843961865572429	0.32133645352915896	0.3563979963795664	0.24
2013-12-01	0.9840584281259146	0.32133645352915896	0.3676998685964821	0.24
2014-01-01	0.9852135550029513	0.8353011279049883	0.3092549540368463	0.23000000000000004
2014-02-01	0.9861143211028465	0.32133645352915896	0.35411085560379696	0.21000000000000002
2014-03-01	0.9850523527125198	0.32133645352915896	0.33921533048870894	0.19999999999999996
2014-04-01	0.9860552324433425	0.32133645352915896	0.34818261292424535	0.19
2014-05-01	0.9861532836383695	0.32133645352915896	0.0	0.18000000000000005
2014-06-01	0.986524064818182	0.32133645352915896	0.7312392173575311	0.16999999999999998
2014-07-01	0.9860468460800818	0.32133645352915896	0.3780141939195286	0.16000000000000003
2014-08-01	0.9871669977278706	0.32133645352915896	0.33358055877270365	0.16000000000000003
2014-09-01	0.9868428210469966	0.32133645352915896	0.34233168704598915	0.14999999999999997
2014-10-01	0.9767892451711582	0.32133645352915896	0.3532773735098847	0.14999999999999997
2014-11-01	0.9771332585109548	0.32133645352915896	0.36859532143003015	0.14
2014-12-01	0.9776596460676992	0.32133645352915896	0.3677081799216262	0.14
2015-01-01	0.973143413905931	1.0	0.40396467275982123	0.14
2015-02-01	0.9684523242228792	0.32133645352915896	0.3744846422806765	0.14999999999999997
2015-03-01	0.9680783403992524	0.32133645352915896	0.38147948395212067	0.16000000000000003
2015-04-01	0.9774337875653007	0.32133645352915896	0.3719347295214634	0.16999999999999998
2015-05-01	0.9762555224744174	0.32133645352915896	0.38507861804066124	0.18000000000000005
2015-06-01	0.9765678365673174	0.32133645352915896	0.3782597918609106	0.18000000000000005
2015-07-01	0.9813203113039826	0.32133645352915896	0.3631146649704716	0.18000000000000005
2015-08-01	0.9819039247166789	0.32133645352915896	0.3443007912488082	0.16999999999999998
2015-09-01	0.982975335678131	0.32133645352915896	0.34997434808034666	0.16999999999999998
2015-10-01	0.9783770329412421	0.32133645352915896	0.35967009824061247	0.16999999999999998
2015-11-01	0.977823513107781	0.32133645352915896	0.3646228266923796	0.18000000000000005
2015-12-01	0.9788382481473481	0.32133645352915896	0.38834068268339994	0.18000000000000005
2016-01-01	0.9720272207993685	0.0	0.37163355219988914	0.19
2016-02-01	0.9727406176254613	0.32133645352915896	0.37081081802116367	0.19
2016-03-01	0.9705246786897861	0.32133645352915896	0.3494489853516087	0.19999999999999996
2016-04-01	0.9821191223915979	0.32133645352915896	0.3662707165277076	0.21000000000000002
2016-05-01	0.9834100798294632	0.32133645352915896	0.36580722794091375	0.21000000000000002
2016-06-01	0.983090075960676	0.32133645352915896	0.37500366294517035	0.21999999999999997
2016-07-01	0.9815961023400713	0.32133645352915896	0.36102092016927295	0.21999999999999997
2016-08-01	0.9808149691094517	0.32133645352915896	0.3504849538841	0.21999999999999997
2016-09-01	0.9806431040203764	0.32133645352915896	0.3076849256478062	0.21000000000000002
2016-10-01	0.981218098456589	0.32133645352915896	0.3567076036856978	0.21000000000000002
2016-11-01	0.9825274724701324	0.32133645352915896	0.36352695544802777	0.19999999999999996
2016-12-01	0.9814866579431208	0.32133645352915896	0.3597897703863027	0.19
2017-01-01	0.9831097008135119	0.20078571593685143	0.3559365074942759	0.18000000000000005
2017-02-01	0.9846472659496853	0.32133645352915896	0.33538264769581855	0.16999999999999998
2017-03-01	0.9861166215094636	0.32133645352915896	0.34258250475974994	0.16000000000000003
2017-04-01	0.9831513171179475	0.32133645352915896	0.34290769278205174	0.14999999999999997
2017-05-01	0.9849171144509169	0.32133645352915896	0.36212617196485997	0.14
2017-06-01	0.9840054280241017	0.32133645352915896	0.38011073221352915	0.14
2017-07-01	0.9816082917374014	0.32133645352915896	0.3638181406456656	0.14
2017-08-01	0.9800854453249147	0.32133645352915896	0.3482640004786102	0.14
2017-09-01	0.9790938209568807	0.32133645352915896	0.34624507763455653	0.13
2017-10-01	0.9844693703581605	0.32133645352915896	0.35382589151911054	0.13
