State,Year,Period,Monetary_1
AK,2012,M01,100
AK,2012,M02,100.2194908
AK,2012,M03,100.4389816
AK,2012,M04,100.6145742
AK,2012,M05,100.3950834
AK,2012,M06,100.3072871
AK,2012,M07,100.3511853
AK,2012,M08,100.9218613
AK,2012,M09,101.404741
AK,2012,M10,101.6681299
AK,2012,M11,101.4925373
AK,2012,M12,101.4925373
AK,2013,M01,101.7120281
AK,2013,M02,102.238806
AK,2013,M03,101.975417
AK,2013,M04,101.7559263
AK,2013,M05,101.7998244
AK,2013,M06,102.0193152
AK,2013,M07,102.238806
AK,2013,M08,102.5021949
AK,2013,M09,102.5021949
AK,2013,M10,102.5899912
AK,2013,M11,102.7655838
AK,2013,M12,103.0289728
AK,2014,M01,103.2923617
AK,2014,M02,103.380158
AK,2014,M03,103.5996488
AK,2014,M04,103.8191396
AK,2014,M05,103.9947322
AK,2014,M06,104.1264267
AK,2014,M07,104.2581212
AK,2014,M08,104.2581212
AK,2014,M09,104.2581212
AK,2014,M10,104.214223
AK,2014,M11,104.0386304
AK,2014,M12,103.7313433
AK,2015,M01,103.0289728
AK,2015,M02,103.2923617
AK,2015,M03,103.5996488
AK,2015,M04,103.6874451
AK,2015,M05,104.0386304
AK,2015,M06,104.3459175
AK,2015,M07,104.4776119
AK,2015,M08,104.4776119
AK,2015,M09,104.2581212
AK,2015,M10,104.3459175
AK,2015,M11,104.4776119
AK,2015,M12,104.3898156
AK,2016,M01,104.3459175
AK,2016,M02,104.1703248
AK,2016,M03,104.5215101
AK,2016,M04,104.9165935
AK,2016,M05,105.1799824
AK,2016,M06,105.4433714
AK,2016,M07,105.3994732
AK,2016,M08,105.5750658
AK,2016,M09,105.8823529
AK,2016,M10,106.1018437
AK,2016,M11,106.2335382
AK,2016,M12,106.4969271
AK,2017,M01,106.9359087
AK,2017,M02,107.1115013
AK,2017,M03,107.0676032
AK,2017,M04,107.1992976
AK,2017,M05,107.1115013
AK,2017,M06,107.1992976
AK,2017,M07,107.1992976
AK,2017,M08,107.6382792
AK,2017,M09,108.1650571
AK,2017,M10,108.2528534
AK,2017,M11,108.5601405
AK,2017,M12,108.7796313
AK,2018,M01,109.1747147
AK,2018,M02,109.4820018
AK,2018,M03,109.5697981
AK,2018,M04,109.7892888
AK,2018,M05,110.0965759
AK,2018,M06,110.2282704
AK,2018,M07,110.3160667
AK,2018,M08,110.4916594
AK,2018,M09,110.7111501
AK,2018,M10,111.0184372
AK,2018,M11,110.9306409
AK,2018,M12,110.8867428
AK,2019,M01,110.8428446
AK,2019,M02,111.1062335
AK,2019,M03,111.6330114
AK,2019,M04,112.0280948
AK,2019,M05,112.071993
AK,2019,M06,112.1158911
AK,2019,M07,112.3353819
AK,2019,M08,112.4670764
AK,2019,M09,112.642669
AK,2019,M10,112.9499561
AK,2019,M11,113.1694469
AK,2019,M12,113.3889377
AK,2020,M01,113.5645303
AK,2020,M02,113.6962248
AK,2020,M03,113.3450395
AK,2020,M04,112.4231782
AK,2020,M05,112.3353819
AK,2020,M06,112.9060579
AK,2020,M07,113.476734
AK,2020,M08,113.9596137
AK,2020,M09,114.2230026
AK,2020,M10,114.3107989
AK,2020,M11,114.4424934
AK,2020,M12,114.8375768
AK,2021,M01,115.1009658
AK,2021,M02,115.5838455
AK,2021,M03,116.3301141
AK,2021,M04,117.0763828
AK,2021,M05,117.9104478
AK,2021,M06,118.9640035
AK,2021,M07,119.4907814
AK,2021,M08,119.8858648
AK,2021,M09,120.3687445
AK,2021,M10,121.4223003
AK,2021,M11,122.2563652
AK,2021,M12,122.9587357
AK,2022,M01,123.7489025
AK,2022,M02,124.7585601
AK,2022,M03,126.2949956
AK,2022,M04,126.7339772
AK,2022,M05,127.9631255
AK,2022,M06,129.6312555
AK,2022,M07,129.6312555
AK,2022,M08,129.76295
AK,2022,M09,130.2897278
AK,2022,M10,130.8604039
AK,2022,M11,NA
AK,2022,M12,NA
AL,2012,M01,100
AL,2012,M02,100.2194908
AL,2012,M03,100.4389816
AL,2012,M04,100.6145742
AL,2012,M05,100.3950834
AL,2012,M06,100.3072871
AL,2012,M07,100.3511853
AL,2012,M08,100.9218613
AL,2012,M09,101.404741
AL,2012,M10,101.6681299
AL,2012,M11,101.4925373
AL,2012,M12,101.4925373
AL,2013,M01,101.7120281
AL,2013,M02,102.238806
AL,2013,M03,101.975417
AL,2013,M04,101.7559263
AL,2013,M05,101.7998244
AL,2013,M06,102.0193152
AL,2013,M07,102.238806
AL,2013,M08,102.5021949
AL,2013,M09,102.5021949
AL,2013,M10,102.5899912
AL,2013,M11,102.7655838
AL,2013,M12,103.0289728
AL,2014,M01,103.2923617
AL,2014,M02,103.380158
AL,2014,M03,103.5996488
AL,2014,M04,103.8191396
AL,2014,M05,103.9947322
AL,2014,M06,104.1264267
AL,2014,M07,104.2581212
AL,2014,M08,104.2581212
AL,2014,M09,104.2581212
AL,2014,M10,104.214223
AL,2014,M11,104.0386304
AL,2014,M12,103.7313433
AL,2015,M01,103.0289728
AL,2015,M02,103.2923617
AL,2015,M03,103.5996488
AL,2015,M04,103.6874451
AL,2015,M05,104.0386304
AL,2015,M06,104.3459175
AL,2015,M07,104.4776119
AL,2015,M08,104.4776119
AL,2015,M09,104.2581212
AL,2015,M10,104.3459175
AL,2015,M11,104.4776119
AL,2015,M12,104.3898156
AL,2016,M01,104.3459175
AL,2016,M02,104.1703248
AL,2016,M03,104.5215101
AL,2016,M04,104.9165935
AL,2016,M05,105.1799824
AL,2016,M06,105.4433714
AL,2016,M07,105.3994732
AL,2016,M08,105.5750658
AL,2016,M09,105.8823529
AL,2016,M10,106.1018437
AL,2016,M11,106.2335382
AL,2016,M12,106.4969271
AL,2017,M01,106.9359087
AL,2017,M02,107.1115013
AL,2017,M03,107.0676032
AL,2017,M04,107.1992976
AL,2017,M05,107.1115013
AL,2017,M06,107.1992976
AL,2017,M07,107.1992976
AL,2017,M08,107.6382792
AL,2017,M09,108.1650571
AL,2017,M10,108.2528534
AL,2017,M11,108.5601405
AL,2017,M12,108.7796313
AL,2018,M01,109.1747147
AL,2018,M02,109.4820018
AL,2018,M03,109.5697981
AL,2018,M04,109.7892888
AL,2018,M05,110.0965759
AL,2018,M06,110.2282704
AL,2018,M07,110.3160667
AL,2018,M08,110.4916594
AL,2018,M09,110.7111501
AL,2018,M10,111.0184372
AL,2018,M11,110.9306409
AL,2018,M12,110.8867428
AL,2019,M01,110.8428446
AL,2019,M02,111.1062335
AL,2019,M03,111.6330114
AL,2019,M04,112.0280948
AL,2019,M05,112.071993
AL,2019,M06,112.1158911
AL,2019,M07,112.3353819
AL,2019,M08,112.4670764
AL,2019,M09,112.642669
AL,2019,M10,112.9499561
AL,2019,M11,113.1694469
AL,2019,M12,113.3889377
AL,2020,M01,113.5645303
AL,2020,M02,113.6962248
AL,2020,M03,113.3450395
AL,2020,M04,112.4231782
AL,2020,M05,112.3353819
AL,2020,M06,112.9060579
AL,2020,M07,113.476734
AL,2020,M08,113.9596137
AL,2020,M09,114.2230026
AL,2020,M10,114.3107989
AL,2020,M11,114.4424934
AL,2020,M12,114.8375768
AL,2021,M01,115.1009658
AL,2021,M02,115.5838455
AL,2021,M03,116.3301141
AL,2021,M04,117.0763828
AL,2021,M05,117.9104478
AL,2021,M06,118.9640035
AL,2021,M07,119.4907814
AL,2021,M08,119.8858648
AL,2021,M09,120.3687445
AL,2021,M10,121.4223003
AL,2021,M11,122.2563652
AL,2021,M12,122.9587357
AL,2022,M01,123.7489025
