State,Year,Period,Demand_5
AL,2012,M01,85574.68333
AL,2012,M02,85717.16667
AL,2012,M03,85859.65
AL,2012,M04,86002.13333
AL,2012,M05,86144.61667
AL,2012,M06,86287.1
AL,2012,M07,86429.58333
AL,2012,M08,86572.06667
AL,2012,M09,86714.55
AL,2012,M10,86857.03333
AL,2012,M11,86999.51667
AL,2012,M12,87142
AL,2013,M01,87351
AL,2013,M02,87560
AL,2013,M03,87769
AL,2013,M04,87978
AL,2013,M05,88187
AL,2013,M06,88396
AL,2013,M07,88605
AL,2013,M08,88814
AL,2013,M09,89023
AL,2013,M10,89232
AL,2013,M11,89441
AL,2013,M12,89650
AL,2014,M01,89928.525
AL,2014,M02,90207.05
AL,2014,M03,90485.575
AL,2014,M04,90764.1
AL,2014,M05,91042.625
AL,2014,M06,91321.15
AL,2014,M07,91599.675
AL,2014,M08,91878.2
AL,2014,M09,92156.725
AL,2014,M10,92435.25
AL,2014,M11,92713.775
AL,2014,M12,92992.3
AL,2015,M01,93301.45833
AL,2015,M02,93610.61667
AL,2015,M03,93919.775
AL,2015,M04,94228.93333
AL,2015,M05,94538.09167
AL,2015,M06,94847.25
AL,2015,M07,95156.40833
AL,2015,M08,95465.56667
AL,2015,M09,95774.725
AL,2015,M10,96083.88333
AL,2015,M11,96393.04167
AL,2015,M12,96702.2
AL,2016,M01,97039.44167
AL,2016,M02,97376.68333
AL,2016,M03,97713.925
AL,2016,M04,98051.16667
AL,2016,M05,98388.40833
AL,2016,M06,98725.65
AL,2016,M07,99062.89167
AL,2016,M08,99400.13333
AL,2016,M09,99737.375
AL,2016,M10,100074.6167
AL,2016,M11,100411.8583
AL,2016,M12,100749.1
AL,2017,M01,101115.975
AL,2017,M02,101482.85
AL,2017,M03,101849.725
AL,2017,M04,102216.6
AL,2017,M05,102583.475
AL,2017,M06,102950.35
AL,2017,M07,103317.225
AL,2017,M08,103684.1
AL,2017,M09,104050.975
AL,2017,M10,104417.85
AL,2017,M11,104784.725
AL,2017,M12,105151.6
AL,2018,M01,105576.3833
AL,2018,M02,106001.1667
AL,2018,M03,106425.95
AL,2018,M04,106850.7333
AL,2018,M05,107275.5167
AL,2018,M06,107700.3
AL,2018,M07,108125.0833
AL,2018,M08,108549.8667
AL,2018,M09,108974.65
AL,2018,M10,109399.4333
AL,2018,M11,109824.2167
AL,2018,M12,110249
AL,2019,M01,110656.4583
AL,2019,M02,111063.9167
AL,2019,M03,111471.375
AL,2019,M04,111878.8333
AL,2019,M05,112286.2917
AL,2019,M06,112693.75
AL,2019,M07,113101.2083
AL,2019,M08,113508.6667
AL,2019,M09,113916.125
AL,2019,M10,114323.5833
AL,2019,M11,114731.0417
AL,2019,M12,115138.5
AL,2020,M01,114818.4083
AL,2020,M02,114498.3167
AL,2020,M03,114178.225
AL,2020,M04,113858.1333
AL,2020,M05,113538.0417
AL,2020,M06,113217.95
AL,2020,M07,112897.8583
AL,2020,M08,112577.7667
AL,2020,M09,112257.675
AL,2020,M10,111937.5833
AL,2020,M11,111617.4917
AL,2020,M12,111297.4
AL,2021,M01,112215.3833
AL,2021,M02,113133.3667
AL,2021,M03,114051.35
AL,2021,M04,114969.3333
AL,2021,M05,115887.3167
AL,2021,M06,116805.3
AL,2021,M07,117723.2833
AL,2021,M08,118641.2667
AL,2021,M09,119559.25
AL,2021,M10,120477.2333
AL,2021,M11,121395.2167
AL,2021,M12,122313.2
AL,2022,M01,NA
AL,2022,M02,NA
AL,2022,M03,NA
AL,2022,M04,NA
AL,2022,M05,NA
AL,2022,M06,NA
AL,2022,M07,NA
AL,2022,M08,NA
AL,2022,M09,NA
AL,2022,M10,NA
AL,2022,M11,NA
AL,2022,M12,NA
AK,2012,M01,20982.225
AK,2012,M02,21046.85
AK,2012,M03,21111.475
AK,2012,M04,21176.1
AK,2012,M05,21240.725
AK,2012,M06,21305.35
AK,2012,M07,21369.975
AK,2012,M08,21434.6
AK,2012,M09,21499.225
AK,2012,M10,21563.85
AK,2012,M11,21628.475
AK,2012,M12,21693.1
AK,2013,M01,21735.3
AK,2013,M02,21777.5
AK,2013,M03,21819.7
AK,2013,M04,21861.9
AK,2013,M05,21904.1
AK,2013,M06,21946.3
AK,2013,M07,21988.5
AK,2013,M08,22030.7
AK,2013,M09,22072.9
AK,2013,M10,22115.1
AK,2013,M11,22157.3
AK,2013,M12,22199.5
AK,2014,M01,22274.75
AK,2014,M02,22350
AK,2014,M03,22425.25
AK,2014,M04,22500.5
AK,2014,M05,22575.75
AK,2014,M06,22651
AK,2014,M07,22726.25
AK,2014,M08,22801.5
AK,2014,M09,22876.75
AK,2014,M10,22952
AK,2014,M11,23027.25
AK,2014,M12,23102.5
AK,2015,M01,23166.95833
AK,2015,M02,23231.41667
AK,2015,M03,23295.875
AK,2015,M04,23360.33333
AK,2015,M05,23424.79167
AK,2015,M06,23489.25
AK,2015,M07,23553.70833
AK,2015,M08,23618.16667
AK,2015,M09,23682.625
AK,2015,M10,23747.08333
AK,2015,M11,23811.54167
AK,2015,M12,23876
AK,2016,M01,23936.98333
AK,2016,M02,23997.96667
AK,2016,M03,24058.95
AK,2016,M04,24119.93333
AK,2016,M05,24180.91667
AK,2016,M06,24241.9
AK,2016,M07,24302.88333
AK,2016,M08,24363.86667
AK,2016,M09,24424.85
AK,2016,M10,24485.83333
AK,2016,M11,24546.81667
AK,2016,M12,24607.8
AK,2017,M01,24676.7
AK,2017,M02,24745.6
AK,2017,M03,24814.5
AK,2017,M04,24883.4
AK,2017,M05,24952.3
AK,2017,M06,25021.2
AK,2017,M07,25090.1
AK,2017,M08,25159
AK,2017,M09,25227.9
AK,2017,M10,25296.8
AK,2017,M11,25365.7
AK,2017,M12,25434.6
AK,2018,M01,25534.71667
AK,2018,M02,25634.83333
AK,2018,M03,25734.95
AK,2018,M04,25835.06667
AK,2018,M05,25935.18333
AK,2018,M06,26035.3
AK,2018,M07,26135.41667
AK,2018,M08,26235.53333
AK,2018,M09,26335.65
AK,2018,M10,26435.76667
AK,2018,M11,26535.88333
AK,2018,M12,26636
AK,2019,M01,26716.89167
AK,2019,M02,26797.78333
AK,2019,M03,26878.675
AK,2019,M04,26959.56667
AK,2019,M05,27040.45833
AK,2019,M06,27121.35
AK,2019,M07,27202.24167
AK,2019,M08,27283.13333
AK,2019,M09,27364.025
AK,2019,M10,27444.91667
AK,2019,M11,27525.80833
AK,2019,M12,27606.7
AK,2020,M01,27415.38333
AK,2020,M02,27224.06667
AK,2020,M03,27032.75
AK,2020,M04,26841.43333
AK,2020,M05,26650.11667
AK,2020,M06,26458.8
