Time,Cases1,Cases2,Cases3,Cases4,Cases5,Hosp1,Hosp2,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Vax1,Vax3,Gather1,Gather2,Gather3,Gather4,Curfew,Mask1,Mask2,School,ARP,PPP,CARES,Cons1,Cons2,Cons3,Cons4,Cons5,Employment1,Employment2,UI,PartR,CPI,PCEC,FixAss,Prod,GDP,TBill1mo,TBill6mo,TBill1yr,TBill5yr,TBill10yr,TBill30yr,FFR
2019-03-01,0.6314410169359596,0.27921895109395106,0.28771617946007244,0.21371906520580197,0.02218649519704663,0.4566778154486398,0.020677453306518545,0.8061153578874218,0.8270664699549424,0.5416034092699008,0.4963855421686745,0.4913841022790423,0.6330749354005167,0.5444685466377439,0.5264270613107822,0.5669856459330145,0.6457286432160803,0.7376237623762376,0.8766832135035251,0.9246554650899816,0.9489794122822454,0.9982964224872232,0.520408163265306,0.0,0.0,0.5,0.562247367936755,0.562247367936755,0.5298939530076989,0.4813561576708899,0.6074236071819578,0.6014401986655991,0.031046642347892867,0.0,0.5,0.5,0.5,0.5,0.6102461835552806,0.6375661375661377,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,0.6995959197963552,0.27844473938223935,0.26118007807977073,0.20018636691391525,0.0,0.43244437239621925,0.0,0.809077941552979,0.8276645799274294,0.4997468165955419,0.6224899598393667,0.5136186770428033,0.627906976744186,0.5336225596529284,0.5116279069767441,0.5574162679425838,0.6356783919597989,0.7277227722772277,0.8786681324485491,0.9312452733834593,0.9489794122822454,0.9982964224872232,0.510204081632653,0.0,0.0,0.5,0.562247367936755,0.562247367936755,0.5298939530076989,0.4813561576708899,0.6074236071819578,0.6014401986655991,0.031046642347892867,0.0,0.5,0.5,0.5,0.5,0.5536100520329739,0.6402116402116403,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,0.7388223306273791,0.27699686293436293,0.4389103328400284,0.2921583238589318,0.15832494755459411,0.5909829684244784,0.14518436888394975,0.8165026882703632,0.8206467562502493,0.3768776487352557,0.4803212851405537,0.36853807670927974,0.6201550387596898,0.5249457700650758,0.4947145877378435,0.5239234449760766,0.6030150753768844,0.698019801980198,0.8827449220802421,0.9378542025036274,0.9489794122822454,0.9982964224872232,0.5,0.0,0.0,0.5,0.562247367936755,0.562247367936755,0.5298939530076989,0.4813561576708899,0.6074236071819578,0.6014401986655991,0.031046642347892867,0.0,0.5,0.5,0.5,0.5,0.40498285989435534,0.6322751322751324,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,0.7382240879177449,0.29378820785070786,0.43682967555679153,0.291130596996465,0.15682847239800304,0.5889886440971736,0.14373038981416827,0.8245126366994623,0.8246341560668289,0.3556118578432116,0.5638554216867498,0.3702056698165695,0.5736434108527132,0.47071583514099774,0.4228329809725158,0.437799043062201,0.5201005025125627,0.6361386138613861,0.88680362617381,0.9444822536013375,0.9489794122822454,0.9982964224872232,0.5,0.0,0.0,0.5,0.562247367936755,0.562247367936755,0.5298939530076989,0.4813561576708899,0.6074236071819578,0.6014401986655991,0.031046642347892867,0.0,0.5,0.5,0.5,0.5,0.40497562210225224,0.6296296296296297,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,0.7146601711177223,0.2836731821106821,0.38253007483754103,0.2631890946945149,0.10960558661385389,0.5401075445450684,0.10016413112999681,0.8249149628762664,0.8212448662227362,0.44050632220187935,0.5076305220883499,0.4146748193440758,0.5555555555555555,0.4511930585683297,0.4143763213530655,0.437799043062201,0.5175879396984925,0.6361386138613861,0.8902980516602725,0.9496625999249849,0.9489794122822454,0.9965928449744463,0.48979591836734687,0.0,0.0,0.5,0.562247367936755,0.562247367936755,0.5298939530076989,0.4813561576708899,0.6074236071819578,0.6014401986655991,0.031046642347892867,0.0,0.5,0.5,0.5,0.5,0.4789903770229635,0.634920634920635,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,0.7330753666656018,0.27392012548262545,0.46455011519970835,0.3055254102802748,0.18188695134635818,0.613574467496407,0.1666256159691329,0.8211111517501188,0.8272259659476057,0.3966244930179258,0.4722891566265047,0.34741523068371977,0.5348837209302325,0.4186550976138828,0.3742071881606765,0.3564593301435407,0.4095477386934673,0.5247524752475248,0.894776614909046,0.9548563674819444,0.9489794122822454,0.9965928449744463,0.47959183673469385,0.0,0.0,0.5,0.562247367936755,0.562247367936755,0.5298939530076989,0.4813561576708899,0.6074236071819578,0.6014401986655991,0.031046642347892867,0.0,0.5,0.5,0.5,0.5,0.4418862562771654,0.5634920634920636,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,0.7272766367502322,0.2815717503217503,0.43942212834801686,0.2926178634641802,0.16020017312319695,0.5908895164998824,0.14657912058218017,0.8307304048864342,0.8262291159934607,0.41991563578260227,0.43694779116465954,0.36798221234018313,0.5142118863049095,0.4099783080260303,0.38054968287526425,0.375598086124402,0.42713567839195976,0.5346534653465347,0.8989624074335881,0.9600635556967899,0.9489794122822454,0.9965928449744463,0.47959183673469385,0.0,0.0,0.5,0.562247367936755,0.562247367936755,0.5298939530076989,0.4813561576708899,0.6074236071819578,0.6014401986655991,0.031046642347892867,0.0,0.5,0.5,0.5,0.5,0.4602666248266547,0.5396825396825398,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,0.6419097686362045,0.29700571106821105,0.3439490287041765,0.2435764008991333,0.07780483307651259,0.5046975095536191,0.0704150605668861,0.8180022676566329,0.8231189441365286,0.46919830074865937,0.5076305220883499,0.44635908838243943,0.44702842377260976,0.3622559652928416,0.34038054968287523,0.3660287081339713,0.4296482412060301,0.5420792079207921,0.9005434337833507,0.9594659034128745,0.9489794122822454,0.9982964224872232,0.48979591836734687,0.0,0.0,0.5,0.562247367936755,0.562247367936755,0.5298939530076989,0.4813561576708899,0.6074236071819578,0.6014401986655991,0.031046642347892867,0.0,0.5,0.5,0.5,0.5,0.5153587985364816,0.48412698412698424,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,0.66817634419131,0.2864281692406692,0.4589609007738966,0.302785645976625,0.17802003278998282,0.608157870595711,0.16282513093044496,0.8178559672287041,0.8265481079787871,0.43105485958319556,0.4040160642570313,0.3518621456364609,0.4082687338501292,0.34490238611713664,0.33192389006342493,0.3923444976076555,0.45477386934673364,0.5643564356435643,0.9035093211284092,0.9588672475862181,0.9489794122822454,1.0,0.5,0.0,0.0,0.5,0.562247367936755,0.562247367936755,0.5298939530076989,0.4813561576708899,0.6074236071819578,0.6014401986655991,0.031046642347892867,0.0,0.5,0.5,0.5,0.5,0.4783136359715723,0.4100529100529101,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,0.6339539142023627,0.29127453346203347,0.30975101914284014,0.22622912608008333,0.04988874910367885,0.47320489844902536,0.0442327753446462,0.8187337697962767,0.8220423461860521,0.42970465063766694,0.5807228915662688,0.4747081712062314,0.40051679586563305,0.3427331887201735,0.3276955602536998,0.40191387559808617,0.4673366834170854,0.5693069306930693,0.9046664212692781,0.9582675882168202,0.9489794122822454,1.0,0.520408163265306,0.0,0.0,0.5,0.562247367936755,0.562247367936755,0.5298939530076989,0.4813561576708899,0.6074236071819578,0.6014401986655991,0.031046642347892867,0.0,0.5,0.5,0.5,0.5,0.47813718804845706,0.4100529100529101,0.0,0.0,0.0,0.0,0.0,0.0
