Time	GDP	RPFI	FixAss	UI	PartR	UR	Cons3	Cons5	CPIU	PCE	Mask2	School	Hosp1	Deaths1
2012-01-01	1.0	0.0	0.0	0.0	0.7543859649122808	0.3663366336633663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2012-02-01	0.278034140788655	0.821489444736937	0.4617785755043715	0.1354128306904507	0.7543859649122808	0.3663366336633663	0.9330703485646253	0.9437429235901031	0.48042480973508717	0.9679389035394174	0.0	0.0	0.0	0.0
2012-03-01	0.28019057902432204	0.8196002196506619	0.47394467316559474	0.14369443040710222	0.7543859649122808	0.3564356435643565	0.9348307733258948	0.9461191641867828	0.4783596646895119	0.966573298315848	0.0	0.0	0.0	0.0
2012-04-01	0.26779636032237064	0.7463444922338727	0.4772781248222843	0.1441765329170144	0.7543859649122808	0.3564356435643565	0.9381383514516577	0.9504828890217383	0.4580164258916395	0.9640820130383683	0.0	0.0	0.0	0.0
2012-05-01	0.2848533110048886	0.7455139646094382	0.5699549925272619	0.1508494270368179	0.7543859649122808	0.34653465346534656	0.9520462826909932	0.9684707708916626	0.2823120937051792	0.9538741718760513	0.0	0.0	0.0	0.0
2012-06-01	0.28047203026592105	0.7446939299196405	0.545953425534789	0.17126178608109296	0.7368421052631593	0.33663366336633666	0.9483586751498382	0.9638408334352935	0.34089822278672366	0.956476820529933	0.0	0.0	0.0	0.0
2012-07-01	0.2242692747372075	0.5083224251987689	0.26135985854269594	0.16077739319827175	0.719298245614036	0.32673267326732675	0.9432807601235311	0.9574227279341908	0.39344637279221933	0.9600922983102562	0.0	0.0	0.0	0.0
2012-08-01	0.203082788055998	0.5072780390841958	0.14466074900544373	0.13644910214853317	0.719298245614036	0.31683168316831684	0.925938794177262	0.9352397609309319	0.6527359268372354	0.9726370191705382	0.0	0.0	0.0	0.0
2012-09-01	0.20513270905617173	0.5062181473896784	0.15440747115273978	0.1522411731094485	0.7017543859649127	0.3069306930693069	0.9276718846545201	0.9375740857310704	0.6040928049754837	0.9712958398905062	0.0	0.0	0.0	0.0
2012-10-01	0.2211444976195332	0.6552203904662108	0.25379935757861544	0.14094643297639625	0.7017543859649127	0.2970297029702971	0.9279591625643677	0.9380489404585923	0.506728251696605	0.9710078867636006	0.0	0.0	0.0	0.0
2012-11-01	0.24661714393446152	0.6540761138817428	0.39153761624171735	0.1393226303867406	0.719298245614036	0.3069306930693069	0.9488139133792896	0.9649593994754874	0.3006557725101743	0.9557458204525275	0.0	0.0	0.0	0.0
2012-12-01	0.24292550500205423	0.6529344612377601	0.37054456299257343	0.1726354100798134	0.7368421052631593	0.31683168316831684	0.9457319095520561	0.9611013896774462	0.37413804795301997	0.9579119267895568	0.0	0.0	0.0	0.0
2013-01-01	0.24572535887702526	0.6548094288711275	0.3602906910387045	0.15162423224299054	0.7368421052631593	0.32673267326732675	0.9265215610283126	0.9511364057086247	0.4730736920152049	0.9666573187698657	0.0	0.0	0.0	0.0
2013-02-01	0.233600113747329	0.6537675849561533	0.29276875190798746	0.136110227959207	0.7368421052631593	0.33663366336633666	0.9165179362549725	0.9382856291638654	0.6349860070635606	0.9739022526346681	0.0	0.0	0.0	0.0
2013-03-01	0.2684694417320923	0.6527280790151301	0.48100279243800936	0.11551766722336368	0.7368421052631593	0.33663366336633666	0.9450877747929076	0.9750156598838399	0.24716895130705616	0.953062076468007	0.0	0.0	0.0	0.0
2013-04-01	0.23884821715104845	0.5833995638837134	0.42981994499530635	0.13764780738847776	0.7368421052631593	0.32673267326732675	0.9419634715003273	0.9710071669419806	0.28136451627527614	0.9552985360150279	0.0	0.0	0.0	0.0
2013-05-01	0.22864324048258183	0.5826610087935526	0.3731172684954085	0.14324953948316338	0.7368421052631593	0.32673267326732675	0.9336416919293177	0.9603179750368757	0.39935182972145283	0.9613194141187007	0.0	0.0	0.0	0.0
2013-06-01	0.21797166263942497	0.581916333683948	0.3138725231788697	0.17524590958376124	0.7368421052631593	0.31683168316831684	0.9249381632556427	0.9491380373812921	0.4918638127890506	0.9676185898792923	0.0	0.0	0.0	0.0
2013-07-01	0.27093361625041495	0.7103573989835874	0.49524196302001444	0.16552673636392481	0.7368421052631593	0.3069306930693069	0.9301381703003636	0.9558291084720056	0.4719810427311055	0.9637948380358665	0.0	0.0	0.0	0.0
2013-08-01	0.26883353370569457	0.7096882818971962	0.4832657493925652	0.15963924049934558	0.719298245614036	0.2970297029702971	0.9283933687457941	0.9535935267059383	0.4921920362000497	0.965027867173961	0.0	0.0	0.0	0.0
2013-09-01	0.27682326912685873	0.7090255626314838	0.526204550966915	0.1458217037354869	0.7017543859649127	0.2772277227722773	0.9349304625520837	0.9620031112777292	0.3976005690238599	0.9602308122521267	0.0	0.0	0.0	0.0
2013-10-01	0.27032778886481135	0.690944174856427	0.48341758266857787	0.14946684011326405	0.7017543859649127	0.2574257425742575	0.9274025280430953	0.9523339917201389	0.4050553748719518	0.9656751792246812	0.0	0.0	0.0	0.0
2013-11-01	0.2711934484300052	0.690516743874979	0.48769042154710035	0.1574440812607994	0.6842105263157894	0.24752475247524758	0.9281032297951054	0.9532415826797339	0.46667314549690636	0.9651282623410788	0.0	0.0	0.0	0.0
2013-12-01	0.26813640470589445	0.6900923629218487	0.4706175534465597	0.17844356173829587	0.6842105263157894	0.22772277227722776	0.9255842561460425	0.9500106686945831	0.504271433281398	0.9669260016326096	0.0	0.0	0.0	0.0
