Time	GDP	RPFI	FixAss	UI	PartR	UR	Cons3	Cons5	CPIU	PCE	School	Hosp1	Deaths1
2012-02-01	0.6164068416721536	0.6988879362211429	0.41230810133242435	0.14408609899874242	1.0	0.4	0.37161528499390906	0.6188340277468573	0.48042480973508717	0.49675221673418135	0.0	0.0	0.0
2012-03-01	0.621369126268051	0.6964375534729241	0.42035832942630047	0.1122897721076911	0.9843749999999982	0.4	0.3881658947403123	0.633640607098006	0.4783596646895119	0.4753169610054069	0.0	0.0	0.0
2012-04-01	0.6823715730082882	0.7252642860845485	0.5970495453199701	0.10745429985693361	0.96875	0.3866666666666666	0.4189672003984468	0.6611122590329717	0.4580164258916395	0.4362124408304384	0.0	0.0	0.0
2012-05-01	0.7201480508129824	0.7245312865545143	0.6702009340446815	0.05512905676990382	0.9531249999999982	0.3866666666666666	0.5474312120205354	0.7753860701336954	0.2823120937051792	0.27598481283333187	0.0	0.0	0.0
2012-06-01	0.7105015615464281	0.7238061896697557	0.651138986448122	0.10152608225421311	0.9375	0.3866666666666666	0.5137745320984681	0.7455647985303556	0.34089822278672366	0.31683735096458504	0.0	0.0	0.0
2012-07-01	0.6525811755071577	0.5905407340566607	0.5550664061952708	0.09407286549104771	0.921875	0.3733333333333333	0.467304227984755	0.7043538458311265	0.39344637279221933	0.37358778620411015	0.0	0.0	0.0
2012-08-01	0.6060805420880557	0.5902643485840432	0.46399976861507974	0.13148584303806	0.921875	0.3733333333333333	0.30783458470177105	0.5627077883348506	0.6527359268372354	0.5704963034279991	0.0	0.0	0.0
2012-09-01	0.6109846329278866	0.5899858084384082	0.4728878532798978	0.10724131326754076	0.921875	0.36	0.3241100525767334	0.5772638365853755	0.6040928049754837	0.5494444501182414	0.0	0.0	0.0
2012-10-01	0.5879194573625603	0.6567740819375271	0.4373220393817886	0.19793929163453194	0.921875	0.36	0.32706078798485133	0.5799758612814837	0.506728251696605	0.5449245868322847	0.0	0.0	0.0
2012-11-01	0.6442164614911825	0.6557206923270135	0.5460185751923782	0.3061360621220456	0.921875	0.36	0.5195074321688301	0.7511115192319733	0.3006557725101743	0.3053631904044893	0.0	0.0	0.0
2012-12-01	0.6359996657102006	0.6546681652652039	0.529269871538688	0.2255652297550041	0.9062499999999982	0.36	0.4914081262493017	0.7262241227140437	0.37413804795301997	0.33936353140244074	0.0	0.0	0.0
2013-01-01	0.6770921850179689	0.6915421525623598	0.5886282697249453	0.2280251376141953	0.890625	0.36	0.3137991090726913	0.5729011663942425	0.4730736920152049	0.4766357901129943	0.0	0.0	0.0
2013-02-01	0.6502556855926304	0.6908885538786476	0.5356916944483043	0.06453636226351153	0.890625	0.3466666666666667	0.22183362802878426	0.49119812792708184	0.6349860070635606	0.5903560713844669	0.0	0.0	0.0
2013-03-01	0.7273742772258296	0.690239215895008	0.6848713148427121	0.12402012267763596	0.8749999999999982	0.3466666666666667	0.4852656874410936	0.7253727882459582	0.24716895130705616	0.2632377374361727	0.0	0.0	0.0
2013-04-01	0.5873098952179144	0.555447324749871	0.49930787750191563	0.10163260059686605	0.8749999999999982	0.3466666666666667	0.4566801426927505	0.7000013439164592	0.28136451627527614	0.2983423793122137	0.0	0.0	0.0
2013-05-01	0.5641802033850231	0.5541731265675054	0.4531636717239993	0.08932505371864924	0.859375	0.3466666666666667	0.38020554478573565	0.6320659426386058	0.39935182972145283	0.3928492394475876	0.0	0.0	0.0
2013-06-01	0.5400082867983307	0.5528805803549757	0.4049846918544384	0.10892330834058091	0.8749999999999982	0.3466666666666667	0.30021199302397333	0.5610027530872563	0.4918638127890506	0.4917244055485628	0.0	0.0	0.0
2013-07-01	0.7805034209619559	0.7866470702038892	0.7871355651972469	0.058616256863757696	0.859375	0.3466666666666667	0.34831823182329913	0.6037944303941524	0.4719810427311055	0.4317047913931817	0.0	0.0	0.0
2013-08-01	0.7751568136713394	0.7861152557926759	0.7775401012238624	0.12618532851950226	0.859375	0.3466666666666667	0.3324363473071584	0.5897132366817639	0.4921920362000497	0.45105906335986673	0.0	0.0	0.0
2013-09-01	0.7921401658634863	0.7855876504635045	0.8113428012877414	0.0963279929210932	0.859375	0.3466666666666667	0.39285889078143005	0.64345113745799	0.3976005690238599	0.37576197367406844	0.0	0.0	0.0
2013-10-01	0.5602705796001579	0.5494958084807301	0.35590192783561836	0.2421768902759835	0.84375	0.3466666666666667	0.3236905328676077	0.5820085171714187	0.4050553748719518	0.46121961276611345	0.0	0.0	0.0
2013-11-01	0.5616119572896627	0.5473356982997509	0.3557408129048842	0.2947229178095876	0.84375	0.33333333333333337	0.33033593156923724	0.5879488840373032	0.46667314549690636	0.4526349185513692	0.0	0.0	0.0
2013-12-01	0.5542663252114519	0.5451405098457183	0.3386326621321957	0.19469741894968798	0.84375	0.33333333333333337	0.3073150627706033	0.5675216881984233	0.504271433281398	0.48085317722711196	0.0	0.0	0.0
2014-01-01	0.6771956025949474	0.7185799043414691	0.689730501132671	0.1804486979513476	0.84375	0.33333333333333337	0.38411994736717336	0.5983023863007921	0.493934346505972	0.47480341489626154	0.0	0.0	0.0
2014-02-01	0.6975406611789488	0.7184184788685488	0.7289566971886673	0.12704767042921158	0.859375	0.33333333333333337	0.4530456474884774	0.6598465439678548	0.43168509604437666	0.38843461950111763	0.0	0.0	0.0
2014-03-01	0.6755643557920494	0.7182579125839158	0.6859115239032669	0.12013359515407576	0.8749999999999982	0.33333333333333337	0.3772892905593939	0.5927949371793544	0.47597168180084126	0.4815581995385124	0.0	0.0	0.0
