Time,Global,Pandemic,Consumption,Employment,Inflation,Uncat,State
2012-02-01,-1.3472767366193594,-0.6259266492289274,-0.007557146632099242,-0.09514480047012325,-0.7155889853846539,-0.05042980484996279,AK
2012-03-01,-1.5148374061649472,-0.45172458085725364,0.08064265719254633,-0.06522692011937445,-0.4748102891008854,-0.07254095769992257,AK
2012-04-01,-1.484843697071622,-0.4487846268094162,0.29721670857710875,0.09717979041032739,-0.14962308992099274,-0.015311233414069127,AK
2012-05-01,-1.4929576448467416,-0.45107146497037265,1.2678753907411247,-0.0757511128559747,1.6387848730844932,0.03759665066516074,AK
2012-06-01,-1.4906176561737494,-0.4503689358388323,1.03963590616983,0.026272000088796404,1.117789503109324,0.09711781294381915,AK
2012-07-01,-1.491457929263078,-0.4506226919353722,0.6967894191335277,0.07203951104175159,0.5646564001548213,0.1461560786712071,AK
2012-08-01,-1.4915995789779068,-0.4506654926194147,-0.5259102514168518,-0.00717209853202658,-1.9058587226298829,0.17052401670068643,AK
2012-09-01,-1.4914189625111822,-0.45061092184782026,-0.44236943040606824,-0.24405333008809763,-1.495612839497429,0.19608366991111453,AK
2012-10-01,-1.4914006664892976,-0.45060539396867405,-0.4430274546061237,-0.03831576897859705,-0.8452388049021591,0.22139978243204414,AK
2012-11-01,-1.4911663726988509,-0.4505346054487327,1.0161033507422217,0.06734453609283662,1.3495597329380022,0.2676521533050649,AK
2012-12-01,-1.4914838991902466,-0.4506305415396319,0.8400535563812868,-0.03366871179986641,0.7926092921664999,0.308885741443402,AK
2013-01-01,-1.49174423053435,-0.4507091969341217,-0.471906465852649,0.007304720228241327,-0.3470726345453522,0.3130868644736672,AK
2013-02-01,-1.4915201844323729,-0.4506415046072574,-1.2111066030057747,-0.0625339787168041,-1.8963001614860204,0.3102154146255975,AK
2013-03-01,-1.4914052671682658,-0.450606783998426,0.7596515360350744,0.028712473729232565,1.9100244684020729,0.34610563754831275,AK
2013-04-01,-1.4911277845216495,-0.4505229465827483,0.5758498166992457,-0.10355885800425055,1.5679733859960823,0.44007325312135637,AK
2013-05-01,-1.491724008274065,-0.45070308706703344,0.007075723358123024,-0.05859281674129052,0.42597789485110504,0.4286877211968657,AK
2013-06-01,-1.4918881887182747,-0.45075269184220823,-0.6129780955652038,-0.01941973305216632,-0.5580552632972435,0.3489541218761739,AK
2013-07-01,-1.4918002641295445,-0.4507261266843483,-0.26946536518282804,-0.050825597686629254,-0.22506792870345957,0.32607111051034676,AK
2013-08-01,-1.4916955552240525,-0.45069449038511133,-0.39550314251645885,-0.008626098907060021,-0.3947229135955462,0.28496819160417813,AK
2013-09-01,-1.4916194164685312,-0.4506714861494687,0.06050593742836007,-0.03583291961841954,0.5163953584235739,0.2823147462035114,AK
2013-10-01,-1.4912901987007035,-0.4505720177061616,-0.4581587955645112,0.28854390486137715,0.14940772451256745,0.319993566073541,AK
2013-11-01,-1.4917173971203725,-0.4507010896038619,-0.4169570182865824,-0.43927501861168206,-0.3003370480033163,0.3009708149246387,AK
2013-12-01,-1.4917394983161016,-0.4507077671625317,-0.5978039475965007,0.06444179276709186,-0.6121342397430765,0.25078934740389913,AK
2014-01-01,-1.491273749772171,-0.45056704789712154,-0.2963480397993451,-0.09629595687468087,-0.5139767585266454,0.26694949971835014,AK
2014-02-01,-1.4913138103856818,-0.450579151639777,0.25936261748247796,0.05276049712899884,0.22010803466088694,0.29566740054565627,AK
2014-03-01,-1.4915089662046739,-0.4506381151798615,-0.28360915505577716,-0.20595819294860404,-0.3881173956210816,0.28154363643210323,AK
2014-04-01,-1.4914683258588217,-0.450625836280657,-0.25649916058098826,-0.009367345399139497,-0.36489457729555824,0.30672888480417804,AK
2014-05-01,-1.4912825256857964,-0.45056969941443503,-0.16702461388351275,-0.07783052036994804,-0.3317736412617841,0.3504019582482901,AK
2014-06-01,-1.4915670234019327,-0.45065565633198323,0.07735696259161173,-0.17029920213900349,0.009047019893506212,0.34395299608445734,AK
2014-07-01,-1.491349607446332,-0.45058996720879785,-0.06684803934590575,-0.04643257176421988,-0.0046830103817701385,0.3466742209080501,AK
2014-08-01,-1.4913183109782027,-0.45058051142790445,0.5951757403678486,-0.033712200577959796,0.7700444685703225,0.3756881242285345,AK
2014-09-01,-1.4916420463080753,-0.4506783234310676,0.46245124525223336,-0.1090326681924617,0.6543119864213305,0.35640907718294784,AK
2014-10-01,-1.491100141103535,-0.4505145945190199,0.6754131303562991,-0.21775498807508858,0.8535233758485925,0.42134886461765025,AK
2014-11-01,-1.4915659184809278,-0.4506553224964993,0.8955858724449166,0.031021063682427952,1.5280247102000823,0.38672346418348713,AK
2014-12-01,-1.4911674781901216,-0.4505349394575433,1.2211984911068552,-0.12502305772066236,2.069660154757672,0.3268110621571006,AK
2015-01-01,-1.491370966021473,-0.4505964203969066,2.3304405740970133,-0.1522708870435811,3.8629845122326323,0.4225059484899325,AK
2015-02-01,-1.4918016053100072,-0.4507265319030307,-0.21739337628914587,0.05376591009908949,-0.39990692801593414,0.3937876071065633,AK
2015-03-01,-1.491636853660292,-0.4506767545463721,-0.41038406802455585,-0.01845920267026995,-0.5757585541022453,0.35980122255070457,AK
2015-04-01,-1.4914209760773849,-0.45061153022062195,-0.0037850452966515053,-0.12641808327283774,0.20514464607310995,0.4184913736975674,AK
2015-05-01,-1.4919224937558808,-0.45076305661905236,-0.6879754238088245,-0.12784381368701417,-0.887168231975467,0.36266921822942094,AK
2015-06-01,-1.4916428712630116,-0.45067857267954503,-0.5445543043053789,0.024616491834751116,-0.6294684822174534,0.2882518511398633,AK
