Time	GDP	Prod	UI	UR
2012-01-01	0.0	0.0	0.0	0.59375
2012-02-01	0.963547564667917	0.29625621046145273	0.22343732358972296	0.59375
2012-03-01	0.9641182164663227	0.29625621046145273	0.2694475098537937	0.59375
2012-04-01	0.9583798178245452	0.29625621046145273	0.25127191525748505	0.59375
2012-05-01	0.9627223391538829	0.29625621046145273	0.26704713932507845	0.59375
2012-06-01	0.9616110545475139	0.29625621046145273	0.3238535552868142	0.59375
2012-07-01	0.9689396763256808	0.29625621046145273	0.3070354613094429	0.59375
2012-08-01	0.9635758510938529	0.29625621046145273	0.2762069293742011	0.59375
2012-09-01	0.9641239305339863	0.29625621046145273	0.23842256633693926	0.578125
2012-10-01	0.9538754059069309	0.29625621046145273	0.2871938918970532	0.578125
2012-11-01	0.9603636084258372	0.29625621046145273	0.2837859669696444	0.578125
2012-12-01	0.959432636822367	0.29625621046145273	0.32889116553921716	0.578125
2013-01-01	0.9701832811687632	0.3776430087027032	0.3341332497325836	0.578125
2013-02-01	0.9670380629762088	0.29625621046145273	0.27018936412889843	0.578125
2013-03-01	0.9758487284421142	0.29625621046145273	0.267691022902145	0.5625
2013-04-01	0.9640619166415868	0.29625621046145273	0.2457650209450916	0.5625
2013-05-01	0.9614988241432031	0.29625621046145273	0.289927835278223	0.546875
2013-06-01	0.9588173177727078	0.29625621046145273	0.26176417131778507	0.546875
2013-07-01	0.9665267408859618	0.29625621046145273	0.30032457881987884	0.53125
2013-08-01	0.9659843144265404	0.29625621046145273	0.2753003006121469	0.53125
2013-09-01	0.9680087513677599	0.29625621046145273	0.25233860947863784	0.515625
2013-10-01	0.9670069009289948	0.29625621046145273	0.3171618252326953	0.5
2013-11-01	0.9672132125592898	0.29625621046145273	0.2898066871949033	0.484375
2013-12-01	0.9664217456540466	0.29625621046145273	0.31923493664510827	0.46875
2014-01-01	0.9598127303935087	0.480113658205262	0.40570648801337716	0.46875
2014-02-01	0.9621547412087437	0.29625621046145273	0.20216789296198598	0.453125
2014-03-01	0.9596296481716925	0.29625621046145273	0.26633057237477	0.4375
2014-04-01	0.9708546787458606	0.29625621046145273	0.23665942920277844	0.4375
2014-05-01	0.9711732540588875	0.29625621046145273	0.255349560481712	0.421875
2014-06-01	0.9721661778872455	0.29625621046145273	0.2863734605297646	0.421875
2014-07-01	0.9694024512551132	0.29625621046145273	0.31424559109758005	0.40625
2014-08-01	0.9722657292681601	0.29625621046145273	0.27883244254383344	0.390625
2014-09-01	0.9715468881636222	0.29625621046145273	0.2255492658591639	0.390625
2014-10-01	0.964321414001907	0.29625621046145273	0.28268852751766277	0.375
2014-11-01	0.9652385552428074	0.29625621046145273	0.3019159762920574	0.375
2014-12-01	0.9666085694338057	0.29625621046145273	0.3100533356337579	0.359375
2015-01-01	0.983530601288534	0.6909204493317211	0.3551036519223723	0.359375
2015-02-01	0.9722518888453056	0.29625621046145273	0.27161983429513425	0.34375
2015-03-01	0.9716897046394285	0.29625621046145273	0.25884591870802687	0.34375
2015-04-01	0.9658922427452975	0.29625621046145273	0.1918668990037658	0.328125
2015-05-01	0.9629918350007649	0.29625621046145273	0.24882665164404333	0.3125
2015-06-01	0.9637867114587122	0.29625621046145273	0.28881635585334603	0.296875
2015-07-01	0.9686904063694058	0.29625621046145273	0.3242731439310777	0.28125
2015-08-01	0.970112909133568	0.29625621046145273	0.28302903551499486	0.28125
2015-09-01	0.9727448183955597	0.29625621046145273	0.21802936374614057	0.265625
2015-10-01	0.9695549886548729	0.29625621046145273	0.28096843434408325	0.25
2015-11-01	0.9681860498445455	0.29625621046145273	0.3088390244487322	0.25
2015-12-01	0.9707049821330757	0.29625621046145273	0.3151672762714093	0.234375
2016-01-01	0.9708131234982249	1.0	0.3568698109047236	0.21875
2016-02-01	0.9727939993876743	0.29625621046145273	0.29566604514930606	0.203125
2016-03-01	0.9675198984938373	0.29625621046145273	0.24154010168394074	0.1875
2016-04-01	0.9653740482493911	0.29625621046145273	0.22111192190062828	0.1875
2016-05-01	0.9685808944102886	0.29625621046145273	0.2607273246899377	0.1875
2016-06-01	0.9677942357914705	0.29625621046145273	0.29537774636799813	0.1875
2016-07-01	0.9680029103707901	0.29625621046145273	0.3200109062805387	0.171875
2016-08-01	0.9660522006666675	0.29625621046145273	0.2981485450089253	0.171875
2016-09-01	0.9656119061769307	0.29625621046145273	0.20157271793856762	0.1875
2016-10-01	0.9661190312737427	0.29625621046145273	0.284767078663609	0.1875
2016-11-01	0.9693501840144186	0.29625621046145273	0.3002024357747028	0.171875
2016-12-01	0.9667555999964826	0.29625621046145273	0.3293145209524999	0.171875
2017-01-01	0.9571700399543831	0.09823781506294949	0.35772867993242735	0.15625
2017-02-01	0.9610619137609976	0.29625621046145273	0.2752474599258348	0.140625
2017-03-01	0.9647836291840944	0.29625621046145273	0.26047785733341566	0.140625
2017-04-01	0.9630307993196999	0.29625621046145273	0.2416939153786321	0.125
2017-05-01	0.9674494318805301	0.29625621046145273	0.2368696527357797	0.125
2017-06-01	0.9652303701056387	0.29625621046145273	0.3235800158676923	0.125
2017-07-01	0.9692253509041828	0.29625621046145273	0.30508121976270586	0.140625
2017-08-01	0.9654289972450134	0.29625621046145273	0.2847345340803446	0.140625
2017-09-01	0.9629496572780242	0.29625621046145273	0.20266836313667255	0.140625
2017-10-01	0.9685001545886994	0.29625621046145273	0.2911912266935235	0.15625
2017-11-01	0.9681341513045428	0.29625621046145273	0.29927327872787596	0.15625
2017-12-01	0.9684707196152135	0.29625621046145273	0.3227260787012146	0.140625
