Time,Cases1,Cases2,Cases3,Cases4,Cases5,Hosp1,Hosp2,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Vax1,Vax3,Gather1,Gather2,Gather3,Gather4,Curfew,Mask1,Mask2,School,ARP,PPP,CARES,Cons1,Cons2,Cons3,Cons4,Cons5,Employment1,Employment2,UI,PartR,CPI,CPIU,PCE,PCEC,FixAss,Prod,GDP,TBill1mo,TBill6mo,TBill1yr,TBill5yr,TBill10yr,TBill30yr,FFR
2012-03-01,0.6156598193114826,0.23339665720741717,0.45093966685673026,0.33730160570821455,0.2873187601702626,0.5147601061473559,0.32834952133970297,0.818221718298526,0.8269867219586109,0.4302109789922408,0.5172690763052178,0.4319066147859912,0.015503875968992246,0.03036876355748373,0.040169133192389,0.24401913875598089,0.5452261306532663,0.8118811881188118,0.8644933674790659,0.8046602028914862,0.9508324538133136,0.9970238095238094,0.7280701754385965,0.0,0.0,0.5,0.5095998691726215,0.5035350597481613,0.41745715853225207,0.3690417844804951,0.5538285445380767,0.5184862355191324,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.4898555265684134,0.0343915343915344,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,0.588534184971992,0.19696281393990525,0.49502155207561577,0.3653110408784382,0.3372885925860793,0.5543581296148788,0.37032047142241054,0.8067005595991368,0.821284740220902,0.41367091940953865,0.5028112449799159,0.39911061700945016,0.01808785529715762,0.03036876355748373,0.03805496828752642,0.21291866028708137,0.5150753768844221,0.7871287128712872,0.8655033460875883,0.8099490023937357,0.9508324538133136,0.994047619047619,0.7368421052631579,0.0,0.0,0.5,0.5095998691726215,0.5035350597481613,0.41745715853225207,0.3690417844804951,0.5538285445380767,0.5184862355191324,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.46901243133422943,0.03703703703703705,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,0.6319121074001873,0.20690682540899946,0.677194956004322,0.480774194014031,0.5427025869469356,0.7183152016730987,0.5430125200759321,0.8229399070992283,0.8222815901750469,0.26953588374852383,0.4626506024096368,0.2640355753196258,0.01808785529715762,0.03253796095444685,0.040169133192389,0.18181818181818185,0.4522613065326633,0.7252475247524752,0.8686208092006461,0.8152361788788448,0.9508324538133136,0.9910714285714284,0.7368421052631579,0.0,0.0,0.5,0.5095998691726215,0.5035350597481613,0.41745715853225207,0.3690417844804951,0.5538285445380767,0.5184862355191324,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.2832134236445018,0.04232804232804233,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,0.6209064590846277,0.2204614776488357,0.6309352449440224,0.4514366709812497,0.49047446599875955,0.6767004182846781,0.49911403267644117,0.8184777440474013,0.8208461262410782,0.3176371158872454,0.4642570281124557,0.29849916620344075,0.012919896640826873,0.03253796095444685,0.040169133192389,0.16985645933014354,0.40703517587939697,0.6683168316831684,0.8712025105858148,0.8205217323468137,0.9508324538133136,0.9880952380952381,0.7368421052631579,0.0,0.0,0.5,0.5095998691726215,0.5035350597481613,0.41745715853225207,0.3690417844804951,0.5538285445380767,0.5184862355191324,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.3450898129961927,0.04232804232804233,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-01,0.5738694864809831,0.24184508463176774,0.5660919599135816,0.4103690517525922,0.41747463882258595,0.618307840626626,0.43772589467626577,0.80809041366446,0.8237968021053471,0.3606751413889343,0.4642570281124443,0.3463035019455266,0.01808785529715762,0.03253796095444685,0.040169133192389,0.14832535885167467,0.3844221105527638,0.6410891089108911,0.8719556118909823,0.8197868471913388,0.9508324538133136,0.9836309523809522,0.7368421052631579,0.0,0.0,0.5,0.5095998691726215,0.5035350597481613,0.41745715853225207,0.3690417844804951,0.5538285445380767,0.5184862355191324,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.40712714074421674,0.04232804232804233,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-01,0.5202133728661289,0.21896589360409208,0.3403996115884361,0.2675624822281999,0.1638939074732521,0.4149237323884224,0.2244071647862292,0.8116747741487144,0.8250328960484868,0.5736708717261573,0.43212851405622554,0.5125069483046181,0.02325581395348837,0.03036876355748373,0.03805496828752642,0.16985645933014354,0.42211055276381904,0.6856435643564356,0.8700944517556296,0.8190508526074041,0.9508324538133136,0.9821428571428571,0.7368421052631579,0.0,0.0,0.5,0.5095998691726215,0.5035350597481613,0.41745715853225207,0.3690417844804951,0.5538285445380767,0.5184862355191324,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.6544999908956352,0.0343915343915344,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-01,0.5260169259203805,0.1882046501749273,0.3642236567725677,0.28275555157897586,0.19110932152026497,0.43626436412371666,0.24723552474024868,0.839252404813284,0.8252322660393158,0.5346835499697278,0.48112449799196316,0.49527515286270263,0.020671834625322995,0.03036876355748373,0.03805496828752642,0.16028708133971295,0.43216080402010043,0.7128712871287128,0.8685075931403109,0.8183137485950094,0.9508324538133136,0.9791666666666665,0.7368421052631579,0.0,0.0,0.5,0.5095998691726215,0.5035350597481613,0.41745715853225207,0.3690417844804951,0.5538285445380767,0.5184862355191324,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.6120910821344223,0.03703703703703705,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,0.5430528740436708,0.2191517354084685,0.36910393555115734,0.285951969304845,0.19700231898030734,0.4405445603097871,0.25213248356801277,0.8258659156578033,0.8243151640815025,0.45468355458425286,0.5759036144578348,0.4919399666481389,0.02842377260981912,0.03253796095444685,0.03805496828752642,0.16985645933014354,0.4396984924623115,0.7178217821782178,0.8679839320713773,0.8230184112605415,0.9508324538133136,0.9776785714285714,0.7280701754385965,0.0,0.0,0.5,0.5095998691726215,0.5035350597481613,0.41745715853225207,0.3690417844804951,0.5538285445380767,0.5184862355191324,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5090766294747028,0.04232804232804233,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-01,0.6080159110285538,0.22646446291718536,0.6426382350871722,0.4589555679034258,0.5040537100268807,0.6871230648926905,0.5104738461829468,0.8081269887714422,0.8244746600741657,0.28388189224908494,0.4690763052208783,0.2884936075597495,0.031007751937984492,0.03036876355748373,0.03805496828752642,0.16028708133971295,0.414572864321608,0.693069306930693,0.8706180345164016,0.8277208420371615,0.9508324538133136,0.976190476190476,0.7280701754385965,0.0,0.0,0.5,0.5095998691726215,0.5035350597481613,0.41745715853225207,0.3690417844804951,0.5538285445380767,0.5184862355191324,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.30472564197226726,0.04232804232804233,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,0.5988055243728583,0.2287211133988991,0.6038566872408925,0.43442733194977023,0.4605205894134168,0.6521631624239006,0.4738466658940529,0.81160162393475,0.8275848319310978,0.3448101478246569,0.440160642570286,0.31739855475264594,0.010335917312661497,0.02603036876355748,0.03382663847780126,0.1674641148325359,0.43216080402010043,0.7128712871287128,0.8728032588777945,0.8324210404975909,0.9508324538133136,0.976190476190476,0.7280701754385965,0.0,0.0,0.5,0.5095998691726215,0.5035350597481613,0.41745715853225207,0.3690417844804951,0.5538285445380767,0.5184862355191324,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.38644503043538864,0.04232804232804233,0.0,0.0,0.0,0.0,0.0,0.0
