state,Pandemic_4,Pandemic_1,Pandemic_7,Pandemic_6,Pandemic_11,Pandemic_8,Year,Spare,M,Period
AR,7113,4314,382,355,0,0,2022,10,M,M10
AR,8754,4772,496,447,0,0,2022,11,M,M11
AR,16663,9179,872,815,0,0,2022,12,M,M12
AR,11272,6736,654,613,0,0,2023,1,M,M1
AR,3699,2070,127,116,0,0,2023,2,M,M2
AZ,129,109,17,11,0,0,2020,1,M,M1
AZ,114,98,26,24,0,0,2020,2,M,M2
AZ,5384,5260,1553,1547,158,142,2020,3,M,M3
AZ,14789,14179,3057,3037,964,864,2020,4,M,M4
AZ,32380,31590,4139,4137,873,819,2020,5,M,M5
AZ,143327,142295,12390,12376,2587,2496,2020,6,M,M6
AZ,173420,171236,19369,19218,3131,2968,2020,7,M,M7
AZ,45525,43667,4077,4023,445,371,2020,8,M,M8
AZ,33560,29386,2130,2058,182,144,2020,9,M,M9
AZ,66712,63471,5050,4913,651,541,2020,10,M,M10
AZ,209047,197736,21435,20839,2785,2462,2020,11,M,M11
AZ,432925,395154,34886,33569,7249,6416,2020,12,M,M12
AZ,396565,357738,25997,24777,5870,5117,2021,1,M,M1
AZ,89620,79815,6755,6476,934,795,2021,2,M,M2
AZ,45853,38115,2828,2702,173,147,2021,3,M,M3
AZ,43840,37149,3016,2890,107,101,2021,4,M,M4
AZ,34795,29419,2969,2873,123,105,2021,5,M,M5
AZ,27917,23414,2830,2706,142,134,2021,6,M,M6
AZ,77888,68398,6199,5938,597,547,2021,7,M,M7
AZ,181351,162123,12443,11998,1658,1534,2021,8,M,M8
AZ,153232,132802,8632,8219,1602,1436,2021,9,M,M9
AZ,149359,126060,8591,8001,1574,1360,2021,10,M,M10
AZ,217237,181605,13319,12218,2963,2624,2021,11,M,M11
AZ,257872,218249,12248,11386,3002,2574,2021,12,M,M12
AZ,1008756,864872,22919,21963,3915,3240,2022,1,M,M1
AZ,148642,126798,7059,6732,1129,913,2022,2,M,M2
AZ,34223,26354,2014,1938,123,99,2022,3,M,M3
AZ,27835,21182,1144,1092,66,62,2022,4,M,M4
AZ,87601,71253,3044,2883,183,162,2022,5,M,M5
AZ,146659,119514,4177,4026,366,304,2022,6,M,M6
AZ,158799,130358,5377,5066,274,247,2022,7,M,M7
AZ,83819,66471,3658,3481,152,131,2022,8,M,M8
AZ,19441,14729,1267,1215,55,49,2022,9,M,M9
AZ,21020,15782,1997,1944,90,75,2022,10,M,M10
AZ,50343,37840,5831,5635,368,307,2022,11,M,M11
AZ,44524,33518,5254,5090,323,291,2022,12,M,M12
AZ,16259,11558,2353,2279,18,18,2023,1,M,M1
AZ,8255,5895,839,805,0,0,2023,2,M,M2
CA,757,675,44,36,0,0,2020,1,M,M1
CA,972,943,294,294,0,0,2020,2,M,M2
CA,38770,38672,9668,9668,940,940,2020,3,M,M3
CA,93096,93000,17483,17481,4756,4756,2020,4,M,M4
CA,142469,142166,15914,15902,3730,3722,2020,5,M,M5
CA,348669,348001,25241,25229,4243,4241,2020,6,M,M6
CA,565649,561853,34653,34492,6262,6257,2020,7,M,M7
CA,303803,298519,19542,19402,3118,3110,2020,8,M,M8
CA,202604,197645,12241,12085,1237,1236,2020,9,M,M9
CA,249691,241321,14138,13937,1517,1514,2020,10,M,M10
CA,835098,800524,38975,38292,8750,8655,2020,11,M,M11
CA,2446327,2330162,96333,93726,36840,36045,2020,12,M,M12
CA,1755806,1668849,75144,73011,24415,23912,2021,1,M,M1
CA,364966,341382,19922,19350,2841,2798,2021,2,M,M2
CA,166979,153513,9535,9301,356,356,2021,3,M,M3
CA,132222,120811,7787,7617,94,94,2021,4,M,M4
CA,76666,70033,5507,5377,22,22,2021,5,M,M5
CA,71610,65996,5490,5341,0,0,2021,6,M,M6
CA,407689,379980,20141,19646,1219,1205,2021,7,M,M7
CA,829712,774488,37331,36232,5031,4929,2021,8,M,M8
CA,503736,462663,21854,21139,2578,2520,2021,9,M,M9
CA,358272,326841,16308,15830,1963,1905,2021,10,M,M10
CA,329825,303876,13867,13475,1602,1568,2021,11,M,M11
CA,1556383,1446676,23345,22676,3066,3027,2021,12,M,M12
CA,5601165,5104530,66033,63737,13329,13014,2022,1,M,M1
CA,706436,631945,18061,17464,1749,1702,2022,2,M,M2
CA,172162,155537,5403,5245,164,164,2022,3,M,M3
CA,284215,257758,4198,4029,76,74,2022,4,M,M4
CA,830800,743069,9132,8786,401,394,2022,5,M,M5
CA,1065395,955919,13501,12936,823,805,2022,6,M,M6
CA,1176239,1037031,19636,18614,1317,1286,2022,7,M,M7
CA,599864,521075,11094,10507,502,487,2022,8,M,M8
CA,145381,125731,4021,3821,233,230,2022,9,M,M9
CA,100923,86137,2978,2804,140,140,2022,10,M,M10
