"State","Year","Period","Pandemic_4","Pandemic_1","Pandemic_7","Pandemic_6","Pandemic_11","Pandemic_8"
"ID","2022","M11",5977,3635,246,216,0,0
"ID","2022","M12",5612,3344,265,247,0,0
"ID","2023","M01",3226,1909,122,114,0,0
"ID","2023","M02",2195,1099,54,46,0,0
"IL","2020","M01",58,28,6,6,0,0
"IL","2020","M02",136,130,60,60,0,0
"IL","2020","M03",35496,35125,12652,12616,2140,2114
"IL","2020","M04",125430,124695,26088,26004,6845,6689
"IL","2020","M05",101315,100712,13068,13012,3182,3072
"IL","2020","M06",45381,45071,4724,4702,328,314
"IL","2020","M07",85763,85197,6525,6489,330,310
"IL","2020","M08",120597,118594,7456,7428,584,570
"IL","2020","M09",125454,122174,7897,7843,759,735
"IL","2020","M10",402065,383266,17832,17546,3895,3671
"IL","2020","M11",612930,560928,21647,20697,7183,6109
"IL","2020","M12",399496,339290,16768,15587,4553,3648
"IL","2021","M01",254724,207960,13842,12510,1825,1516
"IL","2021","M02",100368,80942,6245,5713,434,374
"IL","2021","M03",140280,115035,9500,8698,578,520
"IL","2021","M04",162308,133785,12655,11573,762,682
"IL","2021","M05",63821,50845,5942,5415,248,212
"IL","2021","M06",19108,14854,1972,1818,0,0
"IL","2021","M07",93390,74616,6489,5792,242,200
"IL","2021","M08",232148,182667,14233,12698,1074,904
"IL","2021","M09",186135,145304,10373,9258,624,518
"IL","2021","M10",143909,111652,8096,7342,476,426
"IL","2021","M11",309772,249964,17434,16104,1683,1491
"IL","2021","M12",1351667,1067410,41403,38577,5133,4589
"IL","2022","M01",918339,749022,24778,23268,2898,2398
"IL","2022","M02",90158,75793,3953,3653,125,92
"IL","2022","M03",64307,54777,2222,2126,11,8
"IL","2022","M04",211808,182063,4621,4477,58,52
"IL","2022","M05",329064,279091,6979,6729,90,86
"IL","2022","M06",241652,199918,5160,4958,88,75
"IL","2022","M07",279595,226869,5374,5131,136,104
"IL","2022","M08",171117,136288,3914,3731,75,59
"IL","2022","M09",54915,45605,2905,2790,67,56
"IL","2022","M10",61686,49585,2954,2796,38,32
"IL","2022","M11",75912,60530,2709,2592,53,43
"IL","2022","M12",81619,63741,4394,4186,103,92
"IL","2023","M01",46653,36144,1367,1308,35,32
"IL","2023","M02",17230,12781,229,209,0,0
"IN","2020","M01",47,34,8,8,0,0
"IN","2020","M02",103,99,38,38,0,0
"IN","2020","M03",11442,11441,3999,3999,320,320
"IN","2020","M04",31411,31376,4301,4299,1305,1305
"IN","2020","M05",28466,28432,2305,2303,311,311
"IN","2020","M06",23943,23917,1237,1237,75,75
"IN","2020","M07",45218,44943,1366,1365,11,11
"IN","2020","M08",54234,50919,1387,1342,12,11
"IN","2020","M09",53421,49516,1050,975,143,141
"IN","2020","M10",133047,120721,2405,2288,653,518
"IN","2020","M11",346753,303287,3044,2755,2684,1988
"IN","2020","M12",335279,272366,2399,2203,2464,1903
"IN","2021","M01",203731,154510,1599,1479,652,500
"IN","2021","M02",64125,43457,622,566,0,0
"IN","2021","M03",53079,34777,362,338,0,0
"IN","2021","M04",66630,45074,792,750,0,0
"IN","2021","M05",42495,27910,524,494,0,0
"IN","2021","M06",14872,9699,212,190,0,0
"IN","2021","M07",40394,27189,328,294,0,0
"IN","2021","M08",195949,142428,1284,1092,166,137
"IN","2021","M09",201379,140323,1671,1391,368,295
"IN","2021","M10",111515,73880,850,782,105,87
"IN","2021","M11",176530,116957,1305,1195,463,365
"IN","2021","M12",343407,251636,2389,2151,1111,936
"IN","2022","M01",715761,536707,1407,1316,1383,1118
"IN","2022","M02",82017,59253,205,191,11,10
"IN","2022","M03",15232,10694,42,41,0,0
"IN","2022","M04",23224,16431,48,32,0,0
"IN","2022","M05",68894,48317,156,134,0,0
"IN","2022","M06",80050,55771,252,196,0,0
"IN","2022","M07",117733,81302,325,248,0,0
"IN","2022","M08",110715,75063,308,210,0,0
"IN","2022","M09",23592,15390,105,71,0,0
"IN","2022","M10",19324,12485,97,64,0,0
"IN","2022","M11",27441,17179,126,88,0,0
"IN","2022","M12",37400,23584,239,193,12,9
"IN","2023","M01",19844,12684,132,97,0,0
"IN","2023","M02",10496,6444,68,54,0,0
"KS","2020","M01",0,0,0,0,0,0
"KS","2020","M02",0,0,0,0,0,0
"KS","2020","M03",2128,2012,667,661,26,26
"KS","2020","M04",9201,8916,911,901,93,89
"KS","2020","M05",9986,9652,788,778,32,32
"KS","2020","M06",13141,12651,974,950,23,22
"KS","2020","M07",26898,25895,2086,2018,52,52
"KS","2020","M08",32369,30114,1939,1864,83,83
"KS","2020","M09",35908,30948,2369,2178,205,191
"KS","2020","M10",62067,50912,3804,3385,692,618
"KS","2020","M11",159992,127686,8445,7327,2052,1651
"KS","2020","M12",132297,99656,7456,6209,1438,1073
"KS","2021","M01",92887,68193,4839,4042,518,396
"KS","2021","M02",28732,19781,1578,1320,72,50
"KS","2021","M03",14204,10304,877,733,0,0
"KS","2021","M04",13663,10163,1095,968,0,0
"KS","2021","M05",8221,6051,808,752,0,0
"KS","2021","M06",8039,5986,762,670,0,0
"KS","2021","M07",36553,28681,2562,2212,134,106
"KS","2021","M08",81204,61274,4435,3759,360,279
"KS","2021","M09",73056,53403,3968,3353,281,199
"KS","2021","M10",50982,35350,3063,2461,220,143
"KS","2021","M11",71988,48596,3805,3057,288,203
"KS","2021","M12",128767,91236,5994,4991,499,388
"KS","2022","M01",409051,288341,11562,9465,885,665
"KS","2022","M02",47031,33819,2584,2178,223,159
"KS","2022","M03",6554,4729,470,408,0,0
"KS","2022","M04",12560,8967,459,382,0,0
"KS","2022","M05",26058,18505,935,712,0,0
"KS","2022","M06",40861,27772,1482,1224,0,0
"KS","2022","M07",61572,42095,2115,1633,36,14
"KS","2022","M08",30315,19655,733,557,30,17
"KS","2022","M09",13584,8611,367,292,0,0
"KS","2022","M10",9002,5911,293,229,12,7
"KS","2022","M11",13267,8427,361,294,17,9
"KS","2022","M12",16023,10302,467,378,45,31
"KS","2023","M01",9385,5793,282,247,0,0
"KS","2023","M02",4519,2710,154,135,0,0
"KY","2020","M01",207,145,6,6,0,0
"KY","2020","M02",83,52,10,8,0,0
"KY","2020","M03",3391,3290,895,887,36,36
"KY","2020","M04",7986,7901,1136,1126,306,306
"KY","2020","M05",8703,8461,802,778,94,90
"KY","2020","M06",11463,10708,795,787,56,56
"KY","2020","M07",28965,25378,1380,1342,90,88
"KY","2020","M08",31398,25884,1414,1356,168,160
"KY","2020","M09",32494,24068,1372,1286,186,174
"KY","2020","M10",62907,47265,2874,2612,661,576
"KY","2020","M11",126017,97323,5184,4786,1460,1224
"KY","2020","M12",131809,94698,5480,4982,1326,1139
"KY","2021","M01",170986,120179,5998,5397,741,635
"KY","2021","M02",66932,44025,3069,2836,203,161
"KY","2021","M03",36324,23317,1781,1625,58,54
"KY","2021","M04",32561,20805,1825,1613,37,30
"KY","2021","M05",20776,13571,1382,1289,0,0
"KY","2021","M06",12614,8672,881,808,0,0
"KY","2021","M07",53403,33948,2466,2187,81,69
"KY","2021","M08",222275,147159,7365,6475,802,621
"KY","2021","M09",215758,143016,6660,5947,909,684
"KY","2021","M10",83397,52159,3116,2815,248,198
"KY","2021","M11",89832,54133,2849,2549,321,275
"KY","2021","M12",178709,114027,4895,4435,854,724
"KY","2022","M01",544238,352313,8227,7651,1356,1083
"KY","2022","M02",162761,103015,3811,3527,491,372
"KY","2022","M03",31896,21097,898,840,49,33
"KY","2022","M04",17101,11339,530,516,0,0
"KY","2022","M05",54858,35093,1128,1062,13,7
"KY","2022","M06",77222,48066,1725,1620,89,66
"KY","2022","M07",117966,71530,2778,2577,93,55
"KY","2022","M08",103887,59621,2040,1892,78,58
"KY","2022","M09",33394,19918,817,767,67,50
"KY","2022","M10",19973,11967,638,599,41,24
"KY","2022","M11",22381,13274,765,726,39,30
"KY","2022","M12",28922,16122,952,896,59,40
"KY","2023","M01",15090,8814,514,481,0,0
"KY","2023","M02",76,37,0,0,0,0
"LA","2020","M01",102,72,2,2,0,0
"LA","2020","M02",89,88,33,32,0,0
"LA","2020","M03",28884,28868,1373,1366,457,457
"LA","2020","M04",32609,32590,930,930,535,535
"LA","2020","M05",21146,21137,618,618,61,61
"LA","2020","M06",58130,58010,1509,1507,0,0
"LA","2020","M07",115038,113914,3249,3249,151,151
"LA","2020","M08",56088,54604,1752,1740,57,57
"LA","2020","M09",38389,36242,1156,1110,13,13
"LA","2020","M10",43002,37049,1314,1204,0,0
"LA","2020","M11",109939,88162,2416,2202,188,183
"LA","2020","M12",164844,126909,2658,2454,348,328
"LA","2021","M01",158118,117863,2346,2156,228,220
"LA","2021","M02",47881,34620,1132,1036,0,0
"LA","2021","M03",28547,19428,844,760,0,0
"LA","2021","M04",26570,18462,822,718,0,0
"LA","2021","M05",25579,18542,800,710,0,0
"LA","2021","M06",21749,15826,677,605,0,0
"LA","2021","M07",155719,113518,1028,922,83,77
"LA","2021","M08",288516,204280,876,794,287,256
"LA","2021","M09",90474,63064,978,852,23,20
"LA","2021","M10",32658,21930,464,396,0,0
"LA","2021","M11",24273,15548,366,302,0,0
"LA","2021","M12",229227,161552,355,309,0,0
"LA","2022","M01",595720,409509,491,427,231,208
"LA","2022","M02",74341,52086,120,106,0,0
"LA","2022","M03",9509,7024,6,6,0,0
"LA","2022","M04",10367,7886,0,0,0,0
"LA","2022","M05",50741,35141,12,10,0,0
"LA","2022","M06",100664,64706,2,2,0,0
"LA","2022","M07",148686,91339,20,18,0,0
"LA","2022","M08",88803,52653,2,2,0,0
"LA","2022","M09",23078,12943,0,0,0,0
"LA","2022","M10",9399,5334,1,1,0,0
"LA","2022","M11",12680,7879,2,2,0,0
"LA","2022","M12",25190,15356,2,2,0,0
"LA","2023","M01",28686,17598,2,2,0,0
"LA","2023","M02",12436,7607,0,0,0,0
"MA","2020","M01",174,64,10,6,0,0
"MA","2020","M02",526,200,64,56,0,0
"MA","2020","M03",28949,26475,5304,5246,1118,1108
"MA","2020","M04",112398,110680,13292,13162,10450,10074
"MA","2020","M05",62015,57479,4363,4235,2882,2670
"MA","2020","M06",16197,13536,950,908,220,194
"MA","2020","M07",18364,13822,616,584,60,48
"MA","2020","M08",20830,17666,614,590,0,0
"MA","2020","M09",26242,24900,840,820,0,0
"MA","2020","M10",56871,53687,1384,1332,290,262
"MA","2020","M11",156716,148893,3100,3010,1316,1244
"MA","2020","M12",302108,286018,4786,4704,3168,3032
"MA","2021","M01",275294,256052,3783,3659,2348,2206
"MA","2021","M02",108287,98711,1516,1434,452,400
"MA","2021","M03",116134,103769,1180,1132,76,72
"MA","2021","M04",99269,88612,1010,966,24,24
"MA","2021","M05",29730,26078,512,500,0,0
"MA","2021","M06",6280,5425,211,204,0,0
"MA","2021","M07",26148,23494,571,556,0,0
"MA","2021","M08",84748,78247,1462,1424,168,158
"MA","2021","M09",102063,95056,1638,1587,244,234
"MA","2021","M10",81837,75349,1457,1409,314,300
"MA","2021","M11",154677,141594,2346,2270,606,578
"MA","2021","M12",501255,464535,4115,3976,1488,1394
"MA","2022","M01",883420,795155,5337,5139,3142,2810
"MA","2022","M02",100307,90085,1227,1167,237,186
"MA","2022","M03",56987,51405,594,583,22,16
"MA","2022","M04",130776,119067,1291,1257,103,84
"MA","2022","M05",224153,195106,2224,2168,442,359
"MA","2022","M06",102941,90738,1246,1226,224,164
"MA","2022","M07",95546,84753,1555,1516,219,158
"MA","2022","M08",71641,63653,1219,1177,182,143
"MA","2022","M09",40967,35884,828,811,187,143
"MA","2022","M10",34834,29760,815,792,323,245
"MA","2022","M11",26856,22463,679,657,215,155
"MA","2022","M12",46798,39197,1074,1043,388,293
"MA","2023","M01",35820,29023,987,964,363,269
"MA","2023","M02",12148,9770,275,267,0,0
"MD","2020","M01",46,44,6,6,0,0
"MD","2020","M02",44,44,14,14,0,0
"MD","2020","M03",6330,6298,1396,1396,146,146
"MD","2020","M04",36000,35985,3040,3037,1804,1802
"MD","2020","M05",50117,50097,1884,1878,1316,1314
"MD","2020","M06",32276,32272,1032,1030,108,108
"MD","2020","M07",49290,49217,1636,1629,22,22
"MD","2020","M08",33292,32846,1572,1566,0,0
"MD","2020","M09",34848,33862,1295,1291,0,0
"MD","2020","M10",48851,46513,1963,1926,28,28
"MD","2020","M11",115084,105261,4053,3809,634,614
"MD","2020","M12",142847,122631,4583,4214,816,814
"MD","2021","M01",146047,120882,1476,1368,544,538
"MD","2021","M02",83408,71054,2507,2261,206,204
"MD","2021","M03",93167,74871,3384,2924,68,68
"MD","2021","M04",81466,66841,3776,3370,26,26
"MD","2021","M05",35308,29552,1526,1404,0,0
"MD","2021","M06",14547,12767,206,204,0,0
"MD","2021","M07",22088,16294,614,564,0,0
"MD","2021","M08",61474,49911,1796,1660,0,0
"MD","2021","M09",91289,79653,1727,1609,0,0
"MD","2021","M10",67471,55972,1791,1689,0,0
"MD","2021","M11",78140,60792,2286,2113,0,0
"MD","2021","M12",93394,72959,10057,9358,26,26
"MD","2022","M01",126455,99515,12300,11593,108,106
"MD","2022","M02",34808,27358,2876,2748,0,0
"MD","2022","M03",17998,13070,971,919,0,0
"MD","2022","M04",111877,85337,1360,1254,0,0
"MD","2022","M05",787747,626497,3284,3056,26,26
"MD","2022","M06",171626,128475,3178,2986,0,0
"MD","2022","M07",106575,76245,2642,2430,0,0
"MD","2022","M08",110327,78203,952,871,0,0
"MD","2022","M09",29415,20206,378,340,0,0
"MD","2022","M10",9228,5992,422,386,0,0
"MD","2022","M11",9826,6184,365,324,0,0
"MD","2022","M12",16029,9884,738,671,0,0
"MD","2023","M01",10660,7277,290,270,0,0
"MD","2023","M02",477,307,4,4,0,0
"ME","2020","M01",39,33,0,0,0,0
"ME","2020","M02",48,10,2,2,0,0
"ME","2020","M03",1366,1095,238,238,0,0
"ME","2020","M04",1345,1251,144,144,24,22
"ME","2020","M05",2245,2076,228,228,32,30
"ME","2020","M06",1740,1657,126,124,0,0
"ME","2020","M07",1175,1088,42,42,0,0
"ME","2020","M08",1311,1189,66,66,0,0
"ME","2020","M09",1737,1597,70,70,0,0
"ME","2020","M10",3331,2970,159,155,0,0
"ME","2020","M11",14530,12747,630,618,26,26
"ME","2020","M12",24612,19838,740,726,202,197
"ME","2021","M01",26631,19402,535,514,135,125
"ME","2021","M02",10017,6457,191,178,0,0
"ME","2021","M03",13392,8282,305,277,0,0
"ME","2021","M04",21783,14237,377,359,0,0
"ME","2021","M05",10797,6815,292,274,0,0
"ME","2021","M06",2210,1502,82,82,0,0
"ME","2021","M07",3502,2204,146,141,0,0
"ME","2021","M08",14237,9069,408,367,24,22
"ME","2021","M09",27945,18995,462,428,0,0
"ME","2021","M10",27121,19424,652,626,24,24
"ME","2021","M11",41656,30502,773,738,80,72
"ME","2021","M12",55670,44053,855,818,183,169
"ME","2022","M01",93088,69152,869,843,232,197
"ME","2022","M02",56519,37876,547,519,0,0
"ME","2022","M03",14967,9631,285,275,0,0
"ME","2022","M04",19365,13719,334,316,0,0
"ME","2022","M05",32820,22001,478,467,0,0
"ME","2022","M06",12959,9215,327,313,0,0
"ME","2022","M07",12098,8924,353,347,0,0
"ME","2022","M08",11018,7696,337,330,0,0
"ME","2022","M09",7097,4798,281,272,0,0
"ME","2022","M10",7420,4926,287,270,24,13
"ME","2022","M11",3840,2518,154,151,0,0
"ME","2022","M12",5001,3376,211,207,0,0
"ME","2023","M01",4766,2845,202,200,0,0
"ME","2023","M02",2085,1246,43,43,0,0
"MI","2020","M01",252,185,29,28,0,0
"MI","2020","M02",288,154,63,53,0,0
"MI","2020","M03",27275,25587,10427,10399,2561,2548
"MI","2020","M04",33141,31257,7828,7754,3664,3538
"MI","2020","M05",19087,18410,1852,1834,344,334
"MI","2020","M06",13573,13143,784,778,44,44
"MI","2020","M07",28012,26737,1471,1464,0,0
"MI","2020","M08",28962,27642,1436,1432,106,106
"MI","2020","M09",37712,36798,1733,1726,84,84
"MI","2020","M10",87812,87697,4413,4409,680,658
"MI","2020","M11",200689,200442,9116,9102,3334,3323
"MI","2020","M12",188965,188576,7742,7730,2969,2911
"MI","2021","M01",161783,156040,5167,5057,1257,1193
"MI","2021","M02",66722,62439,2507,2456,271,259
"MI","2021","M03",168397,158635,5490,5398,486,459
"MI","2021","M04",248877,237239,7948,7786,1954,1876
"MI","2021","M05",105560,101109,3783,3721,696,676
"MI","2021","M06",61389,60774,1117,1106,24,24
"MI","2021","M07",65794,64095,1217,1204,0,0
"MI","2021","M08",84137,78444,3162,3075,182,178
"MI","2021","M09",123861,114184,3471,3401,441,416
"MI","2021","M10",169656,156590,4791,4691,1127,1064
"MI","2021","M11",220260,201217,7139,6958,2935,2730
"MI","2021","M12",261195,243230,6832,6710,3492,3270
"MI","2022","M01",408383,371146,5614,5491,2825,2596
"MI","2022","M02",451269,438307,2281,2235,796,732
"MI","2022","M03",262121,255069,985,971,86,79
"MI","2022","M04",210766,186441,1164,1135,26,20
"MI","2022","M05",172831,145524,1939,1882,206,185
"MI","2022","M06",106409,91574,1438,1406,137,114
"MI","2022","M07",117164,99291,1597,1541,122,110
"MI","2022","M08",119255,99085,1702,1659,216,174
"MI","2022","M09",86801,68452,1211,1172,246,205
"MI","2022","M10",69797,54914,1217,1177,269,214
"MI","2022","M11",296807,185647,1097,1058,231,204
"MI","2022","M12",53413,41704,1197,1173,215,184
"MI","2023","M01",33971,23109,759,732,40,33
"MI","2023","M02",14730,10610,328,321,0,0
"MN","2020","M01",0,0,0,0,0,0
"MN","2020","M02",32,32,8,8,0,0
"MN","2020","M03",2496,2486,644,644,56,56
"MN","2020","M04",16598,16580,2500,2494,966,966
"MN","2020","M05",36446,36424,3922,3920,986,986
"MN","2020","M06",23430,23430,1686,1686,25,25
"MN","2020","M07",40386,40382,2338,2338,0,0
"MN","2020","M08",41780,41772,2582,2580,138,138
"MN","2020","M09",52572,51884,2891,2889,266,256
"MN","2020","M10",124325,121061,6547,6501,861,809
"MN","2020","M11",366503,350488,14735,14441,3132,2906
"MN","2020","M12",157830,145014,8282,7774,1556,1396
"MN","2021","M01",76766,66562,4009,3735,243,227
"MN","2021","M02",44225,37332,2375,2217,0,0
"MN","2021","M03",82169,68447,3986,3648,22,22
"MN","2021","M04",109725,91789,5864,5370,24,24
"MN","2021","M05",39451,32889,2804,2640,0,0
"MN","2021","M06",8004,6722,1006,964,0,0
"MN","2021","M07",22234,18757,1760,1645,0,0
"MN","2021","M08",83623,73762,4625,4425,32,32
"MN","2021","M09",138105,116361,6064,5632,209,195
"MN","2021","M10",156649,130449,6848,6426,469,419
"MN","2021","M11",246831,196352,10390,9565,1044,943
"MN","2021","M12",268807,212654,9325,8702,540,494
"MN","2022","M01",608613,489238,12833,12363,800,697
"MN","2022","M02",92503,77119,4088,3990,37,29
"MN","2022","M03",25862,21677,1631,1611,0,0
"MN","2022","M04",56012,46775,2102,2052,0,0
"MN","2022","M05",115062,94381,4322,4155,34,28
"MN","2022","M06",85563,69933,3873,3759,11,8
"MN","2022","M07",83071,66893,4237,4122,0,0
"MN","2022","M08",73590,60023,3903,3810,26,16
"MN","2022","M09",26597,22073,1944,1887,19,15
"MN","2022","M10",23194,19166,2043,1970,33,20
"MN","2022","M11",23433,20035,2230,2173,85,53
"MN","2022","M12",24060,20362,2422,2372,70,37
"MN","2023","M01",18201,15274,1717,1682,14,10
"MN","2023","M02",10929,9322,827,812,0,0
"MO","2020","M01",207,164,10,6,0,0
"MO","2020","M02",83,65,4,4,0,0
"MO","2020","M03",6637,6450,1183,1177,141,139
"MO","2020","M04",12295,12020,1682,1674,881,820
"MO","2020","M05",11618,11229,1158,1150,350,278
"MO","2020","M06",24188,23492,1343,1329,177,122
"MO","2020","M07",63045,61697,2875,2836,268,219
"MO","2020","M08",74930,72174,3735,3653,483,397
"MO","2020","M09",96695,91799,3608,3441,640,527
"MO","2020","M10",141391,129681,4765,4472,1205,949
"MO","2020","M11",279402,248159,5718,5131,2780,2231
"MO","2020","M12",228080,183660,5202,4632,2082,1598
"MO","2021","M01",153752,113659,3546,3133,1010,806
"MO","2021","M02",47585,32751,1386,1229,99,75
"MO","2021","M03",34176,21970,952,834,25,21
"MO","2021","M04",35972,23748,1140,1029,33,27
"MO","2021","M05",25896,17873,1179,1056,31,18
"MO","2021","M06",42631,30393,1764,1519,136,111
"MO","2021","M07",133287,101074,3736,3290,618,523
"MO","2021","M08",157973,121047,3709,3320,865,683
"MO","2021","M09",116920,88871,2489,2186,378,274
"MO","2021","M10",64601,48865,1486,1334,186,144
"MO","2021","M11",98257,73603,2124,1869,454,361
"MO","2021","M12",250154,192053,3790,3373,1243,1063
"MO","2022","M01",646778,496964,3761,3279,1926,1537
"MO","2022","M02",83186,64828,1545,1423,167,117
"MO","2022","M03",15319,12200,496,474,0,0
"MO","2022","M04",23818,18563,337,314,0,0
"MO","2022","M05",64826,50578,455,405,0,0
"MO","2022","M06",102518,77995,688,589,0,0
"MO","2022","M07",121546,90793,890,798,80,58
"MO","2022","M08",78864,57170,574,502,32,23
"MO","2022","M09",32822,22699,327,294,13,8
"MO","2022","M10",20640,14270,265,247,0,0
"MO","2022","M11",24000,16137,242,228,0,0
"MO","2022","M12",33502,22155,371,346,12,10
"MO","2023","M01",19919,13143,197,189,0,0
"MO","2023","M02",9135,5673,55,50,0,0
"MS","2020","M01",0,0,0,0,0,0
"MS","2020","M02",34,30,8,8,0,0
"MS","2020","M03",3386,3332,818,818,130,120
"MS","2020","M04",11440,11400,2002,2000,428,426
"MS","2020","M05",16414,16264,1878,1858,346,342
"MS","2020","M06",23917,23491,1994,1954,316,308
"MS","2020","M07",32413,28829,2624,2386,856,778
"MS","2020","M08",8385,6631,562,490,214,156
"MS","2020","M09",5161,4597,24,22,0,0
"MS","2020","M10",909,723,36,34,0,0
"MS","2020","M11",1163,1081,24,20,0,0
"MS","2020","M12",1320,1164,14,14,0,0
"MS","2021","M01",900,766,6,2,0,0
"MS","2021","M02",334,270,16,14,0,0
"MS","2021","M03",200,158,12,10,0,0
"MS","2021","M04",314,256,8,6,0,0
"MS","2021","M05",176,150,12,12,0,0
"MS","2021","M06",54,46,4,4,0,0
"MS","2021","M07",421,323,22,18,0,0
"MS","2021","M08",1745,1543,28,26,0,0
"MS","2021","M09",1309,812,23,23,0,0
"MS","2021","M10",271,185,4,4,0,0
"MS","2021","M11",270,211,5,5,0,0
"MS","2021","M12",2573,2226,18,18,0,0
"MS","2022","M01",5733,4766,46,46,0,0
"MS","2022","M02",567,465,8,8,0,0
"MS","2022","M03",78,56,0,0,0,0
"MS","2022","M04",120,94,2,0,0,0
"MS","2022","M05",511,424,2,2,0,0
"MS","2022","M06",1026,812,20,20,0,0
"MS","2022","M07",1063,841,23,21,0,0
"MS","2022","M08",814,653,12,12,0,0
"MS","2022","M09",183,142,4,4,0,0
"MS","2022","M10",120,93,3,3,0,0
"MS","2022","M11",169,139,6,5,0,0
"MS","2022","M12",395,299,11,10,0,0
"MS","2023","M01",244,196,7,7,0,0
"MS","2023","M02",90,67,1,1,0,0
"MT","2020","M01",0,0,0,0,0,0
"MT","2020","M02",0,0,0,0,0,0
"MT","2020","M03",636,632,82,82,0,0
"MT","2020","M04",258,250,44,44,0,0
"MT","2020","M05",180,178,20,20,0,0
"MT","2020","M06",1512,1510,86,86,0,0
"MT","2020","M07",6348,6320,424,424,58,58
"MT","2020","M08",6779,6725,434,434,0,0
"MT","2020","M09",14693,14435,790,786,162,162
"MT","2020","M10",39864,38492,2034,1962,532,490
"MT","2020","M11",61467,56951,2529,2341,576,486
"MT","2020","M12",34671,29406,1592,1364,298,236
"MT","2021","M01",22520,17733,886,730,28,22
"MT","2021","M02",10827,8146,492,426,56,42
"MT","2021","M03",8929,6862,284,238,0,0
"MT","2021","M04",7816,5912,470,406,0,0
"MT","2021","M05",5941,4696,504,432,0,0
"MT","2021","M06",3528,2815,390,344,0,0
"MT","2021","M07",6731,5642,634,590,0,0
"MT","2021","M08",25683,20844,1845,1673,74,70
"MT","2021","M09",50160,36741,2769,2370,252,152
"MT","2021","M10",51260,35678,2710,2263,374,264
"MT","2021","M11",25516,18041,1406,1164,131,80
"MT","2021","M12",15771,10952,709,605,26,20
"MT","2022","M01",82160,54405,1163,1009,36,23
"MT","2022","M02",12961,8436,230,200,0,0
"MT","2022","M03",1359,943,53,49,0,0
"MT","2022","M04",876,491,40,36,0,0
"MT","2022","M05",2828,1649,102,90,0,0
"MT","2022","M06",4251,2728,148,132,0,0
"MT","2022","M07",5117,3520,241,219,0,0
"MT","2022","M08",4037,2866,113,102,0,0
"MT","2022","M09",1421,1015,38,36,0,0
"MT","2022","M10",1052,810,49,44,0,0
"MT","2022","M11",1260,889,57,55,0,0
"MT","2022","M12",1456,1141,64,59,0,0
"MT","2023","M01",870,694,43,41,0,0
"MT","2023","M02",439,353,13,11,0,0
"NC","2020","M01",114,99,13,9,0,0
"NC","2020","M02",98,86,4,4,0,0
"NC","2020","M03",6862,6836,1343,1343,38,38
"NC","2020","M04",19919,19889,2584,2584,322,322
"NC","2020","M05",42219,42125,3372,3372,167,167
"NC","2020","M06",90783,89674,4426,4396,78,78
"NC","2020","M07",120689,116346,6424,6350,334,332
"NC","2020","M08",130057,123747,6870,6695,549,542
"NC","2020","M09",121092,111611,6576,6333,295,280
"NC","2020","M10",187738,167685,8677,8144,908,845
"NC","2020","M11",301764,262884,11330,10196,1480,1258
"NC","2020","M12",574671,480118,16976,14609,4292,3430
"NC","2021","M01",397817,324073,10042,8541,1715,1368
"NC","2021","M02",156414,123948,3970,3392,0,0
"NC","2021","M03",102170,76458,2975,2555,0,0
"NC","2021","M04",104388,79630,3271,2888,11,8
"NC","2021","M05",54001,41059,2132,1925,25,23
"NC","2021","M06",24073,17658,1195,1060,0,0
"NC","2021","M07",103248,81480,3643,3263,0,0
"NC","2021","M08",366564,304921,9434,8584,604,531
"NC","2021","M09",336501,280855,7761,7073,302,278
"NC","2021","M10",140482,113237,3662,3370,0,0
"NC","2021","M11",118403,93885,3293,2979,0,0
"NC","2021","M12",438295,360704,5855,5313,398,346
"NC","2022","M01",1497458,1241558,9534,8494,2360,1938
"NC","2022","M02",232797,184453,3151,2755,127,101
"NC","2022","M03",32665,25825,618,567,0,0
"NC","2022","M04",74404,59942,582,545,0,0
"NC","2022","M05",219446,175181,1499,1350,0,0
"NC","2022","M06",215372,169180,1682,1496,11,9
"NC","2022","M07",269629,207985,2412,2157,0,0
"NC","2022","M08",197181,153526,2071,1848,14,11
"NC","2022","M09",74669,56259,870,802,0,0
"NC","2022","M10",38227,28185,609,561,0,0
"NC","2022","M11",33957,25375,539,505,0,0
"NC","2022","M12",81239,56990,1078,1002,25,18
"NC","2023","M01",69430,49191,861,807,0,0
"NC","2023","M02",24862,17642,261,250,0,0
"ND","2020","M01",0,0,0,0,0,0
"ND","2020","M02",0,0,0,0,0,0
"ND","2020","M03",444,444,66,66,0,0
"ND","2020","M04",1991,1991,138,138,46,46
"ND","2020","M05",3065,3055,178,178,72,72
"ND","2020","M06",2143,2142,126,126,0,0
"ND","2020","M07",6492,6490,324,324,0,0
"ND","2020","M08",11832,11828,434,434,0,0
"ND","2020","M09",21924,21886,874,874,304,304
"ND","2020","M10",52218,51256,2005,1987,551,543
"ND","2020","M11",66684,64252,2137,2081,807,765
"ND","2020","M12",19064,16107,874,790,54,46
"ND","2021","M01",9377,6794,327,283,0,0
"ND","2021","M02",5028,3266,175,150,0,0
"ND","2021","M03",7264,4554,212,180,0,0
"ND","2021","M04",8478,5238,394,316,0,0
"ND","2021","M05",4263,2845,270,220,0,0
"ND","2021","M06",1265,906,102,92,0,0
"ND","2021","M07",2442,1621,125,102,0,0
"ND","2021","M08",14298,11376,800,693,0,0
"ND","2021","M09",30336,19973,1261,1001,0,0
"ND","2021","M10",31538,19640,1219,938,77,46
