"State","Year","Period","Pandemic_4","Pandemic_1","Pandemic_7","Pandemic_6","Pandemic_11","Pandemic_8"
"AL","2022","M11",14332,9452,157,118,0,0
"AL","2022","M12",33261,20473,330,232,0,0
"AL","2023","M01",33938,20203,217,160,0,0
"AL","2023","M02",16238,7822,91,62,0,0
"AR","2020","M01",34,26,8,8,0,0
"AR","2020","M02",36,18,0,0,0,0
"AR","2020","M03",2312,2294,500,500,0,0
"AR","2020","M04",5490,5394,624,620,28,28
"AR","2020","M05",10708,10682,932,930,26,26
"AR","2020","M06",32922,32870,2110,2106,0,0
"AR","2020","M07",42621,42015,3218,3202,238,228
"AR","2020","M08",37275,35482,2612,2574,148,134
"AR","2020","M09",43611,38393,2842,2698,436,380
"AR","2020","M10",57932,46542,3912,3458,760,620
"AR","2020","M11",106026,79750,5218,4462,1244,958
"AR","2020","M12",145473,105218,6032,5104,1260,930
"AR","2021","M01",129805,89155,4446,3728,748,478
"AR","2021","M02",38220,25534,1968,1666,36,24
"AR","2021","M03",13126,8926,954,826,0,0
"AR","2021","M04",10952,7354,920,804,0,0
"AR","2021","M05",11366,7395,1074,906,0,0
"AR","2021","M06",19486,12490,1748,1472,26,20
"AR","2021","M07",83281,55367,5078,4238,468,354
"AR","2021","M08",136845,88114,6383,5419,592,436
"AR","2021","M09",74794,46360,3530,2988,198,106
"AR","2021","M10",31401,19752,1681,1467,60,34
"AR","2021","M11",34957,21328,1719,1467,30,12
"AR","2021","M12",92820,62833,2748,2447,163,114
"AR","2022","M01",438264,284290,8750,7839,1397,1002
"AR","2022","M02",51226,34575,3135,2884,376,274
"AR","2022","M03",8175,6383,669,634,26,17
"AR","2022","M04",5705,3842,192,184,0,0
"AR","2022","M05",16101,10261,434,407,0,0
"AR","2022","M06",46295,27305,1350,1230,24,14
"AR","2022","M07",75221,42896,2445,2195,43,27
"AR","2022","M08",39282,23584,1230,1127,47,38
"AR","2022","M09",17308,9840,746,681,31,17
"AR","2022","M10",7113,4314,382,355,0,0
"AR","2022","M11",8754,4772,496,447,0,0
"AR","2022","M12",16663,9179,872,815,0,0
"AR","2023","M01",11272,6736,654,613,0,0
"AR","2023","M02",3699,2070,127,116,0,0
"AZ","2020","M01",129,109,17,11,0,0
"AZ","2020","M02",114,98,26,24,0,0
"AZ","2020","M03",5384,5260,1553,1547,158,142
"AZ","2020","M04",14789,14179,3057,3037,964,864
"AZ","2020","M05",32380,31590,4139,4137,873,819
"AZ","2020","M06",143327,142295,12390,12376,2587,2496
"AZ","2020","M07",173420,171236,19369,19218,3131,2968
"AZ","2020","M08",45525,43667,4077,4023,445,371
"AZ","2020","M09",33560,29386,2130,2058,182,144
"AZ","2020","M10",66712,63471,5050,4913,651,541
"AZ","2020","M11",209047,197736,21435,20839,2785,2462
"AZ","2020","M12",432925,395154,34886,33569,7249,6416
"AZ","2021","M01",396565,357738,25997,24777,5870,5117
"AZ","2021","M02",89620,79815,6755,6476,934,795
"AZ","2021","M03",45853,38115,2828,2702,173,147
"AZ","2021","M04",43840,37149,3016,2890,107,101
"AZ","2021","M05",34795,29419,2969,2873,123,105
"AZ","2021","M06",27917,23414,2830,2706,142,134
"AZ","2021","M07",77888,68398,6199,5938,597,547
"AZ","2021","M08",181351,162123,12443,11998,1658,1534
"AZ","2021","M09",153232,132802,8632,8219,1602,1436
"AZ","2021","M10",149359,126060,8591,8001,1574,1360
"AZ","2021","M11",217237,181605,13319,12218,2963,2624
"AZ","2021","M12",257872,218249,12248,11386,3002,2574
"AZ","2022","M01",1008756,864872,22919,21963,3915,3240
"AZ","2022","M02",148642,126798,7059,6732,1129,913
"AZ","2022","M03",34223,26354,2014,1938,123,99
"AZ","2022","M04",27835,21182,1144,1092,66,62
"AZ","2022","M05",87601,71253,3044,2883,183,162
"AZ","2022","M06",146659,119514,4177,4026,366,304
"AZ","2022","M07",158799,130358,5377,5066,274,247
"AZ","2022","M08",83819,66471,3658,3481,152,131
"AZ","2022","M09",19441,14729,1267,1215,55,49
"AZ","2022","M10",21020,15782,1997,1944,90,75
"AZ","2022","M11",50343,37840,5831,5635,368,307
"AZ","2022","M12",44524,33518,5254,5090,323,291
"AZ","2023","M01",16259,11558,2353,2279,18,18
"AZ","2023","M02",8255,5895,839,805,0,0
"CA","2020","M01",757,675,44,36,0,0
"CA","2020","M02",972,943,294,294,0,0
"CA","2020","M03",38770,38672,9668,9668,940,940
"CA","2020","M04",93096,93000,17483,17481,4756,4756
"CA","2020","M05",142469,142166,15914,15902,3730,3722
"CA","2020","M06",348669,348001,25241,25229,4243,4241
"CA","2020","M07",565649,561853,34653,34492,6262,6257
"CA","2020","M08",303803,298519,19542,19402,3118,3110
"CA","2020","M09",202604,197645,12241,12085,1237,1236
"CA","2020","M10",249691,241321,14138,13937,1517,1514
"CA","2020","M11",835098,800524,38975,38292,8750,8655
"CA","2020","M12",2446327,2330162,96333,93726,36840,36045
"CA","2021","M01",1755806,1668849,75144,73011,24415,23912
"CA","2021","M02",364966,341382,19922,19350,2841,2798
"CA","2021","M03",166979,153513,9535,9301,356,356
"CA","2021","M04",132222,120811,7787,7617,94,94
"CA","2021","M05",76666,70033,5507,5377,22,22
"CA","2021","M06",71610,65996,5490,5341,0,0
"CA","2021","M07",407689,379980,20141,19646,1219,1205
"CA","2021","M08",829712,774488,37331,36232,5031,4929
"CA","2021","M09",503736,462663,21854,21139,2578,2520
"CA","2021","M10",358272,326841,16308,15830,1963,1905
"CA","2021","M11",329825,303876,13867,13475,1602,1568
"CA","2021","M12",1556383,1446676,23345,22676,3066,3027
"CA","2022","M01",5601165,5104530,66033,63737,13329,13014
"CA","2022","M02",706436,631945,18061,17464,1749,1702
"CA","2022","M03",172162,155537,5403,5245,164,164
"CA","2022","M04",284215,257758,4198,4029,76,74
"CA","2022","M05",830800,743069,9132,8786,401,394
"CA","2022","M06",1065395,955919,13501,12936,823,805
"CA","2022","M07",1176239,1037031,19636,18614,1317,1286
"CA","2022","M08",599864,521075,11094,10507,502,487
"CA","2022","M09",145381,125731,4021,3821,233,230
"CA","2022","M10",100923,86137,2978,2804,140,140
"CA","2022","M11",205543,174193,5507,5145,522,510
"CA","2022","M12",276385,231029,7775,7380,828,819
"CA","2023","M01",122533,102506,4086,3860,165,161
"CA","2023","M02",36666,32762,427,400,0,0
"CO","2020","M01",172,137,9,9,0,0
"CO","2020","M02",192,121,36,31,0,0
"CO","2020","M03",13610,11568,4030,3960,471,399
"CO","2020","M04",24565,21631,4924,4794,1736,1318
"CO","2020","M05",18605,17451,2208,2184,463,366
"CO","2020","M06",14203,13387,1027,1012,54,48
"CO","2020","M07",29339,27924,1869,1854,74,74
"CO","2020","M08",19580,17994,1085,1051,0,0
"CO","2020","M09",28703,25853,1499,1435,0,0
"CO","2020","M10",86704,82051,5196,4997,287,265
"CO","2020","M11",262738,256018,13387,13059,1850,1694
"CO","2020","M12",192720,184151,9363,9052,1174,1063
"CO","2021","M01",116681,105224,5281,5024,326,296
"CO","2021","M02",62903,55164,2732,2642,24,22
"CO","2021","M03",68265,59234,3198,3113,0,0
"CO","2021","M04",97598,88107,5031,4859,22,18
"CO","2021","M05",57389,51662,4123,3958,24,20
"CO","2021","M06",26485,22202,2028,1887,0,0
"CO","2021","M07",38374,33292,2438,2328,35,35
"CO","2021","M08",85181,75989,5151,4946,22,20
"CO","2021","M09",111468,98756,6003,5707,333,296
"CO","2021","M10",149528,132444,8377,7982,673,602
"CO","2021","M11",173253,155023,9757,9276,872,741
"CO","2021","M12",215374,196300,7492,7180,498,434
"CO","2022","M01",660628,598894,13512,12968,1026,910
"CO","2022","M02",108461,92918,3206,3093,47,37
"CO","2022","M03",58325,50966,849,818,0,0
"CO","2022","M04",74137,65743,863,835,0,0
"CO","2022","M05",134097,118439,2133,2052,0,0
"CO","2022","M06",170652,150353,3449,3271,29,27
"CO","2022","M07",115890,100081,3261,3121,24,20
"CO","2022","M08",57062,47845,1855,1722,0,0
"CO","2022","M09",20793,17709,865,831,0,0
"CO","2022","M10",20027,17416,1019,989,12,11
"CO","2022","M11",33238,29162,2064,2004,28,28
"CO","2022","M12",24274,20022,1558,1518,15,13
"CO","2023","M01",11936,9635,832,799,0,0
"CO","2023","M02",5143,4120,196,191,0,0
"CT","2020","M01",34,34,30,30,0,0
"CT","2020","M02",74,54,34,30,0,0
"CT","2020","M03",7618,7202,2990,2868,424,404
"CT","2020","M04",18643,16679,7834,7453,4869,3711
"CT","2020","M05",7294,6469,2944,2844,1725,1333
"CT","2020","M06",59839,58597,811,791,92,64
"CT","2020","M07",8034,7783,315,301,0,0
"CT","2020","M08",7025,6635,391,379,0,0
"CT","2020","M09",9173,8476,323,311,0,0
"CT","2020","M10",32892,29315,629,501,0,0
"CT","2020","M11",82662,77338,3192,2889,264,178
"CT","2020","M12",122539,118680,4044,3733,763,640
"CT","2021","M01",75508,73709,2660,2440,389,305
"CT","2021","M02",2310,2046,1569,1437,232,190
"CT","2021","M03",17839,15043,1186,1031,22,16
"CT","2021","M04",802,650,32,18,122,90
"CT","2021","M05",207251,176713,165,155,0,0
"CT","2021","M06",11981,10375,17,13,0,0
"CT","2021","M07",23255,19258,37,33,0,0
"CT","2021","M08",33064,27220,74,66,0,0
"CT","2021","M09",39510,33358,55,51,0,0
"CT","2021","M10",258,236,22,16,53,48
"CT","2021","M11",19826,18428,15,13,0,0
"CT","2021","M12",314,282,11,11,162,159
"CT","2022","M01",1537,1402,103,97,784,734
"CT","2022","M02",55808,48167,32,32,240,224
"CT","2022","M03",67950,59635,15,15,34,32
"CT","2022","M04",122,104,2,2,86,76
"CT","2022","M05",300578,268132,109,109,104,96
