Time	GDP	RPFI	FixAss	UI	PartR	UR	Cons3	Cons5	CPIU	PCE	Mask2	School	Hosp1	Deaths1
2012-01-01	1.0	0.0	0.0	0.0	0.8275862068965516	0.2741935483870968	1.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0
2012-02-01	0.040616286317008934	0.7328511715938595	0.3730524805647847	0.1912335952053356	0.8620689655172384	0.2741935483870968	0.007286097542432322	0.008247265723903854	0.48042480973508717	0.9679389035394174	0.0	0.0	0.0	0.0
2012-03-01	0.040932697696028114	0.7310440183577414	0.3958834872307242	0.12768043124407258	0.8620689655172384	0.2741935483870968	0.007748776797883519	0.008554535694234972	0.4783596646895119	0.966573298315848	0.0	0.0	0.0	0.0
2012-04-01	0.04237506423316807	0.7194652860724666	0.6387896463847832	0.17490388017311495	0.8965517241379288	0.28225806451612895	0.008598601302409529	0.00911818218436504	0.4580164258916395	0.9640820130383683	0.0	0.0	0.0	0.0
2012-05-01	0.044768620306601344	0.7187350047590383	0.8160367893314604	0.1616943712251043	0.9310344827586192	0.2903225806451613	0.012102289958068582	0.011439310666549504	0.2823120937051792	0.9538741718760513	0.0	0.0	0.0	0.0
2012-06-01	0.0441461606960368	0.7180142533330588	0.7702094338257592	0.21152386273507778	0.9310344827586192	0.2903225806451613	0.01120023278304156	0.010842785098380957	0.34089822278672366	0.956476820529933	0.0	0.0	0.0	0.0
2012-07-01	0.04273756712200331	0.6161273350545763	0.7035736492274806	0.2402645236308093	0.9655172413793096	0.29838709677419356	0.009949857741838156	0.01001558528958258	0.39344637279221933	0.9600922983102562	0.0	0.0	0.0	0.0
2012-08-01	0.0397776156149983	0.6161226179009772	0.4846261594663304	0.16041655474542088	0.9655172413793096	0.29838709677419356	0.00562863089481722	0.007154748335812526	0.6527359268372354	0.9726370191705382	0.0	0.0	0.0	0.0
2012-09-01	0.04008702596772755	0.6161179048372778	0.507490829210877	0.1372009159355996	1.0	0.2903225806451613	0.0060831527314496835	0.007456584071702311	0.6040928049754837	0.9712958398905062	0.0	0.0	0.0	0.0
2012-10-01	0.036207424732827044	0.6451601657072402	0.2408001399042633	0.18688891739798372	1.0	0.2903225806451613	0.006175467742019648	0.007518547832407126	0.506728251696605	0.9710078867636006	0.0	0.0	0.0	0.0
2012-11-01	0.03979836771348795	0.6443758609177127	0.5051704871669105	0.2197172993654261	1.0	0.2903225806451613	0.011417201349468279	0.010990642508664555	0.3006557725101743	0.9557458204525275	0.0	0.0	0.0	0.0
2012-12-01	0.039286350402423155	0.6435969578950811	0.4660704348917749	0.25479010864508944	0.9655172413793096	0.2903225806451613	0.010665515823712935	0.01049366747127516	0.37413804795301997	0.9579119267895568	0.0	0.0	0.0	0.0
2013-01-01	0.044017327071105866	0.7168994327810757	0.7630002753170722	0.2627655154845323	0.9310344827586192	0.28225806451612895	0.006320485755649552	0.008894767198025426	0.4730736920152049	0.9666573187698657	0.0	0.0	0.0	0.0
2013-02-01	0.042282918505484865	0.7163530156577534	0.635545612611534	0.1684684428539257	0.8965517241379288	0.2741935483870968	0.0038269605460901	0.007239573519321986	0.6349860070635606	0.9739022526346681	0.0	0.0	0.0	0.0
2013-03-01	0.047160308920623506	0.7158125255593509	0.9971074083879898	0.1726588911203651	0.8620689655172384	0.26612903225806456	0.010991266832178374	0.011980175650568773	0.24716895130705616	0.953062076468007	0.0	0.0	0.0	0.0
2013-04-01	0.04383068606259972	0.6670555560903151	0.9560351076854962	0.12888541944393356	0.8275862068965516	0.2580645161290322	0.010220013969384743	0.011465577654104228	0.28136451627527614	0.9552985360150279	0.0	0.0	0.0	0.0
2013-05-01	0.042407004534319746	0.6669181036613804	0.8499214920658072	0.15367432573860224	0.8275862068965516	0.25000000000000006	0.008147359716476428	0.010089164805971308	0.39935182972145283	0.9613194141187007	0.0	0.0	0.0	0.0
2013-06-01	0.04091786909486864	0.6667812977810847	0.7389733560991151	0.21307540245636028	0.8275862068965516	0.2419354838709677	0.005979051753122674	0.008649427697352424	0.4918638127890506	0.9676185898792923	0.0	0.0	0.0	0.0
2013-07-01	0.041587950011097614	0.6671125069666759	0.5827994326283991	0.24430861482490818	0.7931034482758612	0.2419354838709677	0.007291794649510137	0.009514992428909607	0.4719810427311055	0.9637948380358665	0.0	0.0	0.0	0.0
2013-08-01	0.041292574773233164	0.6665125135775335	0.5598959790634188	0.1700388644188143	0.7586206896551708	0.23387096774193544	0.006865646263047292	0.009229019746399671	0.4921920362000497	0.965027867173961	0.0	0.0	0.0	0.0
2013-09-01	0.04241669727162601	0.66591835051528	0.6419904217394456	0.1262415577933761	0.7241379310344804	0.2258064516129033	0.008513020768525217	0.010316231445575653	0.3976005690238599	0.9602308122521267	0.0	0.0	0.0	0.0
2013-10-01	0.04300444655910143	0.674773233731044	0.6702955577459762	0.17395847839898823	0.6551724137931032	0.21774193548387094	0.006638768238067137	0.009071311713193052	0.4050553748719518	0.9656751792246812	0.0	0.0	0.0	0.0
2013-11-01	0.043116144738003556	0.674441396730479	0.678680152475082	0.2486329461946569	0.6551724137931032	0.2096774193548387	0.00682470507622789	0.009190746092591597	0.46667314549690636	0.9651282623410788	0.0	0.0	0.0	0.0
2013-12-01	0.04267607675000073	0.6741124871206643	0.6462523408164088	0.25469391783763506	0.6206896551724128	0.20161290322580644	0.006204440803256772	0.00877630441283006	0.504271433281398	0.9669260016326096	0.0	0.0	0.0	0.0
