Time,Cases1,Cases2,Cases3,Cases4,Cases5,Hosp1,Hosp2,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Vax1,Vax3,Gather1,Gather2,Gather3,Gather4,Curfew,Mask1,Mask2,School,ARP,PPP,CARES,Cons1,Cons2,Cons3,Cons4,Cons5,Employment1,Employment2,UI,PartR,CPI,CPIU,PCE,PCEC,Prod,GDP,TBill1mo,TBill6mo,TBill1yr,TBill5yr,TBill10yr,TBill30yr,FFR
2019-03-01,0.4342985495060043,0.4914323808648078,0.3537402327270397,0.23138996018015112,0.06941864463595392,0.4759447938077861,0.13118650280205407,0.8061153578874218,0.8270664699549424,0.5416034092699008,0.4963855421686745,0.4913841022790423,0.6330749354005167,0.5444685466377439,0.5264270613107822,0.5669856459330145,0.6457286432160803,0.7376237623762376,0.900101576540847,0.9368796114442403,0.9514165310635458,0.9955223880597015,0.2540983606557377,0.0,0.0,0.5,0.5509783134133832,0.5386652186862658,0.5527449300005007,0.5129296962720117,0.6113704963565647,0.7127228503646698,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.6102461835552806,0.6375661375661377,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,0.5865398463539714,0.4812533045217352,0.3260175552054372,0.2137553554587604,0.04081388646370987,0.4504574240854194,0.10179416015567713,0.809077941552979,0.8276645799274294,0.4997468165955419,0.6224899598393667,0.5136186770428033,0.627906976744186,0.5336225596529284,0.5116279069767441,0.5574162679425838,0.6356783919597989,0.7277227722772277,0.9008208781293918,0.9421773606358647,0.9514165310635458,0.9955223880597015,0.2540983606557377,0.0,0.0,0.5,0.5509783134133832,0.5386652186862658,0.5527449300005007,0.5129296962720117,0.6113704963565647,0.7127228503646698,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5536100520329739,0.6402116402116403,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,0.6296521714005344,0.4955932047539138,0.5081991750335824,0.33264954331210334,0.23146751195213816,0.6165351342306181,0.29842462099287115,0.8165026882703632,0.8206467562502493,0.3768776487352557,0.4803212851405537,0.36853807670927974,0.6201550387596898,0.5249457700650758,0.4947145877378435,0.5239234449760766,0.6030150753768844,0.698019801980198,0.9036810622141337,0.9474805370601342,0.9514165310635458,0.9970149253731343,0.2540983606557377,0.0,0.0,0.5,0.5509783134133832,0.5386652186862658,0.5527449300005007,0.5129296962720117,0.6113704963565647,0.7127228503646698,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.40498285989435534,0.6322751322751324,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,0.6290306303864263,0.4974276453414865,0.5059380952117634,0.33128641865145986,0.22920136228463095,0.6144210126232922,0.2961142614323931,0.8245126366994623,0.8246341560668289,0.3556118578432116,0.5638554216867498,0.3702056698165695,0.5736434108527132,0.47071583514099774,0.4228329809725158,0.437799043062201,0.5201005025125627,0.6361386138613861,0.9065159331690851,0.9527891413835397,0.9514165310635458,0.9970149253731343,0.2540983606557377,0.0,0.0,0.5,0.5509783134133832,0.5386652186862658,0.5527449300005007,0.5129296962720117,0.6113704963565647,0.7127228503646698,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.40497562210225224,0.6296296296296297,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,0.560329989153442,0.5004390703661985,0.44986590394668047,0.29505468311995914,0.17084347038101944,0.5631351656212946,0.23601318382832767,0.8249149628762664,0.8212448662227362,0.44050632220187935,0.5076305220883499,0.4146748193440758,0.5555555555555555,0.4511930585683297,0.4143763213530655,0.437799043062201,0.5175879396984925,0.6361386138613861,0.9064644002686754,0.9542005881078728,0.9514165310635458,0.9985074626865672,0.2540983606557377,0.0,0.0,0.5,0.5509783134133832,0.5386652186862658,0.5527449300005007,0.5129296962720117,0.6113704963565647,0.7127228503646698,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.4789903770229635,0.634920634920635,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,0.5805201581049602,0.48670605273441997,0.5342217458346623,0.349859611932132,0.25890251461758385,0.6401504903824493,0.326773928477625,0.8211111517501188,0.8272259659476057,0.3966244930179258,0.4722891566265047,0.34741523068371977,0.5348837209302325,0.4186550976138828,0.3742071881606765,0.3564593301435407,0.4095477386934673,0.5247524752475248,0.9073977222972613,0.9555999613556776,0.9514165310635458,0.9985074626865672,0.2540983606557377,0.0,0.0,0.5,0.5509783134133832,0.5386652186862658,0.5527449300005007,0.5129296962720117,0.6113704963565647,0.7127228503646698,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.4418862562771654,0.5634920634920636,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,0.5742900491320966,0.4938874968391532,0.5082136781948051,0.3331062070566971,0.23188055434319427,0.616338009726388,0.2989572847147682,0.8307304048864342,0.8262291159934607,0.41991563578260227,0.43694779116465954,0.36798221234018313,0.5142118863049095,0.4099783080260303,0.38054968287526425,0.375598086124402,0.42713567839195976,0.5346534653465347,0.9080142999682502,0.9569872611269542,0.9514165310635458,1.0,0.2540983606557377,0.0,0.0,0.5,0.5509783134133832,0.5386652186862658,0.5527449300005007,0.5129296962720117,0.6113704963565647,0.7127228503646698,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.4602666248266547,0.5396825396825398,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,0.553319725671745,0.49756097560975615,0.4093956640958882,0.2694523429566199,0.1292110687996602,0.5258617212594023,0.19326863608959285,0.8180022676566329,0.8231189441365286,0.46919830074865937,0.5076305220883499,0.44635908838243943,0.44702842377260976,0.3622559652928416,0.34038054968287523,0.3660287081339713,0.4296482412060301,0.5420792079207921,0.9077473483045677,0.954431768023897,0.9514165310635458,1.0,0.2540983606557377,0.0,0.0,0.5,0.5509783134133832,0.5386652186862658,0.5527449300005007,0.5129296962720117,0.6113704963565647,0.7127228503646698,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5153587985364816,0.48412698412698424,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,0.5817400532479262,0.49573573021309864,0.5280928695518865,0.34621020892224336,0.2528003575833785,0.6343985671270288,0.3205640529531403,0.8178559672287041,0.8265481079787871,0.43105485958319556,0.4040160642570313,0.3518621456364609,0.4082687338501292,0.34490238611713664,0.33192389006342493,0.3923444976076555,0.45477386934673364,0.5643564356435643,0.9088687035272539,0.9518795830467437,0.9514165310635458,1.0,0.2540983606557377,0.0,0.0,0.5,0.5509783134133832,0.5386652186862658,0.5527449300005007,0.5129296962720117,0.6113704963565647,0.7127228503646698,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.4783136359715723,0.4100529100529101,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,0.5446644982759746,0.5022137422128228,0.3734253563361183,0.2467804777345073,0.0922823069766612,0.49269337414916403,0.15537369453504918,0.8187337697962767,0.8220423461860521,0.42970465063766694,0.5807228915662688,0.4747081712062314,0.40051679586563305,0.3427331887201735,0.3276955602536998,0.40191387559808617,0.4673366834170854,0.5693069306930693,0.9081637958570108,0.9493307058622489,0.9514165310635458,1.0,0.2540983606557377,0.0,0.0,0.5,0.5509783134133832,0.5386652186862658,0.5527449300005007,0.5129296962720117,0.6113704963565647,0.7127228503646698,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.47813718804845706,0.4100529100529101,0.0,0.0,0.0,0.0,0.0,0.0
