Time,Cases1,Cases2,Cases3,Cases4,Cases5,Hosp1,Hosp2,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5
2012-03-01,442745.67604151,60594.0,301015.2905198777,31785.456459617988,68764.8017245701,200465.10753496768,100550.2581841881,142036.0,133744.0,100.4235391,99.595,99.735
2012-04-01,443234.4675198096,55758.0,301346.73796220234,31848.84411778453,68816.18034833347,200681.78025220492,100665.0244661176,141899.0,133827.0,100.5903214,99.746,99.866
2012-05-01,444802.8817557862,53982.0,302412.20068034064,31989.80324932664,69035.18488815815,201387.27102004227,101024.9881374852,142206.0,133935.0,100.3822825,99.847,99.754
2012-06-01,446097.2478536468,54941.0,303291.3423734253,32111.098852603707,69211.61638449812,201968.67728476293,101322.71523710185,142391.0,134007.0,100.2993302,99.95,99.704
2012-07-01,447214.1902279256,56423.0,303909.0969854953,32204.72394893393,69328.39549495358,202376.0193168909,101533.1194438871,142292.0,134153.0,100.3282977,100.053,99.74
2012-08-01,446990.82354900526,52846.0,303616.55425097875,32201.781996835674,69237.60512948618,202177.20043300823,101439.38712632224,142291.0,134330.0,100.9111577,100.116,100.075
2012-09-01,446906.9227627293,49528.0,303419.6395660447,32208.80363422628,69168.77534145588,202042.0854959703,101377.57897568218,143044.0,134512.0,101.3926317,100.24,100.379
2012-10-01,445697.9581566127,50116.0,303241.9850942449,32217.702818584872,69104.47934152457,201919.81948872827,101322.18216010903,143431.0,134671.0,101.6660668,100.482,100.677
2012-11-01,446113.1376583278,51323.0,304167.8842515749,32343.784684604063,69291.72174788866,202532.386101972,101635.50643249312,143333.0,134834.0,101.4953345,100.591,100.609
2012-12-01,446298.052548388,54046.0,304937.32168242324,32453.252214368797,69443.30122374321,203040.7682443112,101896.553438112,143330.0,135075.0,101.4830453,100.664,100.593
2013-01-01,447945.07228114735,63219.0,304926.15615109087,32476.89847566323,69377.0277912826,203072.2298841448,101853.92626694612,143292.0,135265.0,101.6840618,100.871,100.787
2013-02-01,448807.9797540433,62048.0,304387.53015144926,32444.22805699444,69191.10087389774,202752.20122055736,101635.32893089188,143362.0,135544.0,102.2361988,100.992,101.156
2013-03-01,451899.0724884432,56248.0,305362.7144313671,32572.854696455262,69349.43032774715,203440.42940716472,101922.2850242024,143316.0,135689.0,101.9487188,101.085,101.023
2013-04-01,451885.3027421144,52835.0,306176.59296243463,32684.326623342346,69470.99381835472,204021.2725207372,102155.32044169736,143635.0,135876.0,101.735852,101.163,100.944
2013-05-01,451222.8492228493,51212.0,306551.0593010593,32748.894498894464,69492.84724284725,204309.3175593179,102241.7417417414,143882.0,136091.0,101.7779865,101.272,101.01
