"State","Year","Period","TG_Consumption"
"AL",2012,"M01",52022.7416666667
"AL",2012,"M02",52130.2833333333
"AL",2012,"M03",52237.825
"AL",2012,"M04",52345.3666666667
"AL",2012,"M05",52452.9083333333
"AL",2012,"M06",52560.45
"AL",2012,"M07",52667.9916666667
"AL",2012,"M08",52775.5333333333
"AL",2012,"M09",52883.075
"AL",2012,"M10",52990.6166666667
"AL",2012,"M11",53098.1583333333
"AL",2012,"M12",53205.7
"AL",2013,"M01",53312
"AL",2013,"M02",53418.3
"AL",2013,"M03",53524.6
"AL",2013,"M04",53630.9
"AL",2013,"M05",53737.2
"AL",2013,"M06",53843.5
"AL",2013,"M07",53949.8
"AL",2013,"M08",54056.1
"AL",2013,"M09",54162.4
"AL",2013,"M10",54268.7
"AL",2013,"M11",54375
"AL",2013,"M12",54481.3
"AL",2014,"M01",54595.3
"AL",2014,"M02",54709.3
"AL",2014,"M03",54823.3
"AL",2014,"M04",54937.3
"AL",2014,"M05",55051.3
"AL",2014,"M06",55165.3
"AL",2014,"M07",55279.3
"AL",2014,"M08",55393.3
"AL",2014,"M09",55507.3
"AL",2014,"M10",55621.3
"AL",2014,"M11",55735.3
"AL",2014,"M12",55849.3
"AL",2015,"M01",55882.9083333333
"AL",2015,"M02",55916.5166666667
"AL",2015,"M03",55950.125
"AL",2015,"M04",55983.7333333333
"AL",2015,"M05",56017.3416666667
"AL",2015,"M06",56050.95
"AL",2015,"M07",56084.5583333333
"AL",2015,"M08",56118.1666666667
"AL",2015,"M09",56151.775
"AL",2015,"M10",56185.3833333333
"AL",2015,"M11",56218.9916666667
"AL",2015,"M12",56252.6
"AL",2016,"M01",56299.025
"AL",2016,"M02",56345.45
"AL",2016,"M03",56391.875
"AL",2016,"M04",56438.3
"AL",2016,"M05",56484.725
"AL",2016,"M06",56531.15
"AL",2016,"M07",56577.575
"AL",2016,"M08",56624
"AL",2016,"M09",56670.425
"AL",2016,"M10",56716.85
"AL",2016,"M11",56763.275
"AL",2016,"M12",56809.7
"AL",2017,"M01",56961.8666666667
"AL",2017,"M02",57114.0333333333
"AL",2017,"M03",57266.2
"AL",2017,"M04",57418.3666666667
"AL",2017,"M05",57570.5333333333
"AL",2017,"M06",57722.7
"AL",2017,"M07",57874.8666666667
"AL",2017,"M08",58027.0333333333
"AL",2017,"M09",58179.2
"AL",2017,"M10",58331.3666666667
"AL",2017,"M11",58483.5333333333
"AL",2017,"M12",58635.7
"AL",2018,"M01",58834.8083333333
"AL",2018,"M02",59033.9166666667
"AL",2018,"M03",59233.025
"AL",2018,"M04",59432.1333333333
"AL",2018,"M05",59631.2416666667
"AL",2018,"M06",59830.35
"AL",2018,"M07",60029.4583333333
"AL",2018,"M08",60228.5666666667
"AL",2018,"M09",60427.675
"AL",2018,"M10",60626.7833333333
"AL",2018,"M11",60825.8916666667
"AL",2018,"M12",61025
"AL",2019,"M01",61165.6416666667
"AL",2019,"M02",61306.2833333333
"AL",2019,"M03",61446.925
"AL",2019,"M04",61587.5666666667
"AL",2019,"M05",61728.2083333333
"AL",2019,"M06",61868.85
"AL",2019,"M07",62009.4916666667
"AL",2019,"M08",62150.1333333333
"AL",2019,"M09",62290.775
"AL",2019,"M10",62431.4166666667
"AL",2019,"M11",62572.0583333333
"AL",2019,"M12",62712.7
"AL",2020,"M01",62992.0833333333
"AL",2020,"M02",63271.4666666667
"AL",2020,"M03",63550.85
"AL",2020,"M04",63830.2333333333
"AL",2020,"M05",64109.6166666667
"AL",2020,"M06",64389
"AL",2020,"M07",64668.3833333333
"AL",2020,"M08",64947.7666666667
"AL",2020,"M09",65227.15
"AL",2020,"M10",65506.5333333333
"AL",2020,"M11",65785.9166666667
"AL",2020,"M12",66065.3
"AL",2021,"M01",66987.825
"AL",2021,"M02",67910.35
"AL",2021,"M03",68832.875
"AL",2021,"M04",69755.4
"AL",2021,"M05",70677.925
"AL",2021,"M06",71600.45
"AL",2021,"M07",72522.975
"AL",2021,"M08",73445.5
"AL",2021,"M09",74368.025
"AL",2021,"M10",75290.55
"AL",2021,"M11",76213.075
"AL",2021,"M12",77135.6
"AL",2022,"M01",77671.125
"AL",2022,"M02",78206.65
"AL",2022,"M03",78742.175
"AL",2022,"M04",79277.7
"AL",2022,"M05",79813.225
"AL",2022,"M06",80348.75
