"State","Year","Period","TG_Consumption"
"AL",2022,"M07",80884.275
"AL",2022,"M08",81419.8
"AL",2022,"M09",81955.325
"AL",2022,"M10",82490.85
"AL",2022,"M11",83026.375
"AL",2022,"M12",83561.9
"AK",2012,"M01",9264.125
"AK",2012,"M02",9283.45
"AK",2012,"M03",9302.775
"AK",2012,"M04",9322.1
"AK",2012,"M05",9341.425
"AK",2012,"M06",9360.75
"AK",2012,"M07",9380.075
"AK",2012,"M08",9399.4
"AK",2012,"M09",9418.725
"AK",2012,"M10",9438.05
"AK",2012,"M11",9457.375
"AK",2012,"M12",9476.7
"AK",2013,"M01",9482.875
"AK",2013,"M02",9489.05
"AK",2013,"M03",9495.225
"AK",2013,"M04",9501.4
"AK",2013,"M05",9507.575
"AK",2013,"M06",9513.75
"AK",2013,"M07",9519.925
"AK",2013,"M08",9526.1
"AK",2013,"M09",9532.275
"AK",2013,"M10",9538.45
"AK",2013,"M11",9544.625
"AK",2013,"M12",9550.8
"AK",2014,"M01",9572.25833333333
"AK",2014,"M02",9593.71666666667
"AK",2014,"M03",9615.175
"AK",2014,"M04",9636.63333333333
"AK",2014,"M05",9658.09166666667
"AK",2014,"M06",9679.55
"AK",2014,"M07",9701.00833333333
"AK",2014,"M08",9722.46666666667
"AK",2014,"M09",9743.925
"AK",2014,"M10",9765.38333333333
"AK",2014,"M11",9786.84166666667
"AK",2014,"M12",9808.3
"AK",2015,"M01",9805.51666666667
"AK",2015,"M02",9802.73333333333
"AK",2015,"M03",9799.95
"AK",2015,"M04",9797.16666666667
"AK",2015,"M05",9794.38333333333
"AK",2015,"M06",9791.6
"AK",2015,"M07",9788.81666666667
"AK",2015,"M08",9786.03333333333
"AK",2015,"M09",9783.25
"AK",2015,"M10",9780.46666666667
"AK",2015,"M11",9777.68333333333
"AK",2015,"M12",9774.9
"AK",2016,"M01",9774.09166666667
"AK",2016,"M02",9773.28333333333
"AK",2016,"M03",9772.475
"AK",2016,"M04",9771.66666666667
"AK",2016,"M05",9770.85833333333
"AK",2016,"M06",9770.05
"AK",2016,"M07",9769.24166666667
"AK",2016,"M08",9768.43333333333
"AK",2016,"M09",9767.625
"AK",2016,"M10",9766.81666666667
"AK",2016,"M11",9766.00833333333
"AK",2016,"M12",9765.2
"AK",2017,"M01",9782.58333333333
"AK",2017,"M02",9799.96666666667
"AK",2017,"M03",9817.35
"AK",2017,"M04",9834.73333333333
"AK",2017,"M05",9852.11666666667
"AK",2017,"M06",9869.5
"AK",2017,"M07",9886.88333333333
"AK",2017,"M08",9904.26666666667
"AK",2017,"M09",9921.65
"AK",2017,"M10",9939.03333333333
"AK",2017,"M11",9956.41666666667
"AK",2017,"M12",9973.8
"AK",2018,"M01",9993.33333333333
"AK",2018,"M02",10012.8666666667
"AK",2018,"M03",10032.4
"AK",2018,"M04",10051.9333333333
"AK",2018,"M05",10071.4666666667
"AK",2018,"M06",10091
"AK",2018,"M07",10110.5333333333
"AK",2018,"M08",10130.0666666667
"AK",2018,"M09",10149.6
"AK",2018,"M10",10169.1333333333
"AK",2018,"M11",10188.6666666667
"AK",2018,"M12",10208.2
"AK",2019,"M01",10219.4666666667
"AK",2019,"M02",10230.7333333333
"AK",2019,"M03",10242
"AK",2019,"M04",10253.2666666667
"AK",2019,"M05",10264.5333333333
"AK",2019,"M06",10275.8
"AK",2019,"M07",10287.0666666667
"AK",2019,"M08",10298.3333333333
"AK",2019,"M09",10309.6
"AK",2019,"M10",10320.8666666667
"AK",2019,"M11",10332.1333333333
"AK",2019,"M12",10343.4
"AK",2020,"M01",10375.1583333333
"AK",2020,"M02",10406.9166666667
"AK",2020,"M03",10438.675
"AK",2020,"M04",10470.4333333333
"AK",2020,"M05",10502.1916666667
"AK",2020,"M06",10533.95
"AK",2020,"M07",10565.7083333333
"AK",2020,"M08",10597.4666666667
"AK",2020,"M09",10629.225
"AK",2020,"M10",10660.9833333333
"AK",2020,"M11",10692.7416666667
"AK",2020,"M12",10724.5
"AK",2021,"M01",10843.8416666667
"AK",2021,"M02",10963.1833333333
"AK",2021,"M03",11082.525
"AK",2021,"M04",11201.8666666667
"AK",2021,"M05",11321.2083333333
"AK",2021,"M06",11440.55
"AK",2021,"M07",11559.8916666667
"AK",2021,"M08",11679.2333333333
"AK",2021,"M09",11798.575
"AK",2021,"M10",11917.9166666667
"AK",2021,"M11",12037.2583333333
"AK",2021,"M12",12156.6
"AK",2022,"M01",12228.7166666667
"AK",2022,"M02",12300.8333333333
"AK",2022,"M03",12372.95
"AK",2022,"M04",12445.0666666667
"AK",2022,"M05",12517.1833333333
"AK",2022,"M06",12589.3
"AK",2022,"M07",12661.4166666667
"AK",2022,"M08",12733.5333333333
"AK",2022,"M09",12805.65
"AK",2022,"M10",12877.7666666667
"AK",2022,"M11",12949.8833333333
"AK",2022,"M12",13022
"AZ",2012,"M01",68614.2416666667
"AZ",2012,"M02",68785.9833333333
"AZ",2012,"M03",68957.725
"AZ",2012,"M04",69129.4666666667
"AZ",2012,"M05",69301.2083333333
"AZ",2012,"M06",69472.95
"AZ",2012,"M07",69644.6916666667
"AZ",2012,"M08",69816.4333333333
"AZ",2012,"M09",69988.175
"AZ",2012,"M10",70159.9166666667
"AZ",2012,"M11",70331.6583333333
"AZ",2012,"M12",70503.4
"AZ",2013,"M01",70708.525
"AZ",2013,"M02",70913.65
"AZ",2013,"M03",71118.775
"AZ",2013,"M04",71323.9
"AZ",2013,"M05",71529.025
"AZ",2013,"M06",71734.15
"AZ",2013,"M07",71939.275
"AZ",2013,"M08",72144.4
"AZ",2013,"M09",72349.525
"AZ",2013,"M10",72554.65
"AZ",2013,"M11",72759.775
"AZ",2013,"M12",72964.9
"AZ",2014,"M01",73302.0666666667
"AZ",2014,"M02",73639.2333333333
"AZ",2014,"M03",73976.4
"AZ",2014,"M04",74313.5666666667
"AZ",2014,"M05",74650.7333333333
"AZ",2014,"M06",74987.9
"AZ",2014,"M07",75325.0666666667
"AZ",2014,"M08",75662.2333333333
"AZ",2014,"M09",75999.4
"AZ",2014,"M10",76336.5666666667
"AZ",2014,"M11",76673.7333333333
"AZ",2014,"M12",77010.9
"AZ",2015,"M01",77137.8083333333
"AZ",2015,"M02",77264.7166666667
"AZ",2015,"M03",77391.625
"AZ",2015,"M04",77518.5333333333
"AZ",2015,"M05",77645.4416666667
"AZ",2015,"M06",77772.35
"AZ",2015,"M07",77899.2583333333
"AZ",2015,"M08",78026.1666666667
"AZ",2015,"M09",78153.075
"AZ",2015,"M10",78279.9833333333
"AZ",2015,"M11",78406.8916666667
"AZ",2015,"M12",78533.8
"AZ",2016,"M01",78688.075
"AZ",2016,"M02",78842.35
"AZ",2016,"M03",78996.625
"AZ",2016,"M04",79150.9
"AZ",2016,"M05",79305.175
"AZ",2016,"M06",79459.45
"AZ",2016,"M07",79613.725
"AZ",2016,"M08",79768
"AZ",2016,"M09",79922.275
"AZ",2016,"M10",80076.55
"AZ",2016,"M11",80230.825
"AZ",2016,"M12",80385.1
"AZ",2017,"M01",80825.6166666667
"AZ",2017,"M02",81266.1333333333
"AZ",2017,"M03",81706.65
"AZ",2017,"M04",82147.1666666667
"AZ",2017,"M05",82587.6833333333
"AZ",2017,"M06",83028.2
"AZ",2017,"M07",83468.7166666667
"AZ",2017,"M08",83909.2333333333
"AZ",2017,"M09",84349.75
"AZ",2017,"M10",84790.2666666667
"AZ",2017,"M11",85230.7833333333
"AZ",2017,"M12",85671.3
"AZ",2018,"M01",86086.1416666667
"AZ",2018,"M02",86500.9833333333
"AZ",2018,"M03",86915.825
"AZ",2018,"M04",87330.6666666667
"AZ",2018,"M05",87745.5083333333
"AZ",2018,"M06",88160.35
"AZ",2018,"M07",88575.1916666667
"AZ",2018,"M08",88990.0333333333
"AZ",2018,"M09",89404.875
"AZ",2018,"M10",89819.7166666667
"AZ",2018,"M11",90234.5583333333
"AZ",2018,"M12",90649.4
"AZ",2019,"M01",90950.6166666667
"AZ",2019,"M02",91251.8333333333
"AZ",2019,"M03",91553.05
"AZ",2019,"M04",91854.2666666667
"AZ",2019,"M05",92155.4833333333
"AZ",2019,"M06",92456.7
"AZ",2019,"M07",92757.9166666667
"AZ",2019,"M08",93059.1333333333
"AZ",2019,"M09",93360.35
"AZ",2019,"M10",93661.5666666667
"AZ",2019,"M11",93962.7833333333
"AZ",2019,"M12",94264
"AZ",2020,"M01",94929.9416666667
"AZ",2020,"M02",95595.8833333333
"AZ",2020,"M03",96261.825
"AZ",2020,"M04",96927.7666666667
"AZ",2020,"M05",97593.7083333333
"AZ",2020,"M06",98259.65
"AZ",2020,"M07",98925.5916666667
"AZ",2020,"M08",99591.5333333333
"AZ",2020,"M09",100257.475
"AZ",2020,"M10",100923.416666667
"AZ",2020,"M11",101589.358333333
"AZ",2020,"M12",102255.3
"AZ",2021,"M01",103765.525
"AZ",2021,"M02",105275.75
"AZ",2021,"M03",106785.975
"AZ",2021,"M04",108296.2
"AZ",2021,"M05",109806.425
"AZ",2021,"M06",111316.65
"AZ",2021,"M07",112826.875
"AZ",2021,"M08",114337.1
"AZ",2021,"M09",115847.325
"AZ",2021,"M10",117357.55
"AZ",2021,"M11",118867.775
"AZ",2021,"M12",120378
"AZ",2022,"M01",121368.016666667
"AZ",2022,"M02",122358.033333333
"AZ",2022,"M03",123348.05
"AZ",2022,"M04",124338.066666667
"AZ",2022,"M05",125328.083333333
"AZ",2022,"M06",126318.1
"AZ",2022,"M07",127308.116666667
"AZ",2022,"M08",128298.133333333
"AZ",2022,"M09",129288.15
"AZ",2022,"M10",130278.166666667
"AZ",2022,"M11",131268.183333333
"AZ",2022,"M12",132258.2
"AR",2012,"M01",30319.5833333333
"AR",2012,"M02",30393.3666666667
"AR",2012,"M03",30467.15
"AR",2012,"M04",30540.9333333333
"AR",2012,"M05",30614.7166666667
"AR",2012,"M06",30688.5
"AR",2012,"M07",30762.2833333333
"AR",2012,"M08",30836.0666666667
"AR",2012,"M09",30909.85
"AR",2012,"M10",30983.6333333333
"AR",2012,"M11",31057.4166666667
"AR",2012,"M12",31131.2
"AR",2013,"M01",31190.6416666667
"AR",2013,"M02",31250.0833333333
"AR",2013,"M03",31309.525
"AR",2013,"M04",31368.9666666667
"AR",2013,"M05",31428.4083333333
"AR",2013,"M06",31487.85
"AR",2013,"M07",31547.2916666667
"AR",2013,"M08",31606.7333333333
"AR",2013,"M09",31666.175
"AR",2013,"M10",31725.6166666667
"AR",2013,"M11",31785.0583333333
"AR",2013,"M12",31844.5
"AR",2014,"M01",31910.6666666667
"AR",2014,"M02",31976.8333333333
"AR",2014,"M03",32043
"AR",2014,"M04",32109.1666666667
"AR",2014,"M05",32175.3333333333
"AR",2014,"M06",32241.5
"AR",2014,"M07",32307.6666666667
"AR",2014,"M08",32373.8333333333
"AR",2014,"M09",32440
"AR",2014,"M10",32506.1666666667
"AR",2014,"M11",32572.3333333333
"AR",2014,"M12",32638.5
"AR",2015,"M01",32629.775
"AR",2015,"M02",32621.05
"AR",2015,"M03",32612.325
"AR",2015,"M04",32603.6
"AR",2015,"M05",32594.875
"AR",2015,"M06",32586.15
"AR",2015,"M07",32577.425
"AR",2015,"M08",32568.7
"AR",2015,"M09",32559.975
"AR",2015,"M10",32551.25
"AR",2015,"M11",32542.525
"AR",2015,"M12",32533.8
"AR",2016,"M01",32591.8166666667
"AR",2016,"M02",32649.8333333333
"AR",2016,"M03",32707.85
"AR",2016,"M04",32765.8666666667
"AR",2016,"M05",32823.8833333333
"AR",2016,"M06",32881.9
"AR",2016,"M07",32939.9166666667
"AR",2016,"M08",32997.9333333333
"AR",2016,"M09",33055.95
"AR",2016,"M10",33113.9666666667
"AR",2016,"M11",33171.9833333333
"AR",2016,"M12",33230
"AR",2017,"M01",33329.65
"AR",2017,"M02",33429.3
"AR",2017,"M03",33528.95
"AR",2017,"M04",33628.6
"AR",2017,"M05",33728.25
"AR",2017,"M06",33827.9
"AR",2017,"M07",33927.55
"AR",2017,"M08",34027.2
"AR",2017,"M09",34126.85
"AR",2017,"M10",34226.5
"AR",2017,"M11",34326.15
"AR",2017,"M12",34425.8
"AR",2018,"M01",34520.575
"AR",2018,"M02",34615.35
"AR",2018,"M03",34710.125
"AR",2018,"M04",34804.9
"AR",2018,"M05",34899.675
"AR",2018,"M06",34994.45
"AR",2018,"M07",35089.225
"AR",2018,"M08",35184
"AR",2018,"M09",35278.775
"AR",2018,"M10",35373.55
"AR",2018,"M11",35468.325
"AR",2018,"M12",35563.1
"AR",2019,"M01",35592.875
"AR",2019,"M02",35622.65
"AR",2019,"M03",35652.425
"AR",2019,"M04",35682.2
"AR",2019,"M05",35711.975
"AR",2019,"M06",35741.75
"AR",2019,"M07",35771.525
"AR",2019,"M08",35801.3
"AR",2019,"M09",35831.075
"AR",2019,"M10",35860.85
"AR",2019,"M11",35890.625
"AR",2019,"M12",35920.4
"AR",2020,"M01",36091.1833333333
"AR",2020,"M02",36261.9666666667
"AR",2020,"M03",36432.75
"AR",2020,"M04",36603.5333333333
"AR",2020,"M05",36774.3166666667
"AR",2020,"M06",36945.1
"AR",2020,"M07",37115.8833333333
"AR",2020,"M08",37286.6666666667
"AR",2020,"M09",37457.45
"AR",2020,"M10",37628.2333333333
"AR",2020,"M11",37799.0166666667
"AR",2020,"M12",37969.8
"AR",2021,"M01",38507.05
"AR",2021,"M02",39044.3
"AR",2021,"M03",39581.55
"AR",2021,"M04",40118.8
"AR",2021,"M05",40656.05
"AR",2021,"M06",41193.3
"AR",2021,"M07",41730.55
"AR",2021,"M08",42267.8
"AR",2021,"M09",42805.05
"AR",2021,"M10",43342.3
"AR",2021,"M11",43879.55
"AR",2021,"M12",44416.8
"AR",2022,"M01",44700.5166666667
"AR",2022,"M02",44984.2333333333
"AR",2022,"M03",45267.95
"AR",2022,"M04",45551.6666666667
"AR",2022,"M05",45835.3833333333
"AR",2022,"M06",46119.1
"AR",2022,"M07",46402.8166666667
"AR",2022,"M08",46686.5333333333
"AR",2022,"M09",46970.25
"AR",2022,"M10",47253.9666666667
"AR",2022,"M11",47537.6833333333
"AR",2022,"M12",47821.4
"CA",2012,"M01",402074.8
"CA",2012,"M02",403581.8
"CA",2012,"M03",405088.8
"CA",2012,"M04",406595.8
"CA",2012,"M05",408102.8
"CA",2012,"M06",409609.8
"CA",2012,"M07",411116.8
"CA",2012,"M08",412623.8
"CA",2012,"M09",414130.8
"CA",2012,"M10",415637.8
"CA",2012,"M11",417144.8
"CA",2012,"M12",418651.8
"CA",2013,"M01",419467.9
"CA",2013,"M02",420284
"CA",2013,"M03",421100.1
"CA",2013,"M04",421916.2
"CA",2013,"M05",422732.3
"CA",2013,"M06",423548.4
"CA",2013,"M07",424364.5
"CA",2013,"M08",425180.6
"CA",2013,"M09",425996.7
"CA",2013,"M10",426812.8
"CA",2013,"M11",427628.9
"CA",2013,"M12",428445
"CA",2014,"M01",429993.616666667
"CA",2014,"M02",431542.233333333
"CA",2014,"M03",433090.85
"CA",2014,"M04",434639.466666667
"CA",2014,"M05",436188.083333333
"CA",2014,"M06",437736.7
"CA",2014,"M07",439285.316666667
"CA",2014,"M08",440833.933333333
"CA",2014,"M09",442382.55
"CA",2014,"M10",443931.166666667
"CA",2014,"M11",445479.783333333
"CA",2014,"M12",447028.4
"CA",2015,"M01",448310.933333333
"CA",2015,"M02",449593.466666667
"CA",2015,"M03",450876
"CA",2015,"M04",452158.533333333
"CA",2015,"M05",453441.066666667
"CA",2015,"M06",454723.6
"CA",2015,"M07",456006.133333333
"CA",2015,"M08",457288.666666667
"CA",2015,"M09",458571.2
"CA",2015,"M10",459853.733333333
"CA",2015,"M11",461136.266666667
"CA",2015,"M12",462418.8
"CA",2016,"M01",463206.841666667
"CA",2016,"M02",463994.883333333
"CA",2016,"M03",464782.925
"CA",2016,"M04",465570.966666667
"CA",2016,"M05",466359.008333333
"CA",2016,"M06",467147.05
"CA",2016,"M07",467935.091666667
"CA",2016,"M08",468723.133333333
"CA",2016,"M09",469511.175
"CA",2016,"M10",470299.216666667
"CA",2016,"M11",471087.258333333
"CA",2016,"M12",471875.3
"CA",2017,"M01",473796.825
"CA",2017,"M02",475718.35
"CA",2017,"M03",477639.875
"CA",2017,"M04",479561.4
"CA",2017,"M05",481482.925
"CA",2017,"M06",483404.45
"CA",2017,"M07",485325.975
"CA",2017,"M08",487247.5
"CA",2017,"M09",489169.025
"CA",2017,"M10",491090.55
"CA",2017,"M11",493012.075
"CA",2017,"M12",494933.6
"CA",2018,"M01",497228.283333333
"CA",2018,"M02",499522.966666667
"CA",2018,"M03",501817.65
"CA",2018,"M04",504112.333333333
"CA",2018,"M05",506407.016666667
"CA",2018,"M06",508701.7
"CA",2018,"M07",510996.383333333
"CA",2018,"M08",513291.066666667
"CA",2018,"M09",515585.75
"CA",2018,"M10",517880.433333333
"CA",2018,"M11",520175.116666667
"CA",2018,"M12",522469.8
"CA",2019,"M01",523901.683333333
"CA",2019,"M02",525333.566666667
"CA",2019,"M03",526765.45
"CA",2019,"M04",528197.333333333
"CA",2019,"M05",529629.216666667
"CA",2019,"M06",531061.1
"CA",2019,"M07",532492.983333333
"CA",2019,"M08",533924.866666667
"CA",2019,"M09",535356.75
"CA",2019,"M10",536788.633333333
"CA",2019,"M11",538220.516666667
"CA",2019,"M12",539652.4
"CA",2020,"M01",540993.075
"CA",2020,"M02",542333.75
"CA",2020,"M03",543674.425
"CA",2020,"M04",545015.1
"CA",2020,"M05",546355.775
"CA",2020,"M06",547696.45
"CA",2020,"M07",549037.125
"CA",2020,"M08",550377.8
"CA",2020,"M09",551718.475
"CA",2020,"M10",553059.15
"CA",2020,"M11",554399.825
"CA",2020,"M12",555740.5
"CA",2021,"M01",564270.225
"CA",2021,"M02",572799.95
"CA",2021,"M03",581329.675
"CA",2021,"M04",589859.4
"CA",2021,"M05",598389.125
"CA",2021,"M06",606918.85
"CA",2021,"M07",615448.575
"CA",2021,"M08",623978.3
"CA",2021,"M09",632508.025
"CA",2021,"M10",641037.75
"CA",2021,"M11",649567.475
"CA",2021,"M12",658097.2
"CA",2022,"M01",663460.941666667
"CA",2022,"M02",668824.683333333
"CA",2022,"M03",674188.425
"CA",2022,"M04",679552.166666667
"CA",2022,"M05",684915.908333333
"CA",2022,"M06",690279.65
"CA",2022,"M07",695643.391666667
"CA",2022,"M08",701007.133333333
"CA",2022,"M09",706370.875
"CA",2022,"M10",711734.616666667
"CA",2022,"M11",717098.358333333
"CA",2022,"M12",722462.1
"CO",2012,"M01",59014.4833333333
"CO",2012,"M02",59189.5666666667
"CO",2012,"M03",59364.65
"CO",2012,"M04",59539.7333333333
"CO",2012,"M05",59714.8166666667
"CO",2012,"M06",59889.9
"CO",2012,"M07",60064.9833333333
"CO",2012,"M08",60240.0666666667
"CO",2012,"M09",60415.15
"CO",2012,"M10",60590.2333333333
"CO",2012,"M11",60765.3166666667
"CO",2012,"M12",60940.4
"CO",2013,"M01",61188.5
"CO",2013,"M02",61436.6
"CO",2013,"M03",61684.7
"CO",2013,"M04",61932.8
"CO",2013,"M05",62180.9
"CO",2013,"M06",62429
"CO",2013,"M07",62677.1
"CO",2013,"M08",62925.2
"CO",2013,"M09",63173.3
"CO",2013,"M10",63421.4
"CO",2013,"M11",63669.5
"CO",2013,"M12",63917.6
"CO",2014,"M01",64243.325
"CO",2014,"M02",64569.05
"CO",2014,"M03",64894.775
"CO",2014,"M04",65220.5
"CO",2014,"M05",65546.225
"CO",2014,"M06",65871.95
"CO",2014,"M07",66197.675
"CO",2014,"M08",66523.4
"CO",2014,"M09",66849.125
"CO",2014,"M10",67174.85
"CO",2014,"M11",67500.575
"CO",2014,"M12",67826.3
"CO",2015,"M01",68060.6583333333
"CO",2015,"M02",68295.0166666667
"CO",2015,"M03",68529.375
"CO",2015,"M04",68763.7333333333
"CO",2015,"M05",68998.0916666667
"CO",2015,"M06",69232.45
"CO",2015,"M07",69466.8083333333
"CO",2015,"M08",69701.1666666667
"CO",2015,"M09",69935.525
"CO",2015,"M10",70169.8833333333
"CO",2015,"M11",70404.2416666667
"CO",2015,"M12",70638.6
"CO",2016,"M01",70933.2916666667
"CO",2016,"M02",71227.9833333333
"CO",2016,"M03",71522.675
"CO",2016,"M04",71817.3666666667
"CO",2016,"M05",72112.0583333333
"CO",2016,"M06",72406.75
"CO",2016,"M07",72701.4416666667
"CO",2016,"M08",72996.1333333333
"CO",2016,"M09",73290.825
"CO",2016,"M10",73585.5166666667
"CO",2016,"M11",73880.2083333333
"CO",2016,"M12",74174.9
"CO",2017,"M01",74640.4583333333
"CO",2017,"M02",75106.0166666667
"CO",2017,"M03",75571.575
"CO",2017,"M04",76037.1333333333
"CO",2017,"M05",76502.6916666667
"CO",2017,"M06",76968.25
"CO",2017,"M07",77433.8083333333
"CO",2017,"M08",77899.3666666667
"CO",2017,"M09",78364.925
"CO",2017,"M10",78830.4833333333
"CO",2017,"M11",79296.0416666667
"CO",2017,"M12",79761.6
"CO",2018,"M01",80108.875
"CO",2018,"M02",80456.15
"CO",2018,"M03",80803.425
"CO",2018,"M04",81150.7
"CO",2018,"M05",81497.975
"CO",2018,"M06",81845.25
"CO",2018,"M07",82192.525
"CO",2018,"M08",82539.8
"CO",2018,"M09",82887.075
"CO",2018,"M10",83234.35
"CO",2018,"M11",83581.625
"CO",2018,"M12",83928.9
"CO",2019,"M01",84239.8416666667
"CO",2019,"M02",84550.7833333333
"CO",2019,"M03",84861.725
"CO",2019,"M04",85172.6666666667
"CO",2019,"M05",85483.6083333333
"CO",2019,"M06",85794.55
"CO",2019,"M07",86105.4916666667
"CO",2019,"M08",86416.4333333333
"CO",2019,"M09",86727.375
"CO",2019,"M10",87038.3166666667
"CO",2019,"M11",87349.2583333333
"CO",2019,"M12",87660.2
"CO",2020,"M01",88162.1
"CO",2020,"M02",88664
"CO",2020,"M03",89165.9
"CO",2020,"M04",89667.8
"CO",2020,"M05",90169.7
"CO",2020,"M06",90671.6
"CO",2020,"M07",91173.5
"CO",2020,"M08",91675.4
"CO",2020,"M09",92177.3
"CO",2020,"M10",92679.2
"CO",2020,"M11",93181.1
"CO",2020,"M12",93683
"CO",2021,"M01",94931.0083333333
"CO",2021,"M02",96179.0166666667
"CO",2021,"M03",97427.025
"CO",2021,"M04",98675.0333333333
"CO",2021,"M05",99923.0416666667
"CO",2021,"M06",101171.05
"CO",2021,"M07",102419.058333333
"CO",2021,"M08",103667.066666667
"CO",2021,"M09",104915.075
"CO",2021,"M10",106163.083333333
"CO",2021,"M11",107411.091666667
"CO",2021,"M12",108659.1
"CO",2022,"M01",109543.616666667
"CO",2022,"M02",110428.133333333
"CO",2022,"M03",111312.65
"CO",2022,"M04",112197.166666667
"CO",2022,"M05",113081.683333333
"CO",2022,"M06",113966.2
"CO",2022,"M07",114850.716666667
"CO",2022,"M08",115735.233333333
"CO",2022,"M09",116619.75
"CO",2022,"M10",117504.266666667
"CO",2022,"M11",118388.783333333
"CO",2022,"M12",119273.3
"CT",2012,"M01",46022.4583333333
"CT",2012,"M02",46091.1166666667
"CT",2012,"M03",46159.775
"CT",2012,"M04",46228.4333333333
"CT",2012,"M05",46297.0916666667
"CT",2012,"M06",46365.75
"CT",2012,"M07",46434.4083333333
"CT",2012,"M08",46503.0666666667
"CT",2012,"M09",46571.725
"CT",2012,"M10",46640.3833333333
"CT",2012,"M11",46709.0416666667
"CT",2012,"M12",46777.7
"CT",2013,"M01",46873.0833333333
"CT",2013,"M02",46968.4666666667
