Time,Pandemic_10,Pandemic_9,Pandemic_1,Pandemic_7
2/1/2020,0.5249834241681198,0.639810426576236,0.0,0.0
3/1/2020,0.5350496971873824,0.6682464455081445,0.0042229655,0.0609357998
4/1/2020,0.6301003819548583,0.6255924171460637,0.0024131231,0.0282916213
5/1/2020,0.6318655191323951,0.6445497630291054,0.0025728151,0.0304678999
6/1/2020,0.5777526986231899,0.639810426576236,0.0108767976,0.0631120783
7/1/2020,0.9256247781692474,0.6966824645116171,0.040277864,0.1828073993
8/1/2020,0.31842053044995583,0.6540284360779722,0.0370130504,0.204570185
9/1/2020,0.29015963927537214,0.6303317535989331,0.0532484009,0.1566920566
10/1/2020,0.4188699423378682,0.7819905213073427,0.1582192571,0.4243743199
11/1/2020,0.6447862893178639,0.8388625593142877,0.3026162868,0.752992383
12/1/2020,1.0,0.5781990521879855,0.1744191205,0.5571273123
1/1/2021,0.9935075459161131,0.40758293838184234,0.0982904087,0.2176278564
2/1/2021,0.2171088088183265,0.5829383886408549,0.0558034724,0.1523394995
3/1/2021,0.0,0.6492890996251028,0.072748565,0.2241566921
4/1/2021,0.30496192420701207,0.5639810426862493,0.0778320928,0.289445049
5/1/2021,0.5051223816513358,0.7345971564208285,0.0299511165,0.1284004353
6/1/2021,0.5264904042441626,0.5781990521879855,0.0149666865,0.0957562568
7/1/2021,0.5257364189156271,0.6587677725308417,0.0817711614,0.39390642
8/1/2021,0.6094489185049698,0.8151658768352485,0.26157545,0.8019586507
9/1/2021,0.7459529618788955,1.0,0.4060079669,1.0
10/1/2021,0.5161371004085843,0.7251184834435256,0.3689594294,0.8335146899
11/1/2021,0.5195901425932368,0.6777251185570113,0.1806914662,0.4494015234
12/1/2021,0.7534522362151508,0.0,0.1362261238,0.2655059848
1/1/2022,0.5399408704343176,0.7677725118771704,1.0,0.478781284
2/1/2022,0.4589196901361835,0.8056872038579458,0.2854316563,0.2491838955
3/1/2022,0.4004988448856724,0.5781990521879855,0.1077388504,0.1284004353
4/1/2022,0.3158723696850353,0.4454976303626177,0.0940142126,0.0718171926
5/1/2022,0.4042656813546738,0.6824644550098808,0.1257574279,0.1099020675
6/1/2022,0.4749865559784121,0.48341232227182906,0.1572433617,0.1077257889
7/1/2022,0.539145020682225,0.7488151659225647,0.1569505931,0.1088139282
8/1/2022,0.5600719174336509,0.6682464455081445,0.0951143128,0.112078346
9/1/2022,0.4910380706080559,0.6208530806216302,0.0211769298,0.0402611534
10/1/2022,0.42459223238006044,0.5213270142526044,0.0135738176,0.0293797606
11/1/2022,0.5249834241681198,0.639810426576236,0.0134850999,0.0054406964
12/1/2022,0.5249834241681198,0.639810426576236,0.0121365899,0.0087051143
