State,Year,Period,Demand_1
AL,2012,M01,137597.425
AL,2012,M02,137847.45
AL,2012,M03,138097.475
AL,2012,M04,138347.5
AL,2012,M05,138597.525
AL,2012,M06,138847.55
AL,2012,M07,139097.575
AL,2012,M08,139347.6
AL,2012,M09,139597.625
AL,2012,M10,139847.65
AL,2012,M11,140097.675
AL,2012,M12,140347.7
AL,2013,M01,140654.3833
AL,2013,M02,140961.0667
AL,2013,M03,141267.75
AL,2013,M04,141574.4333
AL,2013,M05,141881.1167
AL,2013,M06,142187.8
AL,2013,M07,142494.4833
AL,2013,M08,142801.1667
AL,2013,M09,143107.85
AL,2013,M10,143414.5333
AL,2013,M11,143721.2167
AL,2013,M12,144027.9
AL,2014,M01,144416.3583
AL,2014,M02,144804.8167
AL,2014,M03,145193.275
AL,2014,M04,145581.7333
AL,2014,M05,145970.1917
AL,2014,M06,146358.65
AL,2014,M07,146747.1083
AL,2014,M08,147135.5667
AL,2014,M09,147524.025
AL,2014,M10,147912.4833
AL,2014,M11,148300.9417
AL,2014,M12,148689.4
AL,2015,M01,149028.275
AL,2015,M02,149367.15
AL,2015,M03,149706.025
AL,2015,M04,150044.9
AL,2015,M05,150383.775
AL,2015,M06,150722.65
AL,2015,M07,151061.525
AL,2015,M08,151400.4
AL,2015,M09,151739.275
AL,2015,M10,152078.15
AL,2015,M11,152417.025
AL,2015,M12,152755.9
AL,2016,M01,153119.5667
AL,2016,M02,153483.2333
AL,2016,M03,153846.9
AL,2016,M04,154210.5667
AL,2016,M05,154574.2333
AL,2016,M06,154937.9
AL,2016,M07,155301.5667
AL,2016,M08,155665.2333
AL,2016,M09,156028.9
AL,2016,M10,156392.5667
AL,2016,M11,156756.2333
AL,2016,M12,157119.9
AL,2017,M01,157635.5833
AL,2017,M02,158151.2667
AL,2017,M03,158666.95
AL,2017,M04,159182.6333
AL,2017,M05,159698.3167
AL,2017,M06,160214
AL,2017,M07,160729.6833
AL,2017,M08,161245.3667
AL,2017,M09,161761.05
AL,2017,M10,162276.7333
AL,2017,M11,162792.4167
AL,2017,M12,163308.1
AL,2018,M01,163931.8667
AL,2018,M02,164555.6333
AL,2018,M03,165179.4
AL,2018,M04,165803.1667
AL,2018,M05,166426.9333
AL,2018,M06,167050.7
AL,2018,M07,167674.4667
AL,2018,M08,168298.2333
AL,2018,M09,168922
AL,2018,M10,169545.7667
AL,2018,M11,170169.5333
AL,2018,M12,170793.3
AL,2019,M01,171344.8667
AL,2019,M02,171896.4333
AL,2019,M03,172448
AL,2019,M04,172999.5667
AL,2019,M05,173551.1333
AL,2019,M06,174102.7
AL,2019,M07,174654.2667
AL,2019,M08,175205.8333
AL,2019,M09,175757.4
AL,2019,M10,176308.9667
AL,2019,M11,176860.5333
AL,2019,M12,177412.1
AL,2020,M01,177385.5833
AL,2020,M02,177359.0667
AL,2020,M03,177332.55
AL,2020,M04,177306.0333
AL,2020,M05,177279.5167
AL,2020,M06,177253
AL,2020,M07,177226.4833
AL,2020,M08,177199.9667
AL,2020,M09,177173.45
AL,2020,M10,177146.9333
AL,2020,M11,177120.4167
AL,2020,M12,177093.9
AL,2021,M01,178991.6333
AL,2021,M02,180889.3667
AL,2021,M03,182787.1
AL,2021,M04,184684.8333
AL,2021,M05,186582.5667
AL,2021,M06,188480.3
AL,2021,M07,190378.0333
AL,2021,M08,192275.7667
AL,2021,M09,194173.5
AL,2021,M10,196071.2333
AL,2021,M11,197968.9667
AL,2021,M12,199866.7
AL,2022,M01,NA
AL,2022,M02,NA
AL,2022,M03,NA
AL,2022,M04,NA
AL,2022,M05,NA
AL,2022,M06,NA
AL,2022,M07,NA
AL,2022,M08,NA
AL,2022,M09,NA
AL,2022,M10,NA
AL,2022,M11,NA
AL,2022,M12,NA
AK,2012,M01,30246.35
AK,2012,M02,30330.3
AK,2012,M03,30414.25
AK,2012,M04,30498.2
AK,2012,M05,30582.15
AK,2012,M06,30666.1
AK,2012,M07,30750.05
AK,2012,M08,30834
AK,2012,M09,30917.95
AK,2012,M10,31001.9
AK,2012,M11,31085.85
AK,2012,M12,31169.8
AK,2013,M01,31214.76667
AK,2013,M02,31259.73333
AK,2013,M03,31304.7
AK,2013,M04,31349.66667
AK,2013,M05,31394.63333
AK,2013,M06,31439.6
AK,2013,M07,31484.56667
AK,2013,M08,31529.53333
AK,2013,M09,31574.5
AK,2013,M10,31619.46667
AK,2013,M11,31664.43333
AK,2013,M12,31709.4
AK,2014,M01,31802.025
AK,2014,M02,31894.65
AK,2014,M03,31987.275
AK,2014,M04,32079.9
AK,2014,M05,32172.525
AK,2014,M06,32265.15
AK,2014,M07,32357.775
AK,2014,M08,32450.4
AK,2014,M09,32543.025
AK,2014,M10,32635.65
AK,2014,M11,32728.275
AK,2014,M12,32820.9
AK,2015,M01,32877.2
AK,2015,M02,32933.5
AK,2015,M03,32989.8
AK,2015,M04,33046.1
AK,2015,M05,33102.4
AK,2015,M06,33158.7
AK,2015,M07,33215
AK,2015,M08,33271.3
AK,2015,M09,33327.6
AK,2015,M10,33383.9
AK,2015,M11,33440.2
AK,2015,M12,33496.5
AK,2016,M01,33556.64167
AK,2016,M02,33616.78333
AK,2016,M03,33676.925
AK,2016,M04,33737.06667
AK,2016,M05,33797.20833
AK,2016,M06,33857.35
AK,2016,M07,33917.49167
AK,2016,M08,33977.63333
AK,2016,M09,34037.775
