Time	GDP	RPFI	FixAss	UI	PartR	UR	Cons3	Cons5	CPIU	PCE	Mask2	School	Hosp1
2012-01-01	0.0	0.0	0.0	0.0	0.639999999999997	0.29999999999999993	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2012-02-01	0.9792458015912889	0.6516865186463175	0.2631190943583174	0.20705823229901896	0.639999999999997	0.29166666666666663	0.9937716560450129	0.9947471817062132	0.48042480973508717	0.9679389035394174	0.0	0.0	0.0
2012-03-01	0.9794563405214187	0.6498648109175603	0.27552762993879043	0.18168239900229288	0.639999999999997	0.29999999999999993	0.993950230283156	0.9949732425672637	0.4783596646895119	0.966573298315848	0.0	0.0	0.0
2012-04-01	0.9806067245238038	0.6449290164501711	0.43117925673285606	0.18781206626965175	0.639999999999997	0.30833333333333335	0.9942827477753763	0.9953897985707622	0.4580164258916395	0.9640820130383683	0.0	0.0	0.0
2012-05-01	0.982180049737298	0.6442605109735607	0.5336344685848848	0.20284184758316653	0.639999999999997	0.31666666666666665	0.9956702535806664	0.9971121226181706	0.2823120937051792	0.9538741718760513	0.0	0.0	0.0
2012-06-01	0.9817782278312861	0.6435993608348638	0.5069454358296268	0.20814476252461617	0.6799999999999997	0.32500000000000007	0.9953064767553799	0.9966667392431837	0.34089822278672366	0.956476820529933	0.0	0.0	0.0
2012-07-01	0.9780848190843977	0.494104625653996	0.2890076848295597	0.2392357084138474	0.6799999999999997	0.32500000000000007	0.9948042857752272	0.9960499874196742	0.39344637279221933	0.9600922983102562	0.0	0.0	0.0
2012-08-01	0.9761406167780877	0.49357714154593996	0.16060527311102157	0.1825118686062808	0.639999999999997	0.32500000000000007	0.9930814413846537	0.9939223234285672	0.6527359268372354	0.9726370191705382	0.0	0.0	0.0
2012-09-01	0.9763373308561424	0.4930435435946334	0.1721742579093236	0.21433047467864932	0.639999999999997	0.32500000000000007	0.9932570568526139	0.994144438602302	0.6040928049754837	0.9712958398905062	0.0	0.0	0.0
2012-10-01	0.9773505868327024	0.5976211080042045	0.25161693750838743	0.17615759731739616	0.639999999999997	0.31666666666666665	0.9932887362647258	0.9941883513897526	0.506728251696605	0.9710078867636006	0.0	0.0	0.0
2012-11-01	0.9796996063115325	0.5968244490524435	0.4043097408557277	0.24135178992639247	0.639999999999997	0.31666666666666665	0.9953674146892386	0.9967658966558505	0.3006557725101743	0.9557458204525275	0.0	0.0	0.0
2012-12-01	0.9793616917751542	0.5960308218116912	0.3813265919055909	0.2496319050489869	0.6000000000000014	0.30833333333333335	0.9950636844433872	0.9963945651780773	0.37413804795301997	0.9579119267895568	0.0	0.0	0.0
2013-01-01	0.9846150552505382	0.7073411554072103	0.6934639745732059	0.270337338877089	0.5599999999999987	0.29999999999999993	0.9928612364179936	0.9942468148448251	0.4730736920152049	0.9666573187698657	0.0	0.0	0.0
2013-02-01	0.9834598267163426	0.7068086944185847	0.6192526423129912	0.1939134362900357	0.5199999999999996	0.2833333333333333	0.9918688786681645	0.9930190780821138	0.6349860070635606	0.9739022526346681	0.0	0.0	0.0
2013-03-01	0.9866348685096663	0.7062804540707058	0.8281322779952873	0.1765637901806676	0.4800000000000004	0.275	0.9947156309625792	0.9965432004415353	0.24716895130705616	0.953062076468007	0.0	0.0	0.0
2013-04-01	0.9814591100875247	0.5970954287204915	0.6079879754215424	0.14975293955879923	0.4399999999999977	0.2666666666666667	0.9944079087994945	0.9961628653719722	0.28136451627527614	0.9552985360150279	0.0	0.0	0.0
2013-05-01	0.9805308916362365	0.5969701940403038	0.5465405976584098	0.17057670487126086	0.4399999999999977	0.2583333333333333	0.9935828683003305	0.9951422172537293	0.39935182972145283	0.9613194141187007	0.0	0.0	0.0
2013-06-01	0.9795597884409142	0.5968453983296655	0.48229270254686046	0.2251925554017161	0.4399999999999977	0.2583333333333333	0.9927198090880888	0.9940745091902249	0.4918638127890506	0.9676185898792923	0.0	0.0	0.0
2013-07-01	0.9813156667358194	0.6265833305727271	0.47840277095994255	0.2077614698344976	0.4399999999999977	0.2583333333333333	0.9932405162018693	0.9947195548510395	0.4719810427311055	0.9637948380358665	0.0	0.0	0.0
2013-08-01	0.9811231552779697	0.6260523911851393	0.46508368359084273	0.17842650075874006	0.40000000000000213	0.2583333333333333	0.9930699976507491	0.9945090332249359	0.4921920362000497	0.965027867173961	0.0	0.0	0.0
2013-09-01	0.9818602290243158	0.6255259768353403	0.5125499901130901	0.18620211698884898	0.40000000000000213	0.2583333333333333	0.9937237357198176	0.9953187320404182	0.3976005690238599	0.9602308122521267	0.0	0.0	0.0
2013-10-01	0.9805707342314813	0.5963653237411397	0.4206548533501419	0.21100004376953582	0.35999999999999943	0.2666666666666667	0.992977587985762	0.9943957200982848	0.4050553748719518	0.9656751792246812	0.0	0.0	0.0
2013-11-01	0.980654065346068	0.5959344869637961	0.42509342888272134	0.2622223178929439	0.35999999999999943	0.2666666666666667	0.9930503965900044	0.994486368182811	0.46667314549690636	0.9651282623410788	0.0	0.0	0.0
2013-12-01	0.9803759696646575	0.5955052054290171	0.4059023839580642	0.28247527456541976	0.35999999999999943	0.2666666666666667	0.9928027351980007	0.9941803519969415	0.504271433281398	0.9669260016326096	0.0	0.0	0.0
2014-01-01	0.9778565806307092	0.5826460093175335	0.39535230930428267	0.2591347356598474	0.40000000000000213	0.2666666666666667	0.9921316156491433	0.9948471038033506	0.493934346505972	0.9665405811298221	0.0	0.0	0.0
