State,Year,Period,Pandemic_10
CO,2022,M10,0
CT,2020,M01,0
CT,2020,M02,0
CT,2020,M03,69
CT,2020,M04,2188
CT,2020,M05,1687
CT,2020,M06,378
CT,2020,M07,110
CT,2020,M08,33
CT,2020,M09,43
CT,2020,M10,108
CT,2020,M11,404
CT,2020,M12,975
CT,2021,M01,1051
CT,2021,M02,576
CT,2021,M03,267
CT,2021,M04,208
CT,2021,M05,141
CT,2021,M06,40
CT,2021,M07,15
CT,2021,M08,65
CT,2021,M09,271
CT,2021,M10,135
CT,2021,M11,141
CT,2021,M12,255
CT,2022,M01,850
CT,2022,M02,460
CT,2022,M03,309
CT,2022,M04,71
CT,2022,M05,91
CT,2022,M06,104
CT,2022,M07,57
CT,2022,M08,167
CT,2022,M09,96
CT,2022,M10,0
DE,2020,M01,0
DE,2020,M02,0
DE,2020,M03,3
DE,2020,M04,209
DE,2020,M05,285
DE,2020,M06,69
DE,2020,M07,32
DE,2020,M08,19
DE,2020,M09,35
DE,2020,M10,83
DE,2020,M11,85
DE,2020,M12,241
DE,2021,M01,244
DE,2021,M02,117
DE,2021,M03,137
DE,2021,M04,66
DE,2021,M05,36
DE,2021,M06,33
DE,2021,M07,139
DE,2021,M08,47
DE,2021,M09,74
DE,2021,M10,137
DE,2021,M11,87
DE,2021,M12,108
DE,2022,M01,245
DE,2022,M02,178
DE,2022,M03,137
DE,2022,M04,61
DE,2022,M05,49
DE,2022,M06,28
DE,2022,M07,40
DE,2022,M08,18
DE,2022,M09,69
DE,2022,M10,0
FL,2020,M01,0
FL,2020,M02,0
FL,2020,M03,85
FL,2020,M04,1183
FL,2020,M05,1183
FL,2020,M06,1054
FL,2020,M07,3338
FL,2020,M08,4344
FL,2020,M09,3130
FL,2020,M10,2444
FL,2020,M11,1836
FL,2020,M12,3076
FL,2021,M01,4806
FL,2021,M02,4373
FL,2021,M03,2573
FL,2021,M04,1736
FL,2021,M05,1613
FL,2021,M06,998
FL,2021,M07,1307
FL,2021,M08,5482
FL,2021,M09,10448
FL,2021,M10,4661
FL,2021,M11,1878
FL,2021,M12,956
FL,2022,M01,2761
FL,2022,M02,4819
FL,2022,M03,3054
FL,2022,M04,810
FL,2022,M05,602
FL,2022,M06,1250
FL,2022,M07,1765
FL,2022,M08,2288
FL,2022,M09,1563
FL,2022,M10,0
GA,2020,M01,0
GA,2020,M02,0
GA,2020,M03,111
GA,2020,M04,1021
GA,2020,M05,921
GA,2020,M06,752
GA,2020,M07,947
GA,2020,M08,1881
GA,2020,M09,1388
GA,2020,M10,958
GA,2020,M11,1473
GA,2020,M12,1482
GA,2021,M01,3264
GA,2021,M02,3097
GA,2021,M03,1760
GA,2021,M04,1135
GA,2021,M05,647
GA,2021,M06,586
GA,2021,M07,253
GA,2021,M08,1064
GA,2021,M09,3344
GA,2021,M10,2981
