"State","Year","Period","S_Consumption"
"ID",2021,"M02",41261.95
"ID",2021,"M03",41768.525
"ID",2021,"M04",42275.1
"ID",2021,"M05",42781.675
"ID",2021,"M06",43288.25
"ID",2021,"M07",43794.825
"ID",2021,"M08",44301.4
"ID",2021,"M09",44807.975
"ID",2021,"M10",45314.55
"ID",2021,"M11",45821.125
"ID",2021,"M12",46327.7
"ID",2022,"M01",46788.125
"ID",2022,"M02",47248.55
"ID",2022,"M03",47708.975
"ID",2022,"M04",48169.4
"ID",2022,"M05",48629.825
"ID",2022,"M06",49090.25
"ID",2022,"M07",49550.675
"ID",2022,"M08",50011.1
"ID",2022,"M09",50471.525
"ID",2022,"M10",50931.95
"ID",2022,"M11",51392.375
"ID",2022,"M12",51852.8
"IL",2012,"M01",313273.583333333
"IL",2012,"M02",313905.666666667
"IL",2012,"M03",314537.75
"IL",2012,"M04",315169.833333333
"IL",2012,"M05",315801.916666667
"IL",2012,"M06",316434
"IL",2012,"M07",317066.083333333
"IL",2012,"M08",317698.166666667
"IL",2012,"M09",318330.25
"IL",2012,"M10",318962.333333333
"IL",2012,"M11",319594.416666667
"IL",2012,"M12",320226.5
"IL",2013,"M01",320883.208333333
"IL",2013,"M02",321539.916666667
"IL",2013,"M03",322196.625
"IL",2013,"M04",322853.333333333
"IL",2013,"M05",323510.041666667
"IL",2013,"M06",324166.75
"IL",2013,"M07",324823.458333333
"IL",2013,"M08",325480.166666667
"IL",2013,"M09",326136.875
"IL",2013,"M10",326793.583333333
"IL",2013,"M11",327450.291666667
"IL",2013,"M12",328107
"IL",2014,"M01",329230.191666667
"IL",2014,"M02",330353.383333333
"IL",2014,"M03",331476.575
"IL",2014,"M04",332599.766666667
"IL",2014,"M05",333722.958333333
"IL",2014,"M06",334846.15
"IL",2014,"M07",335969.341666667
"IL",2014,"M08",337092.533333333
"IL",2014,"M09",338215.725
"IL",2014,"M10",339338.916666667
"IL",2014,"M11",340462.108333333
"IL",2014,"M12",341585.3
"IL",2015,"M01",342617.083333333
"IL",2015,"M02",343648.866666667
"IL",2015,"M03",344680.65
"IL",2015,"M04",345712.433333333
"IL",2015,"M05",346744.216666667
"IL",2015,"M06",347776
"IL",2015,"M07",348807.783333333
"IL",2015,"M08",349839.566666667
"IL",2015,"M09",350871.35
"IL",2015,"M10",351903.133333333
"IL",2015,"M11",352934.916666667
"IL",2015,"M12",353966.7
"IL",2016,"M01",355001.391666667
"IL",2016,"M02",356036.083333333
"IL",2016,"M03",357070.775
"IL",2016,"M04",358105.466666667
"IL",2016,"M05",359140.158333333
"IL",2016,"M06",360174.85
"IL",2016,"M07",361209.541666667
"IL",2016,"M08",362244.233333333
"IL",2016,"M09",363278.925
"IL",2016,"M10",364313.616666667
"IL",2016,"M11",365348.308333333
"IL",2016,"M12",366383
"IL",2017,"M01",367310.691666667
"IL",2017,"M02",368238.383333333
"IL",2017,"M03",369166.075
"IL",2017,"M04",370093.766666667
"IL",2017,"M05",371021.458333333
"IL",2017,"M06",371949.15
"IL",2017,"M07",372876.841666667
"IL",2017,"M08",373804.533333333
"IL",2017,"M09",374732.225
"IL",2017,"M10",375659.916666667
"IL",2017,"M11",376587.608333333
"IL",2017,"M12",377515.3
"IL",2018,"M01",378853.933333333
"IL",2018,"M02",380192.566666667
"IL",2018,"M03",381531.2
"IL",2018,"M04",382869.833333333
"IL",2018,"M05",384208.466666667
"IL",2018,"M06",385547.1
"IL",2018,"M07",386885.733333333
"IL",2018,"M08",388224.366666667
"IL",2018,"M09",389563
"IL",2018,"M10",390901.633333333
"IL",2018,"M11",392240.266666667
"IL",2018,"M12",393578.9
"IL",2019,"M01",394194.416666667
"IL",2019,"M02",394809.933333333
"IL",2019,"M03",395425.45
"IL",2019,"M04",396040.966666667
"IL",2019,"M05",396656.483333333
"IL",2019,"M06",397272
"IL",2019,"M07",397887.516666667
"IL",2019,"M08",398503.033333333
"IL",2019,"M09",399118.55
"IL",2019,"M10",399734.066666667
"IL",2019,"M11",400349.583333333
"IL",2019,"M12",400965.1
"IL",2020,"M01",399277.408333333
"IL",2020,"M02",397589.716666667
"IL",2020,"M03",395902.025
"IL",2020,"M04",394214.333333333
"IL",2020,"M05",392526.641666667
"IL",2020,"M06",390838.95
"IL",2020,"M07",389151.258333333
"IL",2020,"M08",387463.566666667
"IL",2020,"M09",385775.875
"IL",2020,"M10",384088.183333333
"IL",2020,"M11",382400.491666667
"IL",2020,"M12",380712.8
"IL",2021,"M01",383510.775
"IL",2021,"M02",386308.75
"IL",2021,"M03",389106.725
"IL",2021,"M04",391904.7
"IL",2021,"M05",394702.675
"IL",2021,"M06",397500.65
"IL",2021,"M07",400298.625
"IL",2021,"M08",403096.6
"IL",2021,"M09",405894.575
"IL",2021,"M10",408692.55
"IL",2021,"M11",411490.525
"IL",2021,"M12",414288.5
"IL",2022,"M01",417678.216666667
"IL",2022,"M02",421067.933333333
"IL",2022,"M03",424457.65
"IL",2022,"M04",427847.366666667
"IL",2022,"M05",431237.083333333
"IL",2022,"M06",434626.8
"IL",2022,"M07",438016.516666667
"IL",2022,"M08",441406.233333333
"IL",2022,"M09",444795.95
"IL",2022,"M10",448185.666666667
"IL",2022,"M11",451575.383333333
"IL",2022,"M12",454965.1
"IN",2012,"M01",127431.641666667
"IN",2012,"M02",127872.683333333
"IN",2012,"M03",128313.725
"IN",2012,"M04",128754.766666667
"IN",2012,"M05",129195.808333333
"IN",2012,"M06",129636.85
"IN",2012,"M07",130077.891666667
"IN",2012,"M08",130518.933333333
"IN",2012,"M09",130959.975
"IN",2012,"M10",131401.016666667
"IN",2012,"M11",131842.058333333
"IN",2012,"M12",132283.1
"IN",2013,"M01",132526.483333333
"IN",2013,"M02",132769.866666667
"IN",2013,"M03",133013.25
"IN",2013,"M04",133256.633333333
"IN",2013,"M05",133500.016666667
"IN",2013,"M06",133743.4
"IN",2013,"M07",133986.783333333
"IN",2013,"M08",134230.166666667
"IN",2013,"M09",134473.55
"IN",2013,"M10",134716.933333333
"IN",2013,"M11",134960.316666667
"IN",2013,"M12",135203.7
"IN",2014,"M01",135626.6
"IN",2014,"M02",136049.5
"IN",2014,"M03",136472.4
"IN",2014,"M04",136895.3
"IN",2014,"M05",137318.2
"IN",2014,"M06",137741.1
"IN",2014,"M07",138164
"IN",2014,"M08",138586.9
"IN",2014,"M09",139009.8
"IN",2014,"M10",139432.7
"IN",2014,"M11",139855.6
"IN",2014,"M12",140278.5
"IN",2015,"M01",140657.441666667
"IN",2015,"M02",141036.383333333
"IN",2015,"M03",141415.325
"IN",2015,"M04",141794.266666667
"IN",2015,"M05",142173.208333333
"IN",2015,"M06",142552.15
"IN",2015,"M07",142931.091666667
"IN",2015,"M08",143310.033333333
"IN",2015,"M09",143688.975
"IN",2015,"M10",144067.916666667
"IN",2015,"M11",144446.858333333
"IN",2015,"M12",144825.8
"IN",2016,"M01",145295.866666667
"IN",2016,"M02",145765.933333333
"IN",2016,"M03",146236
"IN",2016,"M04",146706.066666667
"IN",2016,"M05",147176.133333333
"IN",2016,"M06",147646.2
"IN",2016,"M07",148116.266666667
"IN",2016,"M08",148586.333333333
"IN",2016,"M09",149056.4
"IN",2016,"M10",149526.466666667
"IN",2016,"M11",149996.533333333
"IN",2016,"M12",150466.6
"IN",2017,"M01",151029.383333333
"IN",2017,"M02",151592.166666667
"IN",2017,"M03",152154.95
"IN",2017,"M04",152717.733333333
"IN",2017,"M05",153280.516666667
"IN",2017,"M06",153843.3
"IN",2017,"M07",154406.083333333
"IN",2017,"M08",154968.866666667
"IN",2017,"M09",155531.65
"IN",2017,"M10",156094.433333333
"IN",2017,"M11",156657.216666667
"IN",2017,"M12",157220
"IN",2018,"M01",157874.725
"IN",2018,"M02",158529.45
"IN",2018,"M03",159184.175
"IN",2018,"M04",159838.9
"IN",2018,"M05",160493.625
"IN",2018,"M06",161148.35
"IN",2018,"M07",161803.075
"IN",2018,"M08",162457.8
"IN",2018,"M09",163112.525
"IN",2018,"M10",163767.25
"IN",2018,"M11",164421.975
"IN",2018,"M12",165076.7
"IN",2019,"M01",165500.083333333
"IN",2019,"M02",165923.466666667
"IN",2019,"M03",166346.85
"IN",2019,"M04",166770.233333333
"IN",2019,"M05",167193.616666667
"IN",2019,"M06",167617
"IN",2019,"M07",168040.383333333
"IN",2019,"M08",168463.766666667
"IN",2019,"M09",168887.15
"IN",2019,"M10",169310.533333333
"IN",2019,"M11",169733.916666667
"IN",2019,"M12",170157.3
"IN",2020,"M01",169908.791666667
"IN",2020,"M02",169660.283333333
"IN",2020,"M03",169411.775
"IN",2020,"M04",169163.266666667
"IN",2020,"M05",168914.758333333
"IN",2020,"M06",168666.25
"IN",2020,"M07",168417.741666667
"IN",2020,"M08",168169.233333333
"IN",2020,"M09",167920.725
"IN",2020,"M10",167672.216666667
"IN",2020,"M11",167423.708333333
"IN",2020,"M12",167175.2
"IN",2021,"M01",168534.491666667
"IN",2021,"M02",169893.783333333
"IN",2021,"M03",171253.075
"IN",2021,"M04",172612.366666667
"IN",2021,"M05",173971.658333333
"IN",2021,"M06",175330.95
"IN",2021,"M07",176690.241666667
"IN",2021,"M08",178049.533333333
"IN",2021,"M09",179408.825
"IN",2021,"M10",180768.116666667
"IN",2021,"M11",182127.408333333
"IN",2021,"M12",183486.7
"IN",2022,"M01",184932.366666667
"IN",2022,"M02",186378.033333333
"IN",2022,"M03",187823.7
"IN",2022,"M04",189269.366666667
"IN",2022,"M05",190715.033333333
"IN",2022,"M06",192160.7
"IN",2022,"M07",193606.366666667
"IN",2022,"M08",195052.033333333
"IN",2022,"M09",196497.7
"IN",2022,"M10",197943.366666667
"IN",2022,"M11",199389.033333333
"IN",2022,"M12",200834.7
"IA",2012,"M01",61253.0333333333
"IA",2012,"M02",61401.2666666667
"IA",2012,"M03",61549.5
"IA",2012,"M04",61697.7333333333
"IA",2012,"M05",61845.9666666667
"IA",2012,"M06",61994.2
"IA",2012,"M07",62142.4333333333
"IA",2012,"M08",62290.6666666667
"IA",2012,"M09",62438.9
"IA",2012,"M10",62587.1333333333
"IA",2012,"M11",62735.3666666667
"IA",2012,"M12",62883.6
"IA",2013,"M01",63030.9166666667
"IA",2013,"M02",63178.2333333333
"IA",2013,"M03",63325.55
"IA",2013,"M04",63472.8666666667
"IA",2013,"M05",63620.1833333333
"IA",2013,"M06",63767.5
"IA",2013,"M07",63914.8166666667
"IA",2013,"M08",64062.1333333333
"IA",2013,"M09",64209.45
"IA",2013,"M10",64356.7666666667
"IA",2013,"M11",64504.0833333333
"IA",2013,"M12",64651.4
"IA",2014,"M01",64903.0416666667
"IA",2014,"M02",65154.6833333333
"IA",2014,"M03",65406.325
"IA",2014,"M04",65657.9666666667
"IA",2014,"M05",65909.6083333333
"IA",2014,"M06",66161.25
"IA",2014,"M07",66412.8916666667
"IA",2014,"M08",66664.5333333333
"IA",2014,"M09",66916.175
"IA",2014,"M10",67167.8166666667
"IA",2014,"M11",67419.4583333333
"IA",2014,"M12",67671.1
"IA",2015,"M01",67840.3
"IA",2015,"M02",68009.5
"IA",2015,"M03",68178.7
"IA",2015,"M04",68347.9
"IA",2015,"M05",68517.1
"IA",2015,"M06",68686.3
"IA",2015,"M07",68855.5
"IA",2015,"M08",69024.7
"IA",2015,"M09",69193.9
"IA",2015,"M10",69363.1
"IA",2015,"M11",69532.3
"IA",2015,"M12",69701.5
"IA",2016,"M01",69944
"IA",2016,"M02",70186.5
"IA",2016,"M03",70429
"IA",2016,"M04",70671.5
"IA",2016,"M05",70914
"IA",2016,"M06",71156.5
"IA",2016,"M07",71399
"IA",2016,"M08",71641.5
"IA",2016,"M09",71884
"IA",2016,"M10",72126.5
"IA",2016,"M11",72369
"IA",2016,"M12",72611.5
"IA",2017,"M01",72832.625
"IA",2017,"M02",73053.75
"IA",2017,"M03",73274.875
"IA",2017,"M04",73496
"IA",2017,"M05",73717.125
"IA",2017,"M06",73938.25
"IA",2017,"M07",74159.375
"IA",2017,"M08",74380.5
"IA",2017,"M09",74601.625
"IA",2017,"M10",74822.75
"IA",2017,"M11",75043.875
"IA",2017,"M12",75265
"IA",2018,"M01",75439.9666666667
"IA",2018,"M02",75614.9333333333
"IA",2018,"M03",75789.9
"IA",2018,"M04",75964.8666666667
"IA",2018,"M05",76139.8333333333
"IA",2018,"M06",76314.8
"IA",2018,"M07",76489.7666666667
"IA",2018,"M08",76664.7333333333
"IA",2018,"M09",76839.7
"IA",2018,"M10",77014.6666666667
"IA",2018,"M11",77189.6333333333
"IA",2018,"M12",77364.6
"IA",2019,"M01",77598.9083333333
"IA",2019,"M02",77833.2166666667
"IA",2019,"M03",78067.525
"IA",2019,"M04",78301.8333333333
"IA",2019,"M05",78536.1416666667
"IA",2019,"M06",78770.45
"IA",2019,"M07",79004.7583333333
"IA",2019,"M08",79239.0666666667
"IA",2019,"M09",79473.375
"IA",2019,"M10",79707.6833333333
"IA",2019,"M11",79941.9916666667
"IA",2019,"M12",80176.3
"IA",2020,"M01",79880.7166666667
"IA",2020,"M02",79585.1333333333
"IA",2020,"M03",79289.55
"IA",2020,"M04",78993.9666666667
"IA",2020,"M05",78698.3833333333
"IA",2020,"M06",78402.8
"IA",2020,"M07",78107.2166666667
"IA",2020,"M08",77811.6333333333
"IA",2020,"M09",77516.05
"IA",2020,"M10",77220.4666666667
"IA",2020,"M11",76924.8833333333
"IA",2020,"M12",76629.3
"IA",2021,"M01",77242.825
"IA",2021,"M02",77856.35
"IA",2021,"M03",78469.875
"IA",2021,"M04",79083.4
"IA",2021,"M05",79696.925
"IA",2021,"M06",80310.45
"IA",2021,"M07",80923.975
"IA",2021,"M08",81537.5
"IA",2021,"M09",82151.025
"IA",2021,"M10",82764.55
"IA",2021,"M11",83378.075
"IA",2021,"M12",83991.6
"IA",2022,"M01",84537.4083333333
"IA",2022,"M02",85083.2166666667
"IA",2022,"M03",85629.025
"IA",2022,"M04",86174.8333333333
"IA",2022,"M05",86720.6416666667
"IA",2022,"M06",87266.45
"IA",2022,"M07",87812.2583333333
"IA",2022,"M08",88358.0666666667
"IA",2022,"M09",88903.875
"IA",2022,"M10",89449.6833333333
"IA",2022,"M11",89995.4916666667
"IA",2022,"M12",90541.3
"KS",2012,"M01",61582.7583333333
"KS",2012,"M02",61687.6166666667
"KS",2012,"M03",61792.475
"KS",2012,"M04",61897.3333333333
"KS",2012,"M05",62002.1916666667
"KS",2012,"M06",62107.05
"KS",2012,"M07",62211.9083333333
"KS",2012,"M08",62316.7666666667
"KS",2012,"M09",62421.625
"KS",2012,"M10",62526.4833333333
"KS",2012,"M11",62631.3416666667
"KS",2012,"M12",62736.2
"KS",2013,"M01",62831.0083333333
"KS",2013,"M02",62925.8166666667
"KS",2013,"M03",63020.625
"KS",2013,"M04",63115.4333333333
"KS",2013,"M05",63210.2416666667
"KS",2013,"M06",63305.05
"KS",2013,"M07",63399.8583333333
"KS",2013,"M08",63494.6666666667
"KS",2013,"M09",63589.475
"KS",2013,"M10",63684.2833333333
"KS",2013,"M11",63779.0916666667
"KS",2013,"M12",63873.9
"KS",2014,"M01",64029.8666666667
"KS",2014,"M02",64185.8333333333
"KS",2014,"M03",64341.8
"KS",2014,"M04",64497.7666666667
"KS",2014,"M05",64653.7333333333
"KS",2014,"M06",64809.7
"KS",2014,"M07",64965.6666666667
"KS",2014,"M08",65121.6333333333
"KS",2014,"M09",65277.6
"KS",2014,"M10",65433.5666666667
"KS",2014,"M11",65589.5333333333
"KS",2014,"M12",65745.5
"KS",2015,"M01",65921.9833333333
"KS",2015,"M02",66098.4666666667
"KS",2015,"M03",66274.95
"KS",2015,"M04",66451.4333333333
"KS",2015,"M05",66627.9166666667
"KS",2015,"M06",66804.4
"KS",2015,"M07",66980.8833333333
"KS",2015,"M08",67157.3666666667
"KS",2015,"M09",67333.85
"KS",2015,"M10",67510.3333333333
"KS",2015,"M11",67686.8166666667
"KS",2015,"M12",67863.3
"KS",2016,"M01",68039.0583333333
"KS",2016,"M02",68214.8166666667
"KS",2016,"M03",68390.575
"KS",2016,"M04",68566.3333333333
"KS",2016,"M05",68742.0916666667
"KS",2016,"M06",68917.85
"KS",2016,"M07",69093.6083333333
"KS",2016,"M08",69269.3666666667
"KS",2016,"M09",69445.125
"KS",2016,"M10",69620.8833333333
"KS",2016,"M11",69796.6416666667
"KS",2016,"M12",69972.4
"KS",2017,"M01",70169.8083333333
"KS",2017,"M02",70367.2166666667
"KS",2017,"M03",70564.625
"KS",2017,"M04",70762.0333333333
"KS",2017,"M05",70959.4416666667
"KS",2017,"M06",71156.85
"KS",2017,"M07",71354.2583333333
"KS",2017,"M08",71551.6666666667
"KS",2017,"M09",71749.075
"KS",2017,"M10",71946.4833333333
"KS",2017,"M11",72143.8916666667
"KS",2017,"M12",72341.3
"KS",2018,"M01",72565.1666666667
"KS",2018,"M02",72789.0333333333
"KS",2018,"M03",73012.9
"KS",2018,"M04",73236.7666666667
"KS",2018,"M05",73460.6333333333
"KS",2018,"M06",73684.5
"KS",2018,"M07",73908.3666666667
"KS",2018,"M08",74132.2333333333
"KS",2018,"M09",74356.1
"KS",2018,"M10",74579.9666666667
"KS",2018,"M11",74803.8333333333
"KS",2018,"M12",75027.7
"KS",2019,"M01",75237.0916666667
"KS",2019,"M02",75446.4833333333
"KS",2019,"M03",75655.875
"KS",2019,"M04",75865.2666666667
"KS",2019,"M05",76074.6583333333
"KS",2019,"M06",76284.05
"KS",2019,"M07",76493.4416666667
"KS",2019,"M08",76702.8333333333
"KS",2019,"M09",76912.225
"KS",2019,"M10",77121.6166666667
"KS",2019,"M11",77331.0083333333
"KS",2019,"M12",77540.4
"KS",2020,"M01",77343.3333333333
"KS",2020,"M02",77146.2666666667
"KS",2020,"M03",76949.2
"KS",2020,"M04",76752.1333333333
"KS",2020,"M05",76555.0666666667
"KS",2020,"M06",76358
"KS",2020,"M07",76160.9333333333
"KS",2020,"M08",75963.8666666667
"KS",2020,"M09",75766.8
"KS",2020,"M10",75569.7333333333
"KS",2020,"M11",75372.6666666667
"KS",2020,"M12",75175.6
"KS",2021,"M01",75662.7916666667
"KS",2021,"M02",76149.9833333333
"KS",2021,"M03",76637.175
"KS",2021,"M04",77124.3666666667
"KS",2021,"M05",77611.5583333333
"KS",2021,"M06",78098.75
"KS",2021,"M07",78585.9416666667
"KS",2021,"M08",79073.1333333333
"KS",2021,"M09",79560.325
"KS",2021,"M10",80047.5166666667
"KS",2021,"M11",80534.7083333333
"KS",2021,"M12",81021.9
"KS",2022,"M01",81587.5333333333
"KS",2022,"M02",82153.1666666667
"KS",2022,"M03",82718.8
"KS",2022,"M04",83284.4333333333
"KS",2022,"M05",83850.0666666667
"KS",2022,"M06",84415.7
"KS",2022,"M07",84981.3333333333
"KS",2022,"M08",85546.9666666667
"KS",2022,"M09",86112.6
"KS",2022,"M10",86678.2333333333
"KS",2022,"M11",87243.8666666667
"KS",2022,"M12",87809.5
"KY",2012,"M01",80019.5166666667
"KY",2012,"M02",80177.4333333333
"KY",2012,"M03",80335.35
"KY",2012,"M04",80493.2666666667
"KY",2012,"M05",80651.1833333333
"KY",2012,"M06",80809.1
"KY",2012,"M07",80967.0166666667
"KY",2012,"M08",81124.9333333333
"KY",2012,"M09",81282.85
"KY",2012,"M10",81440.7666666667
"KY",2012,"M11",81598.6833333333
"KY",2012,"M12",81756.6
"KY",2013,"M01",81987.9583333333
"KY",2013,"M02",82219.3166666667
"KY",2013,"M03",82450.675
"KY",2013,"M04",82682.0333333333
"KY",2013,"M05",82913.3916666667
"KY",2013,"M06",83144.75
"KY",2013,"M07",83376.1083333333
"KY",2013,"M08",83607.4666666667
"KY",2013,"M09",83838.825
"KY",2013,"M10",84070.1833333333
"KY",2013,"M11",84301.5416666667
"KY",2013,"M12",84532.9
"KY",2014,"M01",84764.1333333333
"KY",2014,"M02",84995.3666666667
"KY",2014,"M03",85226.6
"KY",2014,"M04",85457.8333333333
"KY",2014,"M05",85689.0666666667
"KY",2014,"M06",85920.3
"KY",2014,"M07",86151.5333333333
"KY",2014,"M08",86382.7666666667
"KY",2014,"M09",86614
"KY",2014,"M10",86845.2333333333
"KY",2014,"M11",87076.4666666667
"KY",2014,"M12",87307.7
"KY",2015,"M01",87665.275
"KY",2015,"M02",88022.85
"KY",2015,"M03",88380.425
"KY",2015,"M04",88738
"KY",2015,"M05",89095.575
"KY",2015,"M06",89453.15
"KY",2015,"M07",89810.725
"KY",2015,"M08",90168.3
"KY",2015,"M09",90525.875
"KY",2015,"M10",90883.45
"KY",2015,"M11",91241.025
"KY",2015,"M12",91598.6
"KY",2016,"M01",91882.5083333333
"KY",2016,"M02",92166.4166666667
"KY",2016,"M03",92450.325
"KY",2016,"M04",92734.2333333333
"KY",2016,"M05",93018.1416666667
"KY",2016,"M06",93302.05
"KY",2016,"M07",93585.9583333333
"KY",2016,"M08",93869.8666666667
"KY",2016,"M09",94153.775
"KY",2016,"M10",94437.6833333333
"KY",2016,"M11",94721.5916666667
"KY",2016,"M12",95005.5
"KY",2017,"M01",95299.675
"KY",2017,"M02",95593.85
"KY",2017,"M03",95888.025
"KY",2017,"M04",96182.2
"KY",2017,"M05",96476.375
"KY",2017,"M06",96770.55
"KY",2017,"M07",97064.725
"KY",2017,"M08",97358.9
"KY",2017,"M09",97653.075
"KY",2017,"M10",97947.25
"KY",2017,"M11",98241.425
"KY",2017,"M12",98535.6
"KY",2018,"M01",98953.0083333333
"KY",2018,"M02",99370.4166666667
"KY",2018,"M03",99787.825
"KY",2018,"M04",100205.233333333
"KY",2018,"M05",100622.641666667
"KY",2018,"M06",101040.05
"KY",2018,"M07",101457.458333333
"KY",2018,"M08",101874.866666667
"KY",2018,"M09",102292.275
"KY",2018,"M10",102709.683333333
"KY",2018,"M11",103127.091666667
"KY",2018,"M12",103544.5
"KY",2019,"M01",103809.375
"KY",2019,"M02",104074.25
"KY",2019,"M03",104339.125
"KY",2019,"M04",104604
"KY",2019,"M05",104868.875
"KY",2019,"M06",105133.75
"KY",2019,"M07",105398.625
"KY",2019,"M08",105663.5
"KY",2019,"M09",105928.375
"KY",2019,"M10",106193.25
"KY",2019,"M11",106458.125
"KY",2019,"M12",106723
"KY",2020,"M01",106479.216666667
"KY",2020,"M02",106235.433333333
"KY",2020,"M03",105991.65
"KY",2020,"M04",105747.866666667
"KY",2020,"M05",105504.083333333
"KY",2020,"M06",105260.3
"KY",2020,"M07",105016.516666667
"KY",2020,"M08",104772.733333333
"KY",2020,"M09",104528.95
"KY",2020,"M10",104285.166666667
"KY",2020,"M11",104041.383333333
"KY",2020,"M12",103797.6
"KY",2021,"M01",104789.35
"KY",2021,"M02",105781.1
"KY",2021,"M03",106772.85
"KY",2021,"M04",107764.6
"KY",2021,"M05",108756.35
"KY",2021,"M06",109748.1
"KY",2021,"M07",110739.85
"KY",2021,"M08",111731.6
"KY",2021,"M09",112723.35
"KY",2021,"M10",113715.1
"KY",2021,"M11",114706.85
"KY",2021,"M12",115698.6
"KY",2022,"M01",116517.875
"KY",2022,"M02",117337.15
"KY",2022,"M03",118156.425
"KY",2022,"M04",118975.7
"KY",2022,"M05",119794.975
"KY",2022,"M06",120614.25
"KY",2022,"M07",121433.525
"KY",2022,"M08",122252.8
"KY",2022,"M09",123072.075
"KY",2022,"M10",123891.35
"KY",2022,"M11",124710.625
"KY",2022,"M12",125529.9
"LA",2012,"M01",87934.7583333333
"LA",2012,"M02",88127.0166666667
"LA",2012,"M03",88319.275
"LA",2012,"M04",88511.5333333333
"LA",2012,"M05",88703.7916666667
"LA",2012,"M06",88896.05
"LA",2012,"M07",89088.3083333333
"LA",2012,"M08",89280.5666666667
"LA",2012,"M09",89472.825
"LA",2012,"M10",89665.0833333333
"LA",2012,"M11",89857.3416666667
"LA",2012,"M12",90049.6
"LA",2013,"M01",90309.0333333333
"LA",2013,"M02",90568.4666666667
"LA",2013,"M03",90827.9
"LA",2013,"M04",91087.3333333333
"LA",2013,"M05",91346.7666666667
"LA",2013,"M06",91606.2
"LA",2013,"M07",91865.6333333333
"LA",2013,"M08",92125.0666666667
"LA",2013,"M09",92384.5
"LA",2013,"M10",92643.9333333333
"LA",2013,"M11",92903.3666666667
"LA",2013,"M12",93162.8
"LA",2014,"M01",93479.85
"LA",2014,"M02",93796.9
"LA",2014,"M03",94113.95
"LA",2014,"M04",94431
"LA",2014,"M05",94748.05
"LA",2014,"M06",95065.1
"LA",2014,"M07",95382.15
"LA",2014,"M08",95699.2
"LA",2014,"M09",96016.25
"LA",2014,"M10",96333.3
"LA",2014,"M11",96650.35
"LA",2014,"M12",96967.4
"LA",2015,"M01",97251.5666666667
"LA",2015,"M02",97535.7333333333
"LA",2015,"M03",97819.9
"LA",2015,"M04",98104.0666666667
"LA",2015,"M05",98388.2333333333
"LA",2015,"M06",98672.4
"LA",2015,"M07",98956.5666666667
"LA",2015,"M08",99240.7333333333
"LA",2015,"M09",99524.9
"LA",2015,"M10",99809.0666666667
"LA",2015,"M11",100093.233333333
"LA",2015,"M12",100377.4
"LA",2016,"M01",100683.1
"LA",2016,"M02",100988.8
"LA",2016,"M03",101294.5
"LA",2016,"M04",101600.2
"LA",2016,"M05",101905.9
"LA",2016,"M06",102211.6
"LA",2016,"M07",102517.3
"LA",2016,"M08",102823
"LA",2016,"M09",103128.7
"LA",2016,"M10",103434.4
"LA",2016,"M11",103740.1
"LA",2016,"M12",104045.8
"LA",2017,"M01",104368.85
"LA",2017,"M02",104691.9
"LA",2017,"M03",105014.95
"LA",2017,"M04",105338
"LA",2017,"M05",105661.05
"LA",2017,"M06",105984.1
"LA",2017,"M07",106307.15
"LA",2017,"M08",106630.2
"LA",2017,"M09",106953.25
"LA",2017,"M10",107276.3
"LA",2017,"M11",107599.35
"LA",2017,"M12",107922.4
"LA",2018,"M01",108254.341666667
"LA",2018,"M02",108586.283333333
"LA",2018,"M03",108918.225
"LA",2018,"M04",109250.166666667
"LA",2018,"M05",109582.108333333
"LA",2018,"M06",109914.05
"LA",2018,"M07",110245.991666667
"LA",2018,"M08",110577.933333333
"LA",2018,"M09",110909.875
"LA",2018,"M10",111241.816666667
"LA",2018,"M11",111573.758333333
"LA",2018,"M12",111905.7
"LA",2019,"M01",112216.291666667
"LA",2019,"M02",112526.883333333
"LA",2019,"M03",112837.475
"LA",2019,"M04",113148.066666667
"LA",2019,"M05",113458.658333333
"LA",2019,"M06",113769.25
"LA",2019,"M07",114079.841666667
"LA",2019,"M08",114390.433333333
"LA",2019,"M09",114701.025
"LA",2019,"M10",115011.616666667
"LA",2019,"M11",115322.208333333
"LA",2019,"M12",115632.8
"LA",2020,"M01",115325.725
"LA",2020,"M02",115018.65
"LA",2020,"M03",114711.575
"LA",2020,"M04",114404.5
"LA",2020,"M05",114097.425
"LA",2020,"M06",113790.35
"LA",2020,"M07",113483.275
"LA",2020,"M08",113176.2
"LA",2020,"M09",112869.125
"LA",2020,"M10",112562.05
"LA",2020,"M11",112254.975
"LA",2020,"M12",111947.9
"LA",2021,"M01",112912.366666667
"LA",2021,"M02",113876.833333333
"LA",2021,"M03",114841.3
"LA",2021,"M04",115805.766666667
"LA",2021,"M05",116770.233333333
"LA",2021,"M06",117734.7
"LA",2021,"M07",118699.166666667
"LA",2021,"M08",119663.633333333
"LA",2021,"M09",120628.1
"LA",2021,"M10",121592.566666667
"LA",2021,"M11",122557.033333333
"LA",2021,"M12",123521.5
"LA",2022,"M01",124200.308333333
"LA",2022,"M02",124879.116666667
"LA",2022,"M03",125557.925
"LA",2022,"M04",126236.733333333
"LA",2022,"M05",126915.541666667
"LA",2022,"M06",127594.35
"LA",2022,"M07",128273.158333333
"LA",2022,"M08",128951.966666667
"LA",2022,"M09",129630.775
"LA",2022,"M10",130309.583333333
"LA",2022,"M11",130988.391666667
