Time,Cases1,Cases2,Cases3,Cases4,Cases5,Hosp1,Hosp2,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Vax1,Vax3,Gather1,Gather2,Gather3,Gather4,Curfew,Mask1,Mask2,School,ARP,PPP,CARES,Cons1,Cons2,Cons3,Cons4,Cons5,Employment1,Employment2,UI,PartR,UR,CPI,PCE,PCEC,FixAss,Prod,GDP,TBill1mo,TBill6mo,TBill1yr,TBill5yr,TBill10yr,TBill30yr,FFR
2019-03-01,0.5630638138138612,0.22277333088499196,0.4279471138648059,0.22354980900980348,0.23517479552606468,0.5465463045760147,0.24656512285364787,0.8061153578874218,0.8270664699549424,0.5416034092699008,0.4963855421686745,0.4913841022790423,0.6330749354005167,0.5444685466377439,0.5264270613107822,0.5669856459330145,0.6457286432160803,0.7376237623762376,0.8574478337266711,0.8889444668408761,0.9039894412940555,0.9789473684210525,0.2738095238095238,0.0,0.0,0.5,0.50577027405001,0.5015937810746791,0.4709892389951727,0.4709892389951727,0.6088603754577402,0.5471788615854684,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.6102461835552806,0.6375661375661377,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,0.47438317912197664,0.2269633333055113,0.40146034031737954,0.2077871679281496,0.20847394316738121,0.5244863731746097,0.2237435618758534,0.809077941552979,0.8276645799274294,0.4997468165955419,0.6224899598393667,0.5136186770428033,0.627906976744186,0.5336225596529284,0.5116279069767441,0.5574162679425838,0.6356783919597989,0.7277227722772277,0.8557415099177119,0.8914797411594838,0.9039894412940555,0.9789473684210525,0.26785714285714285,0.0,0.0,0.5,0.50577027405001,0.5015937810746791,0.4709892389951727,0.4709892389951727,0.6088603754577402,0.5471788615854684,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5536100520329739,0.6402116402116403,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,0.5222908740749606,0.22813185987697088,0.5719920315978428,0.31188826974364164,0.38301595680555234,0.6654013754511962,0.37349774916264916,0.8165026882703632,0.8206467562502493,0.3768776487352557,0.4803212851405537,0.36853807670927974,0.6201550387596898,0.5249457700650758,0.4947145877378435,0.5239234449760766,0.6030150753768844,0.698019801980198,0.8560621622677013,0.8939949719018246,0.9039894412940555,0.9804511278195489,0.25595238095238093,0.0,0.0,0.5,0.50577027405001,0.5015937810746791,0.4709892389951727,0.4709892389951727,0.6088603754577402,0.5471788615854684,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.40498285989435534,0.6322751322751324,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,0.5216444159264364,0.2389177774624611,0.5697435643496633,0.3106155499354205,0.38081510616235215,0.6635008321807888,0.37163092389585545,0.8245126366994623,0.8246341560668289,0.3556118578432116,0.5638554216867498,0.3702056698165695,0.5736434108527132,0.47071583514099774,0.4228329809725158,0.437799043062201,0.5201005025125627,0.6361386138613861,0.8563464691362221,0.8964901588799166,0.9039894412940555,0.9804511278195489,0.25595238095238093,0.0,0.0,0.5,0.50577027405001,0.5015937810746791,0.4709892389951727,0.4709892389951727,0.6088603754577402,0.5471788615854684,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.40497562210225224,0.6296296296296297,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,0.5608470087552241,0.2439403550651454,0.5168326001555463,0.2786371638631129,0.32698302202215146,0.6196421476799273,0.32551291638570545,0.8249149628762664,0.8212448662227362,0.44050632220187935,0.5076305220883499,0.4146748193440758,0.5555555555555555,0.4511930585683297,0.4143763213530655,0.437799043062201,0.5175879396984925,0.6361386138613861,0.8593517663149374,0.9010202657794004,0.9039894412940555,0.981954887218045,0.25,0.0,0.0,0.5,0.50577027405001,0.5015937810746791,0.4709892389951727,0.4709892389951727,0.6088603754577402,0.5471788615854684,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.4789903770229635,0.634920634920635,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,0.5831062600553085,0.23764491816140693,0.5960837580982767,0.3267969263350432,0.4078773806452023,0.6852229680660744,0.39487184113215745,0.8211111517501188,0.8272259659476057,0.3966244930179258,0.4722891566265047,0.34741523068371977,0.5348837209302325,0.4186550976138828,0.3742071881606765,0.3564593301435407,0.4095477386934673,0.5247524752475248,0.8633052463601119,0.9055605128956512,0.9039894412940555,0.981954887218045,0.25,0.0,0.0,0.5,0.50577027405001,0.5015937810746791,0.4709892389951727,0.4709892389951727,0.6088603754577402,0.5471788615854684,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.4418862562771654,0.5634920634920636,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,0.576073874982046,0.24096478561710724,0.571480926149724,0.3119732559332107,0.3828923487340711,0.6648097818721423,0.3734770451434316,0.8307304048864342,0.8262291159934607,0.41991563578260227,0.43694779116465954,0.36798221234018313,0.5142118863049095,0.4099783080260303,0.38054968287526425,0.375598086124402,0.42713567839195976,0.5346534653465347,0.8669742314587108,0.9101109004166509,0.9039894412940555,0.9834586466165414,0.25,0.0,0.0,0.5,0.50577027405001,0.5015937810746791,0.4709892389951727,0.4709892389951727,0.6088603754577402,0.5471788615854684,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.4602666248266547,0.5396825396825398,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,0.523159795101309,0.24747932125299438,0.4780010330435047,0.255650673986769,0.28796108703237694,0.5872483434425408,0.2921871528615242,0.8180022676566329,0.8231189441365286,0.46919830074865937,0.5076305220883499,0.44635908838243943,0.44702842377260976,0.3622559652928416,0.34038054968287523,0.3660287081339713,0.4296482412060301,0.5420792079207921,0.8701767598762992,0.911301395889824,0.9039894412940555,0.9849624060150375,0.244047619047619,0.0,0.0,0.5,0.50577027405001,0.5015937810746791,0.4709892389951727,0.4709892389951727,0.6088603754577402,0.5471788615854684,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5153587985364816,0.48412698412698424,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,0.5549252574887568,0.259360732499228,0.5899357110420442,0.3233548958113134,0.40189777777860314,0.6800100571083392,0.3898083121542292,0.8178559672287041,0.8265481079787871,0.43105485958319556,0.4040160642570313,0.3518621456364609,0.4082687338501292,0.34490238611713664,0.33192389006342493,0.3923444976076555,0.45477386934673364,0.5643564356435643,0.8747243210034791,0.9124870769570719,0.9039894412940555,0.9849624060150375,0.23809523809523808,0.0,0.0,0.5,0.50577027405001,0.5015937810746791,0.4709892389951727,0.4709892389951727,0.6088603754577402,0.5471788615854684,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.4783136359715723,0.4100529100529101,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,0.5130454552468506,0.26506981946264474,0.44338896483756907,0.23523443716723264,0.25325230306423485,0.5583435888708586,0.2625608110004418,0.8187337697962767,0.8220423461860521,0.42970465063766694,0.5807228915662688,0.4747081712062314,0.40051679586563305,0.3427331887201735,0.3276955602536998,0.40191387559808617,0.4673366834170854,0.5693069306930693,0.877526794445423,0.9136679437123857,0.9039894412940555,0.9849624060150375,0.23214285714285712,0.0,0.0,0.5,0.50577027405001,0.5015937810746791,0.4709892389951727,0.4709892389951727,0.6088603754577402,0.5471788615854684,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.47813718804845706,0.4100529100529101,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,0.37816830191082945,0.24249430343296416,0.17244985741569724,0.5355332289623278,0.45773278405524004,0.1331479423776326,0.5339093109436723,0.8010679931238799,0.8312931137605168,0.4202531880189831,0.5710843373493893,0.4419121734296825,0.3953488372093023,0.3383947939262473,0.32346723044397463,0.3732057416267943,0.4422110552763819,0.5495049504950495,0.8842736221705868,0.9166486595146155,0.9401852377627208,0.9834586466165414,0.23214285714285712,0.0,0.0,0.5,0.5457858322747983,0.5419474911528561,0.4709892389951727,0.4709892389951727,0.6496112244945478,0.5471788615854684,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.45967215208634193,0.4100529100529101,5.679182954878892e-05,5.8039877265006214e-05,0.0004542357483533954,0.0004788985333732415,0.0,0.0
2020-02-01,0.3937757381719529,0.22982413675099536,0.22693692676896232,0.5674133465880624,0.5120810888234983,0.17876737639633383,0.5802518074960439,0.8192458212940272,0.8288607998724032,0.4043881944547002,0.5405622489959896,0.3963312951639751,0.4082687338501292,0.3275488069414316,0.2980972515856236,0.31578947368421056,0.37688442211055273,0.4876237623762376,0.8916910445228968,0.9196021915278786,0.9401852377627208,0.9834586466165414,0.23214285714285712,0.0,0.0,0.5,0.4657547158252217,0.46124007099650216,0.5510534609857057,0.5510534609857057,0.6825116230424407,0.6136355213617197,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.44129177590845026,0.4179894179894181,0.0006646747458302702,0.0008048196314080862,0.013967749261866908,0.014726129901227177,0.029540481400437635,0.032200357781753126
2020-03-01,0.4633984930545271,0.493020140390121,0.4713112418012585,0.7175506277942799,0.7632695539469978,0.380270179947664,0.7959407573344344,0.6910866464284408,0.7610750029905499,0.2074261953456164,0.33092369477911254,0.18954974986103776,0.09560723514211886,0.0650759219088937,0.06976744186046512,0.1411483253588517,0.21859296482412058,0.3613861386138614,0.9021477472918658,0.9225285396581839,0.9401852377627208,0.9759398496240602,0.31547619047619047,0.0,0.0,0.5,1.0,1.0,0.9999999999999998,0.9999999999999998,0.9999999999999999,0.9999999999999998,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.2400467983945429,0.171957671957672,0.0174382467731198,0.021347066858069284,0.19322053145582557,0.203472014366956,0.3977024070021882,0.4335122242098986
2020-04-01,0.18009478605956108,1.0,0.6977230212324461,0.8605059866811131,1.0,0.5652918828787208,1.0,0.0,0.0,0.0,0.0,0.0,0.02842377260981912,0.0368763557483731,0.03805496828752642,0.09330143540669858,0.1658291457286432,0.31435643564356436,0.9198014979388385,0.9067322216399283,0.9401852377627208,1.0,1.0,0.0,0.9999999999999999,1.0,0.5379759060171365,0.5340715670394598,0.6045999395954903,0.6045999395954903,0.6379266414713024,0.6431161376733168,0.0,0.0,1.0,0.0,0.5,0.5,1.0,0.5,0.0,0.01322751322751323,0.016786192433855925,0.02057578137796987,0.13689529866000455,0.14432804549536066,0.24288840262582057,0.2647584973166368
2020-05-01,0.04836569996579504,0.0938681568162659,0.2323169928853204,0.572001925327916,0.5189448524962936,0.1826476009682763,0.5864069290339924,0.9532570132767638,0.9226444435583556,0.3242194229510321,0.5028112449799159,0.39077265147304074,0.025839793281653745,0.03253796095444685,0.03382663847780126,0.08133971291866031,0.16834170854271358,0.34158415841584155,0.9317408232734887,0.8904104107731836,0.9401852377627208,0.9804511278195489,0.7857142857142856,0.0,0.0,0.0,0.49258846595610545,0.4883005799867564,0.38904679259679004,0.38904679259679004,0.5978446820567087,0.4749097135251789,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.3494770743042203,0.01322751322751323,0.01567138985382414,0.01920088117431439,0.08278446513740631,0.08727925770727327,0.05470459518599562,0.05963029218843172
2020-06-01,0.0,0.07525311120199651,0.05002524370502548,0.45547882222563085,0.32686421901647944,0.03429779982612852,0.4205500261354296,1.0,1.0,0.5643881852256611,0.5678714859437743,0.5447470817120624,0.033591731266149866,0.03904555314533622,0.03805496828752642,0.08133971291866031,0.18341708542713567,0.3688118811881188,0.9413643294169208,0.873563107151941,0.9401852377627208,0.968421052631579,0.6785714285714286,0.0,0.0,0.5,0.5302982745282744,0.5263185725167357,0.43059903413286893,0.43059903413286893,0.6361746936799599,0.5026476418593333,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.6262266473403731,0.021164021164021166,0.029733677870432598,0.036420667871316564,0.10140813081989553,0.10691409757557617,0.03938730853391685,0.04293381037567084
2020-07-01,0.9826413191076191,0.15625912911383955,0.09602800779160031,0.4820649491239436,0.3724069854334523,0.07295665458476425,0.45931484600980804,0.866683735049925,0.8755532517245505,0.5733333579441133,0.6819277108433703,0.5075041689827724,0.02842377260981912,0.03036876355748373,0.03171247357293869,0.06698564593301437,0.1557788944723618,0.32425742574257427,0.9434194184710695,0.8941197731237104,0.9401852377627208,0.96390977443609,0.6071428571428571,0.0,0.0,0.5,0.5496963483547325,0.5456438304314856,0.4802761519206558,0.4802761519206558,0.6512704806060514,0.59594301667873,0.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.6250283659650168,0.02380952380952381,0.05063517454548132,0.06151840057575558,0.153645241880536,0.16138880574678238,0.10339168490153172,0.11270125223613595
2020-08-01,0.9771453912538133,0.1769900424842875,0.08920673319809352,0.4753027007111238,0.3627229259462932,0.06844623101094072,0.4504755994861278,0.9368713653487436,0.8871565851907971,0.5245569828782825,0.668273092369478,0.5147304057809886,0.020671834625322995,0.02603036876355748,0.02748414376321353,0.06459330143540672,0.16331658291457285,0.33663366336633666,0.9453622578994122,0.9147333469676021,0.9401852377627208,0.956390977443609,0.5178571428571428,0.0,0.0,0.5,0.49138623778325813,0.48587274914434064,0.518647104763009,0.518647104763009,0.5913140944575143,0.5500035838672408,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5873960731482306,0.02645502645502646,0.03455362147824926,0.040845886069010705,0.11424029071087895,0.11709069140975756,0.025164113785557985,0.02742993440667859
2020-09-01,1.0,0.15334407264896627,0.17926743996299083,0.5315042176159896,0.45619967383779014,0.14233005326296094,0.5309189604331968,0.8272191946161442,0.856294110610471,0.452489465047775,0.5397590361445801,0.43857698721511873,0.02325581395348837,0.02603036876355748,0.02748414376321353,0.06459330143540672,0.1708542713567839,0.35148514851485146,0.9484661534256956,0.9354038287776074,0.9401852377627208,0.9548872180451127,0.47023809523809523,0.0,0.0,0.5,0.4879512731044845,0.4820275596695467,0.4124213667661909,0.4124213667661909,0.5941972632261819,0.49973664965022185,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.49569920275255175,0.02380952380952381,0.029526492862634236,0.03440474946764535,0.09448103565750625,0.09697695300808142,0.01312910284463895,0.014311270125223614
2020-10-01,0.47601861730845296,0.0,0.28746922986401735,0.601109400831046,0.5706704324192708,0.23019392795157045,0.6298493318747037,0.8932372627189934,0.8466446030543483,0.3768776487352557,0.4120481927710803,0.34574763757643,0.02325581395348837,0.023861171366594356,0.02748414376321353,0.08133971291866031,0.1984924623115578,0.3886138613861386,0.9468219137022613,0.9430040837078357,0.9401852377627208,0.9503759398496241,0.42261904761904756,0.0,0.0,0.5,0.5308928092542159,0.5276194030308993,0.485798628598281,0.485798628598281,0.6338186459109769,0.5724504739027454,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.42280759607215784,0.02380952380952381,0.0507298275947293,0.05960695395116138,0.14558255734726322,0.15085303801257108,0.074945295404814,0.07453786523553965
