State,Year,Period,Supply_3,Supply_4
WY,2018,M02,65.6,4.1
WY,2018,M03,65.7,4
WY,2018,M04,65.7,4
WY,2018,M05,65.8,4
WY,2018,M06,65.8,4
WY,2018,M07,65.8,4.1
WY,2018,M08,65.7,4.1
WY,2018,M09,65.7,4.1
WY,2018,M10,65.7,4.1
WY,2018,M11,65.6,4
WY,2018,M12,65.6,3.9
WY,2019,M01,65.6,3.7
WY,2019,M02,65.5,3.5
WY,2019,M03,65.5,3.4
WY,2019,M04,65.6,3.3
WY,2019,M05,65.7,3.4
WY,2019,M06,65.8,3.5
WY,2019,M07,65.9,3.7
WY,2019,M08,65.9,3.8
WY,2019,M09,66,4
WY,2019,M10,66,4.1
WY,2019,M11,66.1,4.2
WY,2019,M12,66.2,4.4
WY,2020,M01,66.2,4.7
WY,2020,M02,66.1,4.9
WY,2020,M03,66,5.2
WY,2020,M04,64.1,5.4
WY,2020,M05,66.3,8.6
WY,2020,M06,65.4,7.2
WY,2020,M07,65.2,6.6
WY,2020,M08,64.9,5.9
WY,2020,M09,64.9,5.6
WY,2020,M10,64.7,5.3
WY,2020,M11,64.6,5.2
WY,2020,M12,64.5,5.1
WY,2021,M01,64.4,5.1
WY,2021,M02,64.4,5
WY,2021,M03,64.3,5
WY,2021,M04,64.3,4.8
WY,2021,M05,64.2,4.7
WY,2021,M06,64.1,4.6
WY,2021,M07,64,4.5
WY,2021,M08,63.9,4.3
WY,2021,M09,63.8,4.2
WY,2021,M10,63.7,4
WY,2021,M11,63.7,4
WY,2021,M12,63.6,4
WY,2022,M01,63.7,3.8
WY,2022,M02,63.7,3.6
WY,2022,M03,63.6,3.4
WY,2022,M04,63.7,3.3
WY,2022,M05,63.7,3.2
WY,2022,M06,63.5,3.1
WY,2022,M07,63.4,3
WY,2022,M08,63.2,3.1
WY,2022,M09,63.1,3.3
WY,2022,M10,NA,NA
WY,2022,M11,NA,NA
WY,2022,M12,NA,NA
