Time,Cases1,Cases2,Cases3,Cases4,Cases5,Hosp1,Hosp2,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Vax1,Vax3,Gather1,Gather2,Gather3,Gather4,Curfew,Mask1,Mask2,School,ARP,PPP,CARES,Cons1,Cons2,Cons3,Cons4,Cons5,Employment1,Employment2,UI,PartR,CPI,PCE,GDP,TBill1mo,TBill6mo,TBill1yr,TBill5yr,TBill10yr,TBill30yr,FFR
2019-11-01,0.5750297933563753,0.2014257068427484,0.5311004960442872,0.3385202727450866,0.3114948060829963,0.6177977936452075,0.34429992905680756,0.8178559672287041,0.8265481079787871,0.43105485958319556,0.4040160642570313,0.3518621456364609,0.4082687338501292,0.34490238611713664,0.33192389006342493,0.3923444976076555,0.45477386934673364,0.5643564356435643,0.8717022939108412,0.9251114073464963,0.9610185981052414,0.9951690821256037,0.22012578616352202,0.0,0.0,0.5,0.5315872488410494,0.5142332865016471,0.6465881625587102,0.5891396758371757,0.5758516565270505,0.652255908267858,0.0,0.0,0.5,0.5,0.4783136359715723,0.4100529100529101,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,0.5481801881275651,0.21304799367454128,0.3800843826215787,0.26159686832134377,0.14627671556205046,0.4852627889171627,0.2168503642320998,0.8187337697962767,0.8220423461860521,0.42970465063766694,0.5807228915662688,0.4747081712062314,0.40051679586563305,0.3427331887201735,0.3276955602536998,0.40191387559808617,0.4673366834170854,0.5693069306930693,0.8713171318298154,0.9229423646770892,0.9610185981052414,0.9951690821256037,0.22641509433962265,0.0,0.0,0.5,0.5315872488410494,0.5142332865016471,0.6465881625587102,0.5891396758371757,0.5758516565270505,0.652255908267858,0.0,0.0,0.5,0.5,0.47813718804845706,0.4100529100529101,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,0.5769569385780312,0.2184910608280105,0.18229240844076358,0.40872548125330677,0.2665348226720474,0.15265149723922364,0.3586267029924796,0.8010679931238799,0.8312931137605168,0.4202531880189831,0.5710843373493893,0.4419121734296825,0.3953488372093023,0.3383947939262473,0.32346723044397463,0.3732057416267943,0.4422110552763819,0.5495049504950495,0.8791826006082766,0.9271834027040373,0.9599984887268469,0.9919484702093397,0.22641509433962265,0.0,0.0,0.5,0.5315872488410494,0.5142332865016471,0.6465881625587102,0.5891396758371757,0.5758516565270505,0.652255908267858,0.0,0.0,0.5,0.5,0.45967215208634193,0.4100529100529101,0.00035845623391454973,0.00040034350083583163,0.003339517625231911,0.003362081567022365,0.0,0.0
2020-02-01,0.5867682676700077,0.2084154378868209,0.23826249017683704,0.4367851459139796,0.32720557111446014,0.20204777258825374,0.40532723661524167,0.8192458212940272,0.8288607998724032,0.4043881944547002,0.5405622489959896,0.3963312951639751,0.4082687338501292,0.3275488069414316,0.2980972515856236,0.31578947368421056,0.37688442211055273,0.4876237623762376,0.8877199326325284,0.9313906866035335,0.9599984887268469,0.9887278582930756,0.22641509433962265,0.0,0.0,0.5,0.5315872488410494,0.5142332865016471,0.6465881625587102,0.5891396758371757,0.5758516565270505,0.652255908267858,0.0,0.0,0.5,0.5,0.44129177590845026,0.4179894179894181,0.00011693541777090495,0.00015280286291443956,0.001484230055658627,0.00175412951322906,0.0,0.0
2020-03-01,0.6321361209192387,0.20562202409722172,0.49070875083256865,0.5670254116983344,0.60551568393245,0.4225728342082154,0.6203725339744294,0.6910866464284408,0.7610750029905499,0.2074261953456164,0.33092369477911254,0.18954974986103776,0.09560723514211886,0.0650759219088937,0.06976744186046512,0.1411483253588517,0.21859296482412058,0.3613861386138614,0.8992928374664463,0.9355642163755777,0.9599984887268469,0.9855072463768115,0.22641509433962265,0.0,0.0,0.5,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.2400467983945429,0.171957671957672,0.009402919014026786,0.013107429580800625,0.17872603586889302,0.21034936412805144,0.013102871480345692,0.019485903814262025
2020-04-01,0.11505535274304962,1.0,0.7253643265009104,0.6900584655531468,0.8667093131383319,0.6263405804932303,0.8226238582548917,0.0,0.0,0.0,0.0,0.0,0.02842377260981912,0.0368763557483731,0.03805496828752642,0.09330143540669858,0.1658291457286432,0.31435643564356436,0.8982724702183135,0.900872548375089,0.9599984887268469,0.9500805152979065,1.0,0.0,1.0,1.0,0.6237271001634599,0.6097159350348071,0.9908095492009041,0.9893156052104615,0.650563204710108,0.8708884682573099,0.0,0.0,1.0,0.5,0.0,0.01322751322751323,0.020211248750047813,0.028054605631091103,0.20309214594928882,0.23885396871802367,0.037357122943964316,0.05389718076285241
2020-05-01,0.02934010179484836,0.17325362065589456,0.24407504631946336,0.44044028206464836,0.33444504015035476,0.20672037948417715,0.4110647669739881,0.9532570132767638,0.9226444435583556,0.3242194229510321,0.5028112449799159,0.39077265147304074,0.025839793281653745,0.03253796095444685,0.03382663847780126,0.08133971291866031,0.16834170854271358,0.34158415841584155,0.891458188467654,0.8666952376454082,0.9599984887268469,0.966183574879227,0.761006289308176,0.0,0.0,0.0,0.5498471045776375,0.5330219655801122,0.6367202029875546,0.5776676405550973,0.5865942159743305,0.6452352792267301,0.0,0.0,0.5,0.5,0.3494770743042203,0.01322751322751323,0.02789620069177682,0.03869274094719439,0.20606060606060606,0.2423622277444818,0.04516308893225537,0.05970149253731343
2020-06-01,0.0,0.0918406043886588,0.05486301909293756,0.340507408317729,0.12291412227315722,0.04286265123603089,0.24711145678158605,1.0,1.0,0.5643881852256611,0.5678714859437743,0.5447470817120624,0.033591731266149866,0.03904555314533622,0.03805496828752642,0.08133971291866031,0.18341708542713567,0.3688118811881188,0.8823785849821891,0.8330322840366985,0.9599984887268469,0.9629629629629628,0.6352201257861635,0.0,0.0,0.5,0.5618830783987726,0.5456373049958688,0.6864848763866674,0.6182856113976479,0.6073143967996726,0.6930488540405557,0.0,0.0,0.5,1.0,0.6262266473403731,0.021164021164021166,0.06129492314501631,0.08479794877436823,0.4155844155844156,0.4894021341909078,0.05352662391971007,0.0779436152570481
2020-07-01,0.9903547260195997,0.1567434793493106,0.10205237750040155,0.3639953220148435,0.17385176318129072,0.08461420925994417,0.28628226774658083,0.866683735049925,0.8755532517245505,0.5733333579441133,0.6819277108433703,0.5075041689827724,0.02842377260981912,0.03036876355748373,0.03171247357293869,0.06698564593301437,0.1557788944723618,0.32425742574257427,0.891537928585185,0.8596091686340952,0.9599984887268469,0.9677938808373591,0.5534591194968554,0.0,0.0,0.5,0.6020289614554045,0.5869520497948951,0.7346496600563701,0.7041044193667285,0.6353678495435641,0.7222725746995695,0.0,0.0,0.0,0.5,0.6250283659650168,0.02380952380952381,0.12961580704563214,0.17654384372545603,0.860235003092146,1.0,0.13242263730136605,0.1927860696517413
2020-08-01,0.9861835458986774,0.07877079878745519,0.09449523011663341,0.35878119544817993,0.1638543100173227,0.07882416175137319,0.27826940843794445,0.9368713653487436,0.8871565851907971,0.5245569828782825,0.668273092369478,0.5147304057809886,0.020671834625322995,0.02603036876355748,0.02748414376321353,0.06459330143540672,0.16331658291457285,0.33663366336633666,0.900600468944479,0.8865408406187795,0.9599984887268469,0.9677938808373591,0.4716981132075472,0.0,0.0,0.5,0.5187003210671582,0.49863626475262135,0.7109980675046619,0.6660322467886975,0.5638215408932146,0.6981280759465697,0.0,0.0,0.5,0.5,0.5873960731482306,0.02645502645502646,0.09993716087362779,0.13196972058468487,0.48645640074211505,0.5512351995322321,0.08921103986618344,0.1285240464344942
