Time,Cases1,Cases2,Cases3,Cases4,Cases5,Hosp1,Hosp2,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Vax1,Vax3,Gather1,Gather2,Gather3,Gather4,Curfew,Mask1,Mask2,School,ARP,PPP,CARES,Cons1,Cons2,Cons3,Cons4,Cons5,Employment1,Employment2,UI,PartR,CPI,PCE,PCEC,FixAss,Prod,GDP,TBill1mo,TBill6mo,TBill1yr,TBill5yr,TBill10yr,TBill30yr,FFR
2012-03-01,0.47710624796248213,0.2731042321508756,0.3283505228826255,0.40969015416665394,0.29836885235708566,0.41959092275896115,0.30822632870836814,0.818221718298526,0.8269867219586109,0.4302109789922408,0.5172690763052178,0.4319066147859912,0.015503875968992246,0.03036876355748373,0.040169133192389,0.24401913875598089,0.5452261306532663,0.8118811881188118,0.7806062838869557,0.7346816698397419,0.9638182624284364,1.0,0.73,0.0,0.0,0.49999999999999994,0.5462385169168725,0.5462385169168725,0.6822856504230125,0.6822856504230125,0.6114254045734948,0.7150404141968973,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.4898555265684134,0.0343915343915344,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,0.4901629911146519,0.29869218679838344,0.3728395946949907,0.4316972501230685,0.3408611274435924,0.4562074015853631,0.34427691500595736,0.8067005595991368,0.821284740220902,0.41367091940953865,0.5028112449799159,0.39911061700945016,0.01808785529715762,0.03036876355748373,0.03805496828752642,0.21291866028708137,0.5150753768844221,0.7871287128712872,0.7807021294984705,0.7387382598520251,0.9638182624284364,0.9983333333333333,0.73,0.0,0.0,0.49999999999999994,0.5462385169168725,0.5462385169168725,0.6822856504230125,0.6822856504230125,0.6114254045734948,0.7150404141968973,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.46901243133422943,0.03703703703703705,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,0.5356719691498596,0.312422822182308,0.5568357712897116,0.523488455759034,0.5161846929031498,0.6075710219534949,0.4934950841745287,0.8229399070992283,0.8222815901750469,0.26953588374852383,0.4626506024096368,0.2640355753196258,0.01808785529715762,0.03253796095444685,0.040169133192389,0.18181818181818185,0.4522613065326633,0.7252475247524752,0.7826948323810824,0.7427830528973162,0.9638182624284364,0.9966666666666666,0.73,0.0,0.0,0.49999999999999994,0.5462385169168725,0.5462385169168725,0.6822856504230125,0.6822856504230125,0.6114254045734948,0.7150404141968973,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.2832134236445018,0.04232804232804233,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,0.5241069177243323,0.3207510103277952,0.5101217744206328,0.5002314121990409,0.47164719401546984,0.5691374732962461,0.4556181638802519,0.8184777440474013,0.8208461262410782,0.3176371158872454,0.4642570281124557,0.29849916620344075,0.012919896640826873,0.03253796095444685,0.040169133192389,0.16985645933014354,0.40703517587939697,0.6683168316831684,0.7841991500642927,0.7468160481131689,0.9638182624284364,0.9933333333333333,0.73,0.0,0.0,0.49999999999999994,0.5462385169168725,0.5462385169168725,0.6822856504230125,0.6822856504230125,0.6114254045734948,0.7150404141968973,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.3450898129961927,0.04232804232804233,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-01,0.48340592098022567,0.32408368881903904,0.44461484120148653,0.4674694863158086,0.4092718070381468,0.5152562667311429,0.4024801357931947,0.80809041366446,0.8237968021053471,0.3606751413889343,0.4642570281124443,0.3463035019455266,0.01808785529715762,0.03253796095444685,0.040169133192389,0.14832535885167467,0.3844221105527638,0.6410891089108911,0.7844210667201041,0.7457137007418358,0.9638182624284364,0.9916666666666667,0.73,0.0,0.0,0.49999999999999994,0.5462385169168725,0.5462385169168725,0.6822856504230125,0.6822856504230125,0.6114254045734948,0.7150404141968973,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.40712714074421674,0.04232804232804233,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-01,0.4273092391497597,0.30230551189941623,0.21654835248830256,0.35305144304421643,0.19229794378020398,0.3276991192850303,0.21742103883644637,0.8116747741487144,0.8250328960484868,0.5736708717261573,0.43212851405622554,0.5125069483046181,0.02325581395348837,0.03036876355748373,0.03805496828752642,0.16985645933014354,0.42211055276381904,0.6856435643564356,0.7822904813511716,0.744609919985326,0.9638182624284364,0.9883333333333333,0.7200000000000001,0.0,0.0,0.49999999999999994,0.5462385169168725,0.5462385169168725,0.6822856504230125,0.6822856504230125,0.6114254045734948,0.7150404141968973,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.6544999908956352,0.0343915343915344,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-01,0.4334472939501931,0.29725387292321503,0.24056563253101043,0.3647833918821304,0.21531664574678547,0.34748046743390987,0.23685954063935,0.839252404813284,0.8252322660393158,0.5346835499697278,0.48112449799196316,0.49527515286270263,0.020671834625322995,0.03036876355748373,0.03805496828752642,0.16028708133971295,0.43216080402010043,0.7128712871287128,0.7804070591462631,0.7435047062748622,0.9638182624284364,0.9866666666666667,0.7200000000000001,0.0,0.0,0.49999999999999994,0.5462385169168725,0.5462385169168725,0.6822856504230125,0.6822856504230125,0.6114254045734948,0.7150404141968973,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.6120910821344223,0.03703703703703705,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,0.43247181154876224,0.3114896722047597,0.2454447173259023,0.3669407519682132,0.22011366436493512,0.3515204234749607,0.2407730143643914,0.8258659156578033,0.8243151640815025,0.45468355458425286,0.5759036144578348,0.4919399666481389,0.02842377260981912,0.03253796095444685,0.03805496828752642,0.16985645933014354,0.4396984924623115,0.7178217821782178,0.7787004439400356,0.7465941657799392,0.9638182624284364,0.985,0.7200000000000001,0.0,0.0,0.49999999999999994,0.5462385169168725,0.5462385169168725,0.6822856504230125,0.6822856504230125,0.6114254045734948,0.7150404141968973,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5090766294747028,0.04232804232804233,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-01,0.5003196266917784,0.31625364840592723,0.5218927169289526,0.5058318213608246,0.4830086215554449,0.5788465237817659,0.46512159556274923,0.8081269887714422,0.8244746600741657,0.28388189224908494,0.4690763052208783,0.2884936075597495,0.031007751937984492,0.03036876355748373,0.03805496828752642,0.16028708133971295,0.414572864321608,0.693069306930693,0.779823203495121,0.7496675109135744,0.9638182624284364,0.9833333333333333,0.7200000000000001,0.0,0.0,0.49999999999999994,0.5462385169168725,0.5462385169168725,0.6822856504230125,0.6822856504230125,0.6114254045734948,0.7150404141968973,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.30472564197226726,0.04232804232804233,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,0.4907004393997634,0.3352955208801077,0.48269800690444054,0.4861395614822651,0.4457356329073541,0.5466163321687671,0.43331347318637026,0.81160162393475,0.8275848319310978,0.3448101478246569,0.440160642570286,0.31739855475264594,0.010335917312661497,0.02603036876355748,0.03382663847780126,0.1674641148325359,0.43216080402010043,0.7128712871287128,0.7805364637235715,0.7527247408133215,0.9638182624284364,0.9816666666666666,0.7200000000000001,0.0,0.0,0.49999999999999994,0.5462385169168725,0.5462385169168725,0.6822856504230125,0.6822856504230125,0.6114254045734948,0.7150404141968973,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.38644503043538864,0.04232804232804233,0.0,0.0,0.0,0.0,0.0,0.0
