Time,Cases1,Cases2,Cases3,Cases4,Cases5,Hosp1,Hosp2,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Vax1,Vax3,Gather1,Gather2,Gather3,Gather4,Curfew,Mask1,Mask2,School,ARP,PPP,CARES,Cons1,Cons2,Cons3,Cons4,Cons5,Employment1,Employment2,UI,PartR,CPI,PCE,PCEC,FixAss,Prod,GDP,TBill1mo,TBill6mo,TBill1yr,TBill5yr,TBill10yr,TBill30yr,FFR
2012-03-01,0.6616165708353887,0.2540290451770324,0.5012399865882661,0.45065928986175036,0.41446556509834576,0.5147267987251074,0.44180157498577277,0.818221718298526,0.8269867219586109,0.4302109789922408,0.5172690763052178,0.4319066147859912,0.015503875968992246,0.03036876355748373,0.040169133192389,0.24401913875598089,0.5452261306532663,0.8118811881188118,0.9729853183790328,0.883631974353545,0.9936110807507725,0.9771241830065359,0.5185185185185185,0.0,0.0,0.49999999999999994,0.471186094948282,0.4579951647125345,0.39717267106019544,0.36061098371673506,0.5410938516843105,0.4905879309086727,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.4898555265684134,0.0343915343915344,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,0.6279888874645997,0.2546717069462332,0.5454372706134941,0.47421351596576683,0.46568920191084595,0.5514722848095296,0.48064745358190614,0.8067005595991368,0.821284740220902,0.41367091940953865,0.5028112449799159,0.39911061700945016,0.01808785529715762,0.03036876355748373,0.03805496828752642,0.21291866028708137,0.5150753768844221,0.7871287128712872,0.9733434443254568,0.8887289153108656,0.9936110807507725,0.9771241830065359,0.5185185185185185,0.0,0.0,0.49999999999999994,0.471186094948282,0.4579951647125345,0.39717267106019544,0.36061098371673506,0.5410938516843105,0.4905879309086727,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.46901243133422943,0.03703703703703705,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,0.6744663978488977,0.2580078007644017,0.7284584925766661,0.5729920543645752,0.6776912818262057,0.7033292059513311,0.6420550964212675,0.8229399070992283,0.8222815901750469,0.26953588374852383,0.4626506024096368,0.2640355753196258,0.01808785529715762,0.03253796095444685,0.040169133192389,0.18181818181818185,0.4522613065326633,0.7252475247524752,0.9760676958145169,0.8938145774663748,0.9936110807507725,0.9771241830065359,0.5111111111111111,0.0,0.0,0.49999999999999994,0.471186094948282,0.4579951647125345,0.39717267106019544,0.36061098371673506,0.5410938516843105,0.4905879309086727,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.2832134236445018,0.04232804232804233,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,0.662659705412781,0.26738125778835525,0.6820062075538948,0.5479970548536188,0.623876370546296,0.6647679527875798,0.6011219211544198,0.8184777440474013,0.8208461262410782,0.3176371158872454,0.4642570281124557,0.29849916620344075,0.012919896640826873,0.03253796095444685,0.040169133192389,0.16985645933014354,0.40703517587939697,0.6683168316831684,0.9781845490688301,0.898888961293266,0.9936110807507725,0.9754901960784315,0.5037037037037037,0.0,0.0,0.49999999999999994,0.471186094948282,0.4579951647125345,0.39717267106019544,0.36061098371673506,0.5410938516843105,0.4905879309086727,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.3450898129961927,0.04232804232804233,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-01,0.5093379018356894,0.26257696919664664,0.6168218233076863,0.5126851017354825,0.5483824363364377,0.6107153828623613,0.5435775404376819,0.80809041366446,0.8237968021053471,0.3606751413889343,0.4642570281124443,0.3463035019455266,0.01808785529715762,0.03253796095444685,0.040169133192389,0.14832535885167467,0.3844221105527638,0.6410891089108911,0.9730272244214019,0.892577303246943,0.9936110807507725,0.9738562091503269,0.4962962962962963,0.0,0.0,0.49999999999999994,0.471186094948282,0.4579951647125345,0.39717267106019544,0.36061098371673506,0.5410938516843105,0.4905879309086727,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.40712714074421674,0.04232804232804233,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-01,0.4527348110712226,0.2514453358691478,0.3897720365878231,0.38911905864069074,0.2854752753888821,0.4225800721512957,0.34288917424798654,0.8116747741487144,0.8250328960484868,0.5736708717261573,0.43212851405622554,0.5125069483046181,0.02325581395348837,0.03036876355748373,0.03805496828752642,0.16985645933014354,0.42211055276381904,0.6856435643564356,0.9649436159334421,0.8862590503038967,0.9936110807507725,0.9738562091503269,0.4888888888888888,0.0,0.0,0.49999999999999994,0.471186094948282,0.4579951647125345,0.39717267106019544,0.36061098371673506,0.5410938516843105,0.4905879309086727,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.6544999908956352,0.0343915343915344,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-01,0.4596176790288177,0.2588045968603621,0.4135873816074306,0.40157341307498395,0.31309880663342027,0.4424387748193847,0.3637162262575261,0.839252404813284,0.8252322660393158,0.5346835499697278,0.48112449799196316,0.49527515286270263,0.020671834625322995,0.03036876355748373,0.03805496828752642,0.16028708133971295,0.43216080402010043,0.7128712871287128,0.9571713532617597,0.8799342029373207,0.9936110807507725,0.9722222222222223,0.48148148148148145,0.0,0.0,0.49999999999999994,0.471186094948282,0.4579951647125345,0.39717267106019544,0.36061098371673506,0.5410938516843105,0.4905879309086727,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.6120910821344223,0.03703703703703705,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,0.5034166556470376,0.2542720026751449,0.4183578626659984,0.40370588112569283,0.3186657903088684,0.44650617745016524,0.367728461334758,0.8258659156578033,0.8243151640815025,0.45468355458425286,0.5759036144578348,0.4919399666481389,0.02842377260981912,0.03253796095444685,0.03805496828752642,0.16985645933014354,0.4396984924623115,0.7178217821782178,0.9519361669455741,0.8806837254658751,0.9936110807507725,0.9722222222222223,0.4740740740740741,0.0,0.0,0.49999999999999994,0.471186094948282,0.4579951647125345,0.39717267106019544,0.36061098371673506,0.5410938516843105,0.4905879309086727,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5090766294747028,0.04232804232804233,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-01,0.5715005929568854,0.25414660525676425,0.6936334841622395,0.5538379919145463,0.6373851791658864,0.6745226743900525,0.6111846397908605,0.8081269887714422,0.8244746600741657,0.28388189224908494,0.4690763052208783,0.2884936075597495,0.031007751937984492,0.03036876355748373,0.03805496828752642,0.16028708133971295,0.414572864321608,0.693069306930693,0.9501507076149336,0.8813796247694557,0.9936110807507725,0.9738562091503269,0.48148148148148145,0.0,0.0,0.49999999999999994,0.471186094948282,0.4579951647125345,0.39717267106019544,0.36061098371673506,0.5410938516843105,0.4905879309086727,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.30472564197226726,0.04232804232804233,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,0.5618483458857246,0.266892730345914,0.6546048954566976,0.5325517316295979,0.5921971800480741,0.6421946155870146,0.5766671822627443,0.81160162393475,0.8275848319310978,0.3448101478246569,0.440160642570286,0.31739855475264594,0.010335917312661497,0.02603036876355748,0.03382663847780126,0.1674641148325359,0.43216080402010043,0.7128712871287128,0.9478473500611425,0.8820219006114655,0.9936110807507725,0.9754901960784315,0.4888888888888888,0.0,0.0,0.49999999999999994,0.471186094948282,0.4579951647125345,0.39717267106019544,0.36061098371673506,0.5410938516843105,0.4905879309086727,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.38644503043538864,0.04232804232804233,0.0,0.0,0.0,0.0,0.0,0.0
