Time	TBill1yr	TBill10yr	Employment1	Employment2	Cons1	Cons5	CPIU	PCE	Vax1	Vax3	Gather2	Gather3	Mask1	School	Mask2	Cases5	Cases2	Deaths5	Deaths2	Cases3	Deaths3	Cases4	Cases1	Hosp2	Hosp1	Deaths4	Deaths1
2012-02-01	0.023504273504273504	0.4017857142857143	0.8170711884503437	0.8237297960071758	0.48858056214630124	0.5319086009209337	0.48042480973508717	0.49675221673418135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6224519292616667	0.6270189038212435	0.36858656074147633	0.3670994192005466	0.6224519292616667	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2012-03-01	0.029914529914529912	0.4613095238095237	0.8135122768330407	0.8217942005629378	0.5099946469087431	0.550149220661274	0.4783596646895119	0.4753169610054069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6224519292616667	0.6270189038212435	0.36858656074147633	0.3670994192005466	0.6224519292616667	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2012-04-01	0.027777777777777776	0.425595238095238	0.8018882440272991	0.8158387327196476	0.5493410309296946	0.5836991628854022	0.4580164258916395	0.4362124408304384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6224519292616667	0.6270189038212435	0.36858656074147633	0.3670994192005466	0.6224519292616667	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2012-05-01	0.029914529914529912	0.35119047619047616	0.8182644828456356	0.8168747967004858	0.7116118982947538	0.7221916138435907	0.2823120937051792	0.27598481283333187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6224519292616667	0.6270189038212435	0.36858656074147633	0.3670994192005466	0.6224519292616667	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2012-06-01	0.029914529914529912	0.2976190476190476	0.8137537407112719	0.8153773111977091	0.6698130583990766	0.6864673918147642	0.34089822278672366	0.31683735096458504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6224519292616667	0.6270189038212435	0.36858656074147633	0.3670994192005466	0.6224519292616667	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2012-07-01	0.029914529914529912	0.2708333333333333	0.8032999920192481	0.8184443536062311	0.6118805942361155	0.6369699631665839	0.39344637279221933	0.37358778620411015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6224519292616667	0.6270189038212435	0.36858656074147633	0.3670994192005466	0.6224519292616667	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2012-08-01	0.027777777777777776	0.31547619047619047	0.8069065484055066	0.8197213812617881	0.41170942459614646	0.4660417815290885	0.6527359268372354	0.5704963034279991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6224519292616667	0.6270189038212435	0.36858656074147633	0.3670994192005466	0.6224519292616667	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2012-09-01	0.027777777777777776	0.32738095238095233	0.834591805387279	0.8199184598513599	0.43274631998685525	0.4839620674617762	0.6040928049754837	0.5494444501182414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6224519292616667	0.6270189038212435	0.36858656074147633	0.3670994192005466	0.6224519292616667	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2012-10-01	0.027777777777777776	0.33630952380952384	0.8210965500458856	0.8189585210915629	0.43700625987421987	0.4875599194291005	0.506728251696605	0.5449245868322847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6224519292616667	0.6270189038212435	0.36858656074147633	0.3670994192005466	0.6224519292616667	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2012-11-01	0.027777777777777776	0.306547619047619	0.8033629658599835	0.8191157606636335	0.6797822891693042	0.6947823192831166	0.3006557725101743	0.3053631904044893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6224519292616667	0.6270189038212435	0.36858656074147633	0.3670994192005466	0.6224519292616667	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2012-12-01	0.023504273504273504	0.32738095238095233	0.8068337204551878	0.8223201170577645	0.6449491619797546	0.6650064472101095	0.37413804795301997	0.33936353140244074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6224519292616667	0.6270189038212435	0.36858656074147633	0.3670994192005466	0.6224519292616667	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2013-01-01	0.02136752136752136	0.3839285714285714	0.8055543580226956	0.8202058936939317	0.5200173630791848	0.5626405697758421	0.4730736920152049	0.4766357901129943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6224519292616667	0.6270189038212435	0.36858656074147633	0.3670994192005466	0.6224519292616667	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2013-02-01	0.023504273504273504	0.40476190476190477	0.8095017709632395	0.8238479088897778	0.4042269949658452	0.4637247660432996	0.6349860070635606	0.5903560713844669	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6224519292616667	0.6270189038212435	0.36858656074147633	0.3670994192005466	0.6224519292616667	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2013-03-01	0.02136752136752136	0.39880952380952384	0.805262264353838	0.8183347319329395	0.7357794943520931	0.7467118619677064	0.24716895130705616	0.2632377374361727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6224519292616667	0.6270189038212435	0.36858656074147633	0.3670994192005466	0.6224519292616667	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2013-04-01	0.014957264957264954	0.3392857142857143	0.8185903306715626	0.8200477520852829	0.6997663866783865	0.715903910281767	0.28136451627527614	0.2983423793122137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6224519292616667	0.6270189038212435	0.36858656074147633	0.3670994192005466	0.6224519292616667	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2013-05-01	0.014957264957264954	0.38988095238095233	0.815943793632123	0.8211815955429621	0.6034752965089746	0.6336363379250479	0.39935182972145283	0.3928492394475876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6224519292616667	0.6270189038212435	0.36858656074147633	0.3670994192005466	0.6224519292616667	0.0	0.0	0.0	0.0	0.0	0.0	0.0
