Time,Factor_Global,Factor_Response,Factor_Pandemic,Factor_Uncat,Factor_Consumption,Factor_Employment,Factor_Inflation,Factor_Cases1,Factor_Cases2,Factor_Cases3,Factor_Cases4,Factor_Cases5,Factor_Hosp1,Factor_Hosp2,Factor_Deaths1,Factor_Deaths2,Factor_Deaths3,Factor_Deaths4,Factor_Deaths5,Factor_Vax1,Factor_Vax3,Factor_Gather1,Factor_Gather2,Factor_Gather3,Factor_Gather4,Factor_Curfew,Factor_Mask1,Factor_Mask2,Factor_School,Factor_ARP,Factor_PPP,Factor_CARES,Factor_Cons1,Factor_Cons2,Factor_Cons3,Factor_Cons4,Factor_Cons5,Factor_Employment1,Factor_Employment2,Factor_UI,Factor_PartR,Factor_UR,Factor_CPI,Factor_CPIU,Factor_PCE,Factor_PCEC,Factor_RPFI,Factor_FixAss,Factor_Prod,Factor_GDP,Factor_TBill1mo,Factor_TBill6mo,Factor_TBill1yr,Factor_TBill5yr,Factor_TBill10yr,Factor_TBill30yr,Factor_FFR,State,Time
2019-03-01,-2.160850916945655,-4.07758751794802,-2.4009564029174455,0.8698301483199203,1.2012498766017066,-0.6382849077501833,0.02071125325818154,197100.4084317864,20317.0,148231.5908737882,15406.62719406449,37488.441471816375,95336.49936496624,52895.13719470409,156755.0,150320.0,111.6005829,111.35,109.443,2.45,2.51,2.49,2.37,2.57,2.98,597.2021995011102,34.57356603,101.167,58.7,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,111.6330114,2.41,,,,,,,KY,2019-03-01
2019-04-01,-1.9582139683591169,-4.062829074966314,-2.7798404787776603,0.8892474175967927,1.0886044129894665,-0.5962663945293392,0.02379737633803963,197581.6785085325,17427.0,148067.1646322946,15376.662415740571,37405.35616687921,95285.11568591728,52782.07931013545,156683.0,150563.0,111.9912044,111.65,109.78,2.43,2.46,2.42,2.33,2.53,2.94,597.9164313171798,34.78285465,101.167,58.8,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.0280948,2.42,,,,,,,KY,2019-04-01
2019-05-01,-1.7190180794679826,-4.101888020543029,-0.30178289675395714,0.9121770256553171,0.9556324015217187,-0.5229888897404891,0.027467767103112842,198530.5612195356,14969.0,148255.14006214228,15383.34273958637,37411.45226478299,95460.30712933294,52794.84810418484,156814.0,150630.0,112.0623063,111.773,109.856,2.4,2.42,2.34,2.19,2.4,2.82,600.052336604282,34.99248298,101.167,58.8,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.071993,2.39,,,,,,,KY,2019-05-01
2019-06-01,-1.184899834990618,-3.6491401764164815,-0.3414936502989986,0.9633516502256771,0.6587213702462472,-0.4302623276551855,0.03557963597160815,199472.6884067858,16608.0,148438.80474826033,15389.5938509119,37416.51885204893,95632.64656387865,52806.15818438168,157164.0,150797.0,112.0781068,112.0,109.935,2.22,2.17,2.0,1.83,2.07,2.57,602.1726593896393,35.20245101,101.167,58.9,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.1158911,2.38,,,,,,,KY,2019-06-01
2019-07-01,-1.033860866976904,-3.4748152953920295,-1.106575019491769,0.9778138251947257,0.5747470152445939,-0.3197977476507007,0.03797102405635004,200082.0813728877,17747.0,148514.20906982486,15384.648573037586,37394.38570675968,95735.121805003,52779.072126243664,157525.0,150879.0,112.3146742,112.157,110.094,2.15,2.08,1.96,1.83,2.06,2.57,603.1291529056988,35.31260534,101.167,59.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.3353819,2.4,,,,,,,KY,2019-07-01
2019-08-01,-0.6731655639392098,-3.2357512569292446,0.03531686628629736,1.0123641922581894,0.37423443401695994,-0.2452753666068413,0.0434751137874991,200910.21077736988,17747.0,148752.64833714723,15396.614971125557,37413.37667526241,95942.59615733846,52810.021913098186,157782.0,151111.0,112.4371275,112.27,110.132,2.07,1.93,1.77,1.49,1.63,2.12,604.7456425017251,35.42270308,101.167,59.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.4670764,2.13,,,,,,,KY,2019-08-01
2019-09-01,-0.6490467770044634,-3.1340552581976513,-0.3186446373635973,1.014671188961213,0.3608190882303481,-0.19496713636562152,0.043895293123671617,201670.03910822363,16015.0,148940.90212055497,15403.399965519431,37419.78730933607,96117.64679194608,52823.20995943997,158302.0,151318.0,112.6201491,112.339,110.207,1.99,1.89,1.8,1.57,1.7,2.16,606.1565030351975,35.53274422,101.167,59.1,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.642669,2.04,,,,,,,KY,2019-09-01
2019-10-01,-0.354048587826982,-2.6215040529348346,-1.6666247780009746,1.0429246327917023,0.1968353924246477,-0.16930582198415,0.04834968061686807,202247.9918132997,14925.0,148938.4759817547,15390.498356320695,37378.399427655466,96169.50273040944,52768.91287745008,158474.0,151447.0,112.9313296,112.496,110.423,1.73,1.67,1.61,1.53,1.71,2.19,608.257175045054,35.57112906,101.167,59.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.9499561,1.83,,,,,,,KY,2019-10-01
2019-11-01,-0.2786311115868999,-2.414631917178792,-0.05359419464768369,1.0501464286259643,0.1549023555555138,-0.0945934857103813,0.0495639153290142,203135.81185672,15599.0,149165.25601450814,15401.311680199877,37394.6310729707,96369.23028179852,52795.950296764975,158642.0,151662.0,113.1433186,112.524,110.469,1.58,1.59,1.57,1.64,1.81,2.28,611.2974648996551,35.60934372,101.167,59.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,113.1694469,1.55,,,,,,,KY,2019-11-01
2019-12-01,-0.2774744602748909,-2.37920592852385,-2.154525808901761,1.0502606611036491,0.15425386109814426,-0.07975252646592071,0.049609227005273475,203615.71665944223,18878.0,149093.7003323219,15381.357462794393,37336.18696720127,96376.065597457,52717.54442999567,158834.0,151764.0,113.3517964,112.772,110.736,1.55,1.58,1.55,1.68,1.86,2.3,613.1177085139431,35.64738822,101.167,59.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,113.3889377,1.55,,,,,,,KY,2019-12-01
