Time,Cases1,Cases2,Cases3,Cases4,Cases5,Hosp1,Hosp2,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5
2012-03-01,177338.44688424325,46124.0,144400.21055797863,14201.10793603048,38178.5481526044,92020.47927006568,52379.731287912975,142036.0,133744.0,100.4235391,99.595,99.735
2012-04-01,177262.59854872228,42591.0,144461.278112671,14235.909451998978,38182.89841721237,92042.40348733972,52418.87462533125,141899.0,133827.0,100.5903214,99.746,99.866
2012-05-01,177618.57502790162,39599.0,144874.2406319546,14305.382908621908,38280.261108994826,92288.53813715068,52585.70249480392,142206.0,133935.0,100.3822825,99.847,99.754
2012-06-01,177864.6794511755,40744.0,145197.78544491695,14366.07357779026,38353.977774211664,92477.68394447563,52720.10150044131,142391.0,134007.0,100.2993302,99.95,99.704
2012-07-01,178104.53846668036,45418.0,145396.18006817726,14414.385736247545,38394.63438272839,92587.1181739189,52809.061894258375,142292.0,134153.0,100.3282977,100.053,99.74
2012-08-01,177811.37480223132,39041.0,145159.4304271796,14419.452077608492,38320.42634690652,92419.51869431256,52739.911732867055,142291.0,134330.0,100.9111577,100.116,100.075
2012-09-01,177574.99078492515,33986.0,144969.0174239632,14428.939319977286,38258.52518953168,92281.52800884646,52687.48941511671,143044.0,134512.0,101.3926317,100.24,100.379
2012-10-01,176973.22460277218,34686.0,144788.3826494631,14439.229747939746,38199.27424668325,92149.862100248,52638.52054921511,143431.0,134671.0,101.6660668,100.482,100.677
2012-11-01,177016.63535734083,35060.0,145134.87858939063,14502.024338445568,38279.12181481448,92353.72415324008,52781.15443615055,143333.0,134834.0,101.4953345,100.591,100.609
2012-12-01,176968.5763422902,34711.0,145406.63863290686,14557.374767627967,38339.24825783106,92510.01560744784,52896.62302545904,143330.0,135075.0,101.4830453,100.664,100.593
2013-01-01,178156.40906069236,40771.0,145559.23217610703,14610.382952827944,38369.28373698989,92579.5654862896,52979.66668981783,143292.0,135265.0,101.6840618,100.871,100.787
2013-02-01,179029.41990588795,37279.0,145459.15879104254,14637.820132600438,38332.773142473015,92488.5655159687,52970.59327507345,143362.0,135544.0,102.2361988,100.992,101.156
2013-03-01,180790.0181146868,32245.0,146082.129812023,14737.930966215616,38486.829731843245,92857.36911396416,53224.76069805886,143316.0,135689.0,101.9487188,101.085,101.023
2013-04-01,180843.30585935467,32022.0,146628.26253500255,14830.367992814528,38620.62133460136,93177.27320758706,53450.98932741589,143635.0,135876.0,101.735852,101.163,100.944
2013-05-01,180636.9996369993,31697.0,146963.98046398078,14901.527901527868,38698.9901989902,93363.46236346234,53600.51810051807,143882.0,136091.0,101.7779865,101.272,101.01
2013-06-01,180160.0347729877,31263.0,147078.08116331452,14950.112617062476,38719.03030781998,93408.93823843206,53669.14292488245,143999.0,136269.0,102.0202597,101.438,101.228
2013-07-01,181222.97426182785,35451.0,147325.29878774693,15012.102794824774,38774.14803559801,93539.04795732452,53786.25083042278,144264.0,136391.0,102.2199594,101.567,101.354
2013-08-01,182229.4026861068,31558.0,147528.28949528813,15069.484123074868,38817.65343315929,93641.15193905358,53887.13755623416,144326.0,136635.0,102.4639882,101.685,101.51
2013-09-01,183442.04825209256,28695.0,147899.40915805023,15143.968488429346,38905.416051206295,93850.02461841457,54049.38453963565,144418.0,136819.0,102.5026115,101.799,101.55
2013-10-01,183935.85786096717,27980.0,148077.83304824226,15198.645982842158,38942.50997817581,93936.6770872247,54141.155961017976,143537.0,137039.0,102.557474,102.015,101.722
2013-11-01,184451.533324827,29151.0,148274.57196794986,15255.085181077236,38984.452449426295,94035.03433744596,54239.53763050352,144479.0,137314.0,102.7466402,102.194,101.881
2013-12-01,184885.87829630505,28658.0,148406.70428274755,15304.749030210416,39009.44320363623,94092.5120489009,54314.19223384664,144778.0,137368.0,103.0183197,102.333,102.084
2014-01-01,184752.17870249023,31926.0,148686.0729254258,15346.669534666986,39054.635405463545,94284.75983756692,54401.304940130525,145150.0,137552.0,103.2680542,102.426,102.278
