Time,Cases1,Cases2,Cases3,Cases4,Cases5,Hosp1,Hosp2,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Vax1,Vax3,Gather1,Gather2,Gather3,Gather4,Curfew,Mask1,Mask2,School,ARP,PPP,CARES,Cons1,Cons2,Cons3,Cons4,Cons5,Employment1,Employment2,UI,PartR,CPI,CPIU,PCE,PCEC,FixAss,Prod,GDP,TBill1mo,TBill6mo,TBill1yr,TBill5yr,TBill10yr
2012-03-01,0.6418562908280928,0.20618154889503837,0.4204145779446689,0.3295173598079913,0.17559535938068338,0.4749295596452582,0.24372636925166868,0.818221718298526,0.8269867219586109,0.4302109789922408,0.5172690763052178,0.4319066147859912,0.015503875968992246,0.03036876355748373,0.040169133192389,0.24401913875598089,0.5452261306532663,0.8118811881188118,0.8398094426587953,0.7878507562582396,0.9749249307803298,0.9873015873015873,0.5263157894736842,0.0,0.0,0.5,0.6499972082458898,0.6385438768053273,0.5229917969040386,0.5112194498315524,0.6011898712829592,0.517521699638159,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.4898555265684134,0.0343915343915344,0.0,0.0,0.0,0.0
2012-04-01,0.4436041603621333,0.2127684452586039,0.4548126041180438,0.3541048314809095,0.2202674227886685,0.5049986312099891,0.27887840642789913,0.8067005595991368,0.821284740220902,0.41367091940953865,0.5028112449799159,0.39911061700945016,0.01808785529715762,0.03036876355748373,0.03805496828752642,0.21291866028708137,0.5150753768844221,0.7871287128712872,0.8354268456887688,0.7879700242178571,0.9749249307803298,0.9873015873015873,0.5263157894736842,0.0,0.0,0.5,0.6499972082458898,0.6385438768053273,0.5229917969040386,0.5112194498315524,0.6011898712829592,0.517521699638159,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.46901243133422943,0.03703703703703705,0.0,0.0,0.0,0.0
2012-05-01,0.4931253472542639,0.20058853334372684,0.5966252436415498,0.456101511558132,0.4039217050101011,0.6289444812334378,0.42384777622884495,0.8229399070992283,0.8222815901750469,0.26953588374852383,0.4626506024096368,0.2640355753196258,0.01808785529715762,0.03253796095444685,0.040169133192389,0.18181818181818185,0.4522613065326633,0.7252475247524752,0.833051303456368,0.78802012612857,0.9749249307803298,0.9857142857142857,0.5338345864661653,0.0,0.0,0.5,0.6499972082458898,0.6385438768053273,0.5229917969040386,0.5112194498315524,0.6011898712829592,0.517521699638159,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.2832134236445018,0.04232804232804233,0.0,0.0,0.0,0.0
2012-06-01,0.4804359892454291,0.22559145652258641,0.5605935449365665,0.4302249077706324,0.35722727882765437,0.5974511525160568,0.38701697377966626,0.8184777440474013,0.8208461262410782,0.3176371158872454,0.4642570281124557,0.29849916620344075,0.012919896640826873,0.03253796095444685,0.040169133192389,0.16985645933014354,0.40703517587939697,0.6683168316831684,0.8301249877655028,0.7880010620692438,0.9749249307803298,0.9857142857142857,0.5338345864661653,0.0,0.0,0.5,0.6499972082458898,0.6385438768053273,0.5229917969040386,0.5112194498315524,0.6011898712829592,0.517521699638159,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.3450898129961927,0.04232804232804233,0.0,0.0,0.0,0.0
2012-07-01,0.49940386459752434,0.24355926257941302,0.5101525423789851,0.3938789985666045,0.29195846316935475,0.5533672525798493,0.3354480419109633,0.80809041366446,0.8237968021053471,0.3606751413889343,0.4642570281124443,0.3463035019455266,0.01808785529715762,0.03253796095444685,0.040169133192389,0.14832535885167467,0.3844221105527638,0.6410891089108911,0.8284554436501915,0.7850332850914188,0.9749249307803298,0.9841269841269841,0.5338345864661653,0.0,0.0,0.5,0.6499972082458898,0.6385438768053273,0.5229917969040386,0.5112194498315524,0.6011898712829592,0.517521699638159,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.40712714074421674,0.04232804232804233,0.0,0.0,0.0,0.0
2012-08-01,0.43935468402448286,0.22097283392446504,0.3347450520111531,0.26719688641360584,0.0652246924975286,0.40007557284514084,0.1560960269908897,0.8116747741487144,0.8250328960484868,0.5736708717261573,0.43212851405622554,0.5125069483046181,0.02325581395348837,0.03036876355748373,0.03805496828752642,0.16985645933014354,0.42211055276381904,0.6856435643564356,0.8242984821736795,0.7820622328979806,0.9749249307803298,0.9841269841269841,0.5338345864661653,0.0,0.0,0.5,0.6499972082458898,0.6385438768053273,0.5229917969040386,0.5112194498315524,0.6011898712829592,0.517521699638159,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.6544999908956352,0.0343915343915344,0.0,0.0,0.0,0.0
2012-09-01,0.44622502503110517,0.19556066570526562,0.35340081478498775,0.2804111931197714,0.08955126948700337,0.41638732565445236,0.17515149794282742,0.839252404813284,0.8252322660393158,0.5346835499697278,0.48112449799196316,0.49527515286270263,0.020671834625322995,0.03036876355748373,0.03805496828752642,0.16028708133971295,0.43216080402010043,0.7128712871287128,0.8204042249679238,0.7790879054889291,0.9749249307803298,0.9825396825396825,0.5338345864661653,0.0,0.0,0.5,0.6499972082458898,0.6385438768053273,0.5229917969040386,0.5112194498315524,0.6011898712829592,0.517521699638159,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.6120910821344223,0.03703703703703705,0.0,0.0,0.0,0.0
2012-10-01,0.37400946072127195,0.23015161554351637,0.3573217239500805,0.2830056482824068,0.09481349889231634,0.41982134273242705,0.17914243551161196,0.8258659156578033,0.8243151640815025,0.45468355458425286,0.5759036144578348,0.4919399666481389,0.02842377260981912,0.03253796095444685,0.03805496828752642,0.16985645933014354,0.4396984924623115,0.7178217821782178,0.8137945554928123,0.7777230864151157,0.9749249307803298,0.9809523809523808,0.5338345864661653,0.0,0.0,0.5,0.6499972082458898,0.6385438768053273,0.5229917969040386,0.5112194498315524,0.6011898712829592,0.517521699638159,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5090766294747028,0.04232804232804233,0.0,0.0,0.0,0.0
2012-11-01,0.4463515355354528,0.22804692676462562,0.5698234399706197,0.43664174402511025,0.36936165761417006,0.6055251583435903,0.3964353781050986,0.8081269887714422,0.8244746600741657,0.28388189224908494,0.4690763052208783,0.2884936075597495,0.031007751937984492,0.03036876355748373,0.03805496828752642,0.16028708133971295,0.414572864321608,0.693069306930693,0.8101278378785308,0.7762866788521082,0.9749249307803298,0.9793650793650793,0.5338345864661653,0.0,0.0,0.5,0.6499972082458898,0.6385438768053273,0.5229917969040386,0.5112194498315524,0.6011898712829592,0.517521699638159,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.30472564197226726,0.04232804232804233,0.0,0.0,0.0,0.0
2012-12-01,0.4360959627993956,0.2404022294110769,0.5396952039589172,0.414859136280156,0.3304367712915405,0.5791963046419444,0.3656278272898127,0.81160162393475,0.8275848319310978,0.3448101478246569,0.440160642570286,0.31739855475264594,0.010335917312661497,0.02603036876355748,0.03382663847780126,0.1674641148325359,0.43216080402010043,0.7128712871287128,0.8060066537310466,0.7747786827999067,0.9749249307803298,0.9777777777777777,0.5338345864661653,0.0,0.0,0.5,0.6499972082458898,0.6385438768053273,0.5229917969040386,0.5112194498315524,0.6011898712829592,0.517521699638159,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.38644503043538864,0.04232804232804233,0.0,0.0,0.0,0.0
