Time,Global,Pandemic,Consumption,Employment,Inflation,Uncat,State
2012-02-01,0.1528937225944926,0.033560747260566376,0.4724703747012336,-0.19193774780202444,-0.06263957603142425,1.3352393165000782,IN
2012-03-01,-1.6826429671055951,-0.8052645658432971,0.3867898547581062,-0.03337457774066502,0.3108082279315113,1.2357615053000266,IN
2012-04-01,-1.349137279585539,-0.7256137329147408,-0.007909657787547585,-0.2519698951583373,0.007601064712885086,1.145275765941407,IN
2012-05-01,-1.421993853170069,-0.6722078552558147,-1.5376553513683877,-0.0617684237227292,-1.6684303112685788,1.0408565565977532,IN
2012-06-01,-1.391872182000628,-0.7486805349662297,-1.1518091157636947,-0.16470808874372697,-1.1854377208050901,0.9320080273119863,IN
2012-07-01,-1.4154108292835437,-0.6673179380543821,-0.6043615780583033,-0.21787026631512746,-0.6564686119139883,0.8316214959738453,IN
2012-08-01,-1.3943536335004263,-0.7516304402102976,1.2893584414204728,-0.13645732760236187,1.6605287650886185,0.7648868858575271,IN
2012-09-01,-1.4163204790228188,-0.6659934520296062,1.1049414819837837,0.1108354522547195,1.2861732181641434,0.694129065308134,IN
2012-10-01,-1.393267195050099,-0.7528772558090121,1.0713088342036725,-0.09598546298062104,0.6990201721020699,0.6269724509474588,IN
2012-11-01,-1.4165059245473401,-0.6642884620378442,-1.2159054456721314,-0.21380835570548645,-1.3887997199134698,0.5330106126633286,IN
2012-12-01,-1.3935839217497734,-0.7548880625573516,-0.8959935965715407,-0.11030242246575289,-0.8802433927633615,0.454574467058319,IN
2013-01-01,-1.4163245581771449,-0.6622232801665081,1.2535065053526981,-0.15280401503757246,0.21608474301903072,0.41906123086603614,IN
2013-02-01,-1.3921293754620498,-0.7561762346064979,2.2992696404549315,-0.079955736502421,1.6653701111392496,0.3904825825581921,IN
2013-03-01,-1.4179786276928135,-0.6610363275814005,-0.8525580210299356,-0.1743022675413753,-1.9157879436574363,0.3196339763381267,IN
2013-04-01,-1.390519172872837,-0.757373494988541,-0.5425028615883652,-0.03429736893417445,-1.5978086516920595,0.18594451605760506,IN
2013-05-01,-1.4189231211000164,-0.6594246957503606,0.3534536936397362,-0.08193717229798189,-0.5198583808009531,0.17220858465660815,IN
2013-06-01,-1.393460746971595,-0.7611063733906248,1.2997733618899165,-0.12164477745073239,0.4120117076687112,0.24386387269823104,IN
2013-07-01,-1.4207043410161393,-0.6579803619194771,0.7313955043403254,-0.08992545392242411,0.08740501840669093,0.26051782039982607,IN
2013-08-01,-1.3924805579849724,-0.762977079473635,0.9168443588413406,-0.13266957353011286,0.2433172050854718,0.2951125658302889,IN
2013-09-01,-1.420583814437372,-0.655543616960384,0.19888255329474233,-0.1087729215993736,-0.6093551547966716,0.287711327361819,IN
2013-10-01,-1.3898426344767385,-0.7640084267633129,1.0152893075256217,-0.444073027728235,-0.23930409139141834,0.22845275839786394,IN
2013-11-01,-1.4211460290349143,-0.6534207260117176,0.9389082728000803,0.3039495030579635,0.16788168543749235,0.23812948715884813,IN
2013-12-01,-1.3915000790429166,-0.7673592539904502,1.2111638843918948,-0.1967912292967543,0.4557640155166295,0.28867775079582997,IN
2014-01-01,-1.4220966590742246,-0.6513539345254055,0.4019657371344045,-0.04460566193778837,0.36880480858639414,0.2608269775066601,IN
2014-02-01,-1.3901115357942844,-0.769201051649356,-0.38560461691610953,-0.19421564953469203,-0.33989101635104574,0.21590055713932124,IN
2014-03-01,-1.4219562488819886,-0.6486932778622344,0.5293464658956845,0.06694347653577402,0.2571242359427975,0.21806294164666198,IN
2014-04-01,-1.3897665549262528,-0.7716882669595889,0.5074054026226466,-0.13203359867563436,0.23290917257277963,0.18537272512229694,IN
2014-05-01,-1.4216548299277525,-0.6458537105701653,0.384088236236163,-0.06667893188295633,0.2006947095582093,0.12191891606687986,IN
2014-06-01,-1.389457429005742,-0.7742713550620268,0.016016110674584746,0.034184396591010816,-0.13122042127679415,0.12154513189577948,IN
2014-07-01,-1.422502179287943,-0.6434794592654993,0.26015957426553965,-0.09667768193624063,-0.10205303056164929,0.10282920855893164,IN
2014-08-01,-1.3879267431461064,-0.7763329233163092,-0.7628113847951058,-0.10683214609964183,-0.8571676084116223,0.0574965965029621,IN
2014-09-01,-1.4244515195847784,-0.6415503200464584,-0.522464999054865,-0.033233808480946446,-0.7385792627921618,0.0702708787108779,IN
2014-10-01,-1.3862145701299815,-0.7784275815672623,-0.8383010575819432,0.08486837096284448,-0.939809332831342,-0.016249302526981608,IN
2014-11-01,-1.4247473710238396,-0.6387025153143777,-1.158296904045565,-0.17568790973436121,-1.5580790904775659,0.003975361099184074,IN
2014-12-01,-1.3858743842067458,-0.7813105837684889,-1.6423479524141043,-0.016300548518093202,-2.074854356665902,0.04135711112887684,IN
2015-01-01,-1.4251105553744101,-0.6358162428374865,-3.3050994644931566,0.015402902986883984,-3.785890910945918,-0.09091217036079485,IN
2015-02-01,-1.386385743849083,-0.7847177684971823,0.6867675054014106,-0.1966584228297683,0.2435483093060516,-0.07327552164710152,IN
2015-03-01,-1.4263466372514235,-0.6331886797947829,0.9009219922725332,-0.1271795382435379,0.422860038125979,-0.055177735143401165,IN
2015-04-01,-1.3850246467797618,-0.7873311271672838,0.19959828849693098,-0.009333134247762987,-0.3215753148853595,-0.13111658628249895,IN
2015-05-01,-1.4280261509773338,-0.6306460389287494,1.2350588460135827,-0.014183020101605668,0.7192560287642754,-0.07599461682559999,IN
2015-06-01,-1.3854678619860152,-0.7910279911220923,0.9622583930018901,-0.16651596512075442,0.46825903687467135,-0.0012656066807958657,IN
