Time,Cases1,Cases2,Cases3,Cases4,Cases5,Hosp1,Hosp2,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Vax1,Vax3,Gather1,Gather2,Gather3,Gather4,Curfew,Mask1,Mask2,School,ARP,PPP,CARES,Cons1,Cons2,Cons3,Cons4,Cons5,Employment1,UI,PartR,PCE,FixAss,GDP,TBill1mo,TBill6mo,TBill1yr,TBill5yr,TBill10yr,TBill30yr,FFR
2012-03-01,0.4787715128152966,0.2585003276793383,0.2656975584950766,0.30051199209893414,0.16829625105500173,0.3961639325367623,0.1924857060583305,0.818221718298526,0.8269867219586109,0.4302109789922408,0.5172690763052178,0.4319066147859912,0.015503875968992246,0.03036876355748373,0.040169133192389,0.24401913875598089,0.5452261306532663,0.8118811881188118,0.682680842687947,0.6465169852757803,0.935182500865044,0.9839228295819935,0.618705035971223,0.0,0.0,0.49999999999999994,0.5340883701669595,0.5239648744808698,0.5287008731773806,0.5287008731773806,0.576574389658837,0.0,0.0,0.5,0.5,0.4898555265684134,0.0343915343915344,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,0.4962599732196806,0.2828707152364786,0.30188729249706353,0.3169005582603733,0.2031721942124779,0.42649831220982026,0.22453053848391274,0.8067005595991368,0.821284740220902,0.41367091940953865,0.5028112449799159,0.39911061700945016,0.01808785529715762,0.03036876355748373,0.03805496828752642,0.21291866028708137,0.5150753768844221,0.7871287128712872,0.6837528762050306,0.6510276834194063,0.935182500865044,0.9839228295819935,0.6115107913669064,0.0,0.0,0.49999999999999994,0.5340883701669595,0.5239648744808698,0.5287008731773806,0.5287008731773806,0.576574389658837,0.0,0.0,0.5,0.5,0.46901243133422943,0.03703703703703705,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,0.5386534944977078,0.2775871403159561,0.45183432281687236,0.3852744968943753,0.34709416142221583,0.5522215377886587,0.35722665954644195,0.8229399070992283,0.8222815901750469,0.26953588374852383,0.4626506024096368,0.2640355753196258,0.01808785529715762,0.03253796095444685,0.040169133192389,0.18181818181818185,0.4522613065326633,0.7252475247524752,0.686491226624114,0.6555405681352312,0.935182500865044,0.9823151125401929,0.6115107913669064,0.0,0.0,0.49999999999999994,0.5340883701669595,0.5239648744808698,0.5287008731773806,0.5287008731773806,0.576574389658837,0.0,0.0,0.5,0.5,0.2832134236445018,0.04232804232804233,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,0.5279043012587699,0.2756902636495744,0.4137817406327179,0.36795172531130665,0.31053505943684323,0.5203185767278475,0.32354719186292213,0.8184777440474013,0.8208461262410782,0.3176371158872454,0.4642570281124557,0.29849916620344075,0.012919896640826873,0.03253796095444685,0.040169133192389,0.16985645933014354,0.40703517587939697,0.6683168316831684,0.6888080429964176,0.660055639575576,0.935182500865044,0.9807073954983923,0.60431654676259,0.0,0.0,0.49999999999999994,0.5340883701669595,0.5239648744808698,0.5287008731773806,0.5287008731773806,0.576574389658837,0.0,0.0,0.5,0.5,0.3450898129961927,0.04232804232804233,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-01,0.4589371475909236,0.28697790097978154,0.36036797215362604,0.3435460011248781,0.25932902076145736,0.47552983814710365,0.27628665317512513,0.80809041366446,0.8237968021053471,0.3606751413889343,0.4642570281124443,0.3463035019455266,0.01808785529715762,0.03253796095444685,0.040169133192389,0.14832535885167467,0.3844221105527638,0.6410891089108911,0.6887787027956171,0.6588668326393624,0.935182500865044,0.9807073954983923,0.5971223021582734,0.0,0.0,0.49999999999999994,0.5340883701669595,0.5239648744808698,0.5287008731773806,0.5287008731773806,0.576574389658837,0.0,0.0,0.5,0.5,0.40712714074421674,0.04232804232804233,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-01,0.4065620309787919,0.22502411801340838,0.17427855149339538,0.2583032869162314,0.08119713804329502,0.31947241788897207,0.11166986816529373,0.8116747741487144,0.8250328960484868,0.5736708717261573,0.43212851405622554,0.5125069483046181,0.02325581395348837,0.03036876355748373,0.03805496828752642,0.16985645933014354,0.42211055276381904,0.6856435643564356,0.6866833585089097,0.6576765492528301,0.935182500865044,0.9790996784565915,0.5899280575539567,0.0,0.0,0.49999999999999994,0.5340883701669595,0.5239648744808698,0.5287008731773806,0.5287008731773806,0.576574389658837,0.0,0.0,0.5,0.5,0.6544999908956352,0.0343915343915344,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-01,0.4123298204680348,0.24376900438398316,0.19376278452065426,0.26703664925464704,0.1000854628915573,0.3357970858677508,0.12893729452177927,0.839252404813284,0.8252322660393158,0.5346835499697278,0.48112449799196316,0.49527515286270263,0.020671834625322995,0.03036876355748373,0.03805496828752642,0.16028708133971295,0.43216080402010043,0.7128712871287128,0.684805237915776,0.6564847895683006,0.935182500865044,0.9790996784565915,0.5827338129496402,0.0,0.0,0.49999999999999994,0.5340883701669595,0.5239648744808698,0.5287008731773806,0.5287008731773806,0.576574389658837,0.0,0.0,0.5,0.5,0.6120910821344223,0.03703703703703705,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,0.45174457807501883,0.25321268220802956,0.19764083292307538,0.2686374338278422,0.1040149075261858,0.33903544614576747,0.1323966577492554,0.8258659156578033,0.8243151640815025,0.45468355458425286,0.5759036144578348,0.4919399666481389,0.02842377260981912,0.03253796095444685,0.03805496828752642,0.16985645933014354,0.4396984924623115,0.7178217821782178,0.6846630618111724,0.6605202391767019,0.935182500865044,0.9774919614147909,0.5827338129496402,0.0,0.0,0.49999999999999994,0.5340883701669595,0.5239648744808698,0.5287008731773806,0.5287008731773806,0.576574389658837,0.0,0.0,0.5,0.5,0.5090766294747028,0.04232804232804233,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-01,0.5151223312200146,0.24499016961985123,0.4232780111435503,0.37211729637431595,0.319853332147641,0.5282677726743583,0.331977935905983,0.8081269887714422,0.8244746600741657,0.28388189224908494,0.4690763052208783,0.2884936075597495,0.031007751937984492,0.03036876355748373,0.03805496828752642,0.16028708133971295,0.414572864321608,0.693069306930693,0.6870125020315814,0.6645570024039567,0.935182500865044,0.9774919614147909,0.5827338129496402,0.0,0.0,0.49999999999999994,0.5340883701669595,0.5239648744808698,0.5287008731773806,0.5287008731773806,0.576574389658837,0.0,0.0,0.5,0.5,0.30472564197226726,0.04232804232804233,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,0.5061366577410779,0.26798878156203315,0.39128712699352175,0.3574457025267328,0.289251962466712,0.5014383600486252,0.3036812949763972,0.81160162393475,0.8275848319310978,0.3448101478246569,0.440160642570286,0.31739855475264594,0.010335917312661497,0.02603036876355748,0.03382663847780126,0.1674641148325359,0.43216080402010043,0.7128712871287128,0.6890093567371991,0.6685950795547074,0.935182500865044,0.9758842443729904,0.5827338129496402,0.0,0.0,0.49999999999999994,0.5340883701669595,0.5239648744808698,0.5287008731773806,0.5287008731773806,0.576574389658837,0.0,0.0,0.5,0.5,0.38644503043538864,0.04232804232804233,0.0,0.0,0.0,0.0,0.0,0.0
