State,Year,Period,Monetary_2
AK,2012,M01,100
AK,2012,M02,100.2137446
AK,2012,M03,100.4235391
AK,2012,M04,100.5903214
AK,2012,M05,100.3822825
AK,2012,M06,100.2993302
AK,2012,M07,100.3282977
AK,2012,M08,100.9111577
AK,2012,M09,101.3926317
AK,2012,M10,101.6660668
AK,2012,M11,101.4953345
AK,2012,M12,101.4830453
AK,2013,M01,101.6840618
AK,2013,M02,102.2361988
AK,2013,M03,101.9487188
AK,2013,M04,101.735852
AK,2013,M05,101.7779865
AK,2013,M06,102.0202597
AK,2013,M07,102.2199594
AK,2013,M08,102.4639882
AK,2013,M09,102.5026115
AK,2013,M10,102.557474
AK,2013,M11,102.7466402
AK,2013,M12,103.0183197
AK,2014,M01,103.2680542
AK,2014,M02,103.3817294
AK,2014,M03,103.5928407
AK,2014,M04,103.7859569
AK,2014,M05,103.9834622
AK,2014,M06,104.1208381
AK,2014,M07,104.2380246
AK,2014,M08,104.2213464
AK,2014,M09,104.2288077
AK,2014,M10,104.2081794
AK,2014,M11,104.0119908
AK,2014,M12,103.6911544
AK,2015,M01,103.0306089
AK,2015,M02,103.2917548
AK,2015,M03,103.5700178
AK,2015,M04,103.6779874
AK,2015,M05,104.019891
AK,2015,M06,104.3078098
AK,2015,M07,104.4732753
AK,2015,M08,104.4728364
AK,2015,M09,104.2380246
AK,2015,M10,104.3411662
AK,2015,M11,104.465814
AK,2015,M12,104.3534555
AK,2016,M01,104.3056153
AK,2016,M02,104.1669227
AK,2016,M03,104.4934648
AK,2016,M04,104.8937422
AK,2016,M05,105.141721
AK,2016,M06,105.4335899
AK,2016,M07,105.380483
AK,2016,M08,105.5753549
AK,2016,M09,105.8523012
AK,2016,M10,106.10028
AK,2016,M11,106.2253667
AK,2016,M12,106.493535
AK,2017,M01,106.9240965
AK,2017,M02,107.09439
AK,2017,M03,107.0443553
AK,2017,M04,107.1764644
AK,2017,M05,107.0935122
AK,2017,M06,107.1632974
AK,2017,M07,107.1984094
AK,2017,M08,107.610976
AK,2017,M09,108.1604796
AK,2017,M10,108.2443097
AK,2017,M11,108.5331063
AK,2017,M12,108.7617735
AK,2018,M01,109.1734623
AK,2018,M02,109.4789372
AK,2018,M03,109.541261
AK,2018,M04,109.7892399
AK,2018,M05,110.067064
AK,2018,M06,110.2158513
AK,2018,M07,110.305826
AK,2018,M08,110.4927976
AK,2018,M09,110.707859
AK,2018,M10,110.9812941
AK,2018,M11,110.8913194
AK,2018,M12,110.844796
AK,2019,M01,110.809245
AK,2019,M02,111.1011139
AK,2019,M03,111.6005829
AK,2019,M04,111.9912044
AK,2019,M05,112.0623063
AK,2019,M06,112.0781068
AK,2019,M07,112.3146742
AK,2019,M08,112.4371275
AK,2019,M09,112.6201491
AK,2019,M10,112.9313296
