Time,Cases1,Cases2,Cases3,Cases4,Cases5,Hosp1,Hosp2,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Vax1,Vax3,Gather1,Gather2,Gather3,Gather4,Curfew,Mask1,Mask2,School,ARP,PPP,CARES,Cons1,Cons2,Cons3,Cons4,Cons5,Employment1,Employment2,UI,PartR,UR,CPI,CPIU,PCEC,FixAss,Prod,GDP,TBill1mo,TBill6mo,TBill1yr,TBill5yr,TBill10yr,TBill30yr,FFR
2012-03-01,0.5696341935172577,0.18071159292533337,0.3224412707181975,0.3155814211296387,0.37081906936689607,0.3512205635002816,0.3508510404302317,0.818221718298526,0.8269867219586109,0.4302109789922408,0.5172690763052178,0.4319066147859912,0.015503875968992246,0.03036876355748373,0.040169133192389,0.24401913875598089,0.5452261306532663,0.8118811881188118,0.82550419803418,0.7721208768836274,0.9627789652051681,0.9924585218702865,0.5706521739130436,0.0,0.0,0.5,0.5416678640327488,0.5416678640327488,0.3478224084324896,0.3478224084324896,0.5946768270994484,0.493371977058057,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.4898555265684134,0.0343915343915344,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,0.5607972711862579,0.1616182455877112,0.36328275847639424,0.34087046271160687,0.40968568738882205,0.3872662917704798,0.3843851716568385,0.8067005595991368,0.821284740220902,0.41367091940953865,0.5028112449799159,0.39911061700945016,0.01808785529715762,0.03036876355748373,0.03805496828752642,0.21291866028708137,0.5150753768844221,0.7871287128712872,0.8260717626556647,0.7768226018601659,0.9627789652051681,0.9924585218702865,0.5706521739130436,0.0,0.0,0.5,0.5416678640327488,0.5416678640327488,0.3478224084324896,0.3478224084324896,0.5946768270994484,0.493371977058057,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.46901243133422943,0.03703703703703705,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,0.5954514453665612,0.17957687041656506,0.5306970006930536,0.4449438785050379,0.5693426919553457,0.5348653214672525,0.5222165855462122,0.8229399070992283,0.8222815901750469,0.26953588374852383,0.4626506024096368,0.2640355753196258,0.01808785529715762,0.03253796095444685,0.040169133192389,0.18181818181818185,0.4522613065326633,0.7252475247524752,0.8286487844410912,0.7815177842731367,0.9627789652051681,0.9939668174962294,0.5652173913043479,0.0,0.0,0.5,0.5416678640327488,0.5416678640327488,0.3478224084324896,0.3478224084324896,0.5946768270994484,0.493371977058057,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.2832134236445018,0.04232804232804233,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,0.5866525947375756,0.19129921038317982,0.48810135281837036,0.4184895510530136,0.5287416058155707,0.4973016292935712,0.4871706747379574,0.8184777440474013,0.8208461262410782,0.3176371158872454,0.4642570281124557,0.29849916620344075,0.012919896640826873,0.03253796095444685,0.040169133192389,0.16985645933014354,0.40703517587939697,0.6683168316831684,0.830711965139182,0.7862064241225392,0.9627789652051681,0.995475113122172,0.5652173913043479,0.0,0.0,0.5,0.5416678640327488,0.5416678640327488,0.3478224084324896,0.3478224084324896,0.5946768270994484,0.493371977058057,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.3450898129961927,0.04232804232804233,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-01,0.5559114626083062,0.217238404261305,0.4286565015792978,0.38149165257260076,0.47201504010528317,0.44490945358038075,0.43819034278186525,0.80809041366446,0.8237968021053471,0.3606751413889343,0.4642570281124443,0.3463035019455266,0.01808785529715762,0.03253796095444685,0.040169133192389,0.14832535885167467,0.3844221105527638,0.6410891089108911,0.8314284898055063,0.7855007847916639,0.9627789652051681,0.9969834087481145,0.5597826086956522,0.0,0.0,0.5,0.5416678640327488,0.5416678640327488,0.3478224084324896,0.3478224084324896,0.5946768270994484,0.493371977058057,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.40712714074421674,0.04232804232804233,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-01,0.5130890331087019,0.17638839394564584,0.22238154894373588,0.2529177208884283,0.27501584432490706,0.26318016606530853,0.26805548083906083,0.8116747741487144,0.8250328960484868,0.5736708717261573,0.43212851405622554,0.5125069483046181,0.02325581395348837,0.03036876355748373,0.03805496828752642,0.16985645933014354,0.42211055276381904,0.6856435643564356,0.8296522571559598,0.7847940808229694,0.9627789652051681,0.9984917043740573,0.5489130434782609,0.0,0.0,0.5,0.5416678640327488,0.5416678640327488,0.3478224084324896,0.3478224084324896,0.5946768270994484,0.493371977058057,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.6544999908956352,0.0343915343915344,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-01,0.5177209684635975,0.1754974961081831,0.2447163995622058,0.26666879595506343,0.29620594533216454,0.28292241973105836,0.28632311419778,0.839252404813284,0.8252322660393158,0.5346835499697278,0.48112449799196316,0.49527515286270263,0.020671834625322995,0.03036876355748373,0.03805496828752642,0.16028708133971295,0.43216080402010043,0.7128712871287128,0.8281375781516205,0.7840863122164562,0.9627789652051681,1.0,0.5434782608695653,0.0,0.0,0.5,0.5416678640327488,0.5416678640327488,0.3478224084324896,0.3478224084324896,0.5946768270994484,0.493371977058057,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.6120910821344223,0.03703703703703705,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,0.49552732572346503,0.19526605022788227,0.2496899537966767,0.2696127506222443,0.3008273127146413,0.2873637796353957,0.2902842274615107,0.8258659156578033,0.8243151640815025,0.45468355458425286,0.5759036144578348,0.4919399666481389,0.02842377260981912,0.03253796095444685,0.03805496828752642,0.16985645933014354,0.4396984924623115,0.7178217821782178,0.8255653217945225,0.7866190491230038,0.9627789652051681,1.0,0.5326086956521741,0.0,0.0,0.5,0.5416678640327488,0.5416678640327488,0.3478224084324896,0.3478224084324896,0.5946768270994484,0.493371977058057,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.5090766294747028,0.04232804232804233,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-01,0.5473252115733543,0.20098655213159028,0.4993362625923847,0.42532849271468126,0.5393363474256285,0.5072622544524961,0.49628908561684115,0.8081269887714422,0.8244746600741657,0.28388189224908494,0.4690763052208783,0.2884936075597495,0.031007751937984492,0.03036876355748373,0.03805496828752642,0.16028708133971295,0.414572864321608,0.693069306930693,0.8259905184083352,0.7891261700016915,0.9627789652051681,1.0,0.5271739130434783,0.0,0.0,0.5,0.5416678640327488,0.5416678640327488,0.3478224084324896,0.3478224084324896,0.5946768270994484,0.493371977058057,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.30472564197226726,0.04232804232804233,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,0.5399816066721631,0.21633812855186899,0.4639421209475113,0.4032513823366858,0.5055210713609836,0.4760857433105354,0.4670821448384575,0.81160162393475,0.8275848319310978,0.3448101478246569,0.440160642570286,0.31739855475264594,0.010335917312661497,0.02603036876355748,0.03382663847780126,0.1674641148325359,0.43216080402010043,0.7128712871287128,0.8259773796993255,0.7916076748525196,0.9627789652051681,1.0,0.5217391304347826,0.0,0.0,0.5,0.5416678640327488,0.5416678640327488,0.3478224084324896,0.3478224084324896,0.5946768270994484,0.493371977058057,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.38644503043538864,0.04232804232804233,0.0,0.0,0.0,0.0,0.0,0.0
