Time,Factor_Global,Factor_Pandemic,Factor_Cases1,Factor_Cases2,Factor_Cases3,Factor_Cases4,Factor_Cases5,Factor_Hosp1,Factor_Hosp2,Factor_Deaths1,Factor_Deaths2,Factor_Deaths3,Factor_Deaths4,Factor_Deaths5,State,Time
2012-03-01,-2.485134397627683,0.8589533849856263,58654.835313581,15407.0,30300.77204592169,3060.2596881736604,6267.233167894922,20973.279189853118,9327.492856068582,142036.0,133744.0,100.4235391,99.595,99.735,AK,2012-03-01
2012-04-01,-1.4202765302061418,0.907608668447426,58629.12970046533,14251.0,30352.105154239984,3067.57722014166,6267.031155081138,21017.496779017183,9334.6083752228,141899.0,133827.0,100.5903214,99.746,99.866,AK,2012-04-01
2012-05-01,1.359705000420056,0.31870387204372225,58746.24910613438,11884.0,30477.365986994704,3082.3659535791344,6282.095621896535,21112.904411519037,9364.461575475669,142206.0,133935.0,100.3822825,99.847,99.754,AK,2012-05-01
2012-06-01,0.542431866427584,0.13714789430576102,58827.02800288855,10864.0,30583.878279707937,3095.2619754473244,6293.278103185429,21195.33820107518,9388.540078632754,142391.0,134007.0,100.2993302,99.95,99.704,AK,2012-06-01
2012-07-01,-0.2128797451984889,0.33356194366659275,58688.49007419291,9786.0,30664.03482387538,3105.49094311878,6299.035826482184,21259.50805427441,9404.526769600963,142292.0,134153.0,100.3282977,100.053,99.74,AK,2012-07-01
2012-08-01,-2.929900670221989,1.347935057238769,58375.11866100425,9493.0,30652.277458572768,3106.403530685316,6285.952202514784,21259.92172537267,9392.3557332001,142291.0,134330.0,100.9111577,100.116,100.075,AK,2012-08-01
2012-09-01,-2.0204186015637102,1.6695183756954413,58081.77009135377,8777.0,30650.061267795056,3108.269657996195,6274.893154942767,21266.89845485609,9383.162812938965,143044.0,134512.0,101.3926317,100.24,100.379,AK,2012-09-01
2012-10-01,-1.4875747697614952,1.9616451800255919,57704.07673384516,9712.0,30649.684966112716,3110.309868854524,6264.274197019507,21275.10090023868,9374.58406587403,143431.0,134671.0,101.6660668,100.482,100.677,AK,2012-10-01
2012-11-01,2.36017452920318,0.9675383389009242,57537.16532980817,13315.0,30760.80834385264,3123.6602424567686,6276.467976688637,21360.680124707236,9400.128219145405,143333.0,134834.0,101.4953345,100.591,100.609,AK,2012-11-01
2012-12-01,1.3783864077169294,0.5939824972927086,57340.37159643316,15562.0,30856.123189486345,3135.40703627489,6285.42741542652,21435.288737784937,9420.834451701412,143330.0,135075.0,101.4830453,100.664,100.593,AK,2012-12-01
2013-01-01,-1.5634370385492042,2.046620232350816,57295.74912108377,18277.0,30849.158787012904,3136.680987296645,6272.146540063033,21440.339527915305,9408.82752735968,143292.0,135265.0,101.6840618,100.871,100.787,AK,2013-01-01
2013-02-01,-3.117591180256415,2.6441157406532496,57152.2532853546,15528.0,30788.86406474485,3132.5213861099,6248.088760594202,21408.270394242558,9380.6101467041,143362.0,135544.0,102.2361988,100.992,101.156,AK,2013-02-01
2013-03-01,2.2278325294777135,1.431699527662933,57293.09167219346,14842.0,30881.705156251548,3143.937519178801,6255.134969264425,21482.65741464815,9399.072488443226,143316.0,135689.0,101.9487188,101.085,101.023,AK,2013-03-01
2013-04-01,1.1618868090813614,1.0330243610721592,56918.29132984624,13571.0,30958.221059861604,3153.6957785174645,6258.849791303424,21545.70851165002,9412.54556982089,143635.0,135876.0,101.735852,101.163,100.944,AK,2013-04-01
2013-05-01,-0.5781883637274547,1.1264016359078721,56461.73646173646,12110.0,30990.30624030621,3158.9281589281554,6253.580503580507,21577.83882783883,9412.508662508662,143882.0,136091.0,101.7779865,101.272,101.01,AK,2013-05-01
2013-06-01,-1.9271294863750705,1.668261097918697,55921.68174813293,11234.0,30975.767574188965,3159.4025368475127,6238.93586754653,21577.47856324337,9398.338404394042,143999.0,136269.0,102.0202597,101.438,101.228,AK,2013-06-01
2013-07-01,-0.9306500903800472,1.4214285468073162,56251.71839953697,9433.0,30989.395254915155,3162.743124757454,6230.004078115645,21596.705606093496,9392.7472028731,144264.0,136391.0,102.2199594,101.567,101.354,AK,2013-07-01
2013-08-01,-1.1101426563553776,1.5716685312347005,56564.21370636715,9055.0,30993.826552392173,3165.1397235083537,6219.25590253834,21609.496601320065,9384.395626046697,144326.0,136635.0,102.4639882,101.685,101.51,AK,2013-08-01
2013-09-01,0.12357586200194204,1.2735888243065352,56940.71885770557,8193.0,31033.653372722794,3171.147218119153,6215.632693254554,21646.94731659281,9386.779911373707,144418.0,136819.0,102.5026115,101.799,101.55,AK,2013-09-01
2013-10-01,-0.9240452193979858,1.858865610885758,56469.757443489805,9896.0,31033.12623293555,3173.027139327452,6203.95129208365,21656.229724150136,9376.978431411102,143537.0,137039.0,102.557474,102.015,101.722,AK,2013-10-01
2013-11-01,-0.748363573862687,1.8305343283605828,56007.53166275684,13264.0,31036.56062792209,3175.3058306586413,6193.099465716542,21668.24530579794,9368.405296375184,144479.0,137314.0,102.7466402,102.194,101.881,AK,2013-11-01
2013-12-01,-1.0452629130186357,2.0511358228460037,55522.80474903021,14583.0,31026.605540535245,3176.2078288468324,6179.6167861760905,21670.878884056267,9355.824615022922,144778.0,137368.0,103.0183197,102.333,102.084,AK,2013-12-01
2014-01-01,0.008376449968995558,0.9411100008461275,55479.96636617846,15587.0,31046.64085466405,3181.712261353048,6177.354856371849,21687.66336194812,9359.058969996802,145150.0,137552.0,103.2680542,102.426,102.278,AK,2014-01-01
2014-02-01,1.1616222490826331,0.3887165387619762,55509.879028317926,14988.0,31107.278495443235,3191.369123232162,6183.187085930935,21732.80371579149,9374.539923260832,145134.0,137707.0,103.3817294,102.489,102.338,AK,2014-02-01
2014-03-01,-0.5421862464719645,0.5221207711848247,55461.22114625084,14216.0,31123.77246618492,3196.4883024682326,6180.260963693279,21747.09634007197,9376.724886145324,145648.0,137986.0,103.5928407,102.684,102.543,AK,2014-03-01
2014-04-01,-0.479457729861666,0.489830665163405,55510.53447794797,12434.0,31142.0191677535,3201.774022957184,6177.70726674583,21762.6027655032,9379.448845976647,145667.0,138298.0,103.7859569,102.879,102.742,AK,2014-04-01
2014-05-01,-0.2749346982720886,0.4014119111370088,55571.53360085766,11360.0,31166.85613605525,3207.724845104723,6176.483448148543,21782.704521678894,9384.167808341192,145825.0,138501.0,103.9834622,103.061,102.919,AK,2014-05-01
2014-06-01,0.30643066095182503,0.20209880442568537,55665.25937788131,10442.0,31210.07424661523,3215.5578201582,6178.919784539235,21815.64516911729,9394.429077497938,146247.0,138833.0,104.1208381,103.18,103.035,AK,2014-06-01
2014-07-01,-0.12126262985071712,0.25882671032585,55385.95471137387,8968.0,31241.383208967243,3222.1549245727974,6179.014439383661,21840.254223600445,9401.112833930933,146399.0,139076.0,104.2380246,103.369,103.19,AK,2014-07-01
2014-08-01,1.5324767239388288,-0.21471714538665526,55197.21772617279,8361.0,31323.518484416774,3233.989487321137,6189.17006697229,21900.391237065134,9423.094940409848,146530.0,139258.0,104.2213464,103.408,103.177,AK,2014-08-01
2014-09-01,0.8440499756900073,-0.39926088637970153,54987.64570797361,7557.0,31393.80638159743,3244.6004476614053,6196.98555274556,21952.24460529248,9441.513328100926,146778.0,139563.0,104.2288077,103.536,103.203,AK,2014-09-01
