Time,Cases1,Cases2,Cases3,Cases4,Cases5,Hosp1,Hosp2,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Vax1,Vax3,Gather1,Gather2,Gather3,Gather4,Curfew,Mask1,Mask2,School,ARP,PPP,CARES,Cons1,Cons2,Cons3,Cons4,Cons5,Employment1,Employment2,UI,PartR,UR,CPI,PCEC,FixAss,Prod,GDP,TBill1mo,TBill6mo,TBill1yr,TBill5yr,TBill10yr,TBill30yr,FFR
2012-03-01,0.5935088995404447,0.1781533814676128,0.34494431923525326,0.2848773262190226,0.1485292259906094,0.4387755295840031,0.23579320233689904,0.818221718298526,0.8269867219586109,0.4302109789922408,0.5172690763052178,0.4319066147859912,0.015503875968992246,0.03036876355748373,0.040169133192389,0.24401913875598089,0.5452261306532663,0.8118811881188118,0.6661209783452432,0.6308343515377881,0.8421407217145984,0.992816091954023,0.7033898305084746,0.0,0.0,0.5,0.5084633670375104,0.5072840848387937,0.40487821917934885,0.3948946824082734,0.5575867614190119,0.5414851746465983,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.4898555265684134,0.0343915343915344,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,0.5937254205182599,0.17376336967540393,0.3753998190268213,0.30562068234247886,0.18649384804083544,0.46468368132418253,0.26832205288344657,0.8067005595991368,0.821284740220902,0.41367091940953865,0.5028112449799159,0.39911061700945016,0.01808785529715762,0.03036876355748373,0.03805496828752642,0.21291866028708137,0.5150753768844221,0.7871287128712872,0.6670452779143909,0.6351197297539795,0.8421407217145984,0.9913793103448277,0.7033898305084746,0.0,0.0,0.5,0.5084633670375104,0.5072840848387937,0.40487821917934885,0.3948946824082734,0.5575867614190119,0.5414851746465983,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.46901243133422943,0.03703703703703705,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,0.6273704575362506,0.17843060181641393,0.5012843438259554,0.3917488275075487,0.3441856113562882,0.57153422036895,0.40341820940701134,0.8229399070992283,0.8222815901750469,0.26953588374852383,0.4626506024096368,0.2640355753196258,0.01808785529715762,0.03253796095444685,0.040169133192389,0.18181818181818185,0.4522613065326633,0.7252475247524752,0.6695945608311541,0.6394056933421952,0.8421407217145984,0.9899425287356324,0.6949152542372881,0.0,0.0,0.5,0.5084633670375104,0.5072840848387937,0.40487821917934885,0.3948946824082734,0.5575867614190119,0.5414851746465983,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.2832134236445018,0.04232804232804233,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,0.6188370921691637,0.16420133645033824,0.4693196490384407,0.3699028417672165,0.30419148711023863,0.5443880770726399,0.36915377672246924,0.8184777440474013,0.8208461262410782,0.3176371158872454,0.4642570281124557,0.29849916620344075,0.012919896640826873,0.03253796095444685,0.040169133192389,0.16985645933014354,0.40703517587939697,0.6683168316831684,0.6717318469281066,0.6436922423024355,0.8421407217145984,0.9885057471264368,0.6949152542372881,0.0,0.0,0.5,0.5084633670375104,0.5072840848387937,0.40487821917934885,0.3948946824082734,0.5575867614190119,0.5414851746465983,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.3450898129961927,0.04232804232804233,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-01,0.58021405480215,0.1854397252622215,0.4245094635415777,0.3392033434298785,0.24797759042748824,0.5063785082562192,0.3209965791144432,0.80809041366446,0.8237968021053471,0.3606751413889343,0.4642570281124443,0.3463035019455266,0.01808785529715762,0.03253796095444685,0.040169133192389,0.14832535885167467,0.3844221105527638,0.6410891089108911,0.6723556565897371,0.6431569965394537,0.8421407217145984,0.9885057471264368,0.6864406779661016,0.0,0.0,0.5,0.5084633670375104,0.5072840848387937,0.40487821917934885,0.3948946824082734,0.5575867614190119,0.5414851746465983,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.40712714074421674,0.04232804232804233,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-01,0.5385720777302829,0.16918716511161222,0.26853307420602623,0.23216589834913526,0.05195403498858929,0.3741830690433754,0.1530754427039845,0.8116747741487144,0.8250328960484868,0.5736708717261573,0.43212851405622554,0.5125069483046181,0.02325581395348837,0.03036876355748373,0.03805496828752642,0.16985645933014354,0.42211055276381904,0.6856435643564356,0.6709637017186914,0.6426209204397751,0.8421407217145984,0.9870689655172415,0.6694915254237288,0.0,0.0,0.5,0.5084633670375104,0.5072840848387937,0.40487821917934885,0.3948946824082734,0.5575867614190119,0.5414851746465983,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.6544999908956352,0.0343915343915344,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-01,0.5430703838527239,0.1802056395721704,0.2849881999098154,0.24329926049313177,0.07231898778493118,0.38822686253444505,0.17052786033367506,0.839252404813284,0.8252322660393158,0.5346835499697278,0.48112449799196316,0.49527515286270263,0.020671834625322995,0.03036876355748373,0.03805496828752642,0.16028708133971295,0.43216080402010043,0.7128712871287128,0.6697832201740958,0.6420840144418805,0.8421407217145984,0.9870689655172415,0.6610169491525423,0.0,0.0,0.5,0.5084633670375104,0.5072840848387937,0.40487821917934885,0.3948946824082734,0.5575867614190119,0.5414851746465983,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.6120910821344223,0.03703703703703705,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,0.5949443700012489,0.19340463826882098,0.28835207520411676,0.24546228360966052,0.07625810899437944,0.3911671268542203,0.17390869968959566,0.8258659156578033,0.8243151640815025,0.45468355458425286,0.5759036144578348,0.4919399666481389,0.02842377260981912,0.03253796095444685,0.03805496828752642,0.16985645933014354,0.4396984924623115,0.7178217821782178,0.6712827729165488,0.6476117704575052,0.8421407217145984,0.9870689655172415,0.6440677966101694,0.0,0.0,0.5,0.5084633670375104,0.5072840848387937,0.40487821917934885,0.3948946824082734,0.5575867614190119,0.5414851746465983,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5090766294747028,0.04232804232804233,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-01,0.6454174464344524,0.1905000310321286,0.4773982681574378,0.3752940530355605,0.31404146057232035,0.5513287106768409,0.3775983957420802,0.8081269887714422,0.8244746600741657,0.28388189224908494,0.4690763052208783,0.2884936075597495,0.031007751937984492,0.03036876355748373,0.03805496828752642,0.16028708133971295,0.414572864321608,0.693069306930693,0.6752299811704426,0.653159601591123,0.8421407217145984,0.9870689655172415,0.635593220338983,0.0,0.0,0.5,0.5084633670375104,0.5072840848387937,0.40487821917934885,0.3948946824082734,0.5575867614190119,0.5414851746465983,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.30472564197226726,0.04232804232804233,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,0.6382611636819128,0.19438111591534435,0.45059538918632547,0.3568864025414193,0.2803283247764146,0.5286211786062575,0.3487190961206923,0.81160162393475,0.8275848319310978,0.3448101478246569,0.440160642570286,0.31739855475264594,0.010335917312661497,0.02603036876355748,0.03382663847780126,0.1674641148325359,0.43216080402010043,0.7128712871287128,0.6788404979059294,0.6587275079888939,0.8421407217145984,0.985632183908046,0.6271186440677966,0.0,0.0,0.5,0.5084633670375104,0.5072840848387937,0.40487821917934885,0.3948946824082734,0.5575867614190119,0.5414851746465983,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.38644503043538864,0.04232804232804233,0.0,0.0,0.0,0.0,0.0,0.0
