Global.1,Global.2,Response,Pandemic,Uncat,Consumption,Employment,Inflation,State
-22.26324290859822,-10.67854278056166,1.8787138699812265,-2.346471582075622,2.687449492124607,-3.7253071130484097,-4.2768921540148295,3.732939390903003,NC
-0.22577581018279463,1.5247253922523416,1.80188590810565,-0.09807404126504751,1.796067191429875,-1.704566427004363,-0.9269251781662348,1.3118317301348545,NC
-0.2906081724948195,1.3159786754915619,1.6603279413624585,-0.2724004173786122,2.009989283921269,-0.5107775207955372,-0.63584126150411,0.33083504018988663,NC
-0.3307910670184188,1.3201469539107076,1.5348000835330542,-0.2512548206761388,3.106813055298995,-0.17357792479290302,-0.3595671771706219,0.12131765262857774,NC
-0.40191294070206435,1.5014253278205432,1.4255185324266542,-0.006923298049633521,2.912964687619772,-0.22415791224133622,-0.1607168851891131,1.7830971446677295,NC
-0.42982206053403454,1.645731078398639,1.3235849745669477,0.17630924305919593,2.830991851447196,-0.195007781835242,-0.03471149074277971,1.0572665889943167,NC
-0.43212646220438117,1.66113818792659,1.224820630565809,0.197665448421998,2.259230979606839,-0.07306923814365496,0.07329920128914415,0.4637318494056171,NC
-0.39456104352430266,1.6123747823887356,1.130259216746678,0.12276091639475323,2.303639686563889,0.08339634021921316,0.11374767071642726,-2.3028222724721346,NC
-0.39522801087416204,1.5920305562263075,1.0444508128767966,0.09930283224631963,2.288572764800112,0.0959273865784824,0.09169949816641652,-1.7844278920596954,NC
-0.40995574721118094,1.6782388311786252,0.9698187879687474,0.20589191060081347,2.7374853336387277,0.019704008020475363,0.18033748959902154,-0.7621341174137544,NC
-0.47861379961845174,1.8199297422299612,0.9049214532964398,0.40448096396812844,2.6600453700624294,-0.11861759320587012,0.16641260885139553,1.3998101872564372,NC
-0.480827731392985,1.8678820287329976,0.840562928869148,0.46301300794952926,2.647565658252919,-0.12204586128535222,0.19164658564651088,0.6056325329630374,NC
-0.4324018787014132,1.7409171846178713,0.7729994661177277,0.29404357478758336,2.01597932599544,0.011552015394613353,0.26019593373256333,-0.41944577528940846,NC
-0.3767341292542204,1.5617482773683093,0.7072042035049979,0.05753769010061091,2.102531731181202,0.1237321500405403,0.12218522977014551,-2.1078632131405874,NC
-0.4446572940562522,1.6693382462071797,0.6609164115423511,0.21274048553304215,1.8962644999088214,-0.11241063602456222,-0.04562462629014529,2.0041714738875727,NC
-0.43236975083060064,1.6748614507224504,0.6125865343978898,0.21465577550965093,2.318368726813559,-0.14818865599291808,-0.11399334152979121,1.6413406723520185,NC
-0.40213255925120245,1.6057725810150323,0.5642448725647358,0.11997609662724948,2.3572138276283527,-0.07063127090495272,-0.12034833217861998,0.39865880488542677,NC
-0.3618860071948578,1.4852867213052485,0.5167539504824423,-0.039800509342330356,2.438972638690078,0.02777595272754005,-0.16459313941037323,-0.5608860497025412,NC
-0.3633472852379177,1.4445567730007953,0.4766788699864855,-0.0882775797497919,1.8595542888273882,0.02299825729801591,-0.04454123530284741,-0.3424700498255719,NC
-0.35136380803586814,1.4094728349054193,0.43943146421777146,-0.13528005987272024,1.8715046100539716,0.03206033457491977,-0.25423545227929295,-0.5498584014666383,NC
-0.347076898907588,1.3614248452106368,0.40462792156502797,-0.1929072273984251,1.8118806053133039,-0.034011095894283444,-0.3517868734811194,0.470512579878826,NC
-0.32212682820365496,1.3065477535388794,0.37156809667036206,-0.26929295509557744,2.035645771766763,0.029113156574456886,-0.23259197696437178,0.4063415670993589,NC
-0.32759727389592813,1.3118755273937819,0.34393593937322303,-0.2619716097322842,2.048272180679357,0.051677936985315184,-0.2028501470175068,-0.25504597060433076,NC
-0.32052246618914365,1.2972073829175577,0.3173668818855573,-0.2821305393854944,2.0666163095639907,0.07112948195931776,-0.1324287443763024,-0.6529586418877994,NC
-0.35140139195679937,1.3974884800279948,0.2983501642039634,-0.1523474859835704,2.29939267973976,-0.0615993834858826,-0.02852794515628336,-0.5668150608240725,NC
-0.3749045904669323,1.4498545521344421,0.2794999574066261,-0.07798280271218512,2.282010063326116,-0.11036279009883965,-0.06941205262700934,0.08423749643951622,NC
-0.3539532687562134,1.424326737573504,0.2579659376068646,-0.11668808782062359,2.334516154195384,-0.0535993609693933,-0.08953713106223334,-0.3795048122120986,NC
-0.3582545413719514,1.4238126185929856,0.23964301569162186,-0.11578319819284714,2.461516982666795,-0.01099452971363628,-0.10083051908044675,-0.29125160470620254,NC
-0.359171242623668,1.4203494476445824,0.2225603980943523,-0.11928136639129083,2.454620733930337,-0.013124589622577329,-0.11566394491522779,-0.31048776714782184,NC
-0.3683449817068449,1.4413235726398812,0.20809660136717884,-0.09064784333618243,2.4216860172397463,-0.039404089670537504,-0.0782005554430553,-0.02351423231569094,NC
-0.35751459786558004,1.4117488221211731,0.19227021627764532,-0.12954516810256467,2.030501457673274,-0.012411641545268522,-0.04166531006904994,0.08257942553953349,NC
-0.38625893506457587,1.4782590097268102,0.18263286898928457,-0.03945552485356267,1.9324680616908827,-0.08642390907611444,-0.02154543865334827,0.7118601090997033,NC
-0.382288373226767,1.4937258162605536,0.17111769503607552,-0.022300714584393436,1.892148752777266,-0.09160109542562371,-0.11010209247196318,0.593941775574405,NC
-0.39111752316677256,1.5253425364299216,0.1616101866932712,0.018811316455059797,2.2173135734497658,-0.12543882090738998,-0.11906444744355715,0.7225081024490408,NC
-0.40197534282183184,1.5607143033747064,0.15335320702291316,0.06563988730160161,2.1800092847926726,-0.14664036490814475,-0.19025661739542427,1.564052412804403,NC
